query_19: rallel algorithms
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0909090909091 |
|  2   |    REL     |       1.0       |  0.181818181818 |
|  3   |  NON-REL   |  0.666666666667 |  0.181818181818 |
|  4   |    REL     |       0.75      |  0.272727272727 |
|  5   |    REL     |       0.8       |  0.363636363636 |
|  6   |    REL     |  0.833333333333 |  0.454545454545 |
|  7   |  NON-REL   |  0.714285714286 |  0.454545454545 |
|  8   |  NON-REL   |      0.625      |  0.454545454545 |
|  9   |  NON-REL   |  0.555555555556 |  0.454545454545 |
|  10  |    REL     |       0.6       |  0.545454545455 |
|  11  |  NON-REL   |  0.545454545455 |  0.545454545455 |
|  12  |  NON-REL   |       0.5       |  0.545454545455 |
|  13  |  NON-REL   |  0.461538461538 |  0.545454545455 |
|  14  |  NON-REL   |  0.428571428571 |  0.545454545455 |
|  15  |  NON-REL   |       0.4       |  0.545454545455 |
|  16  |  NON-REL   |      0.375      |  0.545454545455 |
|  17  |  NON-REL   |  0.352941176471 |  0.545454545455 |
|  18  |  NON-REL   |  0.333333333333 |  0.545454545455 |
|  19  |  NON-REL   |  0.315789473684 |  0.545454545455 |
|  20  |  NON-REL   |       0.3       |  0.545454545455 |
|  21  |  NON-REL   |  0.285714285714 |  0.545454545455 |
|  22  |  NON-REL   |  0.272727272727 |  0.545454545455 |
|  23  |  NON-REL   |  0.260869565217 |  0.545454545455 |
|  24  |  NON-REL   |       0.25      |  0.545454545455 |
|  25  |  NON-REL   |       0.24      |  0.545454545455 |
|  26  |  NON-REL   |  0.230769230769 |  0.545454545455 |
|  27  |  NON-REL   |  0.222222222222 |  0.545454545455 |
|  28  |  NON-REL   |  0.214285714286 |  0.545454545455 |
|  29  |  NON-REL   |  0.206896551724 |  0.545454545455 |
|  30  |  NON-REL   |       0.2       |  0.545454545455 |
|  31  |  NON-REL   |  0.193548387097 |  0.545454545455 |
|  32  |  NON-REL   |      0.1875     |  0.545454545455 |
|  33  |  NON-REL   |  0.181818181818 |  0.545454545455 |
|  34  |  NON-REL   |  0.176470588235 |  0.545454545455 |
|  35  |  NON-REL   |  0.171428571429 |  0.545454545455 |
|  36  |  NON-REL   |  0.166666666667 |  0.545454545455 |
|  37  |  NON-REL   |  0.162162162162 |  0.545454545455 |
|  38  |  NON-REL   |  0.157894736842 |  0.545454545455 |
|  39  |  NON-REL   |  0.153846153846 |  0.545454545455 |
|  40  |  NON-REL   |       0.15      |  0.545454545455 |
|  41  |  NON-REL   |  0.146341463415 |  0.545454545455 |
|  42  |  NON-REL   |  0.142857142857 |  0.545454545455 |
|  43  |  NON-REL   |  0.139534883721 |  0.545454545455 |
|  44  |  NON-REL   |  0.136363636364 |  0.545454545455 |
|  45  |  NON-REL   |  0.133333333333 |  0.545454545455 |
|  46  |  NON-REL   |  0.130434782609 |  0.545454545455 |
|  47  |  NON-REL   |  0.127659574468 |  0.545454545455 |
|  48  |  NON-REL   |      0.125      |  0.545454545455 |
|  49  |  NON-REL   |  0.122448979592 |  0.545454545455 |
|  50  |  NON-REL   |       0.12      |  0.545454545455 |
|  51  |  NON-REL   |  0.117647058824 |  0.545454545455 |
|  52  |  NON-REL   |  0.115384615385 |  0.545454545455 |
|  53  |  NON-REL   |  0.11320754717  |  0.545454545455 |
|  54  |  NON-REL   |  0.111111111111 |  0.545454545455 |
|  55  |  NON-REL   |  0.109090909091 |  0.545454545455 |
|  56  |  NON-REL   |  0.107142857143 |  0.545454545455 |
|  57  |  NON-REL   |  0.105263157895 |  0.545454545455 |
|  58  |  NON-REL   |  0.103448275862 |  0.545454545455 |
|  59  |  NON-REL   |  0.101694915254 |  0.545454545455 |
|  60  |  NON-REL   |       0.1       |  0.545454545455 |
|  61  |  NON-REL   | 0.0983606557377 |  0.545454545455 |
|  62  |  NON-REL   | 0.0967741935484 |  0.545454545455 |
|  63  |  NON-REL   | 0.0952380952381 |  0.545454545455 |
|  64  |  NON-REL   |     0.09375     |  0.545454545455 |
|  65  |  NON-REL   | 0.0923076923077 |  0.545454545455 |
|  66  |  NON-REL   | 0.0909090909091 |  0.545454545455 |
|  67  |  NON-REL   |  0.089552238806 |  0.545454545455 |
|  68  |  NON-REL   | 0.0882352941176 |  0.545454545455 |
|  69  |  NON-REL   | 0.0869565217391 |  0.545454545455 |
|  70  |  NON-REL   | 0.0857142857143 |  0.545454545455 |
|  71  |  NON-REL   | 0.0845070422535 |  0.545454545455 |
|  72  |  NON-REL   | 0.0833333333333 |  0.545454545455 |
|  73  |  NON-REL   | 0.0821917808219 |  0.545454545455 |
|  74  |  NON-REL   | 0.0810810810811 |  0.545454545455 |
|  75  |  NON-REL   |       0.08      |  0.545454545455 |
|  76  |  NON-REL   | 0.0789473684211 |  0.545454545455 |
|  77  |  NON-REL   | 0.0779220779221 |  0.545454545455 |
|  78  |  NON-REL   | 0.0769230769231 |  0.545454545455 |
|  79  |  NON-REL   | 0.0759493670886 |  0.545454545455 |
|  80  |  NON-REL   |      0.075      |  0.545454545455 |
|  81  |  NON-REL   | 0.0740740740741 |  0.545454545455 |
|  82  |  NON-REL   | 0.0731707317073 |  0.545454545455 |
|  83  |  NON-REL   | 0.0722891566265 |  0.545454545455 |
|  84  |  NON-REL   | 0.0714285714286 |  0.545454545455 |
|  85  |  NON-REL   | 0.0705882352941 |  0.545454545455 |
|  86  |  NON-REL   | 0.0697674418605 |  0.545454545455 |
|  87  |  NON-REL   | 0.0689655172414 |  0.545454545455 |
|  88  |  NON-REL   | 0.0681818181818 |  0.545454545455 |
|  89  |  NON-REL   | 0.0674157303371 |  0.545454545455 |
|  90  |  NON-REL   | 0.0666666666667 |  0.545454545455 |
|  91  |  NON-REL   | 0.0659340659341 |  0.545454545455 |
|  92  |  NON-REL   | 0.0652173913043 |  0.545454545455 |
|  93  |  NON-REL   | 0.0645161290323 |  0.545454545455 |
|  94  |  NON-REL   |  0.063829787234 |  0.545454545455 |
|  95  |  NON-REL   | 0.0631578947368 |  0.545454545455 |
|  96  |  NON-REL   |      0.0625     |  0.545454545455 |
|  97  |  NON-REL   | 0.0618556701031 |  0.545454545455 |
|  98  |  NON-REL   | 0.0612244897959 |  0.545454545455 |
|  99  |  NON-REL   | 0.0606060606061 |  0.545454545455 |
| 100  |  NON-REL   |       0.06      |  0.545454545455 |
+------+------------+-----------------+-----------------+
