query_25: rformance evaluation modelling computer systems
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0196078431373 |
|  2   |  NON-REL   |      0.5       | 0.0196078431373 |
|  3   |  NON-REL   | 0.333333333333 | 0.0196078431373 |
|  4   |    REL     |      0.5       | 0.0392156862745 |
|  5   |  NON-REL   |      0.4       | 0.0392156862745 |
|  6   |    REL     |      0.5       | 0.0588235294118 |
|  7   |    REL     | 0.571428571429 |  0.078431372549 |
|  8   |  NON-REL   |      0.5       |  0.078431372549 |
|  9   |    REL     | 0.555555555556 | 0.0980392156863 |
|  10  |    REL     |      0.6       |  0.117647058824 |
|  11  |  NON-REL   | 0.545454545455 |  0.117647058824 |
|  12  |    REL     | 0.583333333333 |  0.137254901961 |
|  13  |  NON-REL   | 0.538461538462 |  0.137254901961 |
|  14  |  NON-REL   |      0.5       |  0.137254901961 |
|  15  |    REL     | 0.533333333333 |  0.156862745098 |
|  16  |  NON-REL   |      0.5       |  0.156862745098 |
|  17  |  NON-REL   | 0.470588235294 |  0.156862745098 |
|  18  |    REL     |      0.5       |  0.176470588235 |
|  19  |  NON-REL   | 0.473684210526 |  0.176470588235 |
|  20  |  NON-REL   |      0.45      |  0.176470588235 |
|  21  |  NON-REL   | 0.428571428571 |  0.176470588235 |
|  22  |  NON-REL   | 0.409090909091 |  0.176470588235 |
|  23  |  NON-REL   | 0.391304347826 |  0.176470588235 |
|  24  |  NON-REL   |     0.375      |  0.176470588235 |
|  25  |  NON-REL   |      0.36      |  0.176470588235 |
|  26  |    REL     | 0.384615384615 |  0.196078431373 |
|  27  |    REL     | 0.407407407407 |  0.21568627451  |
|  28  |  NON-REL   | 0.392857142857 |  0.21568627451  |
|  29  |  NON-REL   | 0.379310344828 |  0.21568627451  |
|  30  |    REL     |      0.4       |  0.235294117647 |
|  31  |  NON-REL   | 0.387096774194 |  0.235294117647 |
|  32  |  NON-REL   |     0.375      |  0.235294117647 |
|  33  |  NON-REL   | 0.363636363636 |  0.235294117647 |
|  34  |    REL     | 0.382352941176 |  0.254901960784 |
|  35  |  NON-REL   | 0.371428571429 |  0.254901960784 |
|  36  |    REL     | 0.388888888889 |  0.274509803922 |
|  37  |  NON-REL   | 0.378378378378 |  0.274509803922 |
|  38  |  NON-REL   | 0.368421052632 |  0.274509803922 |
|  39  |  NON-REL   | 0.358974358974 |  0.274509803922 |
|  40  |  NON-REL   |      0.35      |  0.274509803922 |
|  41  |  NON-REL   | 0.341463414634 |  0.274509803922 |
|  42  |  NON-REL   | 0.333333333333 |  0.274509803922 |
|  43  |  NON-REL   | 0.325581395349 |  0.274509803922 |
|  44  |  NON-REL   | 0.318181818182 |  0.274509803922 |
|  45  |    REL     | 0.333333333333 |  0.294117647059 |
|  46  |  NON-REL   | 0.326086956522 |  0.294117647059 |
|  47  |  NON-REL   | 0.31914893617  |  0.294117647059 |
|  48  |  NON-REL   |     0.3125     |  0.294117647059 |
|  49  |  NON-REL   | 0.30612244898  |  0.294117647059 |
|  50  |  NON-REL   |      0.3       |  0.294117647059 |
|  51  |  NON-REL   | 0.294117647059 |  0.294117647059 |
|  52  |    REL     | 0.307692307692 |  0.313725490196 |
|  53  |  NON-REL   | 0.301886792453 |  0.313725490196 |
|  54  |  NON-REL   | 0.296296296296 |  0.313725490196 |
|  55  |    REL     | 0.309090909091 |  0.333333333333 |
|  56  |  NON-REL   | 0.303571428571 |  0.333333333333 |
|  57  |  NON-REL   | 0.298245614035 |  0.333333333333 |
