query_27: mory management aspects operating systems
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0344827586207 |
|  2   |  NON-REL   |      0.5       | 0.0344827586207 |
|  3   |  NON-REL   | 0.333333333333 | 0.0344827586207 |
|  4   |    REL     |      0.5       | 0.0689655172414 |
|  5   |    REL     |      0.6       |  0.103448275862 |
|  6   |  NON-REL   |      0.5       |  0.103448275862 |
|  7   |    REL     | 0.571428571429 |  0.137931034483 |
|  8   |  NON-REL   |      0.5       |  0.137931034483 |
|  9   |  NON-REL   | 0.444444444444 |  0.137931034483 |
|  10  |  NON-REL   |      0.4       |  0.137931034483 |
|  11  |  NON-REL   | 0.363636363636 |  0.137931034483 |
|  12  |  NON-REL   | 0.333333333333 |  0.137931034483 |
|  13  |  NON-REL   | 0.307692307692 |  0.137931034483 |
|  14  |    REL     | 0.357142857143 |  0.172413793103 |
|  15  |  NON-REL   | 0.333333333333 |  0.172413793103 |
|  16  |  NON-REL   |     0.3125     |  0.172413793103 |
|  17  |    REL     | 0.352941176471 |  0.206896551724 |
|  18  |    REL     | 0.388888888889 |  0.241379310345 |
|  19  |    REL     | 0.421052631579 |  0.275862068966 |
|  20  |  NON-REL   |      0.4       |  0.275862068966 |
|  21  |  NON-REL   | 0.380952380952 |  0.275862068966 |
|  22  |  NON-REL   | 0.363636363636 |  0.275862068966 |
|  23  |    REL     | 0.391304347826 |  0.310344827586 |
|  24  |  NON-REL   |     0.375      |  0.310344827586 |
|  25  |  NON-REL   |      0.36      |  0.310344827586 |
|  26  |  NON-REL   | 0.346153846154 |  0.310344827586 |
|  27  |  NON-REL   | 0.333333333333 |  0.310344827586 |
|  28  |  NON-REL   | 0.321428571429 |  0.310344827586 |
|  29  |  NON-REL   | 0.310344827586 |  0.310344827586 |
|  30  |  NON-REL   |      0.3       |  0.310344827586 |
|  31  |  NON-REL   | 0.290322580645 |  0.310344827586 |
|  32  |  NON-REL   |    0.28125     |  0.310344827586 |
|  33  |    REL     | 0.30303030303  |  0.344827586207 |
|  34  |  NON-REL   | 0.294117647059 |  0.344827586207 |
|  35  |  NON-REL   | 0.285714285714 |  0.344827586207 |
