query_3: termediate languages construction multi-targeted compilers tcoll
+------+------------+-----------------+----------------+
| RANK | REL/NONREL |    PRECISION    |     RECALL     |
+------+------------+-----------------+----------------+
|  1   |  NON-REL   |       0.0       |      0.0       |
|  2   |  NON-REL   |       0.0       |      0.0       |
|  3   |  NON-REL   |       0.0       |      0.0       |
|  4   |  NON-REL   |       0.0       |      0.0       |
|  5   |  NON-REL   |       0.0       |      0.0       |
|  6   |  NON-REL   |       0.0       |      0.0       |
|  7   |  NON-REL   |       0.0       |      0.0       |
|  8   |  NON-REL   |       0.0       |      0.0       |
|  9   |  NON-REL   |       0.0       |      0.0       |
|  10  |  NON-REL   |       0.0       |      0.0       |
|  11  |  NON-REL   |       0.0       |      0.0       |
|  12  |  NON-REL   |       0.0       |      0.0       |
|  13  |  NON-REL   |       0.0       |      0.0       |
|  14  |  NON-REL   |       0.0       |      0.0       |
|  15  |  NON-REL   |       0.0       |      0.0       |
|  16  |  NON-REL   |       0.0       |      0.0       |
|  17  |  NON-REL   |       0.0       |      0.0       |
|  18  |  NON-REL   |       0.0       |      0.0       |
|  19  |  NON-REL   |       0.0       |      0.0       |
|  20  |  NON-REL   |       0.0       |      0.0       |
|  21  |  NON-REL   |       0.0       |      0.0       |
|  22  |  NON-REL   |       0.0       |      0.0       |
|  23  |  NON-REL   |       0.0       |      0.0       |
|  24  |    REL     | 0.0416666666667 | 0.166666666667 |
|  25  |  NON-REL   |       0.04      | 0.166666666667 |
|  26  |  NON-REL   | 0.0384615384615 | 0.166666666667 |
|  27  |  NON-REL   |  0.037037037037 | 0.166666666667 |
|  28  |  NON-REL   | 0.0357142857143 | 0.166666666667 |
|  29  |  NON-REL   | 0.0344827586207 | 0.166666666667 |
|  30  |  NON-REL   | 0.0333333333333 | 0.166666666667 |
|  31  |  NON-REL   | 0.0322580645161 | 0.166666666667 |
|  32  |  NON-REL   |     0.03125     | 0.166666666667 |
|  33  |  NON-REL   |  0.030303030303 | 0.166666666667 |
|  34  |  NON-REL   | 0.0294117647059 | 0.166666666667 |
|  35  |    REL     | 0.0571428571429 | 0.333333333333 |
|  36  |  NON-REL   | 0.0555555555556 | 0.333333333333 |
|  37  |  NON-REL   | 0.0540540540541 | 0.333333333333 |
|  38  |  NON-REL   | 0.0526315789474 | 0.333333333333 |
|  39  |  NON-REL   | 0.0512820512821 | 0.333333333333 |
|  40  |  NON-REL   |       0.05      | 0.333333333333 |
|  41  |  NON-REL   | 0.0487804878049 | 0.333333333333 |
|  42  |    REL     | 0.0714285714286 |      0.5       |
|  43  |  NON-REL   | 0.0697674418605 |      0.5       |
|  44  |  NON-REL   | 0.0681818181818 |      0.5       |
|  45  |  NON-REL   | 0.0666666666667 |      0.5       |
|  46  |  NON-REL   | 0.0652173913043 |      0.5       |
|  47  |  NON-REL   |  0.063829787234 |      0.5       |
|  48  |  NON-REL   |      0.0625     |      0.5       |
|  49  |  NON-REL   | 0.0612244897959 |      0.5       |
|  50  |  NON-REL   |       0.06      |      0.5       |
|  51  |  NON-REL   | 0.0588235294118 |      0.5       |
|  52  |  NON-REL   | 0.0576923076923 |      0.5       |
|  53  |  NON-REL   | 0.0566037735849 |      0.5       |
|  54  |  NON-REL   | 0.0555555555556 |      0.5       |
|  55  |  NON-REL   | 0.0545454545455 |      0.5       |
|  56  |  NON-REL   | 0.0535714285714 |      0.5       |
|  57  |  NON-REL   | 0.0526315789474 |      0.5       |
|  58  |  NON-REL   |  0.051724137931 |      0.5       |
|  59  |  NON-REL   | 0.0508474576271 |      0.5       |
|  60  |  NON-REL   |       0.05      |      0.5       |
|  61  |  NON-REL   | 0.0491803278689 |      0.5       |
|  62  |  NON-REL   | 0.0483870967742 |      0.5       |
|  63  |  NON-REL   |  0.047619047619 |      0.5       |
|  64  |  NON-REL   |     0.046875    |      0.5       |
|  65  |  NON-REL   | 0.0461538461538 |      0.5       |
|  66  |  NON-REL   | 0.0454545454545 |      0.5       |
|  67  |  NON-REL   |  0.044776119403 |      0.5       |
|  68  |  NON-REL   | 0.0441176470588 |      0.5       |
|  69  |  NON-REL   | 0.0434782608696 |      0.5       |
|  70  |  NON-REL   | 0.0428571428571 |      0.5       |
|  71  |  NON-REL   | 0.0422535211268 |      0.5       |
|  72  |  NON-REL   | 0.0416666666667 |      0.5       |
|  73  |  NON-REL   |  0.041095890411 |      0.5       |
|  74  |  NON-REL   | 0.0405405405405 |      0.5       |
|  75  |  NON-REL   |       0.04      |      0.5       |
|  76  |  NON-REL   | 0.0394736842105 |      0.5       |
|  77  |  NON-REL   |  0.038961038961 |      0.5       |
|  78  |  NON-REL   | 0.0384615384615 |      0.5       |
|  79  |  NON-REL   | 0.0379746835443 |      0.5       |
|  80  |  NON-REL   |      0.0375     |      0.5       |
|  81  |  NON-REL   |  0.037037037037 |      0.5       |
|  82  |  NON-REL   | 0.0365853658537 |      0.5       |
|  83  |  NON-REL   | 0.0361445783133 |      0.5       |
|  84  |  NON-REL   | 0.0357142857143 |      0.5       |
|  85  |  NON-REL   | 0.0352941176471 |      0.5       |
|  86  |  NON-REL   | 0.0348837209302 |      0.5       |
|  87  |  NON-REL   | 0.0344827586207 |      0.5       |
|  88  |  NON-REL   | 0.0340909090909 |      0.5       |
|  89  |  NON-REL   | 0.0337078651685 |      0.5       |
|  90  |  NON-REL   | 0.0333333333333 |      0.5       |
|  91  |  NON-REL   |  0.032967032967 |      0.5       |
|  92  |  NON-REL   | 0.0326086956522 |      0.5       |
|  93  |  NON-REL   | 0.0322580645161 |      0.5       |
|  94  |  NON-REL   |  0.031914893617 |      0.5       |
|  95  |  NON-REL   | 0.0315789473684 |      0.5       |
|  96  |  NON-REL   |     0.03125     |      0.5       |
|  97  |  NON-REL   | 0.0309278350515 |      0.5       |
|  98  |  NON-REL   |  0.030612244898 |      0.5       |
|  99  |  NON-REL   |  0.030303030303 |      0.5       |
| 100  |  NON-REL   |       0.03      |      0.5       |
+------+------------+-----------------+----------------+
