query_36: st algorithm context-free language recognition parsing
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |    REL     |       0.25      |  0.05  |
|  5   |  NON-REL   |       0.2       |  0.05  |
|  6   |  NON-REL   |  0.166666666667 |  0.05  |
|  7   |  NON-REL   |  0.142857142857 |  0.05  |
|  8   |  NON-REL   |      0.125      |  0.05  |
|  9   |  NON-REL   |  0.111111111111 |  0.05  |
|  10  |    REL     |       0.2       |  0.1   |
|  11  |  NON-REL   |  0.181818181818 |  0.1   |
|  12  |  NON-REL   |  0.166666666667 |  0.1   |
|  13  |  NON-REL   |  0.153846153846 |  0.1   |
|  14  |  NON-REL   |  0.142857142857 |  0.1   |
|  15  |  NON-REL   |  0.133333333333 |  0.1   |
|  16  |  NON-REL   |      0.125      |  0.1   |
|  17  |  NON-REL   |  0.117647058824 |  0.1   |
|  18  |  NON-REL   |  0.111111111111 |  0.1   |
|  19  |    REL     |  0.157894736842 |  0.15  |
|  20  |  NON-REL   |       0.15      |  0.15  |
|  21  |  NON-REL   |  0.142857142857 |  0.15  |
|  22  |  NON-REL   |  0.136363636364 |  0.15  |
|  23  |  NON-REL   |  0.130434782609 |  0.15  |
|  24  |  NON-REL   |      0.125      |  0.15  |
|  25  |  NON-REL   |       0.12      |  0.15  |
|  26  |  NON-REL   |  0.115384615385 |  0.15  |
|  27  |  NON-REL   |  0.111111111111 |  0.15  |
|  28  |  NON-REL   |  0.107142857143 |  0.15  |
|  29  |  NON-REL   |  0.103448275862 |  0.15  |
|  30  |  NON-REL   |       0.1       |  0.15  |
|  31  |  NON-REL   | 0.0967741935484 |  0.15  |
|  32  |  NON-REL   |     0.09375     |  0.15  |
|  33  |  NON-REL   | 0.0909090909091 |  0.15  |
|  34  |  NON-REL   | 0.0882352941176 |  0.15  |
|  35  |    REL     |  0.114285714286 |  0.2   |
|  36  |  NON-REL   |  0.111111111111 |  0.2   |
|  37  |    REL     |  0.135135135135 |  0.25  |
|  38  |  NON-REL   |  0.131578947368 |  0.25  |
|  39  |  NON-REL   |  0.128205128205 |  0.25  |
|  40  |  NON-REL   |      0.125      |  0.25  |
|  41  |  NON-REL   |  0.121951219512 |  0.25  |
|  42  |  NON-REL   |  0.119047619048 |  0.25  |
|  43  |  NON-REL   |  0.116279069767 |  0.25  |
|  44  |    REL     |  0.136363636364 |  0.3   |
|  45  |  NON-REL   |  0.133333333333 |  0.3   |
|  46  |    REL     |  0.152173913043 |  0.35  |
|  47  |  NON-REL   |  0.148936170213 |  0.35  |
|  48  |  NON-REL   |  0.145833333333 |  0.35  |
|  49  |    REL     |  0.163265306122 |  0.4   |
|  50  |  NON-REL   |       0.16      |  0.4   |
|  51  |  NON-REL   |  0.156862745098 |  0.4   |
|  52  |  NON-REL   |  0.153846153846 |  0.4   |
|  53  |  NON-REL   |  0.150943396226 |  0.4   |
|  54  |  NON-REL   |  0.148148148148 |  0.4   |
|  55  |  NON-REL   |  0.145454545455 |  0.4   |
|  56  |  NON-REL   |  0.142857142857 |  0.4   |
|  57  |  NON-REL   |  0.140350877193 |  0.4   |
|  58  |  NON-REL   |  0.137931034483 |  0.4   |
|  59  |  NON-REL   |  0.135593220339 |  0.4   |
|  60  |  NON-REL   |  0.133333333333 |  0.4   |
|  61  |  NON-REL   |  0.131147540984 |  0.4   |
|  62  |  NON-REL   |  0.129032258065 |  0.4   |
|  63  |    REL     |  0.142857142857 |  0.45  |
|  64  |  NON-REL   |     0.140625    |  0.45  |
|  65  |  NON-REL   |  0.138461538462 |  0.45  |
|  66  |  NON-REL   |  0.136363636364 |  0.45  |
|  67  |  NON-REL   |  0.134328358209 |  0.45  |
|  68  |    REL     |  0.147058823529 |  0.5   |
|  69  |  NON-REL   |  0.144927536232 |  0.5   |
|  70  |  NON-REL   |  0.142857142857 |  0.5   |
|  71  |  NON-REL   |  0.140845070423 |  0.5   |
|  72  |  NON-REL   |  0.138888888889 |  0.5   |
|  73  |  NON-REL   |  0.13698630137  |  0.5   |
|  74  |  NON-REL   |  0.135135135135 |  0.5   |
|  75  |  NON-REL   |  0.133333333333 |  0.5   |
|  76  |  NON-REL   |  0.131578947368 |  0.5   |
|  77  |  NON-REL   |  0.12987012987  |  0.5   |
|  78  |  NON-REL   |  0.128205128205 |  0.5   |
|  79  |    REL     |  0.139240506329 |  0.55  |
|  80  |  NON-REL   |      0.1375     |  0.55  |
|  81  |  NON-REL   |  0.135802469136 |  0.55  |
|  82  |  NON-REL   |  0.134146341463 |  0.55  |
|  83  |  NON-REL   |  0.132530120482 |  0.55  |
|  84  |  NON-REL   |  0.130952380952 |  0.55  |
|  85  |  NON-REL   |  0.129411764706 |  0.55  |
|  86  |  NON-REL   |  0.127906976744 |  0.55  |
|  87  |  NON-REL   |  0.126436781609 |  0.55  |
|  88  |  NON-REL   |      0.125      |  0.55  |
|  89  |  NON-REL   |  0.123595505618 |  0.55  |
|  90  |  NON-REL   |  0.122222222222 |  0.55  |
|  91  |  NON-REL   |  0.120879120879 |  0.55  |
|  92  |  NON-REL   |  0.119565217391 |  0.55  |
|  93  |  NON-REL   |  0.118279569892 |  0.55  |
|  94  |  NON-REL   |  0.117021276596 |  0.55  |
|  95  |    REL     |  0.126315789474 |  0.6   |
|  96  |  NON-REL   |      0.125      |  0.6   |
|  97  |  NON-REL   |  0.123711340206 |  0.6   |
|  98  |  NON-REL   |  0.122448979592 |  0.6   |
|  99  |  NON-REL   |  0.121212121212 |  0.6   |
| 100  |  NON-REL   |       0.12      |  0.6   |
+------+------------+-----------------+--------+
