query_37: ticles describing relationship data types concurrency e.g type process synchronization attempt processes type correct message-passing system notion types messages i.e check sender message receiver treating bit stream type
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0833333333333 |
|  2   |  NON-REL   |       0.5       | 0.0833333333333 |
|  3   |  NON-REL   |  0.333333333333 | 0.0833333333333 |
|  4   |  NON-REL   |       0.25      | 0.0833333333333 |
|  5   |  NON-REL   |       0.2       | 0.0833333333333 |
|  6   |    REL     |  0.333333333333 |  0.166666666667 |
|  7   |  NON-REL   |  0.285714285714 |  0.166666666667 |
|  8   |    REL     |      0.375      |       0.25      |
|  9   |  NON-REL   |  0.333333333333 |       0.25      |
|  10  |  NON-REL   |       0.3       |       0.25      |
|  11  |  NON-REL   |  0.272727272727 |       0.25      |
|  12  |    REL     |  0.333333333333 |  0.333333333333 |
|  13  |  NON-REL   |  0.307692307692 |  0.333333333333 |
|  14  |  NON-REL   |  0.285714285714 |  0.333333333333 |
|  15  |  NON-REL   |  0.266666666667 |  0.333333333333 |
|  16  |  NON-REL   |       0.25      |  0.333333333333 |
|  17  |  NON-REL   |  0.235294117647 |  0.333333333333 |
|  18  |  NON-REL   |  0.222222222222 |  0.333333333333 |
|  19  |  NON-REL   |  0.210526315789 |  0.333333333333 |
|  20  |    REL     |       0.25      |  0.416666666667 |
|  21  |  NON-REL   |  0.238095238095 |  0.416666666667 |
|  22  |  NON-REL   |  0.227272727273 |  0.416666666667 |
|  23  |  NON-REL   |  0.217391304348 |  0.416666666667 |
|  24  |  NON-REL   |  0.208333333333 |  0.416666666667 |
|  25  |  NON-REL   |       0.2       |  0.416666666667 |
|  26  |  NON-REL   |  0.192307692308 |  0.416666666667 |
|  27  |  NON-REL   |  0.185185185185 |  0.416666666667 |
|  28  |  NON-REL   |  0.178571428571 |  0.416666666667 |
|  29  |  NON-REL   |  0.172413793103 |  0.416666666667 |
|  30  |  NON-REL   |  0.166666666667 |  0.416666666667 |
|  31  |  NON-REL   |  0.161290322581 |  0.416666666667 |
|  32  |  NON-REL   |     0.15625     |  0.416666666667 |
|  33  |  NON-REL   |  0.151515151515 |  0.416666666667 |
|  34  |  NON-REL   |  0.147058823529 |  0.416666666667 |
|  35  |  NON-REL   |  0.142857142857 |  0.416666666667 |
|  36  |  NON-REL   |  0.138888888889 |  0.416666666667 |
|  37  |  NON-REL   |  0.135135135135 |  0.416666666667 |
|  38  |  NON-REL   |  0.131578947368 |  0.416666666667 |
|  39  |  NON-REL   |  0.128205128205 |  0.416666666667 |
|  40  |  NON-REL   |      0.125      |  0.416666666667 |
|  41  |  NON-REL   |  0.121951219512 |  0.416666666667 |
|  42  |  NON-REL   |  0.119047619048 |  0.416666666667 |
|  43  |  NON-REL   |  0.116279069767 |  0.416666666667 |
|  44  |  NON-REL   |  0.113636363636 |  0.416666666667 |
|  45  |  NON-REL   |  0.111111111111 |  0.416666666667 |
|  46  |  NON-REL   |  0.108695652174 |  0.416666666667 |
|  47  |  NON-REL   |  0.106382978723 |  0.416666666667 |
|  48  |  NON-REL   |  0.104166666667 |  0.416666666667 |
|  49  |  NON-REL   |  0.102040816327 |  0.416666666667 |
|  50  |  NON-REL   |       0.1       |  0.416666666667 |
|  51  |  NON-REL   | 0.0980392156863 |  0.416666666667 |
|  52  |  NON-REL   | 0.0961538461538 |  0.416666666667 |
|  53  |  NON-REL   | 0.0943396226415 |  0.416666666667 |
|  54  |  NON-REL   | 0.0925925925926 |  0.416666666667 |
|  55  |  NON-REL   | 0.0909090909091 |  0.416666666667 |
|  56  |    REL     |  0.107142857143 |       0.5       |
|  57  |  NON-REL   |  0.105263157895 |       0.5       |
|  58  |  NON-REL   |  0.103448275862 |       0.5       |
|  59  |  NON-REL   |  0.101694915254 |       0.5       |
|  60  |  NON-REL   |       0.1       |       0.5       |
|  61  |  NON-REL   | 0.0983606557377 |       0.5       |
|  62  |  NON-REL   | 0.0967741935484 |       0.5       |
|  63  |  NON-REL   | 0.0952380952381 |       0.5       |
|  64  |  NON-REL   |     0.09375     |       0.5       |
|  65  |  NON-REL   | 0.0923076923077 |       0.5       |
|  66  |  NON-REL   | 0.0909090909091 |       0.5       |
|  67  |  NON-REL   |  0.089552238806 |       0.5       |
|  68  |  NON-REL   | 0.0882352941176 |       0.5       |
|  69  |  NON-REL   | 0.0869565217391 |       0.5       |
|  70  |  NON-REL   | 0.0857142857143 |       0.5       |
|  71  |  NON-REL   | 0.0845070422535 |       0.5       |
|  72  |  NON-REL   | 0.0833333333333 |       0.5       |
|  73  |  NON-REL   | 0.0821917808219 |       0.5       |
|  74  |  NON-REL   | 0.0810810810811 |       0.5       |
|  75  |  NON-REL   |       0.08      |       0.5       |
|  76  |  NON-REL   | 0.0789473684211 |       0.5       |
|  77  |  NON-REL   | 0.0779220779221 |       0.5       |
|  78  |  NON-REL   | 0.0769230769231 |       0.5       |
|  79  |  NON-REL   | 0.0759493670886 |       0.5       |
|  80  |  NON-REL   |      0.075      |       0.5       |
|  81  |  NON-REL   | 0.0740740740741 |       0.5       |
|  82  |  NON-REL   | 0.0731707317073 |       0.5       |
|  83  |  NON-REL   | 0.0722891566265 |       0.5       |
|  84  |  NON-REL   | 0.0714285714286 |       0.5       |
|  85  |  NON-REL   | 0.0705882352941 |       0.5       |
|  86  |  NON-REL   | 0.0697674418605 |       0.5       |
|  87  |  NON-REL   | 0.0689655172414 |       0.5       |
|  88  |  NON-REL   | 0.0681818181818 |       0.5       |
|  89  |  NON-REL   | 0.0674157303371 |       0.5       |
|  90  |  NON-REL   | 0.0666666666667 |       0.5       |
|  91  |  NON-REL   | 0.0659340659341 |       0.5       |
|  92  |  NON-REL   | 0.0652173913043 |       0.5       |
|  93  |  NON-REL   | 0.0645161290323 |       0.5       |
|  94  |  NON-REL   |  0.063829787234 |       0.5       |
|  95  |  NON-REL   | 0.0631578947368 |       0.5       |
|  96  |  NON-REL   |      0.0625     |       0.5       |
|  97  |  NON-REL   | 0.0618556701031 |       0.5       |
|  98  |  NON-REL   | 0.0612244897959 |       0.5       |
|  99  |  NON-REL   | 0.0606060606061 |       0.5       |
| 100  |  NON-REL   |       0.06      |       0.5       |
+------+------------+-----------------+-----------------+
