query_38: pe module don want entire literature abstract data types sure phrase avoid interested questions check module matches contexts
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |    REL     |       0.5       | 0.0625 |
|  3   |  NON-REL   |  0.333333333333 | 0.0625 |
|  4   |  NON-REL   |       0.25      | 0.0625 |
|  5   |  NON-REL   |       0.2       | 0.0625 |
|  6   |  NON-REL   |  0.166666666667 | 0.0625 |
|  7   |  NON-REL   |  0.142857142857 | 0.0625 |
|  8   |  NON-REL   |      0.125      | 0.0625 |
|  9   |  NON-REL   |  0.111111111111 | 0.0625 |
|  10  |    REL     |       0.2       | 0.125  |
|  11  |  NON-REL   |  0.181818181818 | 0.125  |
|  12  |  NON-REL   |  0.166666666667 | 0.125  |
|  13  |  NON-REL   |  0.153846153846 | 0.125  |
|  14  |  NON-REL   |  0.142857142857 | 0.125  |
|  15  |  NON-REL   |  0.133333333333 | 0.125  |
|  16  |  NON-REL   |      0.125      | 0.125  |
|  17  |  NON-REL   |  0.117647058824 | 0.125  |
|  18  |  NON-REL   |  0.111111111111 | 0.125  |
|  19  |  NON-REL   |  0.105263157895 | 0.125  |
|  20  |  NON-REL   |       0.1       | 0.125  |
|  21  |  NON-REL   | 0.0952380952381 | 0.125  |
|  22  |    REL     |  0.136363636364 | 0.1875 |
|  23  |  NON-REL   |  0.130434782609 | 0.1875 |
|  24  |  NON-REL   |      0.125      | 0.1875 |
|  25  |  NON-REL   |       0.12      | 0.1875 |
|  26  |  NON-REL   |  0.115384615385 | 0.1875 |
|  27  |  NON-REL   |  0.111111111111 | 0.1875 |
|  28  |    REL     |  0.142857142857 |  0.25  |
|  29  |    REL     |  0.172413793103 | 0.3125 |
|  30  |  NON-REL   |  0.166666666667 | 0.3125 |
|  31  |  NON-REL   |  0.161290322581 | 0.3125 |
|  32  |  NON-REL   |     0.15625     | 0.3125 |
|  33  |  NON-REL   |  0.151515151515 | 0.3125 |
|  34  |  NON-REL   |  0.147058823529 | 0.3125 |
|  35  |    REL     |  0.171428571429 | 0.375  |
|  36  |  NON-REL   |  0.166666666667 | 0.375  |
|  37  |  NON-REL   |  0.162162162162 | 0.375  |
|  38  |  NON-REL   |  0.157894736842 | 0.375  |
|  39  |  NON-REL   |  0.153846153846 | 0.375  |
|  40  |  NON-REL   |       0.15      | 0.375  |
|  41  |  NON-REL   |  0.146341463415 | 0.375  |
|  42  |  NON-REL   |  0.142857142857 | 0.375  |
|  43  |  NON-REL   |  0.139534883721 | 0.375  |
|  44  |    REL     |  0.159090909091 | 0.4375 |
|  45  |  NON-REL   |  0.155555555556 | 0.4375 |
|  46  |  NON-REL   |  0.152173913043 | 0.4375 |
|  47  |  NON-REL   |  0.148936170213 | 0.4375 |
|  48  |  NON-REL   |  0.145833333333 | 0.4375 |
|  49  |  NON-REL   |  0.142857142857 | 0.4375 |
|  50  |  NON-REL   |       0.14      | 0.4375 |
|  51  |  NON-REL   |  0.137254901961 | 0.4375 |
|  52  |  NON-REL   |  0.134615384615 | 0.4375 |
|  53  |  NON-REL   |  0.132075471698 | 0.4375 |
|  54  |  NON-REL   |  0.12962962963  | 0.4375 |
|  55  |  NON-REL   |  0.127272727273 | 0.4375 |
|  56  |  NON-REL   |      0.125      | 0.4375 |
|  57  |  NON-REL   |  0.122807017544 | 0.4375 |
|  58  |  NON-REL   |  0.120689655172 | 0.4375 |
|  59  |  NON-REL   |  0.118644067797 | 0.4375 |
|  60  |  NON-REL   |  0.116666666667 | 0.4375 |
|  61  |  NON-REL   |  0.114754098361 | 0.4375 |
|  62  |  NON-REL   |  0.112903225806 | 0.4375 |
|  63  |  NON-REL   |  0.111111111111 | 0.4375 |
|  64  |  NON-REL   |     0.109375    | 0.4375 |
|  65  |  NON-REL   |  0.107692307692 | 0.4375 |
|  66  |  NON-REL   |  0.106060606061 | 0.4375 |
|  67  |  NON-REL   |  0.10447761194  | 0.4375 |
|  68  |  NON-REL   |  0.102941176471 | 0.4375 |
|  69  |  NON-REL   |  0.101449275362 | 0.4375 |
|  70  |  NON-REL   |       0.1       | 0.4375 |
|  71  |  NON-REL   | 0.0985915492958 | 0.4375 |
|  72  |  NON-REL   | 0.0972222222222 | 0.4375 |
|  73  |  NON-REL   | 0.0958904109589 | 0.4375 |
|  74  |  NON-REL   | 0.0945945945946 | 0.4375 |
|  75  |  NON-REL   | 0.0933333333333 | 0.4375 |
|  76  |  NON-REL   | 0.0921052631579 | 0.4375 |
|  77  |  NON-REL   | 0.0909090909091 | 0.4375 |
|  78  |  NON-REL   | 0.0897435897436 | 0.4375 |
|  79  |  NON-REL   | 0.0886075949367 | 0.4375 |
|  80  |  NON-REL   |      0.0875     | 0.4375 |
|  81  |  NON-REL   | 0.0864197530864 | 0.4375 |
|  82  |  NON-REL   | 0.0853658536585 | 0.4375 |
|  83  |  NON-REL   | 0.0843373493976 | 0.4375 |
|  84  |  NON-REL   | 0.0833333333333 | 0.4375 |
|  85  |  NON-REL   | 0.0823529411765 | 0.4375 |
|  86  |  NON-REL   | 0.0813953488372 | 0.4375 |
|  87  |  NON-REL   | 0.0804597701149 | 0.4375 |
|  88  |  NON-REL   | 0.0795454545455 | 0.4375 |
|  89  |  NON-REL   | 0.0786516853933 | 0.4375 |
|  90  |  NON-REL   | 0.0777777777778 | 0.4375 |
|  91  |  NON-REL   | 0.0769230769231 | 0.4375 |
|  92  |  NON-REL   | 0.0760869565217 | 0.4375 |
|  93  |  NON-REL   | 0.0752688172043 | 0.4375 |
|  94  |  NON-REL   | 0.0744680851064 | 0.4375 |
|  95  |  NON-REL   | 0.0736842105263 | 0.4375 |
|  96  |  NON-REL   | 0.0729166666667 | 0.4375 |
|  97  |  NON-REL   | 0.0721649484536 | 0.4375 |
|  98  |  NON-REL   | 0.0714285714286 | 0.4375 |
|  99  |  NON-REL   | 0.0707070707071 | 0.4375 |
| 100  |  NON-REL   |       0.07      | 0.4375 |
+------+------------+-----------------+--------+
