query_39: pe compatibility mean languages allow programmer defined types want restrict extensible languages allow definition abstract data types programmer-supplied definitions operators
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |    REL     |      0.5       | 0.0833333333333 |
|  3   |  NON-REL   | 0.333333333333 | 0.0833333333333 |
|  4   |  NON-REL   |      0.25      | 0.0833333333333 |
|  5   |  NON-REL   |      0.2       | 0.0833333333333 |
|  6   |    REL     | 0.333333333333 |  0.166666666667 |
|  7   |  NON-REL   | 0.285714285714 |  0.166666666667 |
|  8   |  NON-REL   |      0.25      |  0.166666666667 |
|  9   |  NON-REL   | 0.222222222222 |  0.166666666667 |
|  10  |  NON-REL   |      0.2       |  0.166666666667 |
|  11  |  NON-REL   | 0.181818181818 |  0.166666666667 |
|  12  |    REL     |      0.25      |       0.25      |
|  13  |  NON-REL   | 0.230769230769 |       0.25      |
|  14  |  NON-REL   | 0.214285714286 |       0.25      |
|  15  |  NON-REL   |      0.2       |       0.25      |
|  16  |    REL     |      0.25      |  0.333333333333 |
|  17  |    REL     | 0.294117647059 |  0.416666666667 |
|  18  |  NON-REL   | 0.277777777778 |  0.416666666667 |
|  19  |  NON-REL   | 0.263157894737 |  0.416666666667 |
|  20  |  NON-REL   |      0.25      |  0.416666666667 |
|  21  |  NON-REL   | 0.238095238095 |  0.416666666667 |
|  22  |    REL     | 0.272727272727 |       0.5       |
|  23  |  NON-REL   | 0.260869565217 |       0.5       |
|  24  |  NON-REL   |      0.25      |       0.5       |
|  25  |  NON-REL   |      0.24      |       0.5       |
|  26  |  NON-REL   | 0.230769230769 |       0.5       |
|  27  |  NON-REL   | 0.222222222222 |       0.5       |
|  28  |  NON-REL   | 0.214285714286 |       0.5       |
|  29  |    REL     | 0.241379310345 |  0.583333333333 |
|  30  |  NON-REL   | 0.233333333333 |  0.583333333333 |
|  31  |  NON-REL   | 0.225806451613 |  0.583333333333 |
|  32  |  NON-REL   |    0.21875     |  0.583333333333 |
|  33  |  NON-REL   | 0.212121212121 |  0.583333333333 |
|  34  |  NON-REL   | 0.205882352941 |  0.583333333333 |
|  35  |  NON-REL   |      0.2       |  0.583333333333 |
|  36  |  NON-REL   | 0.194444444444 |  0.583333333333 |
|  37  |  NON-REL   | 0.189189189189 |  0.583333333333 |
|  38  |  NON-REL   | 0.184210526316 |  0.583333333333 |
|  39  |  NON-REL   | 0.179487179487 |  0.583333333333 |
|  40  |  NON-REL   |     0.175      |  0.583333333333 |
|  41  |  NON-REL   | 0.170731707317 |  0.583333333333 |
|  42  |  NON-REL   | 0.166666666667 |  0.583333333333 |
|  43  |  NON-REL   | 0.162790697674 |  0.583333333333 |
|  44  |  NON-REL   | 0.159090909091 |  0.583333333333 |
|  45  |  NON-REL   | 0.155555555556 |  0.583333333333 |
|  46  |  NON-REL   | 0.152173913043 |  0.583333333333 |
|  47  |  NON-REL   | 0.148936170213 |  0.583333333333 |
|  48  |  NON-REL   | 0.145833333333 |  0.583333333333 |
|  49  |  NON-REL   | 0.142857142857 |  0.583333333333 |
|  50  |  NON-REL   |      0.14      |  0.583333333333 |
|  51  |  NON-REL   | 0.137254901961 |  0.583333333333 |
|  52  |  NON-REL   | 0.134615384615 |  0.583333333333 |
|  53  |  NON-REL   | 0.132075471698 |  0.583333333333 |
|  54  |  NON-REL   | 0.12962962963  |  0.583333333333 |
|  55  |    REL     | 0.145454545455 |  0.666666666667 |
|  56  |  NON-REL   | 0.142857142857 |  0.666666666667 |
|  57  |    REL     | 0.157894736842 |       0.75      |
|  58  |  NON-REL   | 0.155172413793 |       0.75      |
|  59  |  NON-REL   | 0.152542372881 |       0.75      |
|  60  |  NON-REL   |      0.15      |       0.75      |
|  61  |  NON-REL   | 0.147540983607 |       0.75      |
|  62  |  NON-REL   | 0.145161290323 |       0.75      |
|  63  |  NON-REL   | 0.142857142857 |       0.75      |
|  64  |  NON-REL   |    0.140625    |       0.75      |
|  65  |  NON-REL   | 0.138461538462 |       0.75      |
|  66  |  NON-REL   | 0.136363636364 |       0.75      |
|  67  |  NON-REL   | 0.134328358209 |       0.75      |
|  68  |  NON-REL   | 0.132352941176 |       0.75      |
|  69  |  NON-REL   | 0.130434782609 |       0.75      |
|  70  |  NON-REL   | 0.128571428571 |       0.75      |
|  71  |  NON-REL   | 0.12676056338  |       0.75      |
|  72  |  NON-REL   |     0.125      |       0.75      |
|  73  |  NON-REL   | 0.123287671233 |       0.75      |
|  74  |  NON-REL   | 0.121621621622 |       0.75      |
|  75  |  NON-REL   |      0.12      |       0.75      |
|  76  |  NON-REL   | 0.118421052632 |       0.75      |
|  77  |  NON-REL   | 0.116883116883 |       0.75      |
|  78  |  NON-REL   | 0.115384615385 |       0.75      |
|  79  |  NON-REL   | 0.113924050633 |       0.75      |
|  80  |  NON-REL   |     0.1125     |       0.75      |
|  81  |  NON-REL   | 0.111111111111 |       0.75      |
|  82  |  NON-REL   | 0.109756097561 |       0.75      |
|  83  |  NON-REL   | 0.10843373494  |       0.75      |
|  84  |  NON-REL   | 0.107142857143 |       0.75      |
|  85  |  NON-REL   | 0.105882352941 |       0.75      |
|  86  |  NON-REL   | 0.104651162791 |       0.75      |
|  87  |  NON-REL   | 0.103448275862 |       0.75      |
|  88  |  NON-REL   | 0.102272727273 |       0.75      |
|  89  |    REL     | 0.112359550562 |  0.833333333333 |
|  90  |  NON-REL   | 0.111111111111 |  0.833333333333 |
|  91  |  NON-REL   | 0.10989010989  |  0.833333333333 |
|  92  |  NON-REL   | 0.108695652174 |  0.833333333333 |
|  93  |  NON-REL   | 0.10752688172  |  0.833333333333 |
|  94  |  NON-REL   | 0.106382978723 |  0.833333333333 |
|  95  |  NON-REL   | 0.105263157895 |  0.833333333333 |
|  96  |  NON-REL   | 0.104166666667 |  0.833333333333 |
|  97  |    REL     | 0.113402061856 |  0.916666666667 |
|  98  |  NON-REL   | 0.112244897959 |  0.916666666667 |
|  99  |  NON-REL   | 0.111111111111 |  0.916666666667 |
| 100  |  NON-REL   |      0.11      |  0.916666666667 |
+------+------------+----------------+-----------------+
