query_40: st articles dealing data types languages referenced frequently papers languages e.g catch languages interesting type structures missed
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       |  0.1   |
|  2   |  NON-REL   |       0.5       |  0.1   |
|  3   |  NON-REL   |  0.333333333333 |  0.1   |
|  4   |  NON-REL   |       0.25      |  0.1   |
|  5   |    REL     |       0.4       |  0.2   |
|  6   |  NON-REL   |  0.333333333333 |  0.2   |
|  7   |  NON-REL   |  0.285714285714 |  0.2   |
|  8   |    REL     |      0.375      |  0.3   |
|  9   |  NON-REL   |  0.333333333333 |  0.3   |
|  10  |  NON-REL   |       0.3       |  0.3   |
|  11  |  NON-REL   |  0.272727272727 |  0.3   |
|  12  |  NON-REL   |       0.25      |  0.3   |
|  13  |  NON-REL   |  0.230769230769 |  0.3   |
|  14  |  NON-REL   |  0.214285714286 |  0.3   |
|  15  |    REL     |  0.266666666667 |  0.4   |
|  16  |    REL     |      0.3125     |  0.5   |
|  17  |  NON-REL   |  0.294117647059 |  0.5   |
|  18  |  NON-REL   |  0.277777777778 |  0.5   |
|  19  |  NON-REL   |  0.263157894737 |  0.5   |
|  20  |  NON-REL   |       0.25      |  0.5   |
|  21  |    REL     |  0.285714285714 |  0.6   |
|  22  |  NON-REL   |  0.272727272727 |  0.6   |
|  23  |  NON-REL   |  0.260869565217 |  0.6   |
|  24  |  NON-REL   |       0.25      |  0.6   |
|  25  |  NON-REL   |       0.24      |  0.6   |
|  26  |  NON-REL   |  0.230769230769 |  0.6   |
|  27  |  NON-REL   |  0.222222222222 |  0.6   |
|  28  |  NON-REL   |  0.214285714286 |  0.6   |
|  29  |  NON-REL   |  0.206896551724 |  0.6   |
|  30  |  NON-REL   |       0.2       |  0.6   |
|  31  |  NON-REL   |  0.193548387097 |  0.6   |
|  32  |  NON-REL   |      0.1875     |  0.6   |
|  33  |  NON-REL   |  0.181818181818 |  0.6   |
|  34  |  NON-REL   |  0.176470588235 |  0.6   |
|  35  |  NON-REL   |  0.171428571429 |  0.6   |
|  36  |  NON-REL   |  0.166666666667 |  0.6   |
|  37  |  NON-REL   |  0.162162162162 |  0.6   |
|  38  |  NON-REL   |  0.157894736842 |  0.6   |
|  39  |  NON-REL   |  0.153846153846 |  0.6   |
|  40  |  NON-REL   |       0.15      |  0.6   |
|  41  |    REL     |  0.170731707317 |  0.7   |
|  42  |  NON-REL   |  0.166666666667 |  0.7   |
|  43  |  NON-REL   |  0.162790697674 |  0.7   |
|  44  |  NON-REL   |  0.159090909091 |  0.7   |
|  45  |  NON-REL   |  0.155555555556 |  0.7   |
|  46  |  NON-REL   |  0.152173913043 |  0.7   |
|  47  |  NON-REL   |  0.148936170213 |  0.7   |
|  48  |  NON-REL   |  0.145833333333 |  0.7   |
|  49  |  NON-REL   |  0.142857142857 |  0.7   |
|  50  |  NON-REL   |       0.14      |  0.7   |
|  51  |  NON-REL   |  0.137254901961 |  0.7   |
|  52  |  NON-REL   |  0.134615384615 |  0.7   |
|  53  |  NON-REL   |  0.132075471698 |  0.7   |
|  54  |  NON-REL   |  0.12962962963  |  0.7   |
|  55  |  NON-REL   |  0.127272727273 |  0.7   |
|  56  |  NON-REL   |      0.125      |  0.7   |
|  57  |  NON-REL   |  0.122807017544 |  0.7   |
|  58  |  NON-REL   |  0.120689655172 |  0.7   |
|  59  |  NON-REL   |  0.118644067797 |  0.7   |
|  60  |  NON-REL   |  0.116666666667 |  0.7   |
|  61  |  NON-REL   |  0.114754098361 |  0.7   |
|  62  |  NON-REL   |  0.112903225806 |  0.7   |
|  63  |  NON-REL   |  0.111111111111 |  0.7   |
|  64  |  NON-REL   |     0.109375    |  0.7   |
|  65  |  NON-REL   |  0.107692307692 |  0.7   |
|  66  |  NON-REL   |  0.106060606061 |  0.7   |
|  67  |  NON-REL   |  0.10447761194  |  0.7   |
|  68  |  NON-REL   |  0.102941176471 |  0.7   |
