query_42: mputer performance evaluation techniques pattern recognition clustering la
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |    REL     |       0.1       |  0.047619047619 |
|  11  |  NON-REL   | 0.0909090909091 |  0.047619047619 |
|  12  |  NON-REL   | 0.0833333333333 |  0.047619047619 |
|  13  |  NON-REL   | 0.0769230769231 |  0.047619047619 |
|  14  |  NON-REL   | 0.0714285714286 |  0.047619047619 |
|  15  |  NON-REL   | 0.0666666666667 |  0.047619047619 |
|  16  |    REL     |      0.125      | 0.0952380952381 |
|  17  |  NON-REL   |  0.117647058824 | 0.0952380952381 |
|  18  |    REL     |  0.166666666667 |  0.142857142857 |
|  19  |  NON-REL   |  0.157894736842 |  0.142857142857 |
|  20  |  NON-REL   |       0.15      |  0.142857142857 |
|  21  |  NON-REL   |  0.142857142857 |  0.142857142857 |
|  22  |  NON-REL   |  0.136363636364 |  0.142857142857 |
|  23  |  NON-REL   |  0.130434782609 |  0.142857142857 |
|  24  |  NON-REL   |      0.125      |  0.142857142857 |
|  25  |  NON-REL   |       0.12      |  0.142857142857 |
|  26  |    REL     |  0.153846153846 |  0.190476190476 |
|  27  |  NON-REL   |  0.148148148148 |  0.190476190476 |
|  28  |  NON-REL   |  0.142857142857 |  0.190476190476 |
|  29  |  NON-REL   |  0.137931034483 |  0.190476190476 |
|  30  |    REL     |  0.166666666667 |  0.238095238095 |
|  31  |  NON-REL   |  0.161290322581 |  0.238095238095 |
|  32  |  NON-REL   |     0.15625     |  0.238095238095 |
|  33  |    REL     |  0.181818181818 |  0.285714285714 |
|  34  |  NON-REL   |  0.176470588235 |  0.285714285714 |
|  35  |  NON-REL   |  0.171428571429 |  0.285714285714 |
|  36  |  NON-REL   |  0.166666666667 |  0.285714285714 |
|  37  |  NON-REL   |  0.162162162162 |  0.285714285714 |
|  38  |    REL     |  0.184210526316 |  0.333333333333 |
|  39  |  NON-REL   |  0.179487179487 |  0.333333333333 |
|  40  |  NON-REL   |      0.175      |  0.333333333333 |
|  41  |  NON-REL   |  0.170731707317 |  0.333333333333 |
|  42  |  NON-REL   |  0.166666666667 |  0.333333333333 |
|  43  |  NON-REL   |  0.162790697674 |  0.333333333333 |
|  44  |  NON-REL   |  0.159090909091 |  0.333333333333 |
|  45  |  NON-REL   |  0.155555555556 |  0.333333333333 |
|  46  |  NON-REL   |  0.152173913043 |  0.333333333333 |
|  47  |  NON-REL   |  0.148936170213 |  0.333333333333 |
|  48  |  NON-REL   |  0.145833333333 |  0.333333333333 |
|  49  |  NON-REL   |  0.142857142857 |  0.333333333333 |
|  50  |    REL     |       0.16      |  0.380952380952 |
|  51  |  NON-REL   |  0.156862745098 |  0.380952380952 |
|  52  |  NON-REL   |  0.153846153846 |  0.380952380952 |
|  53  |  NON-REL   |  0.150943396226 |  0.380952380952 |
|  54  |  NON-REL   |  0.148148148148 |  0.380952380952 |
|  55  |  NON-REL   |  0.145454545455 |  0.380952380952 |
|  56  |  NON-REL   |  0.142857142857 |  0.380952380952 |
|  57  |  NON-REL   |  0.140350877193 |  0.380952380952 |
|  58  |  NON-REL   |  0.137931034483 |  0.380952380952 |
|  59  |  NON-REL   |  0.135593220339 |  0.380952380952 |
|  60  |  NON-REL   |  0.133333333333 |  0.380952380952 |
|  61  |  NON-REL   |  0.131147540984 |  0.380952380952 |
|  62  |  NON-REL   |  0.129032258065 |  0.380952380952 |
|  63  |  NON-REL   |  0.126984126984 |  0.380952380952 |
|  64  |  NON-REL   |      0.125      |  0.380952380952 |
|  65  |  NON-REL   |  0.123076923077 |  0.380952380952 |
|  66  |  NON-REL   |  0.121212121212 |  0.380952380952 |
|  67  |  NON-REL   |  0.119402985075 |  0.380952380952 |
|  68  |  NON-REL   |  0.117647058824 |  0.380952380952 |
|  69  |  NON-REL   |  0.115942028986 |  0.380952380952 |
|  70  |  NON-REL   |  0.114285714286 |  0.380952380952 |
|  71  |  NON-REL   |  0.112676056338 |  0.380952380952 |
|  72  |  NON-REL   |  0.111111111111 |  0.380952380952 |
|  73  |  NON-REL   |  0.109589041096 |  0.380952380952 |
|  74  |  NON-REL   |  0.108108108108 |  0.380952380952 |
|  75  |    REL     |       0.12      |  0.428571428571 |
|  76  |  NON-REL   |  0.118421052632 |  0.428571428571 |
|  77  |  NON-REL   |  0.116883116883 |  0.428571428571 |
|  78  |  NON-REL   |  0.115384615385 |  0.428571428571 |
|  79  |  NON-REL   |  0.113924050633 |  0.428571428571 |
|  80  |  NON-REL   |      0.1125     |  0.428571428571 |
|  81  |  NON-REL   |  0.111111111111 |  0.428571428571 |
|  82  |  NON-REL   |  0.109756097561 |  0.428571428571 |
|  83  |  NON-REL   |  0.10843373494  |  0.428571428571 |
|  84  |  NON-REL   |  0.107142857143 |  0.428571428571 |
|  85  |  NON-REL   |  0.105882352941 |  0.428571428571 |
|  86  |  NON-REL   |  0.104651162791 |  0.428571428571 |
|  87  |  NON-REL   |  0.103448275862 |  0.428571428571 |
|  88  |  NON-REL   |  0.102272727273 |  0.428571428571 |
|  89  |  NON-REL   |  0.101123595506 |  0.428571428571 |
|  90  |  NON-REL   |       0.1       |  0.428571428571 |
|  91  |    REL     |  0.10989010989  |  0.47619047619  |
|  92  |  NON-REL   |  0.108695652174 |  0.47619047619  |
|  93  |  NON-REL   |  0.10752688172  |  0.47619047619  |
|  94  |  NON-REL   |  0.106382978723 |  0.47619047619  |
|  95  |  NON-REL   |  0.105263157895 |  0.47619047619  |
|  96  |  NON-REL   |  0.104166666667 |  0.47619047619  |
|  97  |  NON-REL   |  0.103092783505 |  0.47619047619  |
|  98  |  NON-REL   |  0.102040816327 |  0.47619047619  |
|  99  |  NON-REL   |  0.10101010101  |  0.47619047619  |
| 100  |  NON-REL   |       0.1       |  0.47619047619  |
+------+------------+-----------------+-----------------+
