query_43: alysis perception shape humans computers shape descriptions shape recognition computer two-dimensional shapes measures circularity shape matching
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |  NON-REL   |      0.0       |       0.0       |
|  3   |  NON-REL   |      0.0       |       0.0       |
|  4   |    REL     |      0.25      | 0.0243902439024 |
|  5   |  NON-REL   |      0.2       | 0.0243902439024 |
|  6   |  NON-REL   | 0.166666666667 | 0.0243902439024 |
|  7   |  NON-REL   | 0.142857142857 | 0.0243902439024 |
|  8   |    REL     |      0.25      | 0.0487804878049 |
|  9   |    REL     | 0.333333333333 | 0.0731707317073 |
|  10  |    REL     |      0.4       | 0.0975609756098 |
|  11  |  NON-REL   | 0.363636363636 | 0.0975609756098 |
|  12  |  NON-REL   | 0.333333333333 | 0.0975609756098 |
|  13  |    REL     | 0.384615384615 |  0.121951219512 |
|  14  |  NON-REL   | 0.357142857143 |  0.121951219512 |
|  15  |  NON-REL   | 0.333333333333 |  0.121951219512 |
|  16  |    REL     |     0.375      |  0.146341463415 |
|  17  |  NON-REL   | 0.352941176471 |  0.146341463415 |
|  18  |  NON-REL   | 0.333333333333 |  0.146341463415 |
|  19  |  NON-REL   | 0.315789473684 |  0.146341463415 |
|  20  |  NON-REL   |      0.3       |  0.146341463415 |
|  21  |  NON-REL   | 0.285714285714 |  0.146341463415 |
|  22  |  NON-REL   | 0.272727272727 |  0.146341463415 |
|  23  |  NON-REL   | 0.260869565217 |  0.146341463415 |
|  24  |    REL     | 0.291666666667 |  0.170731707317 |
|  25  |  NON-REL   |      0.28      |  0.170731707317 |
|  26  |  NON-REL   | 0.269230769231 |  0.170731707317 |
|  27  |  NON-REL   | 0.259259259259 |  0.170731707317 |
|  28  |  NON-REL   |      0.25      |  0.170731707317 |
|  29  |  NON-REL   | 0.241379310345 |  0.170731707317 |
|  30  |    REL     | 0.266666666667 |  0.19512195122  |
|  31  |  NON-REL   | 0.258064516129 |  0.19512195122  |
|  32  |  NON-REL   |      0.25      |  0.19512195122  |
|  33  |  NON-REL   | 0.242424242424 |  0.19512195122  |
|  34  |  NON-REL   | 0.235294117647 |  0.19512195122  |
|  35  |    REL     | 0.257142857143 |  0.219512195122 |
|  36  |  NON-REL   |      0.25      |  0.219512195122 |
|  37  |  NON-REL   | 0.243243243243 |  0.219512195122 |
|  38  |  NON-REL   | 0.236842105263 |  0.219512195122 |
|  39  |  NON-REL   | 0.230769230769 |  0.219512195122 |
|  40  |  NON-REL   |     0.225      |  0.219512195122 |
|  41  |  NON-REL   | 0.219512195122 |  0.219512195122 |
|  42  |  NON-REL   | 0.214285714286 |  0.219512195122 |
|  43  |  NON-REL   | 0.209302325581 |  0.219512195122 |
|  44  |  NON-REL   | 0.204545454545 |  0.219512195122 |
|  45  |    REL     | 0.222222222222 |  0.243902439024 |
|  46  |  NON-REL   | 0.217391304348 |  0.243902439024 |
|  47  |    REL     | 0.234042553191 |  0.268292682927 |
|  48  |  NON-REL   | 0.229166666667 |  0.268292682927 |
|  49  |  NON-REL   | 0.224489795918 |  0.268292682927 |
|  50  |  NON-REL   |      0.22      |  0.268292682927 |
|  51  |  NON-REL   | 0.21568627451  |  0.268292682927 |
|  52  |  NON-REL   | 0.211538461538 |  0.268292682927 |
|  53  |  NON-REL   | 0.207547169811 |  0.268292682927 |
|  54  |  NON-REL   | 0.203703703704 |  0.268292682927 |
|  55  |  NON-REL   |      0.2       |  0.268292682927 |
|  56  |  NON-REL   | 0.196428571429 |  0.268292682927 |
|  57  |  NON-REL   | 0.19298245614  |  0.268292682927 |
|  58  |  NON-REL   | 0.189655172414 |  0.268292682927 |
|  59  |  NON-REL   | 0.186440677966 |  0.268292682927 |
|  60  |  NON-REL   | 0.183333333333 |  0.268292682927 |
|  61  |  NON-REL   | 0.180327868852 |  0.268292682927 |
|  62  |  NON-REL   | 0.177419354839 |  0.268292682927 |
|  63  |  NON-REL   | 0.174603174603 |  0.268292682927 |
|  64  |  NON-REL   |    0.171875    |  0.268292682927 |
|  65  |  NON-REL   | 0.169230769231 |  0.268292682927 |
|  66  |  NON-REL   | 0.166666666667 |  0.268292682927 |
|  67  |  NON-REL   | 0.164179104478 |  0.268292682927 |
|  68  |  NON-REL   | 0.161764705882 |  0.268292682927 |
|  69  |  NON-REL   | 0.159420289855 |  0.268292682927 |
|  70  |    REL     | 0.171428571429 |  0.292682926829 |
|  71  |  NON-REL   | 0.169014084507 |  0.292682926829 |
|  72  |    REL     | 0.180555555556 |  0.317073170732 |
|  73  |  NON-REL   | 0.178082191781 |  0.317073170732 |
|  74  |  NON-REL   | 0.175675675676 |  0.317073170732 |
|  75  |  NON-REL   | 0.173333333333 |  0.317073170732 |
|  76  |  NON-REL   | 0.171052631579 |  0.317073170732 |
|  77  |    REL     | 0.181818181818 |  0.341463414634 |
|  78  |  NON-REL   | 0.179487179487 |  0.341463414634 |
|  79  |  NON-REL   | 0.177215189873 |  0.341463414634 |
|  80  |  NON-REL   |     0.175      |  0.341463414634 |
|  81  |  NON-REL   | 0.172839506173 |  0.341463414634 |
|  82  |  NON-REL   | 0.170731707317 |  0.341463414634 |
|  83  |  NON-REL   | 0.168674698795 |  0.341463414634 |
|  84  |  NON-REL   | 0.166666666667 |  0.341463414634 |
|  85  |  NON-REL   | 0.164705882353 |  0.341463414634 |
|  86  |  NON-REL   | 0.162790697674 |  0.341463414634 |
|  87  |  NON-REL   | 0.16091954023  |  0.341463414634 |
|  88  |  NON-REL   | 0.159090909091 |  0.341463414634 |
|  89  |  NON-REL   | 0.157303370787 |  0.341463414634 |
|  90  |  NON-REL   | 0.155555555556 |  0.341463414634 |
|  91  |  NON-REL   | 0.153846153846 |  0.341463414634 |
|  92  |  NON-REL   | 0.152173913043 |  0.341463414634 |
|  93  |  NON-REL   | 0.150537634409 |  0.341463414634 |
|  94  |  NON-REL   | 0.148936170213 |  0.341463414634 |
|  95  |  NON-REL   | 0.147368421053 |  0.341463414634 |
|  96  |  NON-REL   | 0.145833333333 |  0.341463414634 |
|  97  |  NON-REL   | 0.144329896907 |  0.341463414634 |
|  98  |  NON-REL   | 0.142857142857 |  0.341463414634 |
|  99  |  NON-REL   | 0.141414141414 |  0.341463414634 |
| 100  |  NON-REL   |      0.14      |  0.341463414634 |
+------+------------+----------------+-----------------+
