query_45: erations research models optimize information system performance includes fine tuning decisions secondary index selection reorganization distributed databases
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |    REL     |      0.5       | 0.0384615384615 |
|  3   |    REL     | 0.666666666667 | 0.0769230769231 |
|  4   |    REL     |      0.75      |  0.115384615385 |
|  5   |  NON-REL   |      0.6       |  0.115384615385 |
|  6   |    REL     | 0.666666666667 |  0.153846153846 |
|  7   |    REL     | 0.714285714286 |  0.192307692308 |
|  8   |  NON-REL   |     0.625      |  0.192307692308 |
|  9   |  NON-REL   | 0.555555555556 |  0.192307692308 |
|  10  |  NON-REL   |      0.5       |  0.192307692308 |
|  11  |  NON-REL   | 0.454545454545 |  0.192307692308 |
|  12  |  NON-REL   | 0.416666666667 |  0.192307692308 |
|  13  |    REL     | 0.461538461538 |  0.230769230769 |
|  14  |  NON-REL   | 0.428571428571 |  0.230769230769 |
|  15  |  NON-REL   |      0.4       |  0.230769230769 |
|  16  |  NON-REL   |     0.375      |  0.230769230769 |
|  17  |  NON-REL   | 0.352941176471 |  0.230769230769 |
|  18  |    REL     | 0.388888888889 |  0.269230769231 |
|  19  |  NON-REL   | 0.368421052632 |  0.269230769231 |
|  20  |  NON-REL   |      0.35      |  0.269230769231 |
|  21  |  NON-REL   | 0.333333333333 |  0.269230769231 |
|  22  |  NON-REL   | 0.318181818182 |  0.269230769231 |
|  23  |  NON-REL   | 0.304347826087 |  0.269230769231 |
|  24  |  NON-REL   | 0.291666666667 |  0.269230769231 |
|  25  |  NON-REL   |      0.28      |  0.269230769231 |
|  26  |  NON-REL   | 0.269230769231 |  0.269230769231 |
|  27  |  NON-REL   | 0.259259259259 |  0.269230769231 |
|  28  |  NON-REL   |      0.25      |  0.269230769231 |
|  29  |  NON-REL   | 0.241379310345 |  0.269230769231 |
|  30  |  NON-REL   | 0.233333333333 |  0.269230769231 |
|  31  |  NON-REL   | 0.225806451613 |  0.269230769231 |
|  32  |  NON-REL   |    0.21875     |  0.269230769231 |
|  33  |  NON-REL   | 0.212121212121 |  0.269230769231 |
|  34  |  NON-REL   | 0.205882352941 |  0.269230769231 |
|  35  |  NON-REL   |      0.2       |  0.269230769231 |
|  36  |  NON-REL   | 0.194444444444 |  0.269230769231 |
|  37  |  NON-REL   | 0.189189189189 |  0.269230769231 |
|  38  |  NON-REL   | 0.184210526316 |  0.269230769231 |
|  39  |    REL     | 0.205128205128 |  0.307692307692 |
|  40  |    REL     |     0.225      |  0.346153846154 |
|  41  |  NON-REL   | 0.219512195122 |  0.346153846154 |
|  42  |  NON-REL   | 0.214285714286 |  0.346153846154 |
|  43  |  NON-REL   | 0.209302325581 |  0.346153846154 |
|  44  |  NON-REL   | 0.204545454545 |  0.346153846154 |
|  45  |  NON-REL   |      0.2       |  0.346153846154 |
|  46  |  NON-REL   | 0.195652173913 |  0.346153846154 |
|  47  |    REL     | 0.212765957447 |  0.384615384615 |
|  48  |  NON-REL   | 0.208333333333 |  0.384615384615 |
|  49  |  NON-REL   | 0.204081632653 |  0.384615384615 |
|  50  |  NON-REL   |      0.2       |  0.384615384615 |
|  51  |    REL     | 0.21568627451  |  0.423076923077 |
|  52  |  NON-REL   | 0.211538461538 |  0.423076923077 |
|  53  |    REL     | 0.22641509434  |  0.461538461538 |
|  54  |  NON-REL   | 0.222222222222 |  0.461538461538 |
|  55  |    REL     | 0.236363636364 |       0.5       |
|  56  |    REL     |      0.25      |  0.538461538462 |
|  57  |  NON-REL   | 0.245614035088 |  0.538461538462 |
|  58  |  NON-REL   | 0.241379310345 |  0.538461538462 |
|  59  |  NON-REL   | 0.237288135593 |  0.538461538462 |
|  60  |  NON-REL   | 0.233333333333 |  0.538461538462 |
|  61  |  NON-REL   | 0.229508196721 |  0.538461538462 |
|  62  |  NON-REL   | 0.225806451613 |  0.538461538462 |
|  63  |  NON-REL   | 0.222222222222 |  0.538461538462 |
|  64  |  NON-REL   |    0.21875     |  0.538461538462 |
|  65  |    REL     | 0.230769230769 |  0.576923076923 |
|  66  |  NON-REL   | 0.227272727273 |  0.576923076923 |
|  67  |  NON-REL   | 0.223880597015 |  0.576923076923 |
|  68  |  NON-REL   | 0.220588235294 |  0.576923076923 |
|  69  |  NON-REL   | 0.217391304348 |  0.576923076923 |
|  70  |  NON-REL   | 0.214285714286 |  0.576923076923 |
|  71  |  NON-REL   | 0.211267605634 |  0.576923076923 |
|  72  |  NON-REL   | 0.208333333333 |  0.576923076923 |
|  73  |  NON-REL   | 0.205479452055 |  0.576923076923 |
|  74  |  NON-REL   | 0.202702702703 |  0.576923076923 |
|  75  |  NON-REL   |      0.2       |  0.576923076923 |
|  76  |  NON-REL   | 0.197368421053 |  0.576923076923 |
|  77  |  NON-REL   | 0.194805194805 |  0.576923076923 |
|  78  |  NON-REL   | 0.192307692308 |  0.576923076923 |
|  79  |  NON-REL   | 0.189873417722 |  0.576923076923 |
|  80  |  NON-REL   |     0.1875     |  0.576923076923 |
|  81  |  NON-REL   | 0.185185185185 |  0.576923076923 |
|  82  |  NON-REL   | 0.182926829268 |  0.576923076923 |
|  83  |  NON-REL   | 0.180722891566 |  0.576923076923 |
|  84  |  NON-REL   | 0.178571428571 |  0.576923076923 |
|  85  |  NON-REL   | 0.176470588235 |  0.576923076923 |
|  86  |  NON-REL   | 0.174418604651 |  0.576923076923 |
|  87  |  NON-REL   | 0.172413793103 |  0.576923076923 |
|  88  |  NON-REL   | 0.170454545455 |  0.576923076923 |
|  89  |  NON-REL   | 0.168539325843 |  0.576923076923 |
|  90  |  NON-REL   | 0.166666666667 |  0.576923076923 |
|  91  |  NON-REL   | 0.164835164835 |  0.576923076923 |
|  92  |  NON-REL   | 0.163043478261 |  0.576923076923 |
|  93  |  NON-REL   | 0.161290322581 |  0.576923076923 |
|  94  |  NON-REL   | 0.159574468085 |  0.576923076923 |
|  95  |  NON-REL   | 0.157894736842 |  0.576923076923 |
|  96  |  NON-REL   |    0.15625     |  0.576923076923 |
|  97  |  NON-REL   | 0.154639175258 |  0.576923076923 |
|  98  |  NON-REL   | 0.15306122449  |  0.576923076923 |
|  99  |  NON-REL   | 0.151515151515 |  0.576923076923 |
| 100  |  NON-REL   |      0.15      |  0.576923076923 |
+------+------------+----------------+-----------------+
