query_5: pers design implementation editing interfaces window-managers command interpreters essential issues human interface design views improvements user efficiency effectiveness satisfaction
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       | 0.125  |
|  2   |  NON-REL   |       0.5       | 0.125  |
|  3   |  NON-REL   |  0.333333333333 | 0.125  |
|  4   |  NON-REL   |       0.25      | 0.125  |
|  5   |    REL     |       0.4       |  0.25  |
|  6   |  NON-REL   |  0.333333333333 |  0.25  |
|  7   |  NON-REL   |  0.285714285714 |  0.25  |
|  8   |  NON-REL   |       0.25      |  0.25  |
|  9   |  NON-REL   |  0.222222222222 |  0.25  |
|  10  |  NON-REL   |       0.2       |  0.25  |
|  11  |  NON-REL   |  0.181818181818 |  0.25  |
|  12  |  NON-REL   |  0.166666666667 |  0.25  |
|  13  |  NON-REL   |  0.153846153846 |  0.25  |
|  14  |  NON-REL   |  0.142857142857 |  0.25  |
|  15  |  NON-REL   |  0.133333333333 |  0.25  |
|  16  |  NON-REL   |      0.125      |  0.25  |
|  17  |  NON-REL   |  0.117647058824 |  0.25  |
|  18  |  NON-REL   |  0.111111111111 |  0.25  |
|  19  |  NON-REL   |  0.105263157895 |  0.25  |
|  20  |  NON-REL   |       0.1       |  0.25  |
|  21  |  NON-REL   | 0.0952380952381 |  0.25  |
|  22  |  NON-REL   | 0.0909090909091 |  0.25  |
|  23  |  NON-REL   | 0.0869565217391 |  0.25  |
|  24  |  NON-REL   | 0.0833333333333 |  0.25  |
|  25  |  NON-REL   |       0.08      |  0.25  |
|  26  |  NON-REL   | 0.0769230769231 |  0.25  |
|  27  |    REL     |  0.111111111111 | 0.375  |
|  28  |  NON-REL   |  0.107142857143 | 0.375  |
|  29  |  NON-REL   |  0.103448275862 | 0.375  |
|  30  |  NON-REL   |       0.1       | 0.375  |
|  31  |  NON-REL   | 0.0967741935484 | 0.375  |
|  32  |  NON-REL   |     0.09375     | 0.375  |
|  33  |  NON-REL   | 0.0909090909091 | 0.375  |
|  34  |  NON-REL   | 0.0882352941176 | 0.375  |
|  35  |  NON-REL   | 0.0857142857143 | 0.375  |
|  36  |  NON-REL   | 0.0833333333333 | 0.375  |
|  37  |  NON-REL   | 0.0810810810811 | 0.375  |
