query_58: gorithms statistical packages anova regression squares generalized linear models system design capabilities statistical formula interest student test wilcoxon sign tests multivariate univariate components included
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |  NON-REL   |      0.0       |       0.0       |
|  3   |    REL     | 0.333333333333 | 0.0333333333333 |
|  4   |    REL     |      0.5       | 0.0666666666667 |
|  5   |    REL     |      0.6       |       0.1       |
|  6   |    REL     | 0.666666666667 |  0.133333333333 |
|  7   |  NON-REL   | 0.571428571429 |  0.133333333333 |
|  8   |  NON-REL   |      0.5       |  0.133333333333 |
|  9   |  NON-REL   | 0.444444444444 |  0.133333333333 |
|  10  |  NON-REL   |      0.4       |  0.133333333333 |
|  11  |    REL     | 0.454545454545 |  0.166666666667 |
|  12  |  NON-REL   | 0.416666666667 |  0.166666666667 |
|  13  |  NON-REL   | 0.384615384615 |  0.166666666667 |
|  14  |  NON-REL   | 0.357142857143 |  0.166666666667 |
|  15  |  NON-REL   | 0.333333333333 |  0.166666666667 |
|  16  |  NON-REL   |     0.3125     |  0.166666666667 |
|  17  |  NON-REL   | 0.294117647059 |  0.166666666667 |
|  18  |  NON-REL   | 0.277777777778 |  0.166666666667 |
|  19  |  NON-REL   | 0.263157894737 |  0.166666666667 |
|  20  |  NON-REL   |      0.25      |  0.166666666667 |
|  21  |  NON-REL   | 0.238095238095 |  0.166666666667 |
|  22  |  NON-REL   | 0.227272727273 |  0.166666666667 |
|  23  |  NON-REL   | 0.217391304348 |  0.166666666667 |
|  24  |  NON-REL   | 0.208333333333 |  0.166666666667 |
|  25  |  NON-REL   |      0.2       |  0.166666666667 |
|  26  |    REL     | 0.230769230769 |       0.2       |
|  27  |  NON-REL   | 0.222222222222 |       0.2       |
|  28  |  NON-REL   | 0.214285714286 |       0.2       |
|  29  |    REL     | 0.241379310345 |  0.233333333333 |
|  30  |  NON-REL   | 0.233333333333 |  0.233333333333 |
|  31  |  NON-REL   | 0.225806451613 |  0.233333333333 |
|  32  |  NON-REL   |    0.21875     |  0.233333333333 |
|  33  |  NON-REL   | 0.212121212121 |  0.233333333333 |
|  34  |  NON-REL   | 0.205882352941 |  0.233333333333 |
|  35  |  NON-REL   |      0.2       |  0.233333333333 |
|  36  |  NON-REL   | 0.194444444444 |  0.233333333333 |
|  37  |  NON-REL   | 0.189189189189 |  0.233333333333 |
|  38  |  NON-REL   | 0.184210526316 |  0.233333333333 |
|  39  |  NON-REL   | 0.179487179487 |  0.233333333333 |
|  40  |  NON-REL   |     0.175      |  0.233333333333 |
|  41  |  NON-REL   | 0.170731707317 |  0.233333333333 |
|  42  |  NON-REL   | 0.166666666667 |  0.233333333333 |
|  43  |  NON-REL   | 0.162790697674 |  0.233333333333 |
|  44  |  NON-REL   | 0.159090909091 |  0.233333333333 |
|  45  |  NON-REL   | 0.155555555556 |  0.233333333333 |
|  46  |  NON-REL   | 0.152173913043 |  0.233333333333 |
|  47  |  NON-REL   | 0.148936170213 |  0.233333333333 |
|  48  |  NON-REL   | 0.145833333333 |  0.233333333333 |
|  49  |  NON-REL   | 0.142857142857 |  0.233333333333 |
|  50  |  NON-REL   |      0.14      |  0.233333333333 |
|  51  |  NON-REL   | 0.137254901961 |  0.233333333333 |
|  52  |  NON-REL   | 0.134615384615 |  0.233333333333 |
|  53  |  NON-REL   | 0.132075471698 |  0.233333333333 |
|  54  |    REL     | 0.148148148148 |  0.266666666667 |
|  55  |  NON-REL   | 0.145454545455 |  0.266666666667 |
|  56  |  NON-REL   | 0.142857142857 |  0.266666666667 |
|  57  |  NON-REL   | 0.140350877193 |  0.266666666667 |
|  58  |  NON-REL   | 0.137931034483 |  0.266666666667 |
|  59  |  NON-REL   | 0.135593220339 |  0.266666666667 |
|  60  |  NON-REL   | 0.133333333333 |  0.266666666667 |
|  61  |  NON-REL   | 0.131147540984 |  0.266666666667 |
|  62  |    REL     | 0.145161290323 |       0.3       |
|  63  |  NON-REL   | 0.142857142857 |       0.3       |
|  64  |  NON-REL   |    0.140625    |       0.3       |
|  65  |  NON-REL   | 0.138461538462 |       0.3       |
|  66  |  NON-REL   | 0.136363636364 |       0.3       |
|  67  |  NON-REL   | 0.134328358209 |       0.3       |
|  68  |  NON-REL   | 0.132352941176 |       0.3       |
|  69  |  NON-REL   | 0.130434782609 |       0.3       |
|  70  |  NON-REL   | 0.128571428571 |       0.3       |
|  71  |  NON-REL   | 0.12676056338  |       0.3       |
|  72  |  NON-REL   |     0.125      |       0.3       |
|  73  |  NON-REL   | 0.123287671233 |       0.3       |
|  74  |  NON-REL   | 0.121621621622 |       0.3       |
|  75  |  NON-REL   |      0.12      |       0.3       |
|  76  |  NON-REL   | 0.118421052632 |       0.3       |
|  77  |  NON-REL   | 0.116883116883 |       0.3       |
|  78  |  NON-REL   | 0.115384615385 |       0.3       |
|  79  |  NON-REL   | 0.113924050633 |       0.3       |
|  80  |  NON-REL   |     0.1125     |       0.3       |
|  81  |  NON-REL   | 0.111111111111 |       0.3       |
|  82  |  NON-REL   | 0.109756097561 |       0.3       |
|  83  |  NON-REL   | 0.10843373494  |       0.3       |
|  84  |    REL     | 0.119047619048 |  0.333333333333 |
|  85  |  NON-REL   | 0.117647058824 |  0.333333333333 |
|  86  |  NON-REL   | 0.116279069767 |  0.333333333333 |
|  87  |  NON-REL   | 0.114942528736 |  0.333333333333 |
|  88  |  NON-REL   | 0.113636363636 |  0.333333333333 |
|  89  |  NON-REL   | 0.112359550562 |  0.333333333333 |
|  90  |  NON-REL   | 0.111111111111 |  0.333333333333 |
|  91  |  NON-REL   | 0.10989010989  |  0.333333333333 |
|  92  |  NON-REL   | 0.108695652174 |  0.333333333333 |
|  93  |  NON-REL   | 0.10752688172  |  0.333333333333 |
|  94  |  NON-REL   | 0.106382978723 |  0.333333333333 |
|  95  |  NON-REL   | 0.105263157895 |  0.333333333333 |
|  96  |  NON-REL   | 0.104166666667 |  0.333333333333 |
|  97  |  NON-REL   | 0.103092783505 |  0.333333333333 |
|  98  |  NON-REL   | 0.102040816327 |  0.333333333333 |
|  99  |  NON-REL   | 0.10101010101  |  0.333333333333 |
| 100  |  NON-REL   |      0.1       |  0.333333333333 |
+------+------------+----------------+-----------------+
