query_1: ticles exist deal tss time sharing system  operating system ibm computers
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |    REL     |       0.2       |  0.2   |
|  6   |    REL     |  0.333333333333 |  0.4   |
|  7   |  NON-REL   |  0.285714285714 |  0.4   |
|  8   |  NON-REL   |       0.25      |  0.4   |
|  9   |  NON-REL   |  0.222222222222 |  0.4   |
|  10  |  NON-REL   |       0.2       |  0.4   |
|  11  |  NON-REL   |  0.181818181818 |  0.4   |
|  12  |  NON-REL   |  0.166666666667 |  0.4   |
|  13  |  NON-REL   |  0.153846153846 |  0.4   |
|  14  |  NON-REL   |  0.142857142857 |  0.4   |
|  15  |  NON-REL   |  0.133333333333 |  0.4   |
|  16  |  NON-REL   |      0.125      |  0.4   |
|  17  |  NON-REL   |  0.117647058824 |  0.4   |
|  18  |  NON-REL   |  0.111111111111 |  0.4   |
|  19  |  NON-REL   |  0.105263157895 |  0.4   |
|  20  |  NON-REL   |       0.1       |  0.4   |
|  21  |  NON-REL   | 0.0952380952381 |  0.4   |
|  22  |  NON-REL   | 0.0909090909091 |  0.4   |
|  23  |  NON-REL   | 0.0869565217391 |  0.4   |
|  24  |  NON-REL   | 0.0833333333333 |  0.4   |
|  25  |  NON-REL   |       0.08      |  0.4   |
|  26  |  NON-REL   | 0.0769230769231 |  0.4   |
|  27  |  NON-REL   | 0.0740740740741 |  0.4   |
|  28  |  NON-REL   | 0.0714285714286 |  0.4   |
|  29  |  NON-REL   | 0.0689655172414 |  0.4   |
|  30  |  NON-REL   | 0.0666666666667 |  0.4   |
|  31  |  NON-REL   | 0.0645161290323 |  0.4   |
|  32  |  NON-REL   |      0.0625     |  0.4   |
|  33  |  NON-REL   | 0.0606060606061 |  0.4   |
|  34  |  NON-REL   | 0.0588235294118 |  0.4   |
|  35  |  NON-REL   | 0.0571428571429 |  0.4   |
|  36  |  NON-REL   | 0.0555555555556 |  0.4   |
|  37  |  NON-REL   | 0.0540540540541 |  0.4   |
|  38  |  NON-REL   | 0.0526315789474 |  0.4   |
|  39  |  NON-REL   | 0.0512820512821 |  0.4   |
|  40  |  NON-REL   |       0.05      |  0.4   |
|  41  |  NON-REL   | 0.0487804878049 |  0.4   |
|  42  |  NON-REL   |  0.047619047619 |  0.4   |
|  43  |  NON-REL   |  0.046511627907 |  0.4   |
|  44  |  NON-REL   | 0.0454545454545 |  0.4   |
|  45  |  NON-REL   | 0.0444444444444 |  0.4   |
|  46  |  NON-REL   | 0.0434782608696 |  0.4   |
|  47  |  NON-REL   | 0.0425531914894 |  0.4   |
|  48  |  NON-REL   | 0.0416666666667 |  0.4   |
|  49  |  NON-REL   | 0.0408163265306 |  0.4   |
|  50  |  NON-REL   |       0.04      |  0.4   |
|  51  |  NON-REL   | 0.0392156862745 |  0.4   |
|  52  |    REL     | 0.0576923076923 |  0.6   |
|  53  |  NON-REL   | 0.0566037735849 |  0.6   |
|  54  |    REL     | 0.0740740740741 |  0.8   |
|  55  |  NON-REL   | 0.0727272727273 |  0.8   |
|  56  |  NON-REL   | 0.0714285714286 |  0.8   |
|  57  |  NON-REL   | 0.0701754385965 |  0.8   |
|  58  |  NON-REL   | 0.0689655172414 |  0.8   |
|  59  |  NON-REL   | 0.0677966101695 |  0.8   |
|  60  |  NON-REL   | 0.0666666666667 |  0.8   |
|  61  |  NON-REL   | 0.0655737704918 |  0.8   |
|  62  |  NON-REL   | 0.0645161290323 |  0.8   |
|  63  |  NON-REL   | 0.0634920634921 |  0.8   |
|  64  |  NON-REL   |      0.0625     |  0.8   |
|  65  |  NON-REL   | 0.0615384615385 |  0.8   |
|  66  |  NON-REL   | 0.0606060606061 |  0.8   |
|  67  |  NON-REL   | 0.0597014925373 |  0.8   |
|  68  |  NON-REL   | 0.0588235294118 |  0.8   |
|  69  |  NON-REL   | 0.0579710144928 |  0.8   |
|  70  |  NON-REL   | 0.0571428571429 |  0.8   |
|  71  |  NON-REL   |  0.056338028169 |  0.8   |
|  72  |  NON-REL   | 0.0555555555556 |  0.8   |
|  73  |  NON-REL   | 0.0547945205479 |  0.8   |
|  74  |  NON-REL   | 0.0540540540541 |  0.8   |
|  75  |  NON-REL   | 0.0533333333333 |  0.8   |
|  76  |  NON-REL   | 0.0526315789474 |  0.8   |
|  77  |  NON-REL   | 0.0519480519481 |  0.8   |
|  78  |  NON-REL   | 0.0512820512821 |  0.8   |
|  79  |  NON-REL   | 0.0506329113924 |  0.8   |
|  80  |  NON-REL   |       0.05      |  0.8   |
|  81  |  NON-REL   | 0.0493827160494 |  0.8   |
|  82  |  NON-REL   | 0.0487804878049 |  0.8   |
|  83  |  NON-REL   | 0.0481927710843 |  0.8   |
|  84  |  NON-REL   |  0.047619047619 |  0.8   |
|  85  |  NON-REL   | 0.0470588235294 |  0.8   |
|  86  |  NON-REL   |  0.046511627907 |  0.8   |
|  87  |  NON-REL   | 0.0459770114943 |  0.8   |
|  88  |  NON-REL   | 0.0454545454545 |  0.8   |
|  89  |  NON-REL   | 0.0449438202247 |  0.8   |
|  90  |  NON-REL   | 0.0444444444444 |  0.8   |
|  91  |  NON-REL   |  0.043956043956 |  0.8   |
|  92  |  NON-REL   | 0.0434782608696 |  0.8   |
|  93  |  NON-REL   | 0.0430107526882 |  0.8   |
|  94  |  NON-REL   | 0.0425531914894 |  0.8   |
|  95  |  NON-REL   | 0.0421052631579 |  0.8   |
|  96  |  NON-REL   | 0.0416666666667 |  0.8   |
|  97  |  NON-REL   | 0.0412371134021 |  0.8   |
|  98  |  NON-REL   | 0.0408163265306 |  0.8   |
|  99  |  NON-REL   |  0.040404040404 |  0.8   |
| 100  |  NON-REL   |       0.04      |  0.8   |
+------+------------+-----------------+--------+
