query_10: rallel languages languages parallel computation
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0285714285714 |
|  2   |  NON-REL   |      0.5       | 0.0285714285714 |
|  3   |  NON-REL   | 0.333333333333 | 0.0285714285714 |
|  4   |  NON-REL   |      0.25      | 0.0285714285714 |
|  5   |  NON-REL   |      0.2       | 0.0285714285714 |
|  6   |  NON-REL   | 0.166666666667 | 0.0285714285714 |
|  7   |  NON-REL   | 0.142857142857 | 0.0285714285714 |
|  8   |  NON-REL   |     0.125      | 0.0285714285714 |
|  9   |  NON-REL   | 0.111111111111 | 0.0285714285714 |
|  10  |    REL     |      0.2       | 0.0571428571429 |
|  11  |  NON-REL   | 0.181818181818 | 0.0571428571429 |
|  12  |  NON-REL   | 0.166666666667 | 0.0571428571429 |
|  13  |  NON-REL   | 0.153846153846 | 0.0571428571429 |
|  14  |  NON-REL   | 0.142857142857 | 0.0571428571429 |
|  15  |  NON-REL   | 0.133333333333 | 0.0571428571429 |
|  16  |  NON-REL   |     0.125      | 0.0571428571429 |
|  17  |  NON-REL   | 0.117647058824 | 0.0571428571429 |
|  18  |  NON-REL   | 0.111111111111 | 0.0571428571429 |
|  19  |    REL     | 0.157894736842 | 0.0857142857143 |
|  20  |  NON-REL   |      0.15      | 0.0857142857143 |
|  21  |  NON-REL   | 0.142857142857 | 0.0857142857143 |
|  22  |  NON-REL   | 0.136363636364 | 0.0857142857143 |
|  23  |  NON-REL   | 0.130434782609 | 0.0857142857143 |
|  24  |    REL     | 0.166666666667 |  0.114285714286 |
|  25  |  NON-REL   |      0.16      |  0.114285714286 |
|  26  |  NON-REL   | 0.153846153846 |  0.114285714286 |
|  27  |    REL     | 0.185185185185 |  0.142857142857 |
|  28  |  NON-REL   | 0.178571428571 |  0.142857142857 |
|  29  |  NON-REL   | 0.172413793103 |  0.142857142857 |
|  30  |    REL     |      0.2       |  0.171428571429 |
|  31  |  NON-REL   | 0.193548387097 |  0.171428571429 |
|  32  |  NON-REL   |     0.1875     |  0.171428571429 |
|  33  |  NON-REL   | 0.181818181818 |  0.171428571429 |
|  34  |  NON-REL   | 0.176470588235 |  0.171428571429 |
|  35  |  NON-REL   | 0.171428571429 |  0.171428571429 |
|  36  |  NON-REL   | 0.166666666667 |  0.171428571429 |
|  37  |  NON-REL   | 0.162162162162 |  0.171428571429 |
|  38  |  NON-REL   | 0.157894736842 |  0.171428571429 |
|  39  |    REL     | 0.179487179487 |       0.2       |
|  40  |  NON-REL   |     0.175      |       0.2       |
|  41  |  NON-REL   | 0.170731707317 |       0.2       |
|  42  |  NON-REL   | 0.166666666667 |       0.2       |
|  43  |  NON-REL   | 0.162790697674 |       0.2       |
|  44  |  NON-REL   | 0.159090909091 |       0.2       |
|  45  |  NON-REL   | 0.155555555556 |       0.2       |
|  46  |  NON-REL   | 0.152173913043 |       0.2       |
|  47  |  NON-REL   | 0.148936170213 |       0.2       |
|  48  |  NON-REL   | 0.145833333333 |       0.2       |
|  49  |  NON-REL   | 0.142857142857 |       0.2       |
|  50  |  NON-REL   |      0.14      |       0.2       |
|  51  |  NON-REL   | 0.137254901961 |       0.2       |
|  52  |  NON-REL   | 0.134615384615 |       0.2       |
|  53  |    REL     | 0.150943396226 |  0.228571428571 |
|  54  |  NON-REL   | 0.148148148148 |  0.228571428571 |
|  55  |  NON-REL   | 0.145454545455 |  0.228571428571 |
|  56  |  NON-REL   | 0.142857142857 |  0.228571428571 |
|  57  |  NON-REL   | 0.140350877193 |  0.228571428571 |
|  58  |  NON-REL   | 0.137931034483 |  0.228571428571 |
|  59  |  NON-REL   | 0.135593220339 |  0.228571428571 |
|  60  |  NON-REL   | 0.133333333333 |  0.228571428571 |
|  61  |  NON-REL   | 0.131147540984 |  0.228571428571 |
|  62  |    REL     | 0.145161290323 |  0.257142857143 |
|  63  |  NON-REL   | 0.142857142857 |  0.257142857143 |
|  64  |  NON-REL   |    0.140625    |  0.257142857143 |
|  65  |  NON-REL   | 0.138461538462 |  0.257142857143 |
|  66  |  NON-REL   | 0.136363636364 |  0.257142857143 |
|  67  |  NON-REL   | 0.134328358209 |  0.257142857143 |
|  68  |  NON-REL   | 0.132352941176 |  0.257142857143 |
|  69  |  NON-REL   | 0.130434782609 |  0.257142857143 |
|  70  |  NON-REL   | 0.128571428571 |  0.257142857143 |
|  71  |  NON-REL   | 0.12676056338  |  0.257142857143 |
|  72  |  NON-REL   |     0.125      |  0.257142857143 |
|  73  |  NON-REL   | 0.123287671233 |  0.257142857143 |
|  74  |  NON-REL   | 0.121621621622 |  0.257142857143 |
|  75  |  NON-REL   |      0.12      |  0.257142857143 |
|  76  |  NON-REL   | 0.118421052632 |  0.257142857143 |
|  77  |  NON-REL   | 0.116883116883 |  0.257142857143 |
