query_13: de optimization space efficiency
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0909090909091 |
|  2   |  NON-REL   |       0.5       | 0.0909090909091 |
|  3   |  NON-REL   |  0.333333333333 | 0.0909090909091 |
|  4   |  NON-REL   |       0.25      | 0.0909090909091 |
|  5   |  NON-REL   |       0.2       | 0.0909090909091 |
|  6   |  NON-REL   |  0.166666666667 | 0.0909090909091 |
|  7   |  NON-REL   |  0.142857142857 | 0.0909090909091 |
|  8   |  NON-REL   |      0.125      | 0.0909090909091 |
|  9   |  NON-REL   |  0.111111111111 | 0.0909090909091 |
|  10  |  NON-REL   |       0.1       | 0.0909090909091 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0909090909091 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0909090909091 |
|  13  |  NON-REL   | 0.0769230769231 | 0.0909090909091 |
|  14  |  NON-REL   | 0.0714285714286 | 0.0909090909091 |
|  15  |  NON-REL   | 0.0666666666667 | 0.0909090909091 |
|  16  |  NON-REL   |      0.0625     | 0.0909090909091 |
|  17  |  NON-REL   | 0.0588235294118 | 0.0909090909091 |
|  18  |  NON-REL   | 0.0555555555556 | 0.0909090909091 |
|  19  |  NON-REL   | 0.0526315789474 | 0.0909090909091 |
|  20  |  NON-REL   |       0.05      | 0.0909090909091 |
|  21  |  NON-REL   |  0.047619047619 | 0.0909090909091 |
|  22  |  NON-REL   | 0.0454545454545 | 0.0909090909091 |
|  23  |  NON-REL   | 0.0434782608696 | 0.0909090909091 |
|  24  |  NON-REL   | 0.0416666666667 | 0.0909090909091 |
|  25  |  NON-REL   |       0.04      | 0.0909090909091 |
|  26  |  NON-REL   | 0.0384615384615 | 0.0909090909091 |
|  27  |  NON-REL   |  0.037037037037 | 0.0909090909091 |
|  28  |  NON-REL   | 0.0357142857143 | 0.0909090909091 |
|  29  |  NON-REL   | 0.0344827586207 | 0.0909090909091 |
|  30  |  NON-REL   | 0.0333333333333 | 0.0909090909091 |
|  31  |  NON-REL   | 0.0322580645161 | 0.0909090909091 |
|  32  |  NON-REL   |     0.03125     | 0.0909090909091 |
|  33  |  NON-REL   |  0.030303030303 | 0.0909090909091 |
|  34  |  NON-REL   | 0.0294117647059 | 0.0909090909091 |
|  35  |  NON-REL   | 0.0285714285714 | 0.0909090909091 |
|  36  |    REL     | 0.0555555555556 |  0.181818181818 |
|  37  |  NON-REL   | 0.0540540540541 |  0.181818181818 |
|  38  |  NON-REL   | 0.0526315789474 |  0.181818181818 |
|  39  |  NON-REL   | 0.0512820512821 |  0.181818181818 |
|  40  |  NON-REL   |       0.05      |  0.181818181818 |
|  41  |  NON-REL   | 0.0487804878049 |  0.181818181818 |
|  42  |  NON-REL   |  0.047619047619 |  0.181818181818 |
|  43  |  NON-REL   |  0.046511627907 |  0.181818181818 |
|  44  |  NON-REL   | 0.0454545454545 |  0.181818181818 |
|  45  |  NON-REL   | 0.0444444444444 |  0.181818181818 |
|  46  |  NON-REL   | 0.0434782608696 |  0.181818181818 |
|  47  |  NON-REL   | 0.0425531914894 |  0.181818181818 |
|  48  |  NON-REL   | 0.0416666666667 |  0.181818181818 |
|  49  |  NON-REL   | 0.0408163265306 |  0.181818181818 |
|  50  |    REL     |       0.06      |  0.272727272727 |
|  51  |  NON-REL   | 0.0588235294118 |  0.272727272727 |
|  52  |  NON-REL   | 0.0576923076923 |  0.272727272727 |
|  53  |  NON-REL   | 0.0566037735849 |  0.272727272727 |
|  54  |  NON-REL   | 0.0555555555556 |  0.272727272727 |
|  55  |  NON-REL   | 0.0545454545455 |  0.272727272727 |
|  56  |  NON-REL   | 0.0535714285714 |  0.272727272727 |
|  57  |    REL     | 0.0701754385965 |  0.363636363636 |
|  58  |  NON-REL   | 0.0689655172414 |  0.363636363636 |
|  59  |  NON-REL   | 0.0677966101695 |  0.363636363636 |
|  60  |  NON-REL   | 0.0666666666667 |  0.363636363636 |
|  61  |  NON-REL   | 0.0655737704918 |  0.363636363636 |
|  62  |  NON-REL   | 0.0645161290323 |  0.363636363636 |
|  63  |  NON-REL   | 0.0634920634921 |  0.363636363636 |
|  64  |    REL     |     0.078125    |  0.454545454545 |
|  65  |  NON-REL   | 0.0769230769231 |  0.454545454545 |
|  66  |  NON-REL   | 0.0757575757576 |  0.454545454545 |
|  67  |  NON-REL   | 0.0746268656716 |  0.454545454545 |
|  68  |  NON-REL   | 0.0735294117647 |  0.454545454545 |
|  69  |    REL     | 0.0869565217391 |  0.545454545455 |
|  70  |  NON-REL   | 0.0857142857143 |  0.545454545455 |
|  71  |  NON-REL   | 0.0845070422535 |  0.545454545455 |
|  72  |  NON-REL   | 0.0833333333333 |  0.545454545455 |
|  73  |  NON-REL   | 0.0821917808219 |  0.545454545455 |
|  74  |  NON-REL   | 0.0810810810811 |  0.545454545455 |
|  75  |  NON-REL   |       0.08      |  0.545454545455 |
|  76  |  NON-REL   | 0.0789473684211 |  0.545454545455 |
|  77  |  NON-REL   | 0.0779220779221 |  0.545454545455 |
|  78  |  NON-REL   | 0.0769230769231 |  0.545454545455 |
|  79  |  NON-REL   | 0.0759493670886 |  0.545454545455 |
|  80  |  NON-REL   |      0.075      |  0.545454545455 |
|  81  |  NON-REL   | 0.0740740740741 |  0.545454545455 |
|  82  |  NON-REL   | 0.0731707317073 |  0.545454545455 |
|  83  |  NON-REL   | 0.0722891566265 |  0.545454545455 |
|  84  |  NON-REL   | 0.0714285714286 |  0.545454545455 |
|  85  |  NON-REL   | 0.0705882352941 |  0.545454545455 |
|  86  |  NON-REL   | 0.0697674418605 |  0.545454545455 |
|  87  |  NON-REL   | 0.0689655172414 |  0.545454545455 |
|  88  |  NON-REL   | 0.0681818181818 |  0.545454545455 |
|  89  |  NON-REL   | 0.0674157303371 |  0.545454545455 |
|  90  |  NON-REL   | 0.0666666666667 |  0.545454545455 |
|  91  |  NON-REL   | 0.0659340659341 |  0.545454545455 |
|  92  |  NON-REL   | 0.0652173913043 |  0.545454545455 |
|  93  |  NON-REL   | 0.0645161290323 |  0.545454545455 |
|  94  |  NON-REL   |  0.063829787234 |  0.545454545455 |
|  95  |  NON-REL   | 0.0631578947368 |  0.545454545455 |
|  96  |  NON-REL   |      0.0625     |  0.545454545455 |
|  97  |  NON-REL   | 0.0618556701031 |  0.545454545455 |
|  98  |  NON-REL   | 0.0612244897959 |  0.545454545455 |
|  99  |  NON-REL   | 0.0606060606061 |  0.545454545455 |
| 100  |  NON-REL   |       0.06      |  0.545454545455 |
+------+------------+-----------------+-----------------+
