query_17: timization intermediate machine code
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       | 0.0625 |
|  2   |  NON-REL   |       0.5       | 0.0625 |
|  3   |    REL     |  0.666666666667 | 0.125  |
|  4   |  NON-REL   |       0.5       | 0.125  |
|  5   |  NON-REL   |       0.4       | 0.125  |
|  6   |  NON-REL   |  0.333333333333 | 0.125  |
|  7   |    REL     |  0.428571428571 | 0.1875 |
|  8   |  NON-REL   |      0.375      | 0.1875 |
|  9   |  NON-REL   |  0.333333333333 | 0.1875 |
|  10  |  NON-REL   |       0.3       | 0.1875 |
|  11  |  NON-REL   |  0.272727272727 | 0.1875 |
|  12  |  NON-REL   |       0.25      | 0.1875 |
|  13  |  NON-REL   |  0.230769230769 | 0.1875 |
|  14  |  NON-REL   |  0.214285714286 | 0.1875 |
|  15  |  NON-REL   |       0.2       | 0.1875 |
|  16  |  NON-REL   |      0.1875     | 0.1875 |
|  17  |  NON-REL   |  0.176470588235 | 0.1875 |
|  18  |  NON-REL   |  0.166666666667 | 0.1875 |
|  19  |  NON-REL   |  0.157894736842 | 0.1875 |
|  20  |  NON-REL   |       0.15      | 0.1875 |
|  21  |  NON-REL   |  0.142857142857 | 0.1875 |
|  22  |  NON-REL   |  0.136363636364 | 0.1875 |
|  23  |  NON-REL   |  0.130434782609 | 0.1875 |
|  24  |  NON-REL   |      0.125      | 0.1875 |
|  25  |  NON-REL   |       0.12      | 0.1875 |
|  26  |  NON-REL   |  0.115384615385 | 0.1875 |
|  27  |  NON-REL   |  0.111111111111 | 0.1875 |
|  28  |  NON-REL   |  0.107142857143 | 0.1875 |
|  29  |  NON-REL   |  0.103448275862 | 0.1875 |
|  30  |  NON-REL   |       0.1       | 0.1875 |
|  31  |  NON-REL   | 0.0967741935484 | 0.1875 |
|  32  |    REL     |      0.125      |  0.25  |
|  33  |  NON-REL   |  0.121212121212 |  0.25  |
|  34  |  NON-REL   |  0.117647058824 |  0.25  |
|  35  |  NON-REL   |  0.114285714286 |  0.25  |
|  36  |  NON-REL   |  0.111111111111 |  0.25  |
|  37  |  NON-REL   |  0.108108108108 |  0.25  |
|  38  |  NON-REL   |  0.105263157895 |  0.25  |
|  39  |  NON-REL   |  0.102564102564 |  0.25  |
|  40  |  NON-REL   |       0.1       |  0.25  |
|  41  |  NON-REL   | 0.0975609756098 |  0.25  |
|  42  |  NON-REL   | 0.0952380952381 |  0.25  |
|  43  |  NON-REL   |  0.093023255814 |  0.25  |
|  44  |  NON-REL   | 0.0909090909091 |  0.25  |
|  45  |  NON-REL   | 0.0888888888889 |  0.25  |
|  46  |  NON-REL   | 0.0869565217391 |  0.25  |
|  47  |  NON-REL   | 0.0851063829787 |  0.25  |
|  48  |  NON-REL   | 0.0833333333333 |  0.25  |
|  49  |  NON-REL   | 0.0816326530612 |  0.25  |
|  50  |  NON-REL   |       0.08      |  0.25  |
|  51  |  NON-REL   |  0.078431372549 |  0.25  |
|  52  |  NON-REL   | 0.0769230769231 |  0.25  |
|  53  |  NON-REL   | 0.0754716981132 |  0.25  |
|  54  |  NON-REL   | 0.0740740740741 |  0.25  |
|  55  |  NON-REL   | 0.0727272727273 |  0.25  |
|  56  |  NON-REL   | 0.0714285714286 |  0.25  |
|  57  |  NON-REL   | 0.0701754385965 |  0.25  |
|  58  |  NON-REL   | 0.0689655172414 |  0.25  |
|  59  |  NON-REL   | 0.0677966101695 |  0.25  |
|  60  |  NON-REL   | 0.0666666666667 |  0.25  |
|  61  |  NON-REL   | 0.0655737704918 |  0.25  |
|  62  |  NON-REL   | 0.0645161290323 |  0.25  |
|  63  |  NON-REL   | 0.0634920634921 |  0.25  |
|  64  |  NON-REL   |      0.0625     |  0.25  |
|  65  |  NON-REL   | 0.0615384615385 |  0.25  |
|  66  |  NON-REL   | 0.0606060606061 |  0.25  |
|  67  |  NON-REL   | 0.0597014925373 |  0.25  |
|  68  |  NON-REL   | 0.0588235294118 |  0.25  |
|  69  |  NON-REL   | 0.0579710144928 |  0.25  |
|  70  |  NON-REL   | 0.0571428571429 |  0.25  |
|  71  |  NON-REL   |  0.056338028169 |  0.25  |
|  72  |  NON-REL   | 0.0555555555556 |  0.25  |
|  73  |  NON-REL   | 0.0547945205479 |  0.25  |
|  74  |  NON-REL   | 0.0540540540541 |  0.25  |
|  75  |  NON-REL   | 0.0533333333333 |  0.25  |
|  76  |  NON-REL   | 0.0526315789474 |  0.25  |
|  77  |  NON-REL   | 0.0519480519481 |  0.25  |
|  78  |  NON-REL   | 0.0512820512821 |  0.25  |
|  79  |  NON-REL   | 0.0506329113924 |  0.25  |
|  80  |  NON-REL   |       0.05      |  0.25  |
|  81  |  NON-REL   | 0.0493827160494 |  0.25  |
|  82  |  NON-REL   | 0.0487804878049 |  0.25  |
|  83  |  NON-REL   | 0.0481927710843 |  0.25  |
|  84  |  NON-REL   |  0.047619047619 |  0.25  |
|  85  |    REL     | 0.0588235294118 | 0.3125 |
|  86  |  NON-REL   | 0.0581395348837 | 0.3125 |
|  87  |  NON-REL   | 0.0574712643678 | 0.3125 |
|  88  |  NON-REL   | 0.0568181818182 | 0.3125 |
|  89  |  NON-REL   | 0.0561797752809 | 0.3125 |
|  90  |  NON-REL   | 0.0555555555556 | 0.3125 |
|  91  |  NON-REL   | 0.0549450549451 | 0.3125 |
|  92  |  NON-REL   |  0.054347826087 | 0.3125 |
|  93  |  NON-REL   | 0.0537634408602 | 0.3125 |
|  94  |  NON-REL   | 0.0531914893617 | 0.3125 |
|  95  |  NON-REL   | 0.0526315789474 | 0.3125 |
|  96  |  NON-REL   | 0.0520833333333 | 0.3125 |
|  97  |  NON-REL   | 0.0515463917526 | 0.3125 |
|  98  |  NON-REL   | 0.0510204081633 | 0.3125 |
|  99  |  NON-REL   | 0.0505050505051 | 0.3125 |
| 100  |  NON-REL   |       0.05      | 0.3125 |
+------+------------+-----------------+--------+
