query_2: terested articles written prieve udo pooch prieve pooch
+------+------------+-----------------+----------------+
| RANK | REL/NONREL |    PRECISION    |     RECALL     |
+------+------------+-----------------+----------------+
|  1   |    REL     |       1.0       | 0.333333333333 |
|  2   |    REL     |       1.0       | 0.666666666667 |
|  3   |    REL     |       1.0       |      1.0       |
|  4   |  NON-REL   |       0.75      |      1.0       |
|  5   |  NON-REL   |       0.6       |      1.0       |
|  6   |  NON-REL   |       0.5       |      1.0       |
|  7   |  NON-REL   |  0.428571428571 |      1.0       |
|  8   |  NON-REL   |      0.375      |      1.0       |
|  9   |  NON-REL   |  0.333333333333 |      1.0       |
|  10  |  NON-REL   |       0.3       |      1.0       |
|  11  |  NON-REL   |  0.272727272727 |      1.0       |
|  12  |  NON-REL   |       0.25      |      1.0       |
|  13  |  NON-REL   |  0.230769230769 |      1.0       |
|  14  |  NON-REL   |  0.214285714286 |      1.0       |
|  15  |  NON-REL   |       0.2       |      1.0       |
|  16  |  NON-REL   |      0.1875     |      1.0       |
|  17  |  NON-REL   |  0.176470588235 |      1.0       |
|  18  |  NON-REL   |  0.166666666667 |      1.0       |
|  19  |  NON-REL   |  0.157894736842 |      1.0       |
|  20  |  NON-REL   |       0.15      |      1.0       |
|  21  |  NON-REL   |  0.142857142857 |      1.0       |
|  22  |  NON-REL   |  0.136363636364 |      1.0       |
|  23  |  NON-REL   |  0.130434782609 |      1.0       |
|  24  |  NON-REL   |      0.125      |      1.0       |
|  25  |  NON-REL   |       0.12      |      1.0       |
|  26  |  NON-REL   |  0.115384615385 |      1.0       |
|  27  |  NON-REL   |  0.111111111111 |      1.0       |
|  28  |  NON-REL   |  0.107142857143 |      1.0       |
|  29  |  NON-REL   |  0.103448275862 |      1.0       |
|  30  |  NON-REL   |       0.1       |      1.0       |
|  31  |  NON-REL   | 0.0967741935484 |      1.0       |
|  32  |  NON-REL   |     0.09375     |      1.0       |
|  33  |  NON-REL   | 0.0909090909091 |      1.0       |
|  34  |  NON-REL   | 0.0882352941176 |      1.0       |
|  35  |  NON-REL   | 0.0857142857143 |      1.0       |
|  36  |  NON-REL   | 0.0833333333333 |      1.0       |
|  37  |  NON-REL   | 0.0810810810811 |      1.0       |
|  38  |  NON-REL   | 0.0789473684211 |      1.0       |
|  39  |  NON-REL   | 0.0769230769231 |      1.0       |
|  40  |  NON-REL   |      0.075      |      1.0       |
|  41  |  NON-REL   | 0.0731707317073 |      1.0       |
|  42  |  NON-REL   | 0.0714285714286 |      1.0       |
|  43  |  NON-REL   | 0.0697674418605 |      1.0       |
|  44  |  NON-REL   | 0.0681818181818 |      1.0       |
|  45  |  NON-REL   | 0.0666666666667 |      1.0       |
|  46  |  NON-REL   | 0.0652173913043 |      1.0       |
|  47  |  NON-REL   |  0.063829787234 |      1.0       |
|  48  |  NON-REL   |      0.0625     |      1.0       |
|  49  |  NON-REL   | 0.0612244897959 |      1.0       |
|  50  |  NON-REL   |       0.06      |      1.0       |
|  51  |  NON-REL   | 0.0588235294118 |      1.0       |
|  52  |  NON-REL   | 0.0576923076923 |      1.0       |
|  53  |  NON-REL   | 0.0566037735849 |      1.0       |
|  54  |  NON-REL   | 0.0555555555556 |      1.0       |
|  55  |  NON-REL   | 0.0545454545455 |      1.0       |
|  56  |  NON-REL   | 0.0535714285714 |      1.0       |
|  57  |  NON-REL   | 0.0526315789474 |      1.0       |
|  58  |  NON-REL   |  0.051724137931 |      1.0       |
|  59  |  NON-REL   | 0.0508474576271 |      1.0       |
|  60  |  NON-REL   |       0.05      |      1.0       |
|  61  |  NON-REL   | 0.0491803278689 |      1.0       |
|  62  |  NON-REL   | 0.0483870967742 |      1.0       |
|  63  |  NON-REL   |  0.047619047619 |      1.0       |
|  64  |  NON-REL   |     0.046875    |      1.0       |
|  65  |  NON-REL   | 0.0461538461538 |      1.0       |
|  66  |  NON-REL   | 0.0454545454545 |      1.0       |
|  67  |  NON-REL   |  0.044776119403 |      1.0       |
|  68  |  NON-REL   | 0.0441176470588 |      1.0       |
|  69  |  NON-REL   | 0.0434782608696 |      1.0       |
|  70  |  NON-REL   | 0.0428571428571 |      1.0       |
|  71  |  NON-REL   | 0.0422535211268 |      1.0       |
|  72  |  NON-REL   | 0.0416666666667 |      1.0       |
|  73  |  NON-REL   |  0.041095890411 |      1.0       |
|  74  |  NON-REL   | 0.0405405405405 |      1.0       |
|  75  |  NON-REL   |       0.04      |      1.0       |
|  76  |  NON-REL   | 0.0394736842105 |      1.0       |
|  77  |  NON-REL   |  0.038961038961 |      1.0       |
|  78  |  NON-REL   | 0.0384615384615 |      1.0       |
|  79  |  NON-REL   | 0.0379746835443 |      1.0       |
|  80  |  NON-REL   |      0.0375     |      1.0       |
|  81  |  NON-REL   |  0.037037037037 |      1.0       |
|  82  |  NON-REL   | 0.0365853658537 |      1.0       |
|  83  |  NON-REL   | 0.0361445783133 |      1.0       |
+------+------------+-----------------+----------------+
