query_24: plied stochastic processes
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0769230769231 |
|  2   |  NON-REL   |       0.5       | 0.0769230769231 |
|  3   |  NON-REL   |  0.333333333333 | 0.0769230769231 |
|  4   |  NON-REL   |       0.25      | 0.0769230769231 |
|  5   |  NON-REL   |       0.2       | 0.0769230769231 |
|  6   |  NON-REL   |  0.166666666667 | 0.0769230769231 |
|  7   |  NON-REL   |  0.142857142857 | 0.0769230769231 |
|  8   |  NON-REL   |      0.125      | 0.0769230769231 |
|  9   |  NON-REL   |  0.111111111111 | 0.0769230769231 |
|  10  |  NON-REL   |       0.1       | 0.0769230769231 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0769230769231 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0769230769231 |
|  13  |  NON-REL   | 0.0769230769231 | 0.0769230769231 |
|  14  |  NON-REL   | 0.0714285714286 | 0.0769230769231 |
|  15  |  NON-REL   | 0.0666666666667 | 0.0769230769231 |
|  16  |  NON-REL   |      0.0625     | 0.0769230769231 |
|  17  |  NON-REL   | 0.0588235294118 | 0.0769230769231 |
|  18  |  NON-REL   | 0.0555555555556 | 0.0769230769231 |
|  19  |  NON-REL   | 0.0526315789474 | 0.0769230769231 |
|  20  |  NON-REL   |       0.05      | 0.0769230769231 |
|  21  |  NON-REL   |  0.047619047619 | 0.0769230769231 |
|  22  |  NON-REL   | 0.0454545454545 | 0.0769230769231 |
|  23  |  NON-REL   | 0.0434782608696 | 0.0769230769231 |
|  24  |  NON-REL   | 0.0416666666667 | 0.0769230769231 |
|  25  |  NON-REL   |       0.04      | 0.0769230769231 |
|  26  |  NON-REL   | 0.0384615384615 | 0.0769230769231 |
|  27  |  NON-REL   |  0.037037037037 | 0.0769230769231 |
|  28  |  NON-REL   | 0.0357142857143 | 0.0769230769231 |
|  29  |    REL     | 0.0689655172414 |  0.153846153846 |
|  30  |  NON-REL   | 0.0666666666667 |  0.153846153846 |
|  31  |    REL     | 0.0967741935484 |  0.230769230769 |
|  32  |  NON-REL   |     0.09375     |  0.230769230769 |
|  33  |  NON-REL   | 0.0909090909091 |  0.230769230769 |
|  34  |  NON-REL   | 0.0882352941176 |  0.230769230769 |
|  35  |  NON-REL   | 0.0857142857143 |  0.230769230769 |
|  36  |  NON-REL   | 0.0833333333333 |  0.230769230769 |
|  37  |  NON-REL   | 0.0810810810811 |  0.230769230769 |
|  38  |  NON-REL   | 0.0789473684211 |  0.230769230769 |
|  39  |  NON-REL   | 0.0769230769231 |  0.230769230769 |
|  40  |  NON-REL   |      0.075      |  0.230769230769 |
|  41  |  NON-REL   | 0.0731707317073 |  0.230769230769 |
|  42  |  NON-REL   | 0.0714285714286 |  0.230769230769 |
|  43  |  NON-REL   | 0.0697674418605 |  0.230769230769 |
|  44  |  NON-REL   | 0.0681818181818 |  0.230769230769 |
|  45  |  NON-REL   | 0.0666666666667 |  0.230769230769 |
|  46  |  NON-REL   | 0.0652173913043 |  0.230769230769 |
|  47  |  NON-REL   |  0.063829787234 |  0.230769230769 |
|  48  |  NON-REL   |      0.0625     |  0.230769230769 |
|  49  |  NON-REL   | 0.0612244897959 |  0.230769230769 |
|  50  |  NON-REL   |       0.06      |  0.230769230769 |
|  51  |  NON-REL   | 0.0588235294118 |  0.230769230769 |
|  52  |  NON-REL   | 0.0576923076923 |  0.230769230769 |
|  53  |  NON-REL   | 0.0566037735849 |  0.230769230769 |
|  54  |  NON-REL   | 0.0555555555556 |  0.230769230769 |
|  55  |  NON-REL   | 0.0545454545455 |  0.230769230769 |
|  56  |  NON-REL   | 0.0535714285714 |  0.230769230769 |
|  57  |  NON-REL   | 0.0526315789474 |  0.230769230769 |
|  58  |  NON-REL   |  0.051724137931 |  0.230769230769 |
|  59  |  NON-REL   | 0.0508474576271 |  0.230769230769 |
|  60  |  NON-REL   |       0.05      |  0.230769230769 |
|  61  |  NON-REL   | 0.0491803278689 |  0.230769230769 |
|  62  |  NON-REL   | 0.0483870967742 |  0.230769230769 |
|  63  |  NON-REL   |  0.047619047619 |  0.230769230769 |
|  64  |  NON-REL   |     0.046875    |  0.230769230769 |
|  65  |  NON-REL   | 0.0461538461538 |  0.230769230769 |
|  66  |  NON-REL   | 0.0454545454545 |  0.230769230769 |
|  67  |  NON-REL   |  0.044776119403 |  0.230769230769 |
|  68  |  NON-REL   | 0.0441176470588 |  0.230769230769 |
|  69  |  NON-REL   | 0.0434782608696 |  0.230769230769 |
|  70  |  NON-REL   | 0.0428571428571 |  0.230769230769 |
|  71  |  NON-REL   | 0.0422535211268 |  0.230769230769 |
|  72  |  NON-REL   | 0.0416666666667 |  0.230769230769 |
|  73  |  NON-REL   |  0.041095890411 |  0.230769230769 |
|  74  |  NON-REL   | 0.0405405405405 |  0.230769230769 |
|  75  |  NON-REL   |       0.04      |  0.230769230769 |
|  76  |  NON-REL   | 0.0394736842105 |  0.230769230769 |
|  77  |  NON-REL   |  0.038961038961 |  0.230769230769 |
|  78  |  NON-REL   | 0.0384615384615 |  0.230769230769 |
|  79  |  NON-REL   | 0.0379746835443 |  0.230769230769 |
|  80  |  NON-REL   |      0.0375     |  0.230769230769 |
|  81  |  NON-REL   |  0.037037037037 |  0.230769230769 |
|  82  |  NON-REL   | 0.0365853658537 |  0.230769230769 |
|  83  |  NON-REL   | 0.0361445783133 |  0.230769230769 |
|  84  |  NON-REL   | 0.0357142857143 |  0.230769230769 |
|  85  |  NON-REL   | 0.0352941176471 |  0.230769230769 |
|  86  |  NON-REL   | 0.0348837209302 |  0.230769230769 |
|  87  |  NON-REL   | 0.0344827586207 |  0.230769230769 |
|  88  |  NON-REL   | 0.0340909090909 |  0.230769230769 |
|  89  |  NON-REL   | 0.0337078651685 |  0.230769230769 |
|  90  |  NON-REL   | 0.0333333333333 |  0.230769230769 |
+------+------------+-----------------+-----------------+
