query_25: rformance evaluation modelling computer systems
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |    REL     |       0.5       | 0.0196078431373 |
|  3   |  NON-REL   |  0.333333333333 | 0.0196078431373 |
|  4   |  NON-REL   |       0.25      | 0.0196078431373 |
|  5   |  NON-REL   |       0.2       | 0.0196078431373 |
|  6   |  NON-REL   |  0.166666666667 | 0.0196078431373 |
|  7   |  NON-REL   |  0.142857142857 | 0.0196078431373 |
|  8   |  NON-REL   |      0.125      | 0.0196078431373 |
|  9   |  NON-REL   |  0.111111111111 | 0.0196078431373 |
|  10  |  NON-REL   |       0.1       | 0.0196078431373 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0196078431373 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0196078431373 |
|  13  |    REL     |  0.153846153846 | 0.0392156862745 |
|  14  |  NON-REL   |  0.142857142857 | 0.0392156862745 |
|  15  |  NON-REL   |  0.133333333333 | 0.0392156862745 |
|  16  |  NON-REL   |      0.125      | 0.0392156862745 |
|  17  |  NON-REL   |  0.117647058824 | 0.0392156862745 |
|  18  |  NON-REL   |  0.111111111111 | 0.0392156862745 |
|  19  |  NON-REL   |  0.105263157895 | 0.0392156862745 |
|  20  |  NON-REL   |       0.1       | 0.0392156862745 |
|  21  |  NON-REL   | 0.0952380952381 | 0.0392156862745 |
|  22  |  NON-REL   | 0.0909090909091 | 0.0392156862745 |
|  23  |  NON-REL   | 0.0869565217391 | 0.0392156862745 |
|  24  |    REL     |      0.125      | 0.0588235294118 |
|  25  |  NON-REL   |       0.12      | 0.0588235294118 |
|  26  |  NON-REL   |  0.115384615385 | 0.0588235294118 |
|  27  |    REL     |  0.148148148148 |  0.078431372549 |
|  28  |    REL     |  0.178571428571 | 0.0980392156863 |
|  29  |  NON-REL   |  0.172413793103 | 0.0980392156863 |
|  30  |    REL     |       0.2       |  0.117647058824 |
|  31  |  NON-REL   |  0.193548387097 |  0.117647058824 |
|  32  |  NON-REL   |      0.1875     |  0.117647058824 |
|  33  |  NON-REL   |  0.181818181818 |  0.117647058824 |
|  34  |    REL     |  0.205882352941 |  0.137254901961 |
|  35  |  NON-REL   |       0.2       |  0.137254901961 |
|  36  |  NON-REL   |  0.194444444444 |  0.137254901961 |
|  37  |  NON-REL   |  0.189189189189 |  0.137254901961 |
|  38  |  NON-REL   |  0.184210526316 |  0.137254901961 |
|  39  |  NON-REL   |  0.179487179487 |  0.137254901961 |
|  40  |  NON-REL   |      0.175      |  0.137254901961 |
|  41  |  NON-REL   |  0.170731707317 |  0.137254901961 |
|  42  |  NON-REL   |  0.166666666667 |  0.137254901961 |
|  43  |  NON-REL   |  0.162790697674 |  0.137254901961 |
|  44  |  NON-REL   |  0.159090909091 |  0.137254901961 |
|  45  |  NON-REL   |  0.155555555556 |  0.137254901961 |
|  46  |  NON-REL   |  0.152173913043 |  0.137254901961 |
|  47  |  NON-REL   |  0.148936170213 |  0.137254901961 |
|  48  |  NON-REL   |  0.145833333333 |  0.137254901961 |
|  49  |  NON-REL   |  0.142857142857 |  0.137254901961 |
|  50  |    REL     |       0.16      |  0.156862745098 |
|  51  |  NON-REL   |  0.156862745098 |  0.156862745098 |
|  52  |  NON-REL   |  0.153846153846 |  0.156862745098 |
|  53  |  NON-REL   |  0.150943396226 |  0.156862745098 |
|  54  |  NON-REL   |  0.148148148148 |  0.156862745098 |
|  55  |  NON-REL   |  0.145454545455 |  0.156862745098 |
|  56  |    REL     |  0.160714285714 |  0.176470588235 |
|  57  |  NON-REL   |  0.157894736842 |  0.176470588235 |
|  58  |  NON-REL   |  0.155172413793 |  0.176470588235 |
|  59  |  NON-REL   |  0.152542372881 |  0.176470588235 |
|  60  |    REL     |  0.166666666667 |  0.196078431373 |
|  61  |  NON-REL   |  0.16393442623  |  0.196078431373 |
|  62  |  NON-REL   |  0.161290322581 |  0.196078431373 |
|  63  |  NON-REL   |  0.15873015873  |  0.196078431373 |
|  64  |  NON-REL   |     0.15625     |  0.196078431373 |
|  65  |  NON-REL   |  0.153846153846 |  0.196078431373 |
|  66  |  NON-REL   |  0.151515151515 |  0.196078431373 |
|  67  |  NON-REL   |  0.149253731343 |  0.196078431373 |
|  68  |  NON-REL   |  0.147058823529 |  0.196078431373 |
|  69  |  NON-REL   |  0.144927536232 |  0.196078431373 |
|  70  |  NON-REL   |  0.142857142857 |  0.196078431373 |
|  71  |  NON-REL   |  0.140845070423 |  0.196078431373 |
|  72  |  NON-REL   |  0.138888888889 |  0.196078431373 |
|  73  |  NON-REL   |  0.13698630137  |  0.196078431373 |
|  74  |  NON-REL   |  0.135135135135 |  0.196078431373 |
|  75  |  NON-REL   |  0.133333333333 |  0.196078431373 |
|  76  |  NON-REL   |  0.131578947368 |  0.196078431373 |
|  77  |  NON-REL   |  0.12987012987  |  0.196078431373 |
|  78  |  NON-REL   |  0.128205128205 |  0.196078431373 |
|  79  |    REL     |  0.139240506329 |  0.21568627451  |
|  80  |    REL     |       0.15      |  0.235294117647 |
|  81  |  NON-REL   |  0.148148148148 |  0.235294117647 |
|  82  |  NON-REL   |  0.146341463415 |  0.235294117647 |
|  83  |  NON-REL   |  0.144578313253 |  0.235294117647 |
|  84  |  NON-REL   |  0.142857142857 |  0.235294117647 |
|  85  |  NON-REL   |  0.141176470588 |  0.235294117647 |
|  86  |  NON-REL   |  0.139534883721 |  0.235294117647 |
|  87  |  NON-REL   |  0.137931034483 |  0.235294117647 |
|  88  |  NON-REL   |  0.136363636364 |  0.235294117647 |
|  89  |  NON-REL   |  0.134831460674 |  0.235294117647 |
|  90  |  NON-REL   |  0.133333333333 |  0.235294117647 |
|  91  |  NON-REL   |  0.131868131868 |  0.235294117647 |
|  92  |  NON-REL   |  0.130434782609 |  0.235294117647 |
|  93  |  NON-REL   |  0.129032258065 |  0.235294117647 |
|  94  |  NON-REL   |  0.127659574468 |  0.235294117647 |
|  95  |  NON-REL   |  0.126315789474 |  0.235294117647 |
|  96  |  NON-REL   |      0.125      |  0.235294117647 |
|  97  |  NON-REL   |  0.123711340206 |  0.235294117647 |
|  98  |  NON-REL   |  0.122448979592 |  0.235294117647 |
|  99  |  NON-REL   |  0.121212121212 |  0.235294117647 |
| 100  |  NON-REL   |       0.12      |  0.235294117647 |
+------+------------+-----------------+-----------------+
