query_26: ncurrency control mechanisms operating systems
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |    REL     |       0.5       | 0.0333333333333 |
|  3   |  NON-REL   |  0.333333333333 | 0.0333333333333 |
|  4   |  NON-REL   |       0.25      | 0.0333333333333 |
|  5   |    REL     |       0.4       | 0.0666666666667 |
|  6   |  NON-REL   |  0.333333333333 | 0.0666666666667 |
|  7   |  NON-REL   |  0.285714285714 | 0.0666666666667 |
|  8   |  NON-REL   |       0.25      | 0.0666666666667 |
|  9   |  NON-REL   |  0.222222222222 | 0.0666666666667 |
|  10  |  NON-REL   |       0.2       | 0.0666666666667 |
|  11  |  NON-REL   |  0.181818181818 | 0.0666666666667 |
|  12  |  NON-REL   |  0.166666666667 | 0.0666666666667 |
|  13  |  NON-REL   |  0.153846153846 | 0.0666666666667 |
|  14  |    REL     |  0.214285714286 |       0.1       |
|  15  |  NON-REL   |       0.2       |       0.1       |
|  16  |  NON-REL   |      0.1875     |       0.1       |
|  17  |    REL     |  0.235294117647 |  0.133333333333 |
|  18  |  NON-REL   |  0.222222222222 |  0.133333333333 |
|  19  |  NON-REL   |  0.210526315789 |  0.133333333333 |
|  20  |  NON-REL   |       0.2       |  0.133333333333 |
|  21  |    REL     |  0.238095238095 |  0.166666666667 |
|  22  |  NON-REL   |  0.227272727273 |  0.166666666667 |
|  23  |  NON-REL   |  0.217391304348 |  0.166666666667 |
|  24  |  NON-REL   |  0.208333333333 |  0.166666666667 |
|  25  |  NON-REL   |       0.2       |  0.166666666667 |
|  26  |  NON-REL   |  0.192307692308 |  0.166666666667 |
|  27  |  NON-REL   |  0.185185185185 |  0.166666666667 |
|  28  |  NON-REL   |  0.178571428571 |  0.166666666667 |
|  29  |    REL     |  0.206896551724 |       0.2       |
|  30  |  NON-REL   |       0.2       |       0.2       |
|  31  |  NON-REL   |  0.193548387097 |       0.2       |
|  32  |  NON-REL   |      0.1875     |       0.2       |
|  33  |  NON-REL   |  0.181818181818 |       0.2       |
|  34  |  NON-REL   |  0.176470588235 |       0.2       |
|  35  |  NON-REL   |  0.171428571429 |       0.2       |
|  36  |  NON-REL   |  0.166666666667 |       0.2       |
|  37  |  NON-REL   |  0.162162162162 |       0.2       |
|  38  |  NON-REL   |  0.157894736842 |       0.2       |
|  39  |  NON-REL   |  0.153846153846 |       0.2       |
|  40  |  NON-REL   |       0.15      |       0.2       |
|  41  |  NON-REL   |  0.146341463415 |       0.2       |
|  42  |  NON-REL   |  0.142857142857 |       0.2       |
|  43  |    REL     |  0.162790697674 |  0.233333333333 |
|  44  |  NON-REL   |  0.159090909091 |  0.233333333333 |
|  45  |  NON-REL   |  0.155555555556 |  0.233333333333 |
|  46  |  NON-REL   |  0.152173913043 |  0.233333333333 |
|  47  |    REL     |  0.170212765957 |  0.266666666667 |
|  48  |  NON-REL   |  0.166666666667 |  0.266666666667 |
|  49  |  NON-REL   |  0.163265306122 |  0.266666666667 |
|  50  |  NON-REL   |       0.16      |  0.266666666667 |
|  51  |  NON-REL   |  0.156862745098 |  0.266666666667 |
|  52  |  NON-REL   |  0.153846153846 |  0.266666666667 |
|  53  |  NON-REL   |  0.150943396226 |  0.266666666667 |
|  54  |  NON-REL   |  0.148148148148 |  0.266666666667 |
|  55  |  NON-REL   |  0.145454545455 |  0.266666666667 |
|  56  |  NON-REL   |  0.142857142857 |  0.266666666667 |
|  57  |  NON-REL   |  0.140350877193 |  0.266666666667 |
|  58  |  NON-REL   |  0.137931034483 |  0.266666666667 |
|  59  |  NON-REL   |  0.135593220339 |  0.266666666667 |
|  60  |  NON-REL   |  0.133333333333 |  0.266666666667 |
|  61  |    REL     |  0.147540983607 |       0.3       |
|  62  |  NON-REL   |  0.145161290323 |       0.3       |
|  63  |  NON-REL   |  0.142857142857 |       0.3       |
|  64  |  NON-REL   |     0.140625    |       0.3       |
|  65  |  NON-REL   |  0.138461538462 |       0.3       |
|  66  |  NON-REL   |  0.136363636364 |       0.3       |
|  67  |  NON-REL   |  0.134328358209 |       0.3       |
|  68  |  NON-REL   |  0.132352941176 |       0.3       |
|  69  |  NON-REL   |  0.130434782609 |       0.3       |
|  70  |  NON-REL   |  0.128571428571 |       0.3       |
|  71  |  NON-REL   |  0.12676056338  |       0.3       |
|  72  |  NON-REL   |      0.125      |       0.3       |
|  73  |  NON-REL   |  0.123287671233 |       0.3       |
|  74  |  NON-REL   |  0.121621621622 |       0.3       |
|  75  |  NON-REL   |       0.12      |       0.3       |
|  76  |  NON-REL   |  0.118421052632 |       0.3       |
|  77  |  NON-REL   |  0.116883116883 |       0.3       |
|  78  |  NON-REL   |  0.115384615385 |       0.3       |
|  79  |  NON-REL   |  0.113924050633 |       0.3       |
|  80  |  NON-REL   |      0.1125     |       0.3       |
|  81  |  NON-REL   |  0.111111111111 |       0.3       |
|  82  |  NON-REL   |  0.109756097561 |       0.3       |
|  83  |  NON-REL   |  0.10843373494  |       0.3       |
|  84  |  NON-REL   |  0.107142857143 |       0.3       |
|  85  |  NON-REL   |  0.105882352941 |       0.3       |
|  86  |  NON-REL   |  0.104651162791 |       0.3       |
|  87  |  NON-REL   |  0.103448275862 |       0.3       |
|  88  |  NON-REL   |  0.102272727273 |       0.3       |
|  89  |  NON-REL   |  0.101123595506 |       0.3       |
|  90  |  NON-REL   |       0.1       |       0.3       |
|  91  |  NON-REL   | 0.0989010989011 |       0.3       |
|  92  |  NON-REL   | 0.0978260869565 |       0.3       |
|  93  |  NON-REL   | 0.0967741935484 |       0.3       |
|  94  |  NON-REL   | 0.0957446808511 |       0.3       |
|  95  |  NON-REL   | 0.0947368421053 |       0.3       |
|  96  |  NON-REL   |     0.09375     |       0.3       |
|  97  |  NON-REL   | 0.0927835051546 |       0.3       |
|  98  |  NON-REL   | 0.0918367346939 |       0.3       |
|  99  |  NON-REL   | 0.0909090909091 |       0.3       |
| 100  |  NON-REL   |       0.09      |       0.3       |
+------+------------+-----------------+-----------------+
