query_36: st algorithm context-free language recognition parsing
+------+------------+----------------+--------+
| RANK | REL/NONREL |   PRECISION    | RECALL |
+------+------------+----------------+--------+
|  1   |    REL     |      1.0       |  0.05  |
|  2   |    REL     |      1.0       |  0.1   |
|  3   |    REL     |      1.0       |  0.15  |
|  4   |  NON-REL   |      0.75      |  0.15  |
|  5   |  NON-REL   |      0.6       |  0.15  |
|  6   |  NON-REL   |      0.5       |  0.15  |
|  7   |  NON-REL   | 0.428571428571 |  0.15  |
|  8   |  NON-REL   |     0.375      |  0.15  |
|  9   |  NON-REL   | 0.333333333333 |  0.15  |
|  10  |  NON-REL   |      0.3       |  0.15  |
|  11  |  NON-REL   | 0.272727272727 |  0.15  |
|  12  |  NON-REL   |      0.25      |  0.15  |
|  13  |  NON-REL   | 0.230769230769 |  0.15  |
|  14  |    REL     | 0.285714285714 |  0.2   |
|  15  |  NON-REL   | 0.266666666667 |  0.2   |
|  16  |    REL     |     0.3125     |  0.25  |
|  17  |    REL     | 0.352941176471 |  0.3   |
|  18  |    REL     | 0.388888888889 |  0.35  |
|  19  |    REL     | 0.421052631579 |  0.4   |
|  20  |    REL     |      0.45      |  0.45  |
|  21  |    REL     | 0.47619047619  |  0.5   |
|  22  |    REL     |      0.5       |  0.55  |
|  23  |  NON-REL   | 0.478260869565 |  0.55  |
|  24  |  NON-REL   | 0.458333333333 |  0.55  |
|  25  |    REL     |      0.48      |  0.6   |
|  26  |  NON-REL   | 0.461538461538 |  0.6   |
|  27  |  NON-REL   | 0.444444444444 |  0.6   |
|  28  |  NON-REL   | 0.428571428571 |  0.6   |
|  29  |  NON-REL   | 0.413793103448 |  0.6   |
|  30  |  NON-REL   |      0.4       |  0.6   |
|  31  |  NON-REL   | 0.387096774194 |  0.6   |
|  32  |    REL     |    0.40625     |  0.65  |
|  33  |  NON-REL   | 0.393939393939 |  0.65  |
|  34  |  NON-REL   | 0.382352941176 |  0.65  |
|  35  |  NON-REL   | 0.371428571429 |  0.65  |
|  36  |  NON-REL   | 0.361111111111 |  0.65  |
|  37  |    REL     | 0.378378378378 |  0.7   |
