query_38: pe module don want entire literature abstract data types sure phrase avoid interested questions check module matches contexts
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |    REL     |       0.5       | 0.0625 |
|  3   |    REL     |  0.666666666667 | 0.125  |
|  4   |  NON-REL   |       0.5       | 0.125  |
|  5   |    REL     |       0.6       | 0.1875 |
|  6   |  NON-REL   |       0.5       | 0.1875 |
|  7   |    REL     |  0.571428571429 |  0.25  |
|  8   |  NON-REL   |       0.5       |  0.25  |
|  9   |  NON-REL   |  0.444444444444 |  0.25  |
|  10  |  NON-REL   |       0.4       |  0.25  |
|  11  |    REL     |  0.454545454545 | 0.3125 |
|  12  |  NON-REL   |  0.416666666667 | 0.3125 |
|  13  |  NON-REL   |  0.384615384615 | 0.3125 |
|  14  |  NON-REL   |  0.357142857143 | 0.3125 |
|  15  |  NON-REL   |  0.333333333333 | 0.3125 |
|  16  |  NON-REL   |      0.3125     | 0.3125 |
|  17  |  NON-REL   |  0.294117647059 | 0.3125 |
|  18  |  NON-REL   |  0.277777777778 | 0.3125 |
|  19  |  NON-REL   |  0.263157894737 | 0.3125 |
|  20  |    REL     |       0.3       | 0.375  |
|  21  |  NON-REL   |  0.285714285714 | 0.375  |
|  22  |  NON-REL   |  0.272727272727 | 0.375  |
|  23  |  NON-REL   |  0.260869565217 | 0.375  |
|  24  |  NON-REL   |       0.25      | 0.375  |
|  25  |  NON-REL   |       0.24      | 0.375  |
|  26  |  NON-REL   |  0.230769230769 | 0.375  |
|  27  |  NON-REL   |  0.222222222222 | 0.375  |
|  28  |  NON-REL   |  0.214285714286 | 0.375  |
|  29  |    REL     |  0.241379310345 | 0.4375 |
|  30  |  NON-REL   |  0.233333333333 | 0.4375 |
|  31  |  NON-REL   |  0.225806451613 | 0.4375 |
|  32  |  NON-REL   |     0.21875     | 0.4375 |
|  33  |  NON-REL   |  0.212121212121 | 0.4375 |
|  34  |  NON-REL   |  0.205882352941 | 0.4375 |
|  35  |  NON-REL   |       0.2       | 0.4375 |
|  36  |    REL     |  0.222222222222 |  0.5   |
|  37  |  NON-REL   |  0.216216216216 |  0.5   |
|  38  |  NON-REL   |  0.210526315789 |  0.5   |
|  39  |  NON-REL   |  0.205128205128 |  0.5   |
|  40  |  NON-REL   |       0.2       |  0.5   |
|  41  |  NON-REL   |  0.19512195122  |  0.5   |
|  42  |  NON-REL   |  0.190476190476 |  0.5   |
|  43  |  NON-REL   |  0.186046511628 |  0.5   |
|  44  |  NON-REL   |  0.181818181818 |  0.5   |
|  45  |  NON-REL   |  0.177777777778 |  0.5   |
|  46  |  NON-REL   |  0.173913043478 |  0.5   |
|  47  |  NON-REL   |  0.170212765957 |  0.5   |
|  48  |  NON-REL   |  0.166666666667 |  0.5   |
|  49  |  NON-REL   |  0.163265306122 |  0.5   |
|  50  |  NON-REL   |       0.16      |  0.5   |
|  51  |  NON-REL   |  0.156862745098 |  0.5   |
|  52  |  NON-REL   |  0.153846153846 |  0.5   |
|  53  |  NON-REL   |  0.150943396226 |  0.5   |
|  54  |  NON-REL   |  0.148148148148 |  0.5   |
|  55  |  NON-REL   |  0.145454545455 |  0.5   |
|  56  |  NON-REL   |  0.142857142857 |  0.5   |
|  57  |  NON-REL   |  0.140350877193 |  0.5   |
|  58  |  NON-REL   |  0.137931034483 |  0.5   |
|  59  |  NON-REL   |  0.135593220339 |  0.5   |
|  60  |  NON-REL   |  0.133333333333 |  0.5   |
|  61  |  NON-REL   |  0.131147540984 |  0.5   |
|  62  |    REL     |  0.145161290323 | 0.5625 |
|  63  |  NON-REL   |  0.142857142857 | 0.5625 |
|  64  |  NON-REL   |     0.140625    | 0.5625 |
|  65  |  NON-REL   |  0.138461538462 | 0.5625 |
|  66  |  NON-REL   |  0.136363636364 | 0.5625 |
|  67  |  NON-REL   |  0.134328358209 | 0.5625 |
|  68  |  NON-REL   |  0.132352941176 | 0.5625 |
|  69  |  NON-REL   |  0.130434782609 | 0.5625 |
|  70  |  NON-REL   |  0.128571428571 | 0.5625 |
|  71  |  NON-REL   |  0.12676056338  | 0.5625 |
|  72  |  NON-REL   |      0.125      | 0.5625 |
|  73  |  NON-REL   |  0.123287671233 | 0.5625 |
|  74  |  NON-REL   |  0.121621621622 | 0.5625 |
|  75  |  NON-REL   |       0.12      | 0.5625 |
|  76  |  NON-REL   |  0.118421052632 | 0.5625 |
|  77  |  NON-REL   |  0.116883116883 | 0.5625 |
|  78  |  NON-REL   |  0.115384615385 | 0.5625 |
|  79  |  NON-REL   |  0.113924050633 | 0.5625 |
|  80  |  NON-REL   |      0.1125     | 0.5625 |
|  81  |  NON-REL   |  0.111111111111 | 0.5625 |
|  82  |  NON-REL   |  0.109756097561 | 0.5625 |
|  83  |  NON-REL   |  0.10843373494  | 0.5625 |
|  84  |  NON-REL   |  0.107142857143 | 0.5625 |
|  85  |  NON-REL   |  0.105882352941 | 0.5625 |
|  86  |  NON-REL   |  0.104651162791 | 0.5625 |
|  87  |  NON-REL   |  0.103448275862 | 0.5625 |
|  88  |  NON-REL   |  0.102272727273 | 0.5625 |
|  89  |  NON-REL   |  0.101123595506 | 0.5625 |
|  90  |  NON-REL   |       0.1       | 0.5625 |
|  91  |  NON-REL   | 0.0989010989011 | 0.5625 |
|  92  |  NON-REL   | 0.0978260869565 | 0.5625 |
|  93  |  NON-REL   | 0.0967741935484 | 0.5625 |
|  94  |  NON-REL   | 0.0957446808511 | 0.5625 |
|  95  |  NON-REL   | 0.0947368421053 | 0.5625 |
|  96  |  NON-REL   |     0.09375     | 0.5625 |
|  97  |  NON-REL   | 0.0927835051546 | 0.5625 |
|  98  |  NON-REL   | 0.0918367346939 | 0.5625 |
|  99  |  NON-REL   | 0.0909090909091 | 0.5625 |
| 100  |  NON-REL   |       0.09      | 0.5625 |
+------+------------+-----------------+--------+
