query_39: pe compatibility mean languages allow programmer defined types want restrict extensible languages allow definition abstract data types programmer-supplied definitions operators
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |    REL     |      0.5       | 0.0833333333333 |
|  3   |    REL     | 0.666666666667 |  0.166666666667 |
|  4   |  NON-REL   |      0.5       |  0.166666666667 |
|  5   |  NON-REL   |      0.4       |  0.166666666667 |
|  6   |  NON-REL   | 0.333333333333 |  0.166666666667 |
|  7   |  NON-REL   | 0.285714285714 |  0.166666666667 |
|  8   |  NON-REL   |      0.25      |  0.166666666667 |
|  9   |  NON-REL   | 0.222222222222 |  0.166666666667 |
|  10  |  NON-REL   |      0.2       |  0.166666666667 |
|  11  |  NON-REL   | 0.181818181818 |  0.166666666667 |
|  12  |  NON-REL   | 0.166666666667 |  0.166666666667 |
|  13  |  NON-REL   | 0.153846153846 |  0.166666666667 |
|  14  |  NON-REL   | 0.142857142857 |  0.166666666667 |
|  15  |  NON-REL   | 0.133333333333 |  0.166666666667 |
|  16  |  NON-REL   |     0.125      |  0.166666666667 |
|  17  |    REL     | 0.176470588235 |       0.25      |
|  18  |  NON-REL   | 0.166666666667 |       0.25      |
|  19  |  NON-REL   | 0.157894736842 |       0.25      |
|  20  |  NON-REL   |      0.15      |       0.25      |
|  21  |  NON-REL   | 0.142857142857 |       0.25      |
|  22  |  NON-REL   | 0.136363636364 |       0.25      |
|  23  |    REL     | 0.173913043478 |  0.333333333333 |
|  24  |  NON-REL   | 0.166666666667 |  0.333333333333 |
|  25  |  NON-REL   |      0.16      |  0.333333333333 |
|  26  |  NON-REL   | 0.153846153846 |  0.333333333333 |
|  27  |  NON-REL   | 0.148148148148 |  0.333333333333 |
|  28  |  NON-REL   | 0.142857142857 |  0.333333333333 |
|  29  |    REL     | 0.172413793103 |  0.416666666667 |
|  30  |    REL     |      0.2       |       0.5       |
|  31  |  NON-REL   | 0.193548387097 |       0.5       |
|  32  |  NON-REL   |     0.1875     |       0.5       |
|  33  |  NON-REL   | 0.181818181818 |       0.5       |
|  34  |  NON-REL   | 0.176470588235 |       0.5       |
|  35  |    REL     |      0.2       |  0.583333333333 |
|  36  |  NON-REL   | 0.194444444444 |  0.583333333333 |
|  37  |  NON-REL   | 0.189189189189 |  0.583333333333 |
|  38  |    REL     | 0.210526315789 |  0.666666666667 |
|  39  |    REL     | 0.230769230769 |       0.75      |
|  40  |  NON-REL   |     0.225      |       0.75      |
|  41  |  NON-REL   | 0.219512195122 |       0.75      |
|  42  |  NON-REL   | 0.214285714286 |       0.75      |
|  43  |  NON-REL   | 0.209302325581 |       0.75      |
|  44  |    REL     | 0.227272727273 |  0.833333333333 |
|  45  |  NON-REL   | 0.222222222222 |  0.833333333333 |
|  46  |  NON-REL   | 0.217391304348 |  0.833333333333 |
|  47  |  NON-REL   | 0.212765957447 |  0.833333333333 |
|  48  |  NON-REL   | 0.208333333333 |  0.833333333333 |
|  49  |  NON-REL   | 0.204081632653 |  0.833333333333 |
|  50  |  NON-REL   |      0.2       |  0.833333333333 |
|  51  |  NON-REL   | 0.196078431373 |  0.833333333333 |
|  52  |  NON-REL   | 0.192307692308 |  0.833333333333 |
|  53  |  NON-REL   | 0.188679245283 |  0.833333333333 |
|  54  |  NON-REL   | 0.185185185185 |  0.833333333333 |
|  55  |  NON-REL   | 0.181818181818 |  0.833333333333 |
|  56  |  NON-REL   | 0.178571428571 |  0.833333333333 |
|  57  |  NON-REL   | 0.175438596491 |  0.833333333333 |
|  58  |  NON-REL   | 0.172413793103 |  0.833333333333 |
|  59  |  NON-REL   | 0.169491525424 |  0.833333333333 |
|  60  |  NON-REL   | 0.166666666667 |  0.833333333333 |
|  61  |  NON-REL   | 0.16393442623  |  0.833333333333 |
|  62  |  NON-REL   | 0.161290322581 |  0.833333333333 |
|  63  |  NON-REL   | 0.15873015873  |  0.833333333333 |
|  64  |  NON-REL   |    0.15625     |  0.833333333333 |
|  65  |  NON-REL   | 0.153846153846 |  0.833333333333 |
|  66  |  NON-REL   | 0.151515151515 |  0.833333333333 |
|  67  |  NON-REL   | 0.149253731343 |  0.833333333333 |
|  68  |  NON-REL   | 0.147058823529 |  0.833333333333 |
|  69  |  NON-REL   | 0.144927536232 |  0.833333333333 |
|  70  |  NON-REL   | 0.142857142857 |  0.833333333333 |
|  71  |  NON-REL   | 0.140845070423 |  0.833333333333 |
|  72  |  NON-REL   | 0.138888888889 |  0.833333333333 |
|  73  |  NON-REL   | 0.13698630137  |  0.833333333333 |
|  74  |  NON-REL   | 0.135135135135 |  0.833333333333 |
|  75  |  NON-REL   | 0.133333333333 |  0.833333333333 |
|  76  |  NON-REL   | 0.131578947368 |  0.833333333333 |
|  77  |  NON-REL   | 0.12987012987  |  0.833333333333 |
|  78  |  NON-REL   | 0.128205128205 |  0.833333333333 |
|  79  |  NON-REL   | 0.126582278481 |  0.833333333333 |
|  80  |  NON-REL   |     0.125      |  0.833333333333 |
|  81  |  NON-REL   | 0.123456790123 |  0.833333333333 |
|  82  |  NON-REL   | 0.121951219512 |  0.833333333333 |
|  83  |  NON-REL   | 0.120481927711 |  0.833333333333 |
|  84  |  NON-REL   | 0.119047619048 |  0.833333333333 |
|  85  |  NON-REL   | 0.117647058824 |  0.833333333333 |
|  86  |  NON-REL   | 0.116279069767 |  0.833333333333 |
|  87  |  NON-REL   | 0.114942528736 |  0.833333333333 |
|  88  |  NON-REL   | 0.113636363636 |  0.833333333333 |
|  89  |  NON-REL   | 0.112359550562 |  0.833333333333 |
|  90  |  NON-REL   | 0.111111111111 |  0.833333333333 |
|  91  |  NON-REL   | 0.10989010989  |  0.833333333333 |
|  92  |  NON-REL   | 0.108695652174 |  0.833333333333 |
|  93  |  NON-REL   | 0.10752688172  |  0.833333333333 |
|  94  |  NON-REL   | 0.106382978723 |  0.833333333333 |
|  95  |  NON-REL   | 0.105263157895 |  0.833333333333 |
|  96  |  NON-REL   | 0.104166666667 |  0.833333333333 |
|  97  |  NON-REL   | 0.103092783505 |  0.833333333333 |
|  98  |  NON-REL   | 0.102040816327 |  0.833333333333 |
|  99  |  NON-REL   | 0.10101010101  |  0.833333333333 |
| 100  |  NON-REL   |      0.1       |  0.833333333333 |
+------+------------+----------------+-----------------+
