query_4: terested mechanisms communicating disjoint processes possibly exclusively distributed environment descriptions complete mechanisms implementations opposed theoretical work abstract problem remote procedure calls message-passing examples interests
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0833333333333 |
|  2   |  NON-REL   |       0.5       | 0.0833333333333 |
|  3   |  NON-REL   |  0.333333333333 | 0.0833333333333 |
|  4   |    REL     |       0.5       |  0.166666666667 |
|  5   |  NON-REL   |       0.4       |  0.166666666667 |
|  6   |  NON-REL   |  0.333333333333 |  0.166666666667 |
|  7   |  NON-REL   |  0.285714285714 |  0.166666666667 |
|  8   |  NON-REL   |       0.25      |  0.166666666667 |
|  9   |  NON-REL   |  0.222222222222 |  0.166666666667 |
|  10  |  NON-REL   |       0.2       |  0.166666666667 |
|  11  |  NON-REL   |  0.181818181818 |  0.166666666667 |
|  12  |  NON-REL   |  0.166666666667 |  0.166666666667 |
|  13  |  NON-REL   |  0.153846153846 |  0.166666666667 |
|  14  |  NON-REL   |  0.142857142857 |  0.166666666667 |
|  15  |  NON-REL   |  0.133333333333 |  0.166666666667 |
|  16  |  NON-REL   |      0.125      |  0.166666666667 |
|  17  |    REL     |  0.176470588235 |       0.25      |
|  18  |  NON-REL   |  0.166666666667 |       0.25      |
|  19  |  NON-REL   |  0.157894736842 |       0.25      |
|  20  |  NON-REL   |       0.15      |       0.25      |
|  21  |  NON-REL   |  0.142857142857 |       0.25      |
|  22  |  NON-REL   |  0.136363636364 |       0.25      |
|  23  |  NON-REL   |  0.130434782609 |       0.25      |
|  24  |  NON-REL   |      0.125      |       0.25      |
|  25  |  NON-REL   |       0.12      |       0.25      |
|  26  |  NON-REL   |  0.115384615385 |       0.25      |
|  27  |  NON-REL   |  0.111111111111 |       0.25      |
|  28  |  NON-REL   |  0.107142857143 |       0.25      |
|  29  |  NON-REL   |  0.103448275862 |       0.25      |
|  30  |  NON-REL   |       0.1       |       0.25      |
|  31  |  NON-REL   | 0.0967741935484 |       0.25      |
|  32  |  NON-REL   |     0.09375     |       0.25      |
|  33  |  NON-REL   | 0.0909090909091 |       0.25      |
|  34  |  NON-REL   | 0.0882352941176 |       0.25      |
|  35  |  NON-REL   | 0.0857142857143 |       0.25      |
|  36  |  NON-REL   | 0.0833333333333 |       0.25      |
|  37  |  NON-REL   | 0.0810810810811 |       0.25      |
|  38  |  NON-REL   | 0.0789473684211 |       0.25      |
|  39  |  NON-REL   | 0.0769230769231 |       0.25      |
|  40  |  NON-REL   |      0.075      |       0.25      |
|  41  |  NON-REL   | 0.0731707317073 |       0.25      |
|  42  |  NON-REL   | 0.0714285714286 |       0.25      |
|  43  |  NON-REL   | 0.0697674418605 |       0.25      |
|  44  |  NON-REL   | 0.0681818181818 |       0.25      |
|  45  |  NON-REL   | 0.0666666666667 |       0.25      |
|  46  |  NON-REL   | 0.0652173913043 |       0.25      |
|  47  |  NON-REL   |  0.063829787234 |       0.25      |
|  48  |  NON-REL   |      0.0625     |       0.25      |
|  49  |  NON-REL   | 0.0612244897959 |       0.25      |
|  50  |  NON-REL   |       0.06      |       0.25      |
|  51  |  NON-REL   | 0.0588235294118 |       0.25      |
|  52  |  NON-REL   | 0.0576923076923 |       0.25      |
|  53  |  NON-REL   | 0.0566037735849 |       0.25      |
|  54  |  NON-REL   | 0.0555555555556 |       0.25      |
|  55  |  NON-REL   | 0.0545454545455 |       0.25      |
|  56  |  NON-REL   | 0.0535714285714 |       0.25      |
|  57  |  NON-REL   | 0.0526315789474 |       0.25      |
|  58  |  NON-REL   |  0.051724137931 |       0.25      |
|  59  |  NON-REL   | 0.0508474576271 |       0.25      |
|  60  |    REL     | 0.0666666666667 |  0.333333333333 |
|  61  |  NON-REL   | 0.0655737704918 |  0.333333333333 |
|  62  |  NON-REL   | 0.0645161290323 |  0.333333333333 |
|  63  |  NON-REL   | 0.0634920634921 |  0.333333333333 |
|  64  |  NON-REL   |      0.0625     |  0.333333333333 |
|  65  |  NON-REL   | 0.0615384615385 |  0.333333333333 |
|  66  |  NON-REL   | 0.0606060606061 |  0.333333333333 |
|  67  |  NON-REL   | 0.0597014925373 |  0.333333333333 |
|  68  |  NON-REL   | 0.0588235294118 |  0.333333333333 |
|  69  |  NON-REL   | 0.0579710144928 |  0.333333333333 |
|  70  |  NON-REL   | 0.0571428571429 |  0.333333333333 |
|  71  |  NON-REL   |  0.056338028169 |  0.333333333333 |
|  72  |  NON-REL   | 0.0555555555556 |  0.333333333333 |
|  73  |  NON-REL   | 0.0547945205479 |  0.333333333333 |
|  74  |  NON-REL   | 0.0540540540541 |  0.333333333333 |
|  75  |  NON-REL   | 0.0533333333333 |  0.333333333333 |
|  76  |  NON-REL   | 0.0526315789474 |  0.333333333333 |
|  77  |  NON-REL   | 0.0519480519481 |  0.333333333333 |
|  78  |  NON-REL   | 0.0512820512821 |  0.333333333333 |
|  79  |    REL     | 0.0632911392405 |  0.416666666667 |
|  80  |  NON-REL   |      0.0625     |  0.416666666667 |
|  81  |  NON-REL   | 0.0617283950617 |  0.416666666667 |
|  82  |  NON-REL   | 0.0609756097561 |  0.416666666667 |
|  83  |  NON-REL   | 0.0602409638554 |  0.416666666667 |
|  84  |  NON-REL   | 0.0595238095238 |  0.416666666667 |
|  85  |  NON-REL   | 0.0588235294118 |  0.416666666667 |
|  86  |  NON-REL   | 0.0581395348837 |  0.416666666667 |
|  87  |  NON-REL   | 0.0574712643678 |  0.416666666667 |
|  88  |  NON-REL   | 0.0568181818182 |  0.416666666667 |
|  89  |  NON-REL   | 0.0561797752809 |  0.416666666667 |
|  90  |  NON-REL   | 0.0555555555556 |  0.416666666667 |
|  91  |  NON-REL   | 0.0549450549451 |  0.416666666667 |
|  92  |  NON-REL   |  0.054347826087 |  0.416666666667 |
|  93  |  NON-REL   | 0.0537634408602 |  0.416666666667 |
|  94  |    REL     |  0.063829787234 |       0.5       |
|  95  |  NON-REL   | 0.0631578947368 |       0.5       |
|  96  |  NON-REL   |      0.0625     |       0.5       |
|  97  |  NON-REL   | 0.0618556701031 |       0.5       |
|  98  |  NON-REL   | 0.0612244897959 |       0.5       |
|  99  |  NON-REL   | 0.0606060606061 |       0.5       |
| 100  |  NON-REL   |       0.06      |       0.5       |
+------+------------+-----------------+-----------------+
