query_43: alysis perception shape humans computers shape descriptions shape recognition computer two-dimensional shapes measures circularity shape matching
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |  NON-REL   |      0.0       |       0.0       |
|  3   |    REL     | 0.333333333333 | 0.0243902439024 |
|  4   |  NON-REL   |      0.25      | 0.0243902439024 |
|  5   |  NON-REL   |      0.2       | 0.0243902439024 |
|  6   |  NON-REL   | 0.166666666667 | 0.0243902439024 |
|  7   |  NON-REL   | 0.142857142857 | 0.0243902439024 |
|  8   |    REL     |      0.25      | 0.0487804878049 |
|  9   |    REL     | 0.333333333333 | 0.0731707317073 |
|  10  |    REL     |      0.4       | 0.0975609756098 |
|  11  |  NON-REL   | 0.363636363636 | 0.0975609756098 |
|  12  |  NON-REL   | 0.333333333333 | 0.0975609756098 |
|  13  |    REL     | 0.384615384615 |  0.121951219512 |
|  14  |    REL     | 0.428571428571 |  0.146341463415 |
|  15  |  NON-REL   |      0.4       |  0.146341463415 |
|  16  |  NON-REL   |     0.375      |  0.146341463415 |
|  17  |  NON-REL   | 0.352941176471 |  0.146341463415 |
|  18  |  NON-REL   | 0.333333333333 |  0.146341463415 |
|  19  |  NON-REL   | 0.315789473684 |  0.146341463415 |
|  20  |  NON-REL   |      0.3       |  0.146341463415 |
|  21  |  NON-REL   | 0.285714285714 |  0.146341463415 |
|  22  |    REL     | 0.318181818182 |  0.170731707317 |
|  23  |  NON-REL   | 0.304347826087 |  0.170731707317 |
|  24  |  NON-REL   | 0.291666666667 |  0.170731707317 |
|  25  |    REL     |      0.32      |  0.19512195122  |
|  26  |    REL     | 0.346153846154 |  0.219512195122 |
|  27  |  NON-REL   | 0.333333333333 |  0.219512195122 |
|  28  |  NON-REL   | 0.321428571429 |  0.219512195122 |
|  29  |  NON-REL   | 0.310344827586 |  0.219512195122 |
|  30  |  NON-REL   |      0.3       |  0.219512195122 |
|  31  |  NON-REL   | 0.290322580645 |  0.219512195122 |
|  32  |  NON-REL   |    0.28125     |  0.219512195122 |
|  33  |  NON-REL   | 0.272727272727 |  0.219512195122 |
|  34  |  NON-REL   | 0.264705882353 |  0.219512195122 |
|  35  |  NON-REL   | 0.257142857143 |  0.219512195122 |
|  36  |  NON-REL   |      0.25      |  0.219512195122 |
|  37  |  NON-REL   | 0.243243243243 |  0.219512195122 |
|  38  |  NON-REL   | 0.236842105263 |  0.219512195122 |
|  39  |  NON-REL   | 0.230769230769 |  0.219512195122 |
|  40  |  NON-REL   |     0.225      |  0.219512195122 |
|  41  |  NON-REL   | 0.219512195122 |  0.219512195122 |
|  42  |  NON-REL   | 0.214285714286 |  0.219512195122 |
|  43  |  NON-REL   | 0.209302325581 |  0.219512195122 |
|  44  |  NON-REL   | 0.204545454545 |  0.219512195122 |
|  45  |  NON-REL   |      0.2       |  0.219512195122 |
|  46  |  NON-REL   | 0.195652173913 |  0.219512195122 |
|  47  |  NON-REL   | 0.191489361702 |  0.219512195122 |
|  48  |    REL     | 0.208333333333 |  0.243902439024 |
|  49  |  NON-REL   | 0.204081632653 |  0.243902439024 |
|  50  |  NON-REL   |      0.2       |  0.243902439024 |
|  51  |  NON-REL   | 0.196078431373 |  0.243902439024 |
|  52  |  NON-REL   | 0.192307692308 |  0.243902439024 |
|  53  |  NON-REL   | 0.188679245283 |  0.243902439024 |
|  54  |  NON-REL   | 0.185185185185 |  0.243902439024 |
|  55  |  NON-REL   | 0.181818181818 |  0.243902439024 |
|  56  |  NON-REL   | 0.178571428571 |  0.243902439024 |
|  57  |  NON-REL   | 0.175438596491 |  0.243902439024 |
|  58  |  NON-REL   | 0.172413793103 |  0.243902439024 |
|  59  |  NON-REL   | 0.169491525424 |  0.243902439024 |
|  60  |  NON-REL   | 0.166666666667 |  0.243902439024 |
|  61  |  NON-REL   | 0.16393442623  |  0.243902439024 |
|  62  |  NON-REL   | 0.161290322581 |  0.243902439024 |
|  63  |    REL     | 0.174603174603 |  0.268292682927 |
|  64  |    REL     |     0.1875     |  0.292682926829 |
|  65  |  NON-REL   | 0.184615384615 |  0.292682926829 |
|  66  |  NON-REL   | 0.181818181818 |  0.292682926829 |
|  67  |  NON-REL   | 0.179104477612 |  0.292682926829 |
|  68  |    REL     | 0.191176470588 |  0.317073170732 |
|  69  |    REL     | 0.202898550725 |  0.341463414634 |
|  70  |  NON-REL   |      0.2       |  0.341463414634 |
|  71  |  NON-REL   | 0.197183098592 |  0.341463414634 |
|  72  |  NON-REL   | 0.194444444444 |  0.341463414634 |
|  73  |  NON-REL   | 0.191780821918 |  0.341463414634 |
|  74  |  NON-REL   | 0.189189189189 |  0.341463414634 |
|  75  |    REL     |      0.2       |  0.365853658537 |
|  76  |  NON-REL   | 0.197368421053 |  0.365853658537 |
|  77  |  NON-REL   | 0.194805194805 |  0.365853658537 |
|  78  |  NON-REL   | 0.192307692308 |  0.365853658537 |
|  79  |  NON-REL   | 0.189873417722 |  0.365853658537 |
|  80  |  NON-REL   |     0.1875     |  0.365853658537 |
|  81  |  NON-REL   | 0.185185185185 |  0.365853658537 |
|  82  |  NON-REL   | 0.182926829268 |  0.365853658537 |
|  83  |  NON-REL   | 0.180722891566 |  0.365853658537 |
|  84  |  NON-REL   | 0.178571428571 |  0.365853658537 |
|  85  |  NON-REL   | 0.176470588235 |  0.365853658537 |
|  86  |  NON-REL   | 0.174418604651 |  0.365853658537 |
|  87  |  NON-REL   | 0.172413793103 |  0.365853658537 |
|  88  |  NON-REL   | 0.170454545455 |  0.365853658537 |
|  89  |  NON-REL   | 0.168539325843 |  0.365853658537 |
|  90  |  NON-REL   | 0.166666666667 |  0.365853658537 |
|  91  |  NON-REL   | 0.164835164835 |  0.365853658537 |
|  92  |  NON-REL   | 0.163043478261 |  0.365853658537 |
|  93  |  NON-REL   | 0.161290322581 |  0.365853658537 |
|  94  |  NON-REL   | 0.159574468085 |  0.365853658537 |
|  95  |  NON-REL   | 0.157894736842 |  0.365853658537 |
|  96  |  NON-REL   |    0.15625     |  0.365853658537 |
|  97  |  NON-REL   | 0.154639175258 |  0.365853658537 |
|  98  |  NON-REL   | 0.15306122449  |  0.365853658537 |
|  99  |  NON-REL   | 0.151515151515 |  0.365853658537 |
| 100  |    REL     |      0.16      |  0.390243902439 |
+------+------------+----------------+-----------------+
