query_49: le information retrieval knowledge based systems i.e. expert systems
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |    REL     |       0.25      | 0.125  |
|  5   |  NON-REL   |       0.2       | 0.125  |
|  6   |  NON-REL   |  0.166666666667 | 0.125  |
|  7   |  NON-REL   |  0.142857142857 | 0.125  |
|  8   |    REL     |       0.25      |  0.25  |
|  9   |  NON-REL   |  0.222222222222 |  0.25  |
|  10  |  NON-REL   |       0.2       |  0.25  |
|  11  |  NON-REL   |  0.181818181818 |  0.25  |
|  12  |  NON-REL   |  0.166666666667 |  0.25  |
|  13  |  NON-REL   |  0.153846153846 |  0.25  |
|  14  |  NON-REL   |  0.142857142857 |  0.25  |
|  15  |  NON-REL   |  0.133333333333 |  0.25  |
|  16  |  NON-REL   |      0.125      |  0.25  |
|  17  |  NON-REL   |  0.117647058824 |  0.25  |
|  18  |  NON-REL   |  0.111111111111 |  0.25  |
|  19  |  NON-REL   |  0.105263157895 |  0.25  |
|  20  |  NON-REL   |       0.1       |  0.25  |
|  21  |    REL     |  0.142857142857 | 0.375  |
|  22  |  NON-REL   |  0.136363636364 | 0.375  |
|  23  |  NON-REL   |  0.130434782609 | 0.375  |
|  24  |  NON-REL   |      0.125      | 0.375  |
|  25  |  NON-REL   |       0.12      | 0.375  |
|  26  |  NON-REL   |  0.115384615385 | 0.375  |
|  27  |  NON-REL   |  0.111111111111 | 0.375  |
|  28  |  NON-REL   |  0.107142857143 | 0.375  |
|  29  |    REL     |  0.137931034483 |  0.5   |
|  30  |  NON-REL   |  0.133333333333 |  0.5   |
|  31  |  NON-REL   |  0.129032258065 |  0.5   |
|  32  |  NON-REL   |      0.125      |  0.5   |
|  33  |  NON-REL   |  0.121212121212 |  0.5   |
|  34  |  NON-REL   |  0.117647058824 |  0.5   |
|  35  |  NON-REL   |  0.114285714286 |  0.5   |
|  36  |  NON-REL   |  0.111111111111 |  0.5   |
|  37  |  NON-REL   |  0.108108108108 |  0.5   |
|  38  |  NON-REL   |  0.105263157895 |  0.5   |
|  39  |  NON-REL   |  0.102564102564 |  0.5   |
|  40  |    REL     |      0.125      | 0.625  |
|  41  |  NON-REL   |  0.121951219512 | 0.625  |
|  42  |  NON-REL   |  0.119047619048 | 0.625  |
|  43  |  NON-REL   |  0.116279069767 | 0.625  |
|  44  |  NON-REL   |  0.113636363636 | 0.625  |
|  45  |  NON-REL   |  0.111111111111 | 0.625  |
|  46  |  NON-REL   |  0.108695652174 | 0.625  |
|  47  |  NON-REL   |  0.106382978723 | 0.625  |
|  48  |  NON-REL   |  0.104166666667 | 0.625  |
|  49  |  NON-REL   |  0.102040816327 | 0.625  |
|  50  |  NON-REL   |       0.1       | 0.625  |
|  51  |  NON-REL   | 0.0980392156863 | 0.625  |
|  52  |  NON-REL   | 0.0961538461538 | 0.625  |
|  53  |  NON-REL   | 0.0943396226415 | 0.625  |
|  54  |  NON-REL   | 0.0925925925926 | 0.625  |
|  55  |  NON-REL   | 0.0909090909091 | 0.625  |
|  56  |  NON-REL   | 0.0892857142857 | 0.625  |
|  57  |  NON-REL   | 0.0877192982456 | 0.625  |
|  58  |  NON-REL   | 0.0862068965517 | 0.625  |
|  59  |  NON-REL   | 0.0847457627119 | 0.625  |
|  60  |  NON-REL   | 0.0833333333333 | 0.625  |
|  61  |  NON-REL   | 0.0819672131148 | 0.625  |
|  62  |  NON-REL   | 0.0806451612903 | 0.625  |
|  63  |  NON-REL   | 0.0793650793651 | 0.625  |
|  64  |  NON-REL   |     0.078125    | 0.625  |
|  65  |  NON-REL   | 0.0769230769231 | 0.625  |
|  66  |  NON-REL   | 0.0757575757576 | 0.625  |
|  67  |  NON-REL   | 0.0746268656716 | 0.625  |
|  68  |  NON-REL   | 0.0735294117647 | 0.625  |
|  69  |  NON-REL   | 0.0724637681159 | 0.625  |
|  70  |  NON-REL   | 0.0714285714286 | 0.625  |
|  71  |  NON-REL   | 0.0704225352113 | 0.625  |
|  72  |  NON-REL   | 0.0694444444444 | 0.625  |
|  73  |  NON-REL   | 0.0684931506849 | 0.625  |
|  74  |  NON-REL   | 0.0675675675676 | 0.625  |
|  75  |  NON-REL   | 0.0666666666667 | 0.625  |
|  76  |  NON-REL   | 0.0657894736842 | 0.625  |
|  77  |  NON-REL   | 0.0649350649351 | 0.625  |
|  78  |  NON-REL   | 0.0641025641026 | 0.625  |
|  79  |  NON-REL   | 0.0632911392405 | 0.625  |
|  80  |  NON-REL   |      0.0625     | 0.625  |
|  81  |  NON-REL   | 0.0617283950617 | 0.625  |
|  82  |  NON-REL   | 0.0609756097561 | 0.625  |
|  83  |  NON-REL   | 0.0602409638554 | 0.625  |
|  84  |  NON-REL   | 0.0595238095238 | 0.625  |
|  85  |  NON-REL   | 0.0588235294118 | 0.625  |
|  86  |  NON-REL   | 0.0581395348837 | 0.625  |
|  87  |  NON-REL   | 0.0574712643678 | 0.625  |
|  88  |    REL     | 0.0681818181818 |  0.75  |
|  89  |  NON-REL   | 0.0674157303371 |  0.75  |
|  90  |  NON-REL   | 0.0666666666667 |  0.75  |
|  91  |  NON-REL   | 0.0659340659341 |  0.75  |
|  92  |  NON-REL   | 0.0652173913043 |  0.75  |
|  93  |  NON-REL   | 0.0645161290323 |  0.75  |
|  94  |  NON-REL   |  0.063829787234 |  0.75  |
|  95  |  NON-REL   | 0.0631578947368 |  0.75  |
|  96  |  NON-REL   |      0.0625     |  0.75  |
|  97  |  NON-REL   | 0.0618556701031 |  0.75  |
|  98  |  NON-REL   | 0.0612244897959 |  0.75  |
|  99  |  NON-REL   | 0.0606060606061 |  0.75  |
| 100  |  NON-REL   |       0.06      |  0.75  |
+------+------------+-----------------+--------+
