query_58: gorithms statistical packages anova regression squares generalized linear models system design capabilities statistical formula interest student test wilcoxon sign tests multivariate univariate components included
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0333333333333 |
|  2   |    REL     |      1.0       | 0.0666666666667 |
|  3   |    REL     |      1.0       |       0.1       |
|  4   |  NON-REL   |      0.75      |       0.1       |
|  5   |  NON-REL   |      0.6       |       0.1       |
|  6   |  NON-REL   |      0.5       |       0.1       |
|  7   |  NON-REL   | 0.428571428571 |       0.1       |
|  8   |    REL     |      0.5       |  0.133333333333 |
|  9   |  NON-REL   | 0.444444444444 |  0.133333333333 |
|  10  |  NON-REL   |      0.4       |  0.133333333333 |
|  11  |  NON-REL   | 0.363636363636 |  0.133333333333 |
|  12  |  NON-REL   | 0.333333333333 |  0.133333333333 |
|  13  |  NON-REL   | 0.307692307692 |  0.133333333333 |
|  14  |  NON-REL   | 0.285714285714 |  0.133333333333 |
|  15  |    REL     | 0.333333333333 |  0.166666666667 |
|  16  |  NON-REL   |     0.3125     |  0.166666666667 |
|  17  |  NON-REL   | 0.294117647059 |  0.166666666667 |
|  18  |    REL     | 0.333333333333 |       0.2       |
|  19  |  NON-REL   | 0.315789473684 |       0.2       |
|  20  |  NON-REL   |      0.3       |       0.2       |
|  21  |    REL     | 0.333333333333 |  0.233333333333 |
|  22  |  NON-REL   | 0.318181818182 |  0.233333333333 |
|  23  |  NON-REL   | 0.304347826087 |  0.233333333333 |
|  24  |  NON-REL   | 0.291666666667 |  0.233333333333 |
|  25  |  NON-REL   |      0.28      |  0.233333333333 |
|  26  |  NON-REL   | 0.269230769231 |  0.233333333333 |
|  27  |  NON-REL   | 0.259259259259 |  0.233333333333 |
|  28  |  NON-REL   |      0.25      |  0.233333333333 |
|  29  |  NON-REL   | 0.241379310345 |  0.233333333333 |
|  30  |  NON-REL   | 0.233333333333 |  0.233333333333 |
|  31  |  NON-REL   | 0.225806451613 |  0.233333333333 |
|  32  |  NON-REL   |    0.21875     |  0.233333333333 |
|  33  |  NON-REL   | 0.212121212121 |  0.233333333333 |
|  34  |  NON-REL   | 0.205882352941 |  0.233333333333 |
|  35  |  NON-REL   |      0.2       |  0.233333333333 |
|  36  |  NON-REL   | 0.194444444444 |  0.233333333333 |
|  37  |  NON-REL   | 0.189189189189 |  0.233333333333 |
|  38  |    REL     | 0.210526315789 |  0.266666666667 |
|  39  |  NON-REL   | 0.205128205128 |  0.266666666667 |
|  40  |  NON-REL   |      0.2       |  0.266666666667 |
|  41  |  NON-REL   | 0.19512195122  |  0.266666666667 |
|  42  |  NON-REL   | 0.190476190476 |  0.266666666667 |
|  43  |  NON-REL   | 0.186046511628 |  0.266666666667 |
|  44  |  NON-REL   | 0.181818181818 |  0.266666666667 |
|  45  |    REL     |      0.2       |       0.3       |
|  46  |  NON-REL   | 0.195652173913 |       0.3       |
|  47  |  NON-REL   | 0.191489361702 |       0.3       |
|  48  |  NON-REL   |     0.1875     |       0.3       |
|  49  |  NON-REL   | 0.183673469388 |       0.3       |
|  50  |  NON-REL   |      0.18      |       0.3       |
|  51  |  NON-REL   | 0.176470588235 |       0.3       |
|  52  |  NON-REL   | 0.173076923077 |       0.3       |
|  53  |  NON-REL   | 0.169811320755 |       0.3       |
|  54  |  NON-REL   | 0.166666666667 |       0.3       |
|  55  |  NON-REL   | 0.163636363636 |       0.3       |
|  56  |  NON-REL   | 0.160714285714 |       0.3       |
|  57  |  NON-REL   | 0.157894736842 |       0.3       |
|  58  |  NON-REL   | 0.155172413793 |       0.3       |
|  59  |  NON-REL   | 0.152542372881 |       0.3       |
|  60  |  NON-REL   |      0.15      |       0.3       |
|  61  |  NON-REL   | 0.147540983607 |       0.3       |
|  62  |  NON-REL   | 0.145161290323 |       0.3       |
|  63  |  NON-REL   | 0.142857142857 |       0.3       |
|  64  |  NON-REL   |    0.140625    |       0.3       |
|  65  |    REL     | 0.153846153846 |  0.333333333333 |
|  66  |  NON-REL   | 0.151515151515 |  0.333333333333 |
|  67  |  NON-REL   | 0.149253731343 |  0.333333333333 |
|  68  |  NON-REL   | 0.147058823529 |  0.333333333333 |
|  69  |  NON-REL   | 0.144927536232 |  0.333333333333 |
|  70  |  NON-REL   | 0.142857142857 |  0.333333333333 |
|  71  |  NON-REL   | 0.140845070423 |  0.333333333333 |
|  72  |  NON-REL   | 0.138888888889 |  0.333333333333 |
|  73  |  NON-REL   | 0.13698630137  |  0.333333333333 |
|  74  |  NON-REL   | 0.135135135135 |  0.333333333333 |
|  75  |  NON-REL   | 0.133333333333 |  0.333333333333 |
|  76  |  NON-REL   | 0.131578947368 |  0.333333333333 |
|  77  |  NON-REL   | 0.12987012987  |  0.333333333333 |
|  78  |    REL     | 0.141025641026 |  0.366666666667 |
|  79  |  NON-REL   | 0.139240506329 |  0.366666666667 |
|  80  |  NON-REL   |     0.1375     |  0.366666666667 |
|  81  |  NON-REL   | 0.135802469136 |  0.366666666667 |
|  82  |  NON-REL   | 0.134146341463 |  0.366666666667 |
|  83  |  NON-REL   | 0.132530120482 |  0.366666666667 |
|  84  |  NON-REL   | 0.130952380952 |  0.366666666667 |
|  85  |  NON-REL   | 0.129411764706 |  0.366666666667 |
|  86  |  NON-REL   | 0.127906976744 |  0.366666666667 |
|  87  |  NON-REL   | 0.126436781609 |  0.366666666667 |
|  88  |  NON-REL   |     0.125      |  0.366666666667 |
|  89  |  NON-REL   | 0.123595505618 |  0.366666666667 |
|  90  |  NON-REL   | 0.122222222222 |  0.366666666667 |
|  91  |  NON-REL   | 0.120879120879 |  0.366666666667 |
|  92  |  NON-REL   | 0.119565217391 |  0.366666666667 |
|  93  |  NON-REL   | 0.118279569892 |  0.366666666667 |
|  94  |  NON-REL   | 0.117021276596 |  0.366666666667 |
|  95  |  NON-REL   | 0.115789473684 |  0.366666666667 |
|  96  |  NON-REL   | 0.114583333333 |  0.366666666667 |
|  97  |  NON-REL   | 0.113402061856 |  0.366666666667 |
|  98  |  NON-REL   | 0.112244897959 |  0.366666666667 |
|  99  |  NON-REL   | 0.111111111111 |  0.366666666667 |
| 100  |  NON-REL   |      0.11      |  0.366666666667 |
+------+------------+----------------+-----------------+
