query_59: ctionary construction accessing methods fast retrieval words lexical items morphologically related information hashing indexing methods applied english spelling natural language problems
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |  NON-REL   |      0.0       |       0.0       |
|  3   |  NON-REL   |      0.0       |       0.0       |
|  4   |  NON-REL   |      0.0       |       0.0       |
|  5   |    REL     |      0.2       | 0.0232558139535 |
|  6   |    REL     | 0.333333333333 |  0.046511627907 |
|  7   |  NON-REL   | 0.285714285714 |  0.046511627907 |
|  8   |    REL     |     0.375      | 0.0697674418605 |
|  9   |  NON-REL   | 0.333333333333 | 0.0697674418605 |
|  10  |    REL     |      0.4       |  0.093023255814 |
|  11  |  NON-REL   | 0.363636363636 |  0.093023255814 |
|  12  |    REL     | 0.416666666667 |  0.116279069767 |
|  13  |  NON-REL   | 0.384615384615 |  0.116279069767 |
|  14  |  NON-REL   | 0.357142857143 |  0.116279069767 |
|  15  |  NON-REL   | 0.333333333333 |  0.116279069767 |
|  16  |  NON-REL   |     0.3125     |  0.116279069767 |
|  17  |    REL     | 0.352941176471 |  0.139534883721 |
|  18  |  NON-REL   | 0.333333333333 |  0.139534883721 |
|  19  |  NON-REL   | 0.315789473684 |  0.139534883721 |
|  20  |    REL     |      0.35      |  0.162790697674 |
|  21  |    REL     | 0.380952380952 |  0.186046511628 |
|  22  |    REL     | 0.409090909091 |  0.209302325581 |
|  23  |  NON-REL   | 0.391304347826 |  0.209302325581 |
|  24  |  NON-REL   |     0.375      |  0.209302325581 |
|  25  |  NON-REL   |      0.36      |  0.209302325581 |
|  26  |    REL     | 0.384615384615 |  0.232558139535 |
|  27  |    REL     | 0.407407407407 |  0.255813953488 |
|  28  |  NON-REL   | 0.392857142857 |  0.255813953488 |
|  29  |    REL     | 0.413793103448 |  0.279069767442 |
|  30  |  NON-REL   |      0.4       |  0.279069767442 |
|  31  |  NON-REL   | 0.387096774194 |  0.279069767442 |
|  32  |  NON-REL   |     0.375      |  0.279069767442 |
|  33  |  NON-REL   | 0.363636363636 |  0.279069767442 |
|  34  |  NON-REL   | 0.352941176471 |  0.279069767442 |
|  35  |  NON-REL   | 0.342857142857 |  0.279069767442 |
|  36  |  NON-REL   | 0.333333333333 |  0.279069767442 |
|  37  |  NON-REL   | 0.324324324324 |  0.279069767442 |
|  38  |  NON-REL   | 0.315789473684 |  0.279069767442 |
|  39  |  NON-REL   | 0.307692307692 |  0.279069767442 |
|  40  |  NON-REL   |      0.3       |  0.279069767442 |
|  41  |  NON-REL   | 0.292682926829 |  0.279069767442 |
|  42  |  NON-REL   | 0.285714285714 |  0.279069767442 |
|  43  |  NON-REL   | 0.279069767442 |  0.279069767442 |
|  44  |    REL     | 0.295454545455 |  0.302325581395 |
|  45  |    REL     | 0.311111111111 |  0.325581395349 |
|  46  |  NON-REL   | 0.304347826087 |  0.325581395349 |
|  47  |  NON-REL   | 0.297872340426 |  0.325581395349 |
|  48  |  NON-REL   | 0.291666666667 |  0.325581395349 |
|  49  |  NON-REL   | 0.285714285714 |  0.325581395349 |
|  50  |  NON-REL   |      0.28      |  0.325581395349 |
|  51  |    REL     | 0.294117647059 |  0.348837209302 |
|  52  |  NON-REL   | 0.288461538462 |  0.348837209302 |
|  53  |    REL     | 0.301886792453 |  0.372093023256 |
|  54  |  NON-REL   | 0.296296296296 |  0.372093023256 |
|  55  |  NON-REL   | 0.290909090909 |  0.372093023256 |
|  56  |  NON-REL   | 0.285714285714 |  0.372093023256 |
|  57  |  NON-REL   | 0.280701754386 |  0.372093023256 |
|  58  |    REL     | 0.293103448276 |  0.395348837209 |
|  59  |  NON-REL   | 0.28813559322  |  0.395348837209 |
|  60  |    REL     |      0.3       |  0.418604651163 |
|  61  |  NON-REL   | 0.295081967213 |  0.418604651163 |
|  62  |    REL     | 0.306451612903 |  0.441860465116 |
|  63  |  NON-REL   | 0.301587301587 |  0.441860465116 |
|  64  |  NON-REL   |    0.296875    |  0.441860465116 |
|  65  |  NON-REL   | 0.292307692308 |  0.441860465116 |
|  66  |  NON-REL   | 0.287878787879 |  0.441860465116 |
|  67  |  NON-REL   | 0.283582089552 |  0.441860465116 |
|  68  |  NON-REL   | 0.279411764706 |  0.441860465116 |
|  69  |  NON-REL   | 0.275362318841 |  0.441860465116 |
|  70  |  NON-REL   | 0.271428571429 |  0.441860465116 |
|  71  |  NON-REL   | 0.267605633803 |  0.441860465116 |
|  72  |    REL     | 0.277777777778 |  0.46511627907  |
|  73  |  NON-REL   | 0.27397260274  |  0.46511627907  |
|  74  |  NON-REL   | 0.27027027027  |  0.46511627907  |
|  75  |  NON-REL   | 0.266666666667 |  0.46511627907  |
|  76  |    REL     | 0.276315789474 |  0.488372093023 |
|  77  |    REL     | 0.285714285714 |  0.511627906977 |
|  78  |  NON-REL   | 0.282051282051 |  0.511627906977 |
|  79  |  NON-REL   | 0.278481012658 |  0.511627906977 |
|  80  |  NON-REL   |     0.275      |  0.511627906977 |
|  81  |  NON-REL   | 0.271604938272 |  0.511627906977 |
|  82  |  NON-REL   | 0.268292682927 |  0.511627906977 |
|  83  |  NON-REL   | 0.265060240964 |  0.511627906977 |
|  84  |  NON-REL   | 0.261904761905 |  0.511627906977 |
|  85  |  NON-REL   | 0.258823529412 |  0.511627906977 |
|  86  |  NON-REL   | 0.255813953488 |  0.511627906977 |
|  87  |    REL     | 0.264367816092 |  0.53488372093  |
|  88  |  NON-REL   | 0.261363636364 |  0.53488372093  |
|  89  |  NON-REL   | 0.258426966292 |  0.53488372093  |
|  90  |  NON-REL   | 0.255555555556 |  0.53488372093  |
|  91  |  NON-REL   | 0.252747252747 |  0.53488372093  |
|  92  |  NON-REL   |      0.25      |  0.53488372093  |
|  93  |  NON-REL   | 0.247311827957 |  0.53488372093  |
|  94  |  NON-REL   | 0.244680851064 |  0.53488372093  |
|  95  |  NON-REL   | 0.242105263158 |  0.53488372093  |
|  96  |  NON-REL   | 0.239583333333 |  0.53488372093  |
|  97  |  NON-REL   | 0.237113402062 |  0.53488372093  |
|  98  |  NON-REL   | 0.234693877551 |  0.53488372093  |
|  99  |  NON-REL   | 0.232323232323 |  0.53488372093  |
| 100  |  NON-REL   |      0.23      |  0.53488372093  |
+------+------------+----------------+-----------------+
