query_61: formation retrieval articles gerard salton clustering bibliographic coupling citations co-citations vector space model boolean search methods inverted feedback salton
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0322580645161 |
|  2   |    REL     |      1.0       | 0.0645161290323 |
|  3   |    REL     |      1.0       | 0.0967741935484 |
|  4   |    REL     |      1.0       |  0.129032258065 |
|  5   |    REL     |      1.0       |  0.161290322581 |
|  6   |  NON-REL   | 0.833333333333 |  0.161290322581 |
|  7   |  NON-REL   | 0.714285714286 |  0.161290322581 |
|  8   |    REL     |      0.75      |  0.193548387097 |
|  9   |  NON-REL   | 0.666666666667 |  0.193548387097 |
|  10  |  NON-REL   |      0.6       |  0.193548387097 |
|  11  |  NON-REL   | 0.545454545455 |  0.193548387097 |
|  12  |    REL     | 0.583333333333 |  0.225806451613 |
|  13  |  NON-REL   | 0.538461538462 |  0.225806451613 |
|  14  |  NON-REL   |      0.5       |  0.225806451613 |
|  15  |    REL     | 0.533333333333 |  0.258064516129 |
|  16  |  NON-REL   |      0.5       |  0.258064516129 |
|  17  |  NON-REL   | 0.470588235294 |  0.258064516129 |
|  18  |  NON-REL   | 0.444444444444 |  0.258064516129 |
|  19  |    REL     | 0.473684210526 |  0.290322580645 |
|  20  |  NON-REL   |      0.45      |  0.290322580645 |
|  21  |  NON-REL   | 0.428571428571 |  0.290322580645 |
|  22  |    REL     | 0.454545454545 |  0.322580645161 |
|  23  |  NON-REL   | 0.434782608696 |  0.322580645161 |
|  24  |  NON-REL   | 0.416666666667 |  0.322580645161 |
|  25  |  NON-REL   |      0.4       |  0.322580645161 |
|  26  |    REL     | 0.423076923077 |  0.354838709677 |
|  27  |  NON-REL   | 0.407407407407 |  0.354838709677 |
|  28  |  NON-REL   | 0.392857142857 |  0.354838709677 |
|  29  |  NON-REL   | 0.379310344828 |  0.354838709677 |
|  30  |  NON-REL   | 0.366666666667 |  0.354838709677 |
|  31  |  NON-REL   | 0.354838709677 |  0.354838709677 |
|  32  |  NON-REL   |    0.34375     |  0.354838709677 |
|  33  |  NON-REL   | 0.333333333333 |  0.354838709677 |
|  34  |  NON-REL   | 0.323529411765 |  0.354838709677 |
|  35  |    REL     | 0.342857142857 |  0.387096774194 |
|  36  |  NON-REL   | 0.333333333333 |  0.387096774194 |
|  37  |  NON-REL   | 0.324324324324 |  0.387096774194 |
|  38  |    REL     | 0.342105263158 |  0.41935483871  |
|  39  |  NON-REL   | 0.333333333333 |  0.41935483871  |
|  40  |    REL     |      0.35      |  0.451612903226 |
|  41  |    REL     | 0.365853658537 |  0.483870967742 |
|  42  |    REL     | 0.380952380952 |  0.516129032258 |
|  43  |  NON-REL   | 0.372093023256 |  0.516129032258 |
|  44  |  NON-REL   | 0.363636363636 |  0.516129032258 |
|  45  |    REL     | 0.377777777778 |  0.548387096774 |
|  46  |    REL     | 0.391304347826 |  0.58064516129  |
|  47  |  NON-REL   | 0.382978723404 |  0.58064516129  |
|  48  |  NON-REL   |     0.375      |  0.58064516129  |
|  49  |  NON-REL   | 0.367346938776 |  0.58064516129  |
|  50  |  NON-REL   |      0.36      |  0.58064516129  |
|  51  |  NON-REL   | 0.352941176471 |  0.58064516129  |
|  52  |  NON-REL   | 0.346153846154 |  0.58064516129  |
|  53  |  NON-REL   | 0.339622641509 |  0.58064516129  |
|  54  |    REL     | 0.351851851852 |  0.612903225806 |
|  55  |  NON-REL   | 0.345454545455 |  0.612903225806 |
|  56  |  NON-REL   | 0.339285714286 |  0.612903225806 |
|  57  |  NON-REL   | 0.333333333333 |  0.612903225806 |
|  58  |  NON-REL   | 0.327586206897 |  0.612903225806 |
|  59  |  NON-REL   | 0.322033898305 |  0.612903225806 |
|  60  |  NON-REL   | 0.316666666667 |  0.612903225806 |
|  61  |  NON-REL   | 0.311475409836 |  0.612903225806 |
|  62  |    REL     | 0.322580645161 |  0.645161290323 |
|  63  |  NON-REL   | 0.31746031746  |  0.645161290323 |
|  64  |  NON-REL   |     0.3125     |  0.645161290323 |
|  65  |  NON-REL   | 0.307692307692 |  0.645161290323 |
|  66  |  NON-REL   | 0.30303030303  |  0.645161290323 |
|  67  |  NON-REL   | 0.298507462687 |  0.645161290323 |
|  68  |  NON-REL   | 0.294117647059 |  0.645161290323 |
|  69  |  NON-REL   | 0.289855072464 |  0.645161290323 |
|  70  |  NON-REL   | 0.285714285714 |  0.645161290323 |
|  71  |  NON-REL   | 0.281690140845 |  0.645161290323 |
|  72  |  NON-REL   | 0.277777777778 |  0.645161290323 |
|  73  |  NON-REL   | 0.27397260274  |  0.645161290323 |
|  74  |  NON-REL   | 0.27027027027  |  0.645161290323 |
|  75  |  NON-REL   | 0.266666666667 |  0.645161290323 |
|  76  |  NON-REL   | 0.263157894737 |  0.645161290323 |
|  77  |    REL     | 0.272727272727 |  0.677419354839 |
|  78  |  NON-REL   | 0.269230769231 |  0.677419354839 |
|  79  |  NON-REL   | 0.26582278481  |  0.677419354839 |
|  80  |  NON-REL   |     0.2625     |  0.677419354839 |
|  81  |  NON-REL   | 0.259259259259 |  0.677419354839 |
|  82  |  NON-REL   | 0.256097560976 |  0.677419354839 |
|  83  |  NON-REL   | 0.253012048193 |  0.677419354839 |
|  84  |  NON-REL   |      0.25      |  0.677419354839 |
|  85  |  NON-REL   | 0.247058823529 |  0.677419354839 |
|  86  |  NON-REL   | 0.244186046512 |  0.677419354839 |
|  87  |  NON-REL   | 0.241379310345 |  0.677419354839 |
|  88  |  NON-REL   | 0.238636363636 |  0.677419354839 |
|  89  |  NON-REL   | 0.23595505618  |  0.677419354839 |
|  90  |  NON-REL   | 0.233333333333 |  0.677419354839 |
|  91  |  NON-REL   | 0.230769230769 |  0.677419354839 |
|  92  |  NON-REL   | 0.228260869565 |  0.677419354839 |
|  93  |  NON-REL   | 0.225806451613 |  0.677419354839 |
|  94  |  NON-REL   | 0.223404255319 |  0.677419354839 |
|  95  |  NON-REL   | 0.221052631579 |  0.677419354839 |
|  96  |  NON-REL   |    0.21875     |  0.677419354839 |
|  97  |  NON-REL   | 0.216494845361 |  0.677419354839 |
|  98  |  NON-REL   | 0.214285714286 |  0.677419354839 |
|  99  |  NON-REL   | 0.212121212121 |  0.677419354839 |
| 100  |  NON-REL   |      0.21      |  0.677419354839 |
+------+------------+----------------+-----------------+
