query_63: gorithms parallel computation especially comparisons parallel sequential algorithms
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0833333333333 |
|  2   |    REL     |       1.0       |  0.166666666667 |
|  3   |  NON-REL   |  0.666666666667 |  0.166666666667 |
|  4   |    REL     |       0.75      |       0.25      |
|  5   |    REL     |       0.8       |  0.333333333333 |
|  6   |  NON-REL   |  0.666666666667 |  0.333333333333 |
|  7   |  NON-REL   |  0.571428571429 |  0.333333333333 |
|  8   |    REL     |      0.625      |  0.416666666667 |
|  9   |  NON-REL   |  0.555555555556 |  0.416666666667 |
|  10  |    REL     |       0.6       |       0.5       |
|  11  |  NON-REL   |  0.545454545455 |       0.5       |
|  12  |  NON-REL   |       0.5       |       0.5       |
|  13  |    REL     |  0.538461538462 |  0.583333333333 |
|  14  |  NON-REL   |       0.5       |  0.583333333333 |
|  15  |  NON-REL   |  0.466666666667 |  0.583333333333 |
|  16  |  NON-REL   |      0.4375     |  0.583333333333 |
|  17  |  NON-REL   |  0.411764705882 |  0.583333333333 |
|  18  |  NON-REL   |  0.388888888889 |  0.583333333333 |
|  19  |    REL     |  0.421052631579 |  0.666666666667 |
|  20  |  NON-REL   |       0.4       |  0.666666666667 |
|  21  |  NON-REL   |  0.380952380952 |  0.666666666667 |
|  22  |  NON-REL   |  0.363636363636 |  0.666666666667 |
|  23  |  NON-REL   |  0.347826086957 |  0.666666666667 |
|  24  |    REL     |      0.375      |       0.75      |
|  25  |  NON-REL   |       0.36      |       0.75      |
|  26  |  NON-REL   |  0.346153846154 |       0.75      |
|  27  |  NON-REL   |  0.333333333333 |       0.75      |
|  28  |  NON-REL   |  0.321428571429 |       0.75      |
|  29  |  NON-REL   |  0.310344827586 |       0.75      |
|  30  |  NON-REL   |       0.3       |       0.75      |
|  31  |  NON-REL   |  0.290322580645 |       0.75      |
|  32  |  NON-REL   |     0.28125     |       0.75      |
|  33  |  NON-REL   |  0.272727272727 |       0.75      |
|  34  |  NON-REL   |  0.264705882353 |       0.75      |
|  35  |  NON-REL   |  0.257142857143 |       0.75      |
|  36  |  NON-REL   |       0.25      |       0.75      |
|  37  |  NON-REL   |  0.243243243243 |       0.75      |
|  38  |  NON-REL   |  0.236842105263 |       0.75      |
|  39  |  NON-REL   |  0.230769230769 |       0.75      |
|  40  |  NON-REL   |      0.225      |       0.75      |
|  41  |  NON-REL   |  0.219512195122 |       0.75      |
|  42  |  NON-REL   |  0.214285714286 |       0.75      |
|  43  |  NON-REL   |  0.209302325581 |       0.75      |
|  44  |  NON-REL   |  0.204545454545 |       0.75      |
|  45  |  NON-REL   |       0.2       |       0.75      |
|  46  |  NON-REL   |  0.195652173913 |       0.75      |
|  47  |  NON-REL   |  0.191489361702 |       0.75      |
|  48  |  NON-REL   |      0.1875     |       0.75      |
|  49  |  NON-REL   |  0.183673469388 |       0.75      |
|  50  |  NON-REL   |       0.18      |       0.75      |
|  51  |  NON-REL   |  0.176470588235 |       0.75      |
|  52  |  NON-REL   |  0.173076923077 |       0.75      |
|  53  |  NON-REL   |  0.169811320755 |       0.75      |
|  54  |  NON-REL   |  0.166666666667 |       0.75      |
|  55  |  NON-REL   |  0.163636363636 |       0.75      |
|  56  |  NON-REL   |  0.160714285714 |       0.75      |
|  57  |  NON-REL   |  0.157894736842 |       0.75      |
|  58  |  NON-REL   |  0.155172413793 |       0.75      |
|  59  |  NON-REL   |  0.152542372881 |       0.75      |
|  60  |  NON-REL   |       0.15      |       0.75      |
|  61  |  NON-REL   |  0.147540983607 |       0.75      |
|  62  |  NON-REL   |  0.145161290323 |       0.75      |
|  63  |  NON-REL   |  0.142857142857 |       0.75      |
|  64  |  NON-REL   |     0.140625    |       0.75      |
|  65  |  NON-REL   |  0.138461538462 |       0.75      |
|  66  |  NON-REL   |  0.136363636364 |       0.75      |
|  67  |  NON-REL   |  0.134328358209 |       0.75      |
|  68  |  NON-REL   |  0.132352941176 |       0.75      |
|  69  |  NON-REL   |  0.130434782609 |       0.75      |
|  70  |  NON-REL   |  0.128571428571 |       0.75      |
|  71  |  NON-REL   |  0.12676056338  |       0.75      |
|  72  |  NON-REL   |      0.125      |       0.75      |
|  73  |  NON-REL   |  0.123287671233 |       0.75      |
|  74  |  NON-REL   |  0.121621621622 |       0.75      |
|  75  |  NON-REL   |       0.12      |       0.75      |
|  76  |  NON-REL   |  0.118421052632 |       0.75      |
|  77  |  NON-REL   |  0.116883116883 |       0.75      |
|  78  |  NON-REL   |  0.115384615385 |       0.75      |
|  79  |  NON-REL   |  0.113924050633 |       0.75      |
|  80  |  NON-REL   |      0.1125     |       0.75      |
|  81  |  NON-REL   |  0.111111111111 |       0.75      |
|  82  |  NON-REL   |  0.109756097561 |       0.75      |
|  83  |  NON-REL   |  0.10843373494  |       0.75      |
|  84  |  NON-REL   |  0.107142857143 |       0.75      |
|  85  |  NON-REL   |  0.105882352941 |       0.75      |
|  86  |  NON-REL   |  0.104651162791 |       0.75      |
|  87  |  NON-REL   |  0.103448275862 |       0.75      |
|  88  |  NON-REL   |  0.102272727273 |       0.75      |
|  89  |  NON-REL   |  0.101123595506 |       0.75      |
|  90  |  NON-REL   |       0.1       |       0.75      |
|  91  |  NON-REL   | 0.0989010989011 |       0.75      |
|  92  |  NON-REL   | 0.0978260869565 |       0.75      |
|  93  |  NON-REL   | 0.0967741935484 |       0.75      |
|  94  |  NON-REL   | 0.0957446808511 |       0.75      |
|  95  |  NON-REL   | 0.0947368421053 |       0.75      |
|  96  |  NON-REL   |     0.09375     |       0.75      |
|  97  |  NON-REL   | 0.0927835051546 |       0.75      |
|  98  |  NON-REL   | 0.0918367346939 |       0.75      |
|  99  |  NON-REL   | 0.0909090909091 |       0.75      |
| 100  |  NON-REL   |       0.09      |       0.75      |
+------+------------+-----------------+-----------------+
