query_7: terested distributed algorithms  concurrent programs processes communicate synchronize message passing areas interest include fault-tolerance techniques understanding correctness algorithms
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0357142857143 |
|  2   |  NON-REL   |      0.5       | 0.0357142857143 |
|  3   |    REL     | 0.666666666667 | 0.0714285714286 |
|  4   |    REL     |      0.75      |  0.107142857143 |
|  5   |    REL     |      0.8       |  0.142857142857 |
|  6   |    REL     | 0.833333333333 |  0.178571428571 |
|  7   |    REL     | 0.857142857143 |  0.214285714286 |
|  8   |    REL     |     0.875      |       0.25      |
|  9   |  NON-REL   | 0.777777777778 |       0.25      |
|  10  |  NON-REL   |      0.7       |       0.25      |
|  11  |  NON-REL   | 0.636363636364 |       0.25      |
|  12  |    REL     | 0.666666666667 |  0.285714285714 |
|  13  |  NON-REL   | 0.615384615385 |  0.285714285714 |
|  14  |  NON-REL   | 0.571428571429 |  0.285714285714 |
|  15  |  NON-REL   | 0.533333333333 |  0.285714285714 |
|  16  |    REL     |     0.5625     |  0.321428571429 |
|  17  |  NON-REL   | 0.529411764706 |  0.321428571429 |
|  18  |  NON-REL   |      0.5       |  0.321428571429 |
|  19  |  NON-REL   | 0.473684210526 |  0.321428571429 |
|  20  |  NON-REL   |      0.45      |  0.321428571429 |
|  21  |  NON-REL   | 0.428571428571 |  0.321428571429 |
|  22  |  NON-REL   | 0.409090909091 |  0.321428571429 |
|  23  |  NON-REL   | 0.391304347826 |  0.321428571429 |
|  24  |  NON-REL   |     0.375      |  0.321428571429 |
|  25  |  NON-REL   |      0.36      |  0.321428571429 |
|  26  |  NON-REL   | 0.346153846154 |  0.321428571429 |
|  27  |  NON-REL   | 0.333333333333 |  0.321428571429 |
|  28  |  NON-REL   | 0.321428571429 |  0.321428571429 |
|  29  |  NON-REL   | 0.310344827586 |  0.321428571429 |
|  30  |  NON-REL   |      0.3       |  0.321428571429 |
|  31  |  NON-REL   | 0.290322580645 |  0.321428571429 |
|  32  |  NON-REL   |    0.28125     |  0.321428571429 |
|  33  |  NON-REL   | 0.272727272727 |  0.321428571429 |
|  34  |  NON-REL   | 0.264705882353 |  0.321428571429 |
|  35  |  NON-REL   | 0.257142857143 |  0.321428571429 |
|  36  |  NON-REL   |      0.25      |  0.321428571429 |
|  37  |  NON-REL   | 0.243243243243 |  0.321428571429 |
