query_14: nd discussions optimal implementations sort algorithms database management applications
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0227272727273 |
|  2   |  NON-REL   |       0.5       | 0.0227272727273 |
|  3   |  NON-REL   |  0.333333333333 | 0.0227272727273 |
|  4   |  NON-REL   |       0.25      | 0.0227272727273 |
|  5   |  NON-REL   |       0.2       | 0.0227272727273 |
|  6   |  NON-REL   |  0.166666666667 | 0.0227272727273 |
|  7   |  NON-REL   |  0.142857142857 | 0.0227272727273 |
|  8   |  NON-REL   |      0.125      | 0.0227272727273 |
|  9   |  NON-REL   |  0.111111111111 | 0.0227272727273 |
|  10  |  NON-REL   |       0.1       | 0.0227272727273 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0227272727273 |
|  12  |    REL     |  0.166666666667 | 0.0454545454545 |
|  13  |  NON-REL   |  0.153846153846 | 0.0454545454545 |
|  14  |  NON-REL   |  0.142857142857 | 0.0454545454545 |
|  15  |    REL     |       0.2       | 0.0681818181818 |
|  16  |  NON-REL   |      0.1875     | 0.0681818181818 |
|  17  |    REL     |  0.235294117647 | 0.0909090909091 |
|  18  |  NON-REL   |  0.222222222222 | 0.0909090909091 |
|  19  |  NON-REL   |  0.210526315789 | 0.0909090909091 |
|  20  |  NON-REL   |       0.2       | 0.0909090909091 |
|  21  |  NON-REL   |  0.190476190476 | 0.0909090909091 |
|  22  |  NON-REL   |  0.181818181818 | 0.0909090909091 |
|  23  |  NON-REL   |  0.173913043478 | 0.0909090909091 |
|  24  |  NON-REL   |  0.166666666667 | 0.0909090909091 |
|  25  |  NON-REL   |       0.16      | 0.0909090909091 |
|  26  |  NON-REL   |  0.153846153846 | 0.0909090909091 |
|  27  |  NON-REL   |  0.148148148148 | 0.0909090909091 |
|  28  |  NON-REL   |  0.142857142857 | 0.0909090909091 |
|  29  |  NON-REL   |  0.137931034483 | 0.0909090909091 |
|  30  |  NON-REL   |  0.133333333333 | 0.0909090909091 |
|  31  |  NON-REL   |  0.129032258065 | 0.0909090909091 |
