query_17: timization intermediate machine code
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       | 0.0625 |
|  2   |  NON-REL   |       0.5       | 0.0625 |
|  3   |  NON-REL   |  0.333333333333 | 0.0625 |
|  4   |  NON-REL   |       0.25      | 0.0625 |
|  5   |  NON-REL   |       0.2       | 0.0625 |
|  6   |    REL     |  0.333333333333 | 0.125  |
|  7   |    REL     |  0.428571428571 | 0.1875 |
|  8   |  NON-REL   |      0.375      | 0.1875 |
|  9   |  NON-REL   |  0.333333333333 | 0.1875 |
|  10  |  NON-REL   |       0.3       | 0.1875 |
|  11  |    REL     |  0.363636363636 |  0.25  |
|  12  |  NON-REL   |  0.333333333333 |  0.25  |
|  13  |  NON-REL   |  0.307692307692 |  0.25  |
|  14  |  NON-REL   |  0.285714285714 |  0.25  |
|  15  |  NON-REL   |  0.266666666667 |  0.25  |
|  16  |  NON-REL   |       0.25      |  0.25  |
|  17  |  NON-REL   |  0.235294117647 |  0.25  |
|  18  |  NON-REL   |  0.222222222222 |  0.25  |
|  19  |  NON-REL   |  0.210526315789 |  0.25  |
|  20  |  NON-REL   |       0.2       |  0.25  |
|  21  |  NON-REL   |  0.190476190476 |  0.25  |
|  22  |  NON-REL   |  0.181818181818 |  0.25  |
|  23  |  NON-REL   |  0.173913043478 |  0.25  |
|  24  |  NON-REL   |  0.166666666667 |  0.25  |
|  25  |  NON-REL   |       0.16      |  0.25  |
|  26  |  NON-REL   |  0.153846153846 |  0.25  |
|  27  |    REL     |  0.185185185185 | 0.3125 |
|  28  |  NON-REL   |  0.178571428571 | 0.3125 |
|  29  |  NON-REL   |  0.172413793103 | 0.3125 |
|  30  |    REL     |       0.2       | 0.375  |
|  31  |  NON-REL   |  0.193548387097 | 0.375  |
|  32  |  NON-REL   |      0.1875     | 0.375  |
|  33  |  NON-REL   |  0.181818181818 | 0.375  |
|  34  |  NON-REL   |  0.176470588235 | 0.375  |
|  35  |  NON-REL   |  0.171428571429 | 0.375  |
|  36  |  NON-REL   |  0.166666666667 | 0.375  |
|  37  |  NON-REL   |  0.162162162162 | 0.375  |
|  38  |  NON-REL   |  0.157894736842 | 0.375  |
|  39  |  NON-REL   |  0.153846153846 | 0.375  |
|  40  |  NON-REL   |       0.15      | 0.375  |
|  41  |  NON-REL   |  0.146341463415 | 0.375  |
|  42  |  NON-REL   |  0.142857142857 | 0.375  |
|  43  |  NON-REL   |  0.139534883721 | 0.375  |
|  44  |  NON-REL   |  0.136363636364 | 0.375  |
|  45  |  NON-REL   |  0.133333333333 | 0.375  |
|  46  |  NON-REL   |  0.130434782609 | 0.375  |
|  47  |  NON-REL   |  0.127659574468 | 0.375  |
|  48  |  NON-REL   |      0.125      | 0.375  |
|  49  |  NON-REL   |  0.122448979592 | 0.375  |
|  50  |  NON-REL   |       0.12      | 0.375  |
|  51  |  NON-REL   |  0.117647058824 | 0.375  |
|  52  |  NON-REL   |  0.115384615385 | 0.375  |
|  53  |  NON-REL   |  0.11320754717  | 0.375  |
|  54  |  NON-REL   |  0.111111111111 | 0.375  |
|  55  |  NON-REL   |  0.109090909091 | 0.375  |
|  56  |  NON-REL   |  0.107142857143 | 0.375  |
|  57  |  NON-REL   |  0.105263157895 | 0.375  |
|  58  |  NON-REL   |  0.103448275862 | 0.375  |
|  59  |  NON-REL   |  0.101694915254 | 0.375  |
|  60  |  NON-REL   |       0.1       | 0.375  |
|  61  |  NON-REL   | 0.0983606557377 | 0.375  |
|  62  |  NON-REL   | 0.0967741935484 | 0.375  |
|  63  |  NON-REL   | 0.0952380952381 | 0.375  |
|  64  |  NON-REL   |     0.09375     | 0.375  |
|  65  |  NON-REL   | 0.0923076923077 | 0.375  |
|  66  |  NON-REL   | 0.0909090909091 | 0.375  |
|  67  |  NON-REL   |  0.089552238806 | 0.375  |
|  68  |  NON-REL   | 0.0882352941176 | 0.375  |
|  69  |  NON-REL   | 0.0869565217391 | 0.375  |
|  70  |  NON-REL   | 0.0857142857143 | 0.375  |
|  71  |  NON-REL   | 0.0845070422535 | 0.375  |
|  72  |  NON-REL   | 0.0833333333333 | 0.375  |
|  73  |  NON-REL   | 0.0821917808219 | 0.375  |
|  74  |  NON-REL   | 0.0810810810811 | 0.375  |
|  75  |  NON-REL   |       0.08      | 0.375  |
|  76  |  NON-REL   | 0.0789473684211 | 0.375  |
|  77  |  NON-REL   | 0.0779220779221 | 0.375  |
|  78  |  NON-REL   | 0.0769230769231 | 0.375  |
|  79  |  NON-REL   | 0.0759493670886 | 0.375  |
|  80  |  NON-REL   |      0.075      | 0.375  |
|  81  |    REL     | 0.0864197530864 | 0.4375 |
|  82  |  NON-REL   | 0.0853658536585 | 0.4375 |
|  83  |  NON-REL   | 0.0843373493976 | 0.4375 |
|  84  |  NON-REL   | 0.0833333333333 | 0.4375 |
|  85  |  NON-REL   | 0.0823529411765 | 0.4375 |
|  86  |  NON-REL   | 0.0813953488372 | 0.4375 |
|  87  |  NON-REL   | 0.0804597701149 | 0.4375 |
|  88  |  NON-REL   | 0.0795454545455 | 0.4375 |
|  89  |  NON-REL   | 0.0786516853933 | 0.4375 |
|  90  |  NON-REL   | 0.0777777777778 | 0.4375 |
|  91  |  NON-REL   | 0.0769230769231 | 0.4375 |
|  92  |  NON-REL   | 0.0760869565217 | 0.4375 |
|  93  |  NON-REL   | 0.0752688172043 | 0.4375 |
|  94  |  NON-REL   | 0.0744680851064 | 0.4375 |
|  95  |  NON-REL   | 0.0736842105263 | 0.4375 |
|  96  |  NON-REL   | 0.0729166666667 | 0.4375 |
|  97  |  NON-REL   | 0.0721649484536 | 0.4375 |
|  98  |  NON-REL   | 0.0714285714286 | 0.4375 |
|  99  |  NON-REL   | 0.0707070707071 | 0.4375 |
| 100  |  NON-REL   |       0.07      | 0.4375 |
+------+------------+-----------------+--------+
