query_22: terested hidden-line hidden-surface algorithms cylinders toroids spheres cones specialized topic computer graphics
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0588235294118 |
|  2   |    REL     |      1.0       |  0.117647058824 |
|  3   |    REL     |      1.0       |  0.176470588235 |
|  4   |    REL     |      1.0       |  0.235294117647 |
|  5   |  NON-REL   |      0.8       |  0.235294117647 |
|  6   |    REL     | 0.833333333333 |  0.294117647059 |
|  7   |  NON-REL   | 0.714285714286 |  0.294117647059 |
|  8   |  NON-REL   |     0.625      |  0.294117647059 |
|  9   |    REL     | 0.666666666667 |  0.352941176471 |
|  10  |    REL     |      0.7       |  0.411764705882 |
|  11  |    REL     | 0.727272727273 |  0.470588235294 |
|  12  |    REL     |      0.75      |  0.529411764706 |
|  13  |    REL     | 0.769230769231 |  0.588235294118 |
|  14  |    REL     | 0.785714285714 |  0.647058823529 |
|  15  |    REL     |      0.8       |  0.705882352941 |
|  16  |    REL     |     0.8125     |  0.764705882353 |
|  17  |  NON-REL   | 0.764705882353 |  0.764705882353 |
|  18  |  NON-REL   | 0.722222222222 |  0.764705882353 |
|  19  |  NON-REL   | 0.684210526316 |  0.764705882353 |
|  20  |  NON-REL   |      0.65      |  0.764705882353 |
|  21  |  NON-REL   | 0.619047619048 |  0.764705882353 |
|  22  |  NON-REL   | 0.590909090909 |  0.764705882353 |
|  23  |  NON-REL   | 0.565217391304 |  0.764705882353 |
|  24  |  NON-REL   | 0.541666666667 |  0.764705882353 |
|  25  |  NON-REL   |      0.52      |  0.764705882353 |
|  26  |  NON-REL   |      0.5       |  0.764705882353 |
|  27  |    REL     | 0.518518518519 |  0.823529411765 |
|  28  |  NON-REL   |      0.5       |  0.823529411765 |
|  29  |  NON-REL   | 0.48275862069  |  0.823529411765 |
|  30  |  NON-REL   | 0.466666666667 |  0.823529411765 |
