query_23: stributed computing structures algorithms
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       |  0.25  |
|  2   |    REL     |       1.0       |  0.5   |
|  3   |    REL     |       1.0       |  0.75  |
|  4   |  NON-REL   |       0.75      |  0.75  |
|  5   |  NON-REL   |       0.6       |  0.75  |
|  6   |  NON-REL   |       0.5       |  0.75  |
|  7   |  NON-REL   |  0.428571428571 |  0.75  |
|  8   |  NON-REL   |      0.375      |  0.75  |
|  9   |    REL     |  0.444444444444 |  1.0   |
|  10  |  NON-REL   |       0.4       |  1.0   |
|  11  |  NON-REL   |  0.363636363636 |  1.0   |
|  12  |  NON-REL   |  0.333333333333 |  1.0   |
|  13  |  NON-REL   |  0.307692307692 |  1.0   |
|  14  |  NON-REL   |  0.285714285714 |  1.0   |
|  15  |  NON-REL   |  0.266666666667 |  1.0   |
|  16  |  NON-REL   |       0.25      |  1.0   |
|  17  |  NON-REL   |  0.235294117647 |  1.0   |
|  18  |  NON-REL   |  0.222222222222 |  1.0   |
|  19  |  NON-REL   |  0.210526315789 |  1.0   |
|  20  |  NON-REL   |       0.2       |  1.0   |
|  21  |  NON-REL   |  0.190476190476 |  1.0   |
|  22  |  NON-REL   |  0.181818181818 |  1.0   |
|  23  |  NON-REL   |  0.173913043478 |  1.0   |
|  24  |  NON-REL   |  0.166666666667 |  1.0   |
|  25  |  NON-REL   |       0.16      |  1.0   |
|  26  |  NON-REL   |  0.153846153846 |  1.0   |
|  27  |  NON-REL   |  0.148148148148 |  1.0   |
|  28  |  NON-REL   |  0.142857142857 |  1.0   |
|  29  |  NON-REL   |  0.137931034483 |  1.0   |
|  30  |  NON-REL   |  0.133333333333 |  1.0   |
|  31  |  NON-REL   |  0.129032258065 |  1.0   |
|  32  |  NON-REL   |      0.125      |  1.0   |
|  33  |  NON-REL   |  0.121212121212 |  1.0   |
|  34  |  NON-REL   |  0.117647058824 |  1.0   |
|  35  |  NON-REL   |  0.114285714286 |  1.0   |
|  36  |  NON-REL   |  0.111111111111 |  1.0   |
|  37  |  NON-REL   |  0.108108108108 |  1.0   |
|  38  |  NON-REL   |  0.105263157895 |  1.0   |
|  39  |  NON-REL   |  0.102564102564 |  1.0   |
|  40  |  NON-REL   |       0.1       |  1.0   |
|  41  |  NON-REL   | 0.0975609756098 |  1.0   |
|  42  |  NON-REL   | 0.0952380952381 |  1.0   |
|  43  |  NON-REL   |  0.093023255814 |  1.0   |
|  44  |  NON-REL   | 0.0909090909091 |  1.0   |
|  45  |  NON-REL   | 0.0888888888889 |  1.0   |
|  46  |  NON-REL   | 0.0869565217391 |  1.0   |
|  47  |  NON-REL   | 0.0851063829787 |  1.0   |
|  48  |  NON-REL   | 0.0833333333333 |  1.0   |
|  49  |  NON-REL   | 0.0816326530612 |  1.0   |
|  50  |  NON-REL   |       0.08      |  1.0   |
|  51  |  NON-REL   |  0.078431372549 |  1.0   |
|  52  |  NON-REL   | 0.0769230769231 |  1.0   |
|  53  |  NON-REL   | 0.0754716981132 |  1.0   |
|  54  |  NON-REL   | 0.0740740740741 |  1.0   |
|  55  |  NON-REL   | 0.0727272727273 |  1.0   |
|  56  |  NON-REL   | 0.0714285714286 |  1.0   |
|  57  |  NON-REL   | 0.0701754385965 |  1.0   |
|  58  |  NON-REL   | 0.0689655172414 |  1.0   |
|  59  |  NON-REL   | 0.0677966101695 |  1.0   |
|  60  |  NON-REL   | 0.0666666666667 |  1.0   |
|  61  |  NON-REL   | 0.0655737704918 |  1.0   |
|  62  |  NON-REL   | 0.0645161290323 |  1.0   |
|  63  |  NON-REL   | 0.0634920634921 |  1.0   |
|  64  |  NON-REL   |      0.0625     |  1.0   |
|  65  |  NON-REL   | 0.0615384615385 |  1.0   |
|  66  |  NON-REL   | 0.0606060606061 |  1.0   |
|  67  |  NON-REL   | 0.0597014925373 |  1.0   |
|  68  |  NON-REL   | 0.0588235294118 |  1.0   |
|  69  |  NON-REL   | 0.0579710144928 |  1.0   |
|  70  |  NON-REL   | 0.0571428571429 |  1.0   |
|  71  |  NON-REL   |  0.056338028169 |  1.0   |
|  72  |  NON-REL   | 0.0555555555556 |  1.0   |
|  73  |  NON-REL   | 0.0547945205479 |  1.0   |
|  74  |  NON-REL   | 0.0540540540541 |  1.0   |
|  75  |  NON-REL   | 0.0533333333333 |  1.0   |
|  76  |  NON-REL   | 0.0526315789474 |  1.0   |
|  77  |  NON-REL   | 0.0519480519481 |  1.0   |
|  78  |  NON-REL   | 0.0512820512821 |  1.0   |
|  79  |  NON-REL   | 0.0506329113924 |  1.0   |
|  80  |  NON-REL   |       0.05      |  1.0   |
|  81  |  NON-REL   | 0.0493827160494 |  1.0   |
|  82  |  NON-REL   | 0.0487804878049 |  1.0   |
|  83  |  NON-REL   | 0.0481927710843 |  1.0   |
|  84  |  NON-REL   |  0.047619047619 |  1.0   |
|  85  |  NON-REL   | 0.0470588235294 |  1.0   |
|  86  |  NON-REL   |  0.046511627907 |  1.0   |
|  87  |  NON-REL   | 0.0459770114943 |  1.0   |
|  88  |  NON-REL   | 0.0454545454545 |  1.0   |
|  89  |  NON-REL   | 0.0449438202247 |  1.0   |
|  90  |  NON-REL   | 0.0444444444444 |  1.0   |
|  91  |  NON-REL   |  0.043956043956 |  1.0   |
|  92  |  NON-REL   | 0.0434782608696 |  1.0   |
|  93  |  NON-REL   | 0.0430107526882 |  1.0   |
|  94  |  NON-REL   | 0.0425531914894 |  1.0   |
|  95  |  NON-REL   | 0.0421052631579 |  1.0   |
|  96  |  NON-REL   | 0.0416666666667 |  1.0   |
|  97  |  NON-REL   | 0.0412371134021 |  1.0   |
|  98  |  NON-REL   | 0.0408163265306 |  1.0   |
|  99  |  NON-REL   |  0.040404040404 |  1.0   |
| 100  |  NON-REL   |       0.04      |  1.0   |
+------+------------+-----------------+--------+
