query_25: rformance evaluation modelling computer systems
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0196078431373 |
|  2   |  NON-REL   |      0.5       | 0.0196078431373 |
|  3   |    REL     | 0.666666666667 | 0.0392156862745 |
|  4   |    REL     |      0.75      | 0.0588235294118 |
|  5   |    REL     |      0.8       |  0.078431372549 |
|  6   |  NON-REL   | 0.666666666667 |  0.078431372549 |
|  7   |    REL     | 0.714285714286 | 0.0980392156863 |
|  8   |  NON-REL   |     0.625      | 0.0980392156863 |
|  9   |  NON-REL   | 0.555555555556 | 0.0980392156863 |
|  10  |  NON-REL   |      0.5       | 0.0980392156863 |
|  11  |    REL     | 0.545454545455 |  0.117647058824 |
|  12  |  NON-REL   |      0.5       |  0.117647058824 |
|  13  |  NON-REL   | 0.461538461538 |  0.117647058824 |
|  14  |    REL     |      0.5       |  0.137254901961 |
|  15  |  NON-REL   | 0.466666666667 |  0.137254901961 |
|  16  |    REL     |      0.5       |  0.156862745098 |
|  17  |  NON-REL   | 0.470588235294 |  0.156862745098 |
|  18  |    REL     |      0.5       |  0.176470588235 |
|  19  |  NON-REL   | 0.473684210526 |  0.176470588235 |
|  20  |  NON-REL   |      0.45      |  0.176470588235 |
|  21  |  NON-REL   | 0.428571428571 |  0.176470588235 |
|  22  |  NON-REL   | 0.409090909091 |  0.176470588235 |
|  23  |  NON-REL   | 0.391304347826 |  0.176470588235 |
|  24  |    REL     | 0.416666666667 |  0.196078431373 |
|  25  |  NON-REL   |      0.4       |  0.196078431373 |
|  26  |    REL     | 0.423076923077 |  0.21568627451  |
|  27  |  NON-REL   | 0.407407407407 |  0.21568627451  |
|  28  |    REL     | 0.428571428571 |  0.235294117647 |
|  29  |  NON-REL   | 0.413793103448 |  0.235294117647 |
|  30  |  NON-REL   |      0.4       |  0.235294117647 |
|  31  |  NON-REL   | 0.387096774194 |  0.235294117647 |
|  32  |  NON-REL   |     0.375      |  0.235294117647 |
|  33  |  NON-REL   | 0.363636363636 |  0.235294117647 |
|  34  |  NON-REL   | 0.352941176471 |  0.235294117647 |
|  35  |  NON-REL   | 0.342857142857 |  0.235294117647 |
|  36  |  NON-REL   | 0.333333333333 |  0.235294117647 |
|  37  |  NON-REL   | 0.324324324324 |  0.235294117647 |
|  38  |  NON-REL   | 0.315789473684 |  0.235294117647 |
|  39  |  NON-REL   | 0.307692307692 |  0.235294117647 |
|  40  |    REL     |     0.325      |  0.254901960784 |
|  41  |  NON-REL   | 0.317073170732 |  0.254901960784 |
|  42  |  NON-REL   | 0.309523809524 |  0.254901960784 |
|  43  |    REL     | 0.325581395349 |  0.274509803922 |
|  44  |  NON-REL   | 0.318181818182 |  0.274509803922 |
|  45  |  NON-REL   | 0.311111111111 |  0.274509803922 |
|  46  |  NON-REL   | 0.304347826087 |  0.274509803922 |
|  47  |  NON-REL   | 0.297872340426 |  0.274509803922 |
|  48  |  NON-REL   | 0.291666666667 |  0.274509803922 |
|  49  |    REL     | 0.30612244898  |  0.294117647059 |
|  50  |  NON-REL   |      0.3       |  0.294117647059 |
|  51  |  NON-REL   | 0.294117647059 |  0.294117647059 |
|  52  |  NON-REL   | 0.288461538462 |  0.294117647059 |
|  53  |  NON-REL   | 0.283018867925 |  0.294117647059 |
|  54  |  NON-REL   | 0.277777777778 |  0.294117647059 |
|  55  |  NON-REL   | 0.272727272727 |  0.294117647059 |
|  56  |  NON-REL   | 0.267857142857 |  0.294117647059 |
|  57  |  NON-REL   | 0.263157894737 |  0.294117647059 |
