query_36: st algorithm context-free language recognition parsing
+------+------------+----------------+--------+
| RANK | REL/NONREL |   PRECISION    | RECALL |
+------+------------+----------------+--------+
|  1   |    REL     |      1.0       |  0.05  |
|  2   |    REL     |      1.0       |  0.1   |
|  3   |  NON-REL   | 0.666666666667 |  0.1   |
|  4   |  NON-REL   |      0.5       |  0.1   |
|  5   |  NON-REL   |      0.4       |  0.1   |
|  6   |  NON-REL   | 0.333333333333 |  0.1   |
|  7   |    REL     | 0.428571428571 |  0.15  |
|  8   |  NON-REL   |     0.375      |  0.15  |
|  9   |    REL     | 0.444444444444 |  0.2   |
|  10  |  NON-REL   |      0.4       |  0.2   |
|  11  |    REL     | 0.454545454545 |  0.25  |
|  12  |  NON-REL   | 0.416666666667 |  0.25  |
|  13  |  NON-REL   | 0.384615384615 |  0.25  |
|  14  |    REL     | 0.428571428571 |  0.3   |
|  15  |  NON-REL   |      0.4       |  0.3   |
|  16  |  NON-REL   |     0.375      |  0.3   |
|  17  |    REL     | 0.411764705882 |  0.35  |
|  18  |  NON-REL   | 0.388888888889 |  0.35  |
|  19  |    REL     | 0.421052631579 |  0.4   |
|  20  |    REL     |      0.45      |  0.45  |
|  21  |    REL     | 0.47619047619  |  0.5   |
|  22  |    REL     |      0.5       |  0.55  |
|  23  |  NON-REL   | 0.478260869565 |  0.55  |
|  24  |  NON-REL   | 0.458333333333 |  0.55  |
|  25  |  NON-REL   |      0.44      |  0.55  |
|  26  |  NON-REL   | 0.423076923077 |  0.55  |
|  27  |    REL     | 0.444444444444 |  0.6   |
|  28  |    REL     | 0.464285714286 |  0.65  |
|  29  |    REL     | 0.48275862069  |  0.7   |
|  30  |  NON-REL   | 0.466666666667 |  0.7   |
|  31  |  NON-REL   | 0.451612903226 |  0.7   |
|  32  |  NON-REL   |     0.4375     |  0.7   |
|  33  |  NON-REL   | 0.424242424242 |  0.7   |
|  34  |  NON-REL   | 0.411764705882 |  0.7   |
|  35  |  NON-REL   |      0.4       |  0.7   |
|  36  |  NON-REL   | 0.388888888889 |  0.7   |
|  37  |  NON-REL   | 0.378378378378 |  0.7   |
