query_39: pe compatibility mean languages allow programmer defined types want restrict extensible languages allow definition abstract data types programmer-supplied definitions operators
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0833333333333 |
|  2   |  NON-REL   |      0.5       | 0.0833333333333 |
|  3   |    REL     | 0.666666666667 |  0.166666666667 |
|  4   |  NON-REL   |      0.5       |  0.166666666667 |
|  5   |  NON-REL   |      0.4       |  0.166666666667 |
|  6   |  NON-REL   | 0.333333333333 |  0.166666666667 |
|  7   |  NON-REL   | 0.285714285714 |  0.166666666667 |
|  8   |  NON-REL   |      0.25      |  0.166666666667 |
|  9   |  NON-REL   | 0.222222222222 |  0.166666666667 |
|  10  |    REL     |      0.3       |       0.25      |
|  11  |  NON-REL   | 0.272727272727 |       0.25      |
|  12  |    REL     | 0.333333333333 |  0.333333333333 |
|  13  |  NON-REL   | 0.307692307692 |  0.333333333333 |
|  14  |  NON-REL   | 0.285714285714 |  0.333333333333 |
|  15  |  NON-REL   | 0.266666666667 |  0.333333333333 |
|  16  |  NON-REL   |      0.25      |  0.333333333333 |
|  17  |  NON-REL   | 0.235294117647 |  0.333333333333 |
|  18  |    REL     | 0.277777777778 |  0.416666666667 |
|  19  |  NON-REL   | 0.263157894737 |  0.416666666667 |
|  20  |  NON-REL   |      0.25      |  0.416666666667 |
|  21  |  NON-REL   | 0.238095238095 |  0.416666666667 |
|  22  |  NON-REL   | 0.227272727273 |  0.416666666667 |
|  23  |  NON-REL   | 0.217391304348 |  0.416666666667 |
|  24  |  NON-REL   | 0.208333333333 |  0.416666666667 |
|  25  |    REL     |      0.24      |       0.5       |
|  26  |  NON-REL   | 0.230769230769 |       0.5       |
|  27  |  NON-REL   | 0.222222222222 |       0.5       |
|  28  |  NON-REL   | 0.214285714286 |       0.5       |
|  29  |  NON-REL   | 0.206896551724 |       0.5       |
|  30  |  NON-REL   |      0.2       |       0.5       |
|  31  |  NON-REL   | 0.193548387097 |       0.5       |
|  32  |  NON-REL   |     0.1875     |       0.5       |
|  33  |  NON-REL   | 0.181818181818 |       0.5       |
|  34  |  NON-REL   | 0.176470588235 |       0.5       |
|  35  |    REL     |      0.2       |  0.583333333333 |
|  36  |  NON-REL   | 0.194444444444 |  0.583333333333 |
|  37  |  NON-REL   | 0.189189189189 |  0.583333333333 |
|  38  |  NON-REL   | 0.184210526316 |  0.583333333333 |
|  39  |    REL     | 0.205128205128 |  0.666666666667 |
|  40  |  NON-REL   |      0.2       |  0.666666666667 |
|  41  |  NON-REL   | 0.19512195122  |  0.666666666667 |
|  42  |  NON-REL   | 0.190476190476 |  0.666666666667 |
|  43  |    REL     | 0.209302325581 |       0.75      |
|  44  |  NON-REL   | 0.204545454545 |       0.75      |
|  45  |  NON-REL   |      0.2       |       0.75      |
|  46  |  NON-REL   | 0.195652173913 |       0.75      |
|  47  |  NON-REL   | 0.191489361702 |       0.75      |
|  48  |  NON-REL   |     0.1875     |       0.75      |
|  49  |  NON-REL   | 0.183673469388 |       0.75      |
|  50  |  NON-REL   |      0.18      |       0.75      |
|  51  |  NON-REL   | 0.176470588235 |       0.75      |
|  52  |  NON-REL   | 0.173076923077 |       0.75      |
|  53  |  NON-REL   | 0.169811320755 |       0.75      |
|  54  |  NON-REL   | 0.166666666667 |       0.75      |
|  55  |  NON-REL   | 0.163636363636 |       0.75      |
|  56  |  NON-REL   | 0.160714285714 |       0.75      |
|  57  |  NON-REL   | 0.157894736842 |       0.75      |
|  58  |  NON-REL   | 0.155172413793 |       0.75      |
|  59  |  NON-REL   | 0.152542372881 |       0.75      |
|  60  |  NON-REL   |      0.15      |       0.75      |
|  61  |  NON-REL   | 0.147540983607 |       0.75      |
|  62  |  NON-REL   | 0.145161290323 |       0.75      |
|  63  |  NON-REL   | 0.142857142857 |       0.75      |
|  64  |  NON-REL   |    0.140625    |       0.75      |
|  65  |  NON-REL   | 0.138461538462 |       0.75      |
|  66  |  NON-REL   | 0.136363636364 |       0.75      |
|  67  |  NON-REL   | 0.134328358209 |       0.75      |
|  68  |  NON-REL   | 0.132352941176 |       0.75      |
|  69  |    REL     | 0.144927536232 |  0.833333333333 |
|  70  |  NON-REL   | 0.142857142857 |  0.833333333333 |
|  71  |  NON-REL   | 0.140845070423 |  0.833333333333 |
|  72  |  NON-REL   | 0.138888888889 |  0.833333333333 |
|  73  |  NON-REL   | 0.13698630137  |  0.833333333333 |
|  74  |    REL     | 0.148648648649 |  0.916666666667 |
|  75  |  NON-REL   | 0.146666666667 |  0.916666666667 |
|  76  |  NON-REL   | 0.144736842105 |  0.916666666667 |
|  77  |  NON-REL   | 0.142857142857 |  0.916666666667 |
|  78  |  NON-REL   | 0.141025641026 |  0.916666666667 |
|  79  |  NON-REL   | 0.139240506329 |  0.916666666667 |
|  80  |  NON-REL   |     0.1375     |  0.916666666667 |
|  81  |  NON-REL   | 0.135802469136 |  0.916666666667 |
|  82  |  NON-REL   | 0.134146341463 |  0.916666666667 |
|  83  |  NON-REL   | 0.132530120482 |  0.916666666667 |
|  84  |  NON-REL   | 0.130952380952 |  0.916666666667 |
|  85  |  NON-REL   | 0.129411764706 |  0.916666666667 |
|  86  |  NON-REL   | 0.127906976744 |  0.916666666667 |
|  87  |  NON-REL   | 0.126436781609 |  0.916666666667 |
|  88  |  NON-REL   |     0.125      |  0.916666666667 |
|  89  |  NON-REL   | 0.123595505618 |  0.916666666667 |
|  90  |  NON-REL   | 0.122222222222 |  0.916666666667 |
|  91  |  NON-REL   | 0.120879120879 |  0.916666666667 |
|  92  |  NON-REL   | 0.119565217391 |  0.916666666667 |
|  93  |  NON-REL   | 0.118279569892 |  0.916666666667 |
|  94  |  NON-REL   | 0.117021276596 |  0.916666666667 |
|  95  |  NON-REL   | 0.115789473684 |  0.916666666667 |
|  96  |  NON-REL   | 0.114583333333 |  0.916666666667 |
|  97  |  NON-REL   | 0.113402061856 |  0.916666666667 |
|  98  |  NON-REL   | 0.112244897959 |  0.916666666667 |
|  99  |  NON-REL   | 0.111111111111 |  0.916666666667 |
| 100  |  NON-REL   |      0.11      |  0.916666666667 |
+------+------------+----------------+-----------------+
