query_40: st articles dealing data types languages referenced frequently papers languages e.g catch languages interesting type structures missed
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |    REL     |       0.5       |  0.1   |
|  3   |    REL     |  0.666666666667 |  0.2   |
|  4   |  NON-REL   |       0.5       |  0.2   |
|  5   |  NON-REL   |       0.4       |  0.2   |
|  6   |  NON-REL   |  0.333333333333 |  0.2   |
|  7   |  NON-REL   |  0.285714285714 |  0.2   |
|  8   |    REL     |      0.375      |  0.3   |
|  9   |    REL     |  0.444444444444 |  0.4   |
|  10  |  NON-REL   |       0.4       |  0.4   |
|  11  |  NON-REL   |  0.363636363636 |  0.4   |
|  12  |  NON-REL   |  0.333333333333 |  0.4   |
|  13  |  NON-REL   |  0.307692307692 |  0.4   |
|  14  |  NON-REL   |  0.285714285714 |  0.4   |
|  15  |  NON-REL   |  0.266666666667 |  0.4   |
|  16  |  NON-REL   |       0.25      |  0.4   |
|  17  |  NON-REL   |  0.235294117647 |  0.4   |
|  18  |  NON-REL   |  0.222222222222 |  0.4   |
|  19  |  NON-REL   |  0.210526315789 |  0.4   |
|  20  |  NON-REL   |       0.2       |  0.4   |
|  21  |  NON-REL   |  0.190476190476 |  0.4   |
|  22  |  NON-REL   |  0.181818181818 |  0.4   |
|  23  |  NON-REL   |  0.173913043478 |  0.4   |
|  24  |  NON-REL   |  0.166666666667 |  0.4   |
|  25  |  NON-REL   |       0.16      |  0.4   |
|  26  |  NON-REL   |  0.153846153846 |  0.4   |
|  27  |  NON-REL   |  0.148148148148 |  0.4   |
|  28  |  NON-REL   |  0.142857142857 |  0.4   |
|  29  |  NON-REL   |  0.137931034483 |  0.4   |
|  30  |  NON-REL   |  0.133333333333 |  0.4   |
|  31  |  NON-REL   |  0.129032258065 |  0.4   |
|  32  |  NON-REL   |      0.125      |  0.4   |
|  33  |  NON-REL   |  0.121212121212 |  0.4   |
|  34  |  NON-REL   |  0.117647058824 |  0.4   |
|  35  |  NON-REL   |  0.114285714286 |  0.4   |
|  36  |  NON-REL   |  0.111111111111 |  0.4   |
|  37  |  NON-REL   |  0.108108108108 |  0.4   |
|  38  |  NON-REL   |  0.105263157895 |  0.4   |
|  39  |  NON-REL   |  0.102564102564 |  0.4   |
|  40  |  NON-REL   |       0.1       |  0.4   |
|  41  |  NON-REL   | 0.0975609756098 |  0.4   |
|  42  |  NON-REL   | 0.0952380952381 |  0.4   |
|  43  |    REL     |  0.116279069767 |  0.5   |
|  44  |    REL     |  0.136363636364 |  0.6   |
|  45  |  NON-REL   |  0.133333333333 |  0.6   |
|  46  |  NON-REL   |  0.130434782609 |  0.6   |
|  47  |    REL     |  0.148936170213 |  0.7   |
|  48  |  NON-REL   |  0.145833333333 |  0.7   |
|  49  |  NON-REL   |  0.142857142857 |  0.7   |
|  50  |  NON-REL   |       0.14      |  0.7   |
|  51  |  NON-REL   |  0.137254901961 |  0.7   |
|  52  |  NON-REL   |  0.134615384615 |  0.7   |
|  53  |  NON-REL   |  0.132075471698 |  0.7   |
|  54  |  NON-REL   |  0.12962962963  |  0.7   |
|  55  |  NON-REL   |  0.127272727273 |  0.7   |
|  56  |  NON-REL   |      0.125      |  0.7   |
|  57  |  NON-REL   |  0.122807017544 |  0.7   |
|  58  |  NON-REL   |  0.120689655172 |  0.7   |
|  59  |  NON-REL   |  0.118644067797 |  0.7   |
|  60  |  NON-REL   |  0.116666666667 |  0.7   |
|  61  |  NON-REL   |  0.114754098361 |  0.7   |
|  62  |  NON-REL   |  0.112903225806 |  0.7   |
|  63  |  NON-REL   |  0.111111111111 |  0.7   |
|  64  |  NON-REL   |     0.109375    |  0.7   |
|  65  |    REL     |  0.123076923077 |  0.8   |
|  66  |  NON-REL   |  0.121212121212 |  0.8   |
|  67  |  NON-REL   |  0.119402985075 |  0.8   |
|  68  |  NON-REL   |  0.117647058824 |  0.8   |
|  69  |  NON-REL   |  0.115942028986 |  0.8   |
|  70  |  NON-REL   |  0.114285714286 |  0.8   |
|  71  |  NON-REL   |  0.112676056338 |  0.8   |
|  72  |  NON-REL   |  0.111111111111 |  0.8   |
|  73  |  NON-REL   |  0.109589041096 |  0.8   |
|  74  |  NON-REL   |  0.108108108108 |  0.8   |
|  75  |  NON-REL   |  0.106666666667 |  0.8   |
|  76  |  NON-REL   |  0.105263157895 |  0.8   |
|  77  |  NON-REL   |  0.103896103896 |  0.8   |
|  78  |  NON-REL   |  0.102564102564 |  0.8   |
|  79  |  NON-REL   |  0.101265822785 |  0.8   |
|  80  |  NON-REL   |       0.1       |  0.8   |
|  81  |  NON-REL   | 0.0987654320988 |  0.8   |
|  82  |  NON-REL   | 0.0975609756098 |  0.8   |
|  83  |  NON-REL   | 0.0963855421687 |  0.8   |
|  84  |  NON-REL   | 0.0952380952381 |  0.8   |
|  85  |  NON-REL   | 0.0941176470588 |  0.8   |
|  86  |  NON-REL   |  0.093023255814 |  0.8   |
|  87  |  NON-REL   | 0.0919540229885 |  0.8   |
|  88  |  NON-REL   | 0.0909090909091 |  0.8   |
|  89  |  NON-REL   | 0.0898876404494 |  0.8   |
|  90  |  NON-REL   | 0.0888888888889 |  0.8   |
|  91  |  NON-REL   | 0.0879120879121 |  0.8   |
|  92  |  NON-REL   | 0.0869565217391 |  0.8   |
|  93  |  NON-REL   | 0.0860215053763 |  0.8   |
|  94  |  NON-REL   | 0.0851063829787 |  0.8   |
|  95  |  NON-REL   | 0.0842105263158 |  0.8   |
|  96  |  NON-REL   | 0.0833333333333 |  0.8   |
|  97  |  NON-REL   | 0.0824742268041 |  0.8   |
|  98  |  NON-REL   | 0.0816326530612 |  0.8   |
|  99  |  NON-REL   | 0.0808080808081 |  0.8   |
| 100  |  NON-REL   |       0.08      |  0.8   |
+------+------------+-----------------+--------+
