query_42: mputer performance evaluation techniques pattern recognition clustering la
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |    REL     |  0.166666666667 |  0.047619047619 |
|  7   |    REL     |  0.285714285714 | 0.0952380952381 |
|  8   |  NON-REL   |       0.25      | 0.0952380952381 |
|  9   |  NON-REL   |  0.222222222222 | 0.0952380952381 |
|  10  |  NON-REL   |       0.2       | 0.0952380952381 |
|  11  |  NON-REL   |  0.181818181818 | 0.0952380952381 |
|  12  |  NON-REL   |  0.166666666667 | 0.0952380952381 |
|  13  |  NON-REL   |  0.153846153846 | 0.0952380952381 |
|  14  |    REL     |  0.214285714286 |  0.142857142857 |
|  15  |  NON-REL   |       0.2       |  0.142857142857 |
|  16  |  NON-REL   |      0.1875     |  0.142857142857 |
|  17  |  NON-REL   |  0.176470588235 |  0.142857142857 |
|  18  |  NON-REL   |  0.166666666667 |  0.142857142857 |
|  19  |    REL     |  0.210526315789 |  0.190476190476 |
|  20  |  NON-REL   |       0.2       |  0.190476190476 |
|  21  |  NON-REL   |  0.190476190476 |  0.190476190476 |
|  22  |  NON-REL   |  0.181818181818 |  0.190476190476 |
|  23  |  NON-REL   |  0.173913043478 |  0.190476190476 |
|  24  |  NON-REL   |  0.166666666667 |  0.190476190476 |
|  25  |  NON-REL   |       0.16      |  0.190476190476 |
|  26  |  NON-REL   |  0.153846153846 |  0.190476190476 |
|  27  |  NON-REL   |  0.148148148148 |  0.190476190476 |
|  28  |  NON-REL   |  0.142857142857 |  0.190476190476 |
|  29  |  NON-REL   |  0.137931034483 |  0.190476190476 |
|  30  |  NON-REL   |  0.133333333333 |  0.190476190476 |
|  31  |  NON-REL   |  0.129032258065 |  0.190476190476 |
|  32  |    REL     |     0.15625     |  0.238095238095 |
|  33  |  NON-REL   |  0.151515151515 |  0.238095238095 |
|  34  |  NON-REL   |  0.147058823529 |  0.238095238095 |
|  35  |  NON-REL   |  0.142857142857 |  0.238095238095 |
|  36  |  NON-REL   |  0.138888888889 |  0.238095238095 |
|  37  |  NON-REL   |  0.135135135135 |  0.238095238095 |
|  38  |  NON-REL   |  0.131578947368 |  0.238095238095 |
|  39  |  NON-REL   |  0.128205128205 |  0.238095238095 |
|  40  |  NON-REL   |      0.125      |  0.238095238095 |
|  41  |  NON-REL   |  0.121951219512 |  0.238095238095 |
|  42  |  NON-REL   |  0.119047619048 |  0.238095238095 |
|  43  |  NON-REL   |  0.116279069767 |  0.238095238095 |
|  44  |  NON-REL   |  0.113636363636 |  0.238095238095 |
|  45  |  NON-REL   |  0.111111111111 |  0.238095238095 |
|  46  |  NON-REL   |  0.108695652174 |  0.238095238095 |
|  47  |  NON-REL   |  0.106382978723 |  0.238095238095 |
|  48  |  NON-REL   |  0.104166666667 |  0.238095238095 |
|  49  |  NON-REL   |  0.102040816327 |  0.238095238095 |
|  50  |  NON-REL   |       0.1       |  0.238095238095 |
|  51  |    REL     |  0.117647058824 |  0.285714285714 |
|  52  |  NON-REL   |  0.115384615385 |  0.285714285714 |
|  53  |    REL     |  0.132075471698 |  0.333333333333 |
|  54  |  NON-REL   |  0.12962962963  |  0.333333333333 |
|  55  |  NON-REL   |  0.127272727273 |  0.333333333333 |
|  56  |  NON-REL   |      0.125      |  0.333333333333 |
|  57  |  NON-REL   |  0.122807017544 |  0.333333333333 |
|  58  |  NON-REL   |  0.120689655172 |  0.333333333333 |
|  59  |  NON-REL   |  0.118644067797 |  0.333333333333 |
|  60  |    REL     |  0.133333333333 |  0.380952380952 |
|  61  |  NON-REL   |  0.131147540984 |  0.380952380952 |
|  62  |  NON-REL   |  0.129032258065 |  0.380952380952 |
|  63  |  NON-REL   |  0.126984126984 |  0.380952380952 |
|  64  |  NON-REL   |      0.125      |  0.380952380952 |
|  65  |  NON-REL   |  0.123076923077 |  0.380952380952 |
|  66  |  NON-REL   |  0.121212121212 |  0.380952380952 |
|  67  |  NON-REL   |  0.119402985075 |  0.380952380952 |
|  68  |  NON-REL   |  0.117647058824 |  0.380952380952 |
|  69  |  NON-REL   |  0.115942028986 |  0.380952380952 |
|  70  |  NON-REL   |  0.114285714286 |  0.380952380952 |
|  71  |  NON-REL   |  0.112676056338 |  0.380952380952 |
|  72  |  NON-REL   |  0.111111111111 |  0.380952380952 |
|  73  |  NON-REL   |  0.109589041096 |  0.380952380952 |
|  74  |  NON-REL   |  0.108108108108 |  0.380952380952 |
|  75  |  NON-REL   |  0.106666666667 |  0.380952380952 |
|  76  |  NON-REL   |  0.105263157895 |  0.380952380952 |
|  77  |  NON-REL   |  0.103896103896 |  0.380952380952 |
|  78  |  NON-REL   |  0.102564102564 |  0.380952380952 |
|  79  |  NON-REL   |  0.101265822785 |  0.380952380952 |
|  80  |  NON-REL   |       0.1       |  0.380952380952 |
|  81  |  NON-REL   | 0.0987654320988 |  0.380952380952 |
|  82  |  NON-REL   | 0.0975609756098 |  0.380952380952 |
|  83  |  NON-REL   | 0.0963855421687 |  0.380952380952 |
|  84  |  NON-REL   | 0.0952380952381 |  0.380952380952 |
|  85  |  NON-REL   | 0.0941176470588 |  0.380952380952 |
|  86  |  NON-REL   |  0.093023255814 |  0.380952380952 |
|  87  |  NON-REL   | 0.0919540229885 |  0.380952380952 |
|  88  |  NON-REL   | 0.0909090909091 |  0.380952380952 |
|  89  |  NON-REL   | 0.0898876404494 |  0.380952380952 |
|  90  |  NON-REL   | 0.0888888888889 |  0.380952380952 |
|  91  |  NON-REL   | 0.0879120879121 |  0.380952380952 |
|  92  |  NON-REL   | 0.0869565217391 |  0.380952380952 |
|  93  |  NON-REL   | 0.0860215053763 |  0.380952380952 |
|  94  |  NON-REL   | 0.0851063829787 |  0.380952380952 |
|  95  |  NON-REL   | 0.0842105263158 |  0.380952380952 |
|  96  |  NON-REL   | 0.0833333333333 |  0.380952380952 |
|  97  |  NON-REL   | 0.0824742268041 |  0.380952380952 |
|  98  |  NON-REL   | 0.0816326530612 |  0.380952380952 |
|  99  |  NON-REL   | 0.0808080808081 |  0.380952380952 |
| 100  |  NON-REL   |       0.08      |  0.380952380952 |
+------+------------+-----------------+-----------------+
