query_43: alysis perception shape humans computers shape descriptions shape recognition computer two-dimensional shapes measures circularity shape matching
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |  NON-REL   |      0.0       |       0.0       |
|  3   |  NON-REL   |      0.0       |       0.0       |
|  4   |    REL     |      0.25      | 0.0243902439024 |
|  5   |  NON-REL   |      0.2       | 0.0243902439024 |
|  6   |  NON-REL   | 0.166666666667 | 0.0243902439024 |
|  7   |  NON-REL   | 0.142857142857 | 0.0243902439024 |
|  8   |    REL     |      0.25      | 0.0487804878049 |
|  9   |  NON-REL   | 0.222222222222 | 0.0487804878049 |
|  10  |    REL     |      0.3       | 0.0731707317073 |
|  11  |  NON-REL   | 0.272727272727 | 0.0731707317073 |
|  12  |    REL     | 0.333333333333 | 0.0975609756098 |
|  13  |    REL     | 0.384615384615 |  0.121951219512 |
|  14  |  NON-REL   | 0.357142857143 |  0.121951219512 |
|  15  |    REL     |      0.4       |  0.146341463415 |
|  16  |  NON-REL   |     0.375      |  0.146341463415 |
|  17  |  NON-REL   | 0.352941176471 |  0.146341463415 |
|  18  |    REL     | 0.388888888889 |  0.170731707317 |
|  19  |  NON-REL   | 0.368421052632 |  0.170731707317 |
|  20  |  NON-REL   |      0.35      |  0.170731707317 |
|  21  |  NON-REL   | 0.333333333333 |  0.170731707317 |
|  22  |  NON-REL   | 0.318181818182 |  0.170731707317 |
|  23  |  NON-REL   | 0.304347826087 |  0.170731707317 |
|  24  |    REL     | 0.333333333333 |  0.19512195122  |
|  25  |  NON-REL   |      0.32      |  0.19512195122  |
|  26  |  NON-REL   | 0.307692307692 |  0.19512195122  |
|  27  |  NON-REL   | 0.296296296296 |  0.19512195122  |
|  28  |    REL     | 0.321428571429 |  0.219512195122 |
|  29  |  NON-REL   | 0.310344827586 |  0.219512195122 |
|  30  |    REL     | 0.333333333333 |  0.243902439024 |
|  31  |    REL     | 0.354838709677 |  0.268292682927 |
|  32  |  NON-REL   |    0.34375     |  0.268292682927 |
|  33  |  NON-REL   | 0.333333333333 |  0.268292682927 |
|  34  |  NON-REL   | 0.323529411765 |  0.268292682927 |
|  35  |  NON-REL   | 0.314285714286 |  0.268292682927 |
|  36  |  NON-REL   | 0.305555555556 |  0.268292682927 |
|  37  |  NON-REL   | 0.297297297297 |  0.268292682927 |
|  38  |  NON-REL   | 0.289473684211 |  0.268292682927 |
|  39  |  NON-REL   | 0.282051282051 |  0.268292682927 |
|  40  |  NON-REL   |     0.275      |  0.268292682927 |
|  41  |  NON-REL   | 0.268292682927 |  0.268292682927 |
|  42  |    REL     | 0.285714285714 |  0.292682926829 |
|  43  |  NON-REL   | 0.279069767442 |  0.292682926829 |
|  44  |    REL     | 0.295454545455 |  0.317073170732 |
|  45  |  NON-REL   | 0.288888888889 |  0.317073170732 |
|  46  |  NON-REL   | 0.282608695652 |  0.317073170732 |
|  47  |  NON-REL   | 0.276595744681 |  0.317073170732 |
|  48  |  NON-REL   | 0.270833333333 |  0.317073170732 |
|  49  |  NON-REL   | 0.265306122449 |  0.317073170732 |
|  50  |  NON-REL   |      0.26      |  0.317073170732 |
|  51  |  NON-REL   | 0.254901960784 |  0.317073170732 |
|  52  |    REL     | 0.269230769231 |  0.341463414634 |
|  53  |  NON-REL   | 0.264150943396 |  0.341463414634 |
|  54  |  NON-REL   | 0.259259259259 |  0.341463414634 |
|  55  |  NON-REL   | 0.254545454545 |  0.341463414634 |
|  56  |  NON-REL   |      0.25      |  0.341463414634 |
|  57  |  NON-REL   | 0.245614035088 |  0.341463414634 |
|  58  |  NON-REL   | 0.241379310345 |  0.341463414634 |
|  59  |  NON-REL   | 0.237288135593 |  0.341463414634 |
|  60  |  NON-REL   | 0.233333333333 |  0.341463414634 |
|  61  |  NON-REL   | 0.229508196721 |  0.341463414634 |
|  62  |  NON-REL   | 0.225806451613 |  0.341463414634 |
|  63  |  NON-REL   | 0.222222222222 |  0.341463414634 |
|  64  |  NON-REL   |    0.21875     |  0.341463414634 |
|  65  |  NON-REL   | 0.215384615385 |  0.341463414634 |
|  66  |  NON-REL   | 0.212121212121 |  0.341463414634 |
|  67  |  NON-REL   | 0.208955223881 |  0.341463414634 |
|  68  |  NON-REL   | 0.205882352941 |  0.341463414634 |
|  69  |  NON-REL   | 0.202898550725 |  0.341463414634 |
|  70  |  NON-REL   |      0.2       |  0.341463414634 |
|  71  |  NON-REL   | 0.197183098592 |  0.341463414634 |
|  72  |    REL     | 0.208333333333 |  0.365853658537 |
|  73  |  NON-REL   | 0.205479452055 |  0.365853658537 |
|  74  |  NON-REL   | 0.202702702703 |  0.365853658537 |
|  75  |    REL     | 0.213333333333 |  0.390243902439 |
|  76  |  NON-REL   | 0.210526315789 |  0.390243902439 |
|  77  |    REL     | 0.220779220779 |  0.414634146341 |
|  78  |  NON-REL   | 0.217948717949 |  0.414634146341 |
|  79  |  NON-REL   | 0.215189873418 |  0.414634146341 |
|  80  |  NON-REL   |     0.2125     |  0.414634146341 |
|  81  |  NON-REL   | 0.20987654321  |  0.414634146341 |
|  82  |  NON-REL   | 0.207317073171 |  0.414634146341 |
|  83  |  NON-REL   | 0.204819277108 |  0.414634146341 |
|  84  |  NON-REL   | 0.202380952381 |  0.414634146341 |
|  85  |  NON-REL   |      0.2       |  0.414634146341 |
|  86  |  NON-REL   | 0.197674418605 |  0.414634146341 |
|  87  |  NON-REL   | 0.195402298851 |  0.414634146341 |
|  88  |  NON-REL   | 0.193181818182 |  0.414634146341 |
|  89  |  NON-REL   | 0.191011235955 |  0.414634146341 |
|  90  |  NON-REL   | 0.188888888889 |  0.414634146341 |
|  91  |  NON-REL   | 0.186813186813 |  0.414634146341 |
|  92  |  NON-REL   | 0.184782608696 |  0.414634146341 |
|  93  |  NON-REL   | 0.182795698925 |  0.414634146341 |
|  94  |  NON-REL   | 0.18085106383  |  0.414634146341 |
|  95  |  NON-REL   | 0.178947368421 |  0.414634146341 |
|  96  |  NON-REL   | 0.177083333333 |  0.414634146341 |
|  97  |  NON-REL   | 0.175257731959 |  0.414634146341 |
|  98  |  NON-REL   | 0.173469387755 |  0.414634146341 |
|  99  |  NON-REL   | 0.171717171717 |  0.414634146341 |
| 100  |  NON-REL   |      0.17      |  0.414634146341 |
+------+------------+----------------+-----------------+
