query_45: erations research models optimize information system performance includes fine tuning decisions secondary index selection reorganization distributed databases
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0384615384615 |
|  2   |  NON-REL   |      0.5       | 0.0384615384615 |
|  3   |    REL     | 0.666666666667 | 0.0769230769231 |
|  4   |    REL     |      0.75      |  0.115384615385 |
|  5   |  NON-REL   |      0.6       |  0.115384615385 |
|  6   |  NON-REL   |      0.5       |  0.115384615385 |
|  7   |    REL     | 0.571428571429 |  0.153846153846 |
|  8   |  NON-REL   |      0.5       |  0.153846153846 |
|  9   |    REL     | 0.555555555556 |  0.192307692308 |
|  10  |  NON-REL   |      0.5       |  0.192307692308 |
|  11  |  NON-REL   | 0.454545454545 |  0.192307692308 |
|  12  |  NON-REL   | 0.416666666667 |  0.192307692308 |
|  13  |  NON-REL   | 0.384615384615 |  0.192307692308 |
|  14  |  NON-REL   | 0.357142857143 |  0.192307692308 |
|  15  |  NON-REL   | 0.333333333333 |  0.192307692308 |
|  16  |  NON-REL   |     0.3125     |  0.192307692308 |
|  17  |  NON-REL   | 0.294117647059 |  0.192307692308 |
|  18  |    REL     | 0.333333333333 |  0.230769230769 |
|  19  |  NON-REL   | 0.315789473684 |  0.230769230769 |
|  20  |    REL     |      0.35      |  0.269230769231 |
|  21  |  NON-REL   | 0.333333333333 |  0.269230769231 |
|  22  |  NON-REL   | 0.318181818182 |  0.269230769231 |
|  23  |  NON-REL   | 0.304347826087 |  0.269230769231 |
|  24  |  NON-REL   | 0.291666666667 |  0.269230769231 |
|  25  |    REL     |      0.32      |  0.307692307692 |
|  26  |  NON-REL   | 0.307692307692 |  0.307692307692 |
|  27  |  NON-REL   | 0.296296296296 |  0.307692307692 |
|  28  |  NON-REL   | 0.285714285714 |  0.307692307692 |
|  29  |  NON-REL   | 0.275862068966 |  0.307692307692 |
|  30  |  NON-REL   | 0.266666666667 |  0.307692307692 |
|  31  |  NON-REL   | 0.258064516129 |  0.307692307692 |
|  32  |  NON-REL   |      0.25      |  0.307692307692 |
|  33  |  NON-REL   | 0.242424242424 |  0.307692307692 |
|  34  |  NON-REL   | 0.235294117647 |  0.307692307692 |
|  35  |  NON-REL   | 0.228571428571 |  0.307692307692 |
|  36  |  NON-REL   | 0.222222222222 |  0.307692307692 |
|  37  |  NON-REL   | 0.216216216216 |  0.307692307692 |
|  38  |    REL     | 0.236842105263 |  0.346153846154 |
|  39  |  NON-REL   | 0.230769230769 |  0.346153846154 |
|  40  |    REL     |      0.25      |  0.384615384615 |
|  41  |  NON-REL   | 0.243902439024 |  0.384615384615 |
|  42  |  NON-REL   | 0.238095238095 |  0.384615384615 |
|  43  |  NON-REL   | 0.232558139535 |  0.384615384615 |
|  44  |  NON-REL   | 0.227272727273 |  0.384615384615 |
|  45  |    REL     | 0.244444444444 |  0.423076923077 |
|  46  |  NON-REL   | 0.239130434783 |  0.423076923077 |
|  47  |  NON-REL   | 0.234042553191 |  0.423076923077 |
|  48  |    REL     |      0.25      |  0.461538461538 |
|  49  |  NON-REL   | 0.244897959184 |  0.461538461538 |
|  50  |    REL     |      0.26      |       0.5       |
|  51  |  NON-REL   | 0.254901960784 |       0.5       |
|  52  |    REL     | 0.269230769231 |  0.538461538462 |
|  53  |  NON-REL   | 0.264150943396 |  0.538461538462 |
|  54  |  NON-REL   | 0.259259259259 |  0.538461538462 |
|  55  |  NON-REL   | 0.254545454545 |  0.538461538462 |
|  56  |  NON-REL   |      0.25      |  0.538461538462 |
|  57  |  NON-REL   | 0.245614035088 |  0.538461538462 |
|  58  |  NON-REL   | 0.241379310345 |  0.538461538462 |
|  59  |  NON-REL   | 0.237288135593 |  0.538461538462 |
|  60  |  NON-REL   | 0.233333333333 |  0.538461538462 |
|  61  |  NON-REL   | 0.229508196721 |  0.538461538462 |
|  62  |  NON-REL   | 0.225806451613 |  0.538461538462 |
|  63  |  NON-REL   | 0.222222222222 |  0.538461538462 |
|  64  |  NON-REL   |    0.21875     |  0.538461538462 |
|  65  |  NON-REL   | 0.215384615385 |  0.538461538462 |
|  66  |  NON-REL   | 0.212121212121 |  0.538461538462 |
|  67  |  NON-REL   | 0.208955223881 |  0.538461538462 |
|  68  |    REL     | 0.220588235294 |  0.576923076923 |
|  69  |  NON-REL   | 0.217391304348 |  0.576923076923 |
|  70  |  NON-REL   | 0.214285714286 |  0.576923076923 |
|  71  |  NON-REL   | 0.211267605634 |  0.576923076923 |
|  72  |  NON-REL   | 0.208333333333 |  0.576923076923 |
|  73  |  NON-REL   | 0.205479452055 |  0.576923076923 |
|  74  |  NON-REL   | 0.202702702703 |  0.576923076923 |
|  75  |  NON-REL   |      0.2       |  0.576923076923 |
|  76  |  NON-REL   | 0.197368421053 |  0.576923076923 |
|  77  |  NON-REL   | 0.194805194805 |  0.576923076923 |
|  78  |  NON-REL   | 0.192307692308 |  0.576923076923 |
|  79  |  NON-REL   | 0.189873417722 |  0.576923076923 |
|  80  |  NON-REL   |     0.1875     |  0.576923076923 |
|  81  |  NON-REL   | 0.185185185185 |  0.576923076923 |
|  82  |    REL     | 0.19512195122  |  0.615384615385 |
|  83  |  NON-REL   | 0.192771084337 |  0.615384615385 |
|  84  |  NON-REL   | 0.190476190476 |  0.615384615385 |
|  85  |  NON-REL   | 0.188235294118 |  0.615384615385 |
|  86  |    REL     | 0.197674418605 |  0.653846153846 |
|  87  |    REL     | 0.206896551724 |  0.692307692308 |
|  88  |  NON-REL   | 0.204545454545 |  0.692307692308 |
