query_48: mputer science principles e.g data structures numerical methods generating optimization e.g linear programming algorithms includes issues khachian russian ellipsoidal algorithm complexity algorithms
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0833333333333 |
|  2   |  NON-REL   |       0.5       | 0.0833333333333 |
|  3   |  NON-REL   |  0.333333333333 | 0.0833333333333 |
|  4   |  NON-REL   |       0.25      | 0.0833333333333 |
|  5   |    REL     |       0.4       |  0.166666666667 |
|  6   |  NON-REL   |  0.333333333333 |  0.166666666667 |
|  7   |  NON-REL   |  0.285714285714 |  0.166666666667 |
|  8   |  NON-REL   |       0.25      |  0.166666666667 |
|  9   |  NON-REL   |  0.222222222222 |  0.166666666667 |
|  10  |  NON-REL   |       0.2       |  0.166666666667 |
|  11  |  NON-REL   |  0.181818181818 |  0.166666666667 |
|  12  |  NON-REL   |  0.166666666667 |  0.166666666667 |
|  13  |  NON-REL   |  0.153846153846 |  0.166666666667 |
|  14  |  NON-REL   |  0.142857142857 |  0.166666666667 |
|  15  |  NON-REL   |  0.133333333333 |  0.166666666667 |
|  16  |  NON-REL   |      0.125      |  0.166666666667 |
|  17  |  NON-REL   |  0.117647058824 |  0.166666666667 |
|  18  |  NON-REL   |  0.111111111111 |  0.166666666667 |
|  19  |  NON-REL   |  0.105263157895 |  0.166666666667 |
|  20  |  NON-REL   |       0.1       |  0.166666666667 |
|  21  |  NON-REL   | 0.0952380952381 |  0.166666666667 |
|  22  |  NON-REL   | 0.0909090909091 |  0.166666666667 |
|  23  |  NON-REL   | 0.0869565217391 |  0.166666666667 |
|  24  |  NON-REL   | 0.0833333333333 |  0.166666666667 |
|  25  |  NON-REL   |       0.08      |  0.166666666667 |
|  26  |  NON-REL   | 0.0769230769231 |  0.166666666667 |
|  27  |  NON-REL   | 0.0740740740741 |  0.166666666667 |
|  28  |  NON-REL   | 0.0714285714286 |  0.166666666667 |
|  29  |    REL     |  0.103448275862 |       0.25      |
|  30  |  NON-REL   |       0.1       |       0.25      |
|  31  |  NON-REL   | 0.0967741935484 |       0.25      |
|  32  |  NON-REL   |     0.09375     |       0.25      |
|  33  |  NON-REL   | 0.0909090909091 |       0.25      |
|  34  |  NON-REL   | 0.0882352941176 |       0.25      |
|  35  |  NON-REL   | 0.0857142857143 |       0.25      |
|  36  |  NON-REL   | 0.0833333333333 |       0.25      |
|  37  |  NON-REL   | 0.0810810810811 |       0.25      |
|  38  |  NON-REL   | 0.0789473684211 |       0.25      |
|  39  |  NON-REL   | 0.0769230769231 |       0.25      |
|  40  |  NON-REL   |      0.075      |       0.25      |
|  41  |  NON-REL   | 0.0731707317073 |       0.25      |
|  42  |  NON-REL   | 0.0714285714286 |       0.25      |
|  43  |  NON-REL   | 0.0697674418605 |       0.25      |
|  44  |  NON-REL   | 0.0681818181818 |       0.25      |
|  45  |  NON-REL   | 0.0666666666667 |       0.25      |
|  46  |  NON-REL   | 0.0652173913043 |       0.25      |
|  47  |  NON-REL   |  0.063829787234 |       0.25      |
|  48  |  NON-REL   |      0.0625     |       0.25      |
|  49  |  NON-REL   | 0.0612244897959 |       0.25      |
|  50  |  NON-REL   |       0.06      |       0.25      |
|  51  |  NON-REL   | 0.0588235294118 |       0.25      |
|  52  |  NON-REL   | 0.0576923076923 |       0.25      |
|  53  |  NON-REL   | 0.0566037735849 |       0.25      |
|  54  |  NON-REL   | 0.0555555555556 |       0.25      |
|  55  |  NON-REL   | 0.0545454545455 |       0.25      |
|  56  |  NON-REL   | 0.0535714285714 |       0.25      |
|  57  |  NON-REL   | 0.0526315789474 |       0.25      |
|  58  |  NON-REL   |  0.051724137931 |       0.25      |
|  59  |  NON-REL   | 0.0508474576271 |       0.25      |
|  60  |  NON-REL   |       0.05      |       0.25      |
|  61  |  NON-REL   | 0.0491803278689 |       0.25      |
|  62  |  NON-REL   | 0.0483870967742 |       0.25      |
|  63  |  NON-REL   |  0.047619047619 |       0.25      |
|  64  |  NON-REL   |     0.046875    |       0.25      |
|  65  |  NON-REL   | 0.0461538461538 |       0.25      |
|  66  |  NON-REL   | 0.0454545454545 |       0.25      |
|  67  |  NON-REL   |  0.044776119403 |       0.25      |
|  68  |  NON-REL   | 0.0441176470588 |       0.25      |
|  69  |  NON-REL   | 0.0434782608696 |       0.25      |
|  70  |  NON-REL   | 0.0428571428571 |       0.25      |
|  71  |  NON-REL   | 0.0422535211268 |       0.25      |
|  72  |  NON-REL   | 0.0416666666667 |       0.25      |
|  73  |  NON-REL   |  0.041095890411 |       0.25      |
|  74  |  NON-REL   | 0.0405405405405 |       0.25      |
|  75  |  NON-REL   |       0.04      |       0.25      |
|  76  |  NON-REL   | 0.0394736842105 |       0.25      |
|  77  |  NON-REL   |  0.038961038961 |       0.25      |
|  78  |  NON-REL   | 0.0384615384615 |       0.25      |
|  79  |  NON-REL   | 0.0379746835443 |       0.25      |
|  80  |  NON-REL   |      0.0375     |       0.25      |
|  81  |  NON-REL   |  0.037037037037 |       0.25      |
|  82  |  NON-REL   | 0.0365853658537 |       0.25      |
|  83  |  NON-REL   | 0.0361445783133 |       0.25      |
|  84  |  NON-REL   | 0.0357142857143 |       0.25      |
|  85  |    REL     | 0.0470588235294 |  0.333333333333 |
|  86  |    REL     | 0.0581395348837 |  0.416666666667 |
|  87  |  NON-REL   | 0.0574712643678 |  0.416666666667 |
|  88  |  NON-REL   | 0.0568181818182 |  0.416666666667 |
|  89  |  NON-REL   | 0.0561797752809 |  0.416666666667 |
|  90  |  NON-REL   | 0.0555555555556 |  0.416666666667 |
|  91  |  NON-REL   | 0.0549450549451 |  0.416666666667 |
|  92  |  NON-REL   |  0.054347826087 |  0.416666666667 |
|  93  |  NON-REL   | 0.0537634408602 |  0.416666666667 |
|  94  |  NON-REL   | 0.0531914893617 |  0.416666666667 |
|  95  |  NON-REL   | 0.0526315789474 |  0.416666666667 |
|  96  |  NON-REL   | 0.0520833333333 |  0.416666666667 |
|  97  |  NON-REL   | 0.0515463917526 |  0.416666666667 |
|  98  |  NON-REL   | 0.0510204081633 |  0.416666666667 |
|  99  |  NON-REL   | 0.0505050505051 |  0.416666666667 |
| 100  |  NON-REL   |       0.05      |  0.416666666667 |
+------+------------+-----------------+-----------------+
