query_58: gorithms statistical packages anova regression squares generalized linear models system design capabilities statistical formula interest student test wilcoxon sign tests multivariate univariate components included
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0333333333333 |
|  2   |    REL     |      1.0       | 0.0666666666667 |
|  3   |  NON-REL   | 0.666666666667 | 0.0666666666667 |
|  4   |    REL     |      0.75      |       0.1       |
|  5   |  NON-REL   |      0.6       |       0.1       |
|  6   |  NON-REL   |      0.5       |       0.1       |
|  7   |    REL     | 0.571428571429 |  0.133333333333 |
|  8   |    REL     |     0.625      |  0.166666666667 |
|  9   |  NON-REL   | 0.555555555556 |  0.166666666667 |
|  10  |    REL     |      0.6       |       0.2       |
|  11  |  NON-REL   | 0.545454545455 |       0.2       |
|  12  |  NON-REL   |      0.5       |       0.2       |
|  13  |    REL     | 0.538461538462 |  0.233333333333 |
|  14  |  NON-REL   |      0.5       |  0.233333333333 |
|  15  |  NON-REL   | 0.466666666667 |  0.233333333333 |
|  16  |  NON-REL   |     0.4375     |  0.233333333333 |
|  17  |    REL     | 0.470588235294 |  0.266666666667 |
|  18  |  NON-REL   | 0.444444444444 |  0.266666666667 |
|  19  |    REL     | 0.473684210526 |       0.3       |
|  20  |  NON-REL   |      0.45      |       0.3       |
|  21  |  NON-REL   | 0.428571428571 |       0.3       |
|  22  |  NON-REL   | 0.409090909091 |       0.3       |
|  23  |  NON-REL   | 0.391304347826 |       0.3       |
|  24  |  NON-REL   |     0.375      |       0.3       |
|  25  |  NON-REL   |      0.36      |       0.3       |
|  26  |  NON-REL   | 0.346153846154 |       0.3       |
|  27  |  NON-REL   | 0.333333333333 |       0.3       |
|  28  |  NON-REL   | 0.321428571429 |       0.3       |
|  29  |  NON-REL   | 0.310344827586 |       0.3       |
|  30  |  NON-REL   |      0.3       |       0.3       |
|  31  |  NON-REL   | 0.290322580645 |       0.3       |
|  32  |  NON-REL   |    0.28125     |       0.3       |
|  33  |  NON-REL   | 0.272727272727 |       0.3       |
|  34  |  NON-REL   | 0.264705882353 |       0.3       |
|  35  |  NON-REL   | 0.257142857143 |       0.3       |
|  36  |  NON-REL   |      0.25      |       0.3       |
|  37  |  NON-REL   | 0.243243243243 |       0.3       |
|  38  |  NON-REL   | 0.236842105263 |       0.3       |
|  39  |  NON-REL   | 0.230769230769 |       0.3       |
|  40  |    REL     |      0.25      |  0.333333333333 |
|  41  |  NON-REL   | 0.243902439024 |  0.333333333333 |
|  42  |  NON-REL   | 0.238095238095 |  0.333333333333 |
|  43  |  NON-REL   | 0.232558139535 |  0.333333333333 |
|  44  |  NON-REL   | 0.227272727273 |  0.333333333333 |
|  45  |    REL     | 0.244444444444 |  0.366666666667 |
|  46  |  NON-REL   | 0.239130434783 |  0.366666666667 |
|  47  |  NON-REL   | 0.234042553191 |  0.366666666667 |
|  48  |  NON-REL   | 0.229166666667 |  0.366666666667 |
|  49  |  NON-REL   | 0.224489795918 |  0.366666666667 |
|  50  |  NON-REL   |      0.22      |  0.366666666667 |
|  51  |  NON-REL   | 0.21568627451  |  0.366666666667 |
|  52  |  NON-REL   | 0.211538461538 |  0.366666666667 |
|  53  |  NON-REL   | 0.207547169811 |  0.366666666667 |
|  54  |  NON-REL   | 0.203703703704 |  0.366666666667 |
|  55  |  NON-REL   |      0.2       |  0.366666666667 |
|  56  |  NON-REL   | 0.196428571429 |  0.366666666667 |
|  57  |  NON-REL   | 0.19298245614  |  0.366666666667 |
|  58  |  NON-REL   | 0.189655172414 |  0.366666666667 |
|  59  |  NON-REL   | 0.186440677966 |  0.366666666667 |
|  60  |  NON-REL   | 0.183333333333 |  0.366666666667 |
|  61  |  NON-REL   | 0.180327868852 |  0.366666666667 |
|  62  |  NON-REL   | 0.177419354839 |  0.366666666667 |
|  63  |  NON-REL   | 0.174603174603 |  0.366666666667 |
|  64  |  NON-REL   |    0.171875    |  0.366666666667 |
|  65  |  NON-REL   | 0.169230769231 |  0.366666666667 |
|  66  |  NON-REL   | 0.166666666667 |  0.366666666667 |
|  67  |  NON-REL   | 0.164179104478 |  0.366666666667 |
|  68  |  NON-REL   | 0.161764705882 |  0.366666666667 |
|  69  |  NON-REL   | 0.159420289855 |  0.366666666667 |
|  70  |  NON-REL   | 0.157142857143 |  0.366666666667 |
|  71  |  NON-REL   | 0.154929577465 |  0.366666666667 |
|  72  |  NON-REL   | 0.152777777778 |  0.366666666667 |
|  73  |  NON-REL   | 0.150684931507 |  0.366666666667 |
|  74  |    REL     | 0.162162162162 |       0.4       |
|  75  |  NON-REL   |      0.16      |       0.4       |
|  76  |  NON-REL   | 0.157894736842 |       0.4       |
|  77  |  NON-REL   | 0.155844155844 |       0.4       |
|  78  |  NON-REL   | 0.153846153846 |       0.4       |
|  79  |  NON-REL   | 0.151898734177 |       0.4       |
|  80  |  NON-REL   |      0.15      |       0.4       |
|  81  |  NON-REL   | 0.148148148148 |       0.4       |
|  82  |  NON-REL   | 0.146341463415 |       0.4       |
|  83  |  NON-REL   | 0.144578313253 |       0.4       |
|  84  |  NON-REL   | 0.142857142857 |       0.4       |
|  85  |  NON-REL   | 0.141176470588 |       0.4       |
|  86  |  NON-REL   | 0.139534883721 |       0.4       |
|  87  |  NON-REL   | 0.137931034483 |       0.4       |
|  88  |  NON-REL   | 0.136363636364 |       0.4       |
|  89  |  NON-REL   | 0.134831460674 |       0.4       |
|  90  |  NON-REL   | 0.133333333333 |       0.4       |
|  91  |    REL     | 0.142857142857 |  0.433333333333 |
|  92  |  NON-REL   | 0.141304347826 |  0.433333333333 |
|  93  |  NON-REL   | 0.139784946237 |  0.433333333333 |
|  94  |  NON-REL   | 0.13829787234  |  0.433333333333 |
|  95  |  NON-REL   | 0.136842105263 |  0.433333333333 |
|  96  |  NON-REL   | 0.135416666667 |  0.433333333333 |
|  97  |  NON-REL   | 0.134020618557 |  0.433333333333 |
|  98  |  NON-REL   | 0.132653061224 |  0.433333333333 |
|  99  |  NON-REL   | 0.131313131313 |  0.433333333333 |
| 100  |  NON-REL   |      0.13      |  0.433333333333 |
+------+------------+----------------+-----------------+
