query_59: ctionary construction accessing methods fast retrieval words lexical items morphologically related information hashing indexing methods applied english spelling natural language problems
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0232558139535 |
|  2   |  NON-REL   |      0.5       | 0.0232558139535 |
|  3   |    REL     | 0.666666666667 |  0.046511627907 |
|  4   |  NON-REL   |      0.5       |  0.046511627907 |
|  5   |  NON-REL   |      0.4       |  0.046511627907 |
|  6   |  NON-REL   | 0.333333333333 |  0.046511627907 |
|  7   |  NON-REL   | 0.285714285714 |  0.046511627907 |
|  8   |    REL     |     0.375      | 0.0697674418605 |
|  9   |  NON-REL   | 0.333333333333 | 0.0697674418605 |
|  10  |    REL     |      0.4       |  0.093023255814 |
|  11  |  NON-REL   | 0.363636363636 |  0.093023255814 |
|  12  |  NON-REL   | 0.333333333333 |  0.093023255814 |
|  13  |    REL     | 0.384615384615 |  0.116279069767 |
|  14  |  NON-REL   | 0.357142857143 |  0.116279069767 |
|  15  |  NON-REL   | 0.333333333333 |  0.116279069767 |
|  16  |    REL     |     0.375      |  0.139534883721 |
|  17  |  NON-REL   | 0.352941176471 |  0.139534883721 |
|  18  |    REL     | 0.388888888889 |  0.162790697674 |
|  19  |    REL     | 0.421052631579 |  0.186046511628 |
|  20  |  NON-REL   |      0.4       |  0.186046511628 |
|  21  |    REL     | 0.428571428571 |  0.209302325581 |
|  22  |  NON-REL   | 0.409090909091 |  0.209302325581 |
|  23  |  NON-REL   | 0.391304347826 |  0.209302325581 |
|  24  |  NON-REL   |     0.375      |  0.209302325581 |
|  25  |  NON-REL   |      0.36      |  0.209302325581 |
|  26  |  NON-REL   | 0.346153846154 |  0.209302325581 |
|  27  |  NON-REL   | 0.333333333333 |  0.209302325581 |
|  28  |    REL     | 0.357142857143 |  0.232558139535 |
|  29  |  NON-REL   | 0.344827586207 |  0.232558139535 |
|  30  |    REL     | 0.366666666667 |  0.255813953488 |
|  31  |  NON-REL   | 0.354838709677 |  0.255813953488 |
|  32  |  NON-REL   |    0.34375     |  0.255813953488 |
|  33  |  NON-REL   | 0.333333333333 |  0.255813953488 |
|  34  |  NON-REL   | 0.323529411765 |  0.255813953488 |
|  35  |    REL     | 0.342857142857 |  0.279069767442 |
|  36  |  NON-REL   | 0.333333333333 |  0.279069767442 |
|  37  |  NON-REL   | 0.324324324324 |  0.279069767442 |
|  38  |  NON-REL   | 0.315789473684 |  0.279069767442 |
|  39  |  NON-REL   | 0.307692307692 |  0.279069767442 |
|  40  |  NON-REL   |      0.3       |  0.279069767442 |
|  41  |    REL     | 0.317073170732 |  0.302325581395 |
|  42  |  NON-REL   | 0.309523809524 |  0.302325581395 |
|  43  |  NON-REL   | 0.302325581395 |  0.302325581395 |
|  44  |  NON-REL   | 0.295454545455 |  0.302325581395 |
|  45  |    REL     | 0.311111111111 |  0.325581395349 |
|  46  |  NON-REL   | 0.304347826087 |  0.325581395349 |
|  47  |    REL     | 0.31914893617  |  0.348837209302 |
|  48  |  NON-REL   |     0.3125     |  0.348837209302 |
|  49  |    REL     | 0.326530612245 |  0.372093023256 |
|  50  |  NON-REL   |      0.32      |  0.372093023256 |
|  51  |    REL     | 0.333333333333 |  0.395348837209 |
|  52  |  NON-REL   | 0.326923076923 |  0.395348837209 |
|  53  |  NON-REL   | 0.320754716981 |  0.395348837209 |
|  54  |  NON-REL   | 0.314814814815 |  0.395348837209 |
|  55  |  NON-REL   | 0.309090909091 |  0.395348837209 |
|  56  |  NON-REL   | 0.303571428571 |  0.395348837209 |
|  57  |    REL     | 0.315789473684 |  0.418604651163 |
|  58  |  NON-REL   | 0.310344827586 |  0.418604651163 |
|  59  |  NON-REL   | 0.305084745763 |  0.418604651163 |
|  60  |  NON-REL   |      0.3       |  0.418604651163 |
|  61  |  NON-REL   | 0.295081967213 |  0.418604651163 |
|  62  |    REL     | 0.306451612903 |  0.441860465116 |
|  63  |  NON-REL   | 0.301587301587 |  0.441860465116 |
|  64  |  NON-REL   |    0.296875    |  0.441860465116 |
|  65  |  NON-REL   | 0.292307692308 |  0.441860465116 |
|  66  |  NON-REL   | 0.287878787879 |  0.441860465116 |
|  67  |  NON-REL   | 0.283582089552 |  0.441860465116 |
|  68  |    REL     | 0.294117647059 |  0.46511627907  |
|  69  |  NON-REL   | 0.289855072464 |  0.46511627907  |
|  70  |    REL     |      0.3       |  0.488372093023 |
|  71  |  NON-REL   | 0.295774647887 |  0.488372093023 |
|  72  |    REL     | 0.305555555556 |  0.511627906977 |
|  73  |  NON-REL   | 0.301369863014 |  0.511627906977 |
|  74  |    REL     | 0.310810810811 |  0.53488372093  |
|  75  |  NON-REL   | 0.306666666667 |  0.53488372093  |
|  76  |  NON-REL   | 0.302631578947 |  0.53488372093  |
|  77  |  NON-REL   | 0.298701298701 |  0.53488372093  |
|  78  |  NON-REL   | 0.294871794872 |  0.53488372093  |
|  79  |  NON-REL   | 0.291139240506 |  0.53488372093  |
|  80  |  NON-REL   |     0.2875     |  0.53488372093  |
|  81  |  NON-REL   | 0.283950617284 |  0.53488372093  |
|  82  |  NON-REL   | 0.280487804878 |  0.53488372093  |
|  83  |  NON-REL   | 0.277108433735 |  0.53488372093  |
|  84  |  NON-REL   | 0.27380952381  |  0.53488372093  |
|  85  |  NON-REL   | 0.270588235294 |  0.53488372093  |
|  86  |  NON-REL   | 0.267441860465 |  0.53488372093  |
|  87  |  NON-REL   | 0.264367816092 |  0.53488372093  |
|  88  |  NON-REL   | 0.261363636364 |  0.53488372093  |
|  89  |  NON-REL   | 0.258426966292 |  0.53488372093  |
|  90  |  NON-REL   | 0.255555555556 |  0.53488372093  |
|  91  |  NON-REL   | 0.252747252747 |  0.53488372093  |
|  92  |  NON-REL   |      0.25      |  0.53488372093  |
|  93  |  NON-REL   | 0.247311827957 |  0.53488372093  |
|  94  |  NON-REL   | 0.244680851064 |  0.53488372093  |
|  95  |  NON-REL   | 0.242105263158 |  0.53488372093  |
|  96  |  NON-REL   | 0.239583333333 |  0.53488372093  |
|  97  |  NON-REL   | 0.237113402062 |  0.53488372093  |
|  98  |  NON-REL   | 0.234693877551 |  0.53488372093  |
|  99  |  NON-REL   | 0.232323232323 |  0.53488372093  |
| 100  |  NON-REL   |      0.23      |  0.53488372093  |
+------+------------+----------------+-----------------+
