query_60: rdware software relating database management systems database packages back end computers special associative hardware microcomputers attached disk heads things rap relational network codasyl hierarchical models systems system ims adabas total
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |    REL     |      0.5       |  0.037037037037 |
|  3   |  NON-REL   | 0.333333333333 |  0.037037037037 |
|  4   |    REL     |      0.5       | 0.0740740740741 |
|  5   |  NON-REL   |      0.4       | 0.0740740740741 |
|  6   |  NON-REL   | 0.333333333333 | 0.0740740740741 |
|  7   |  NON-REL   | 0.285714285714 | 0.0740740740741 |
|  8   |  NON-REL   |      0.25      | 0.0740740740741 |
|  9   |    REL     | 0.333333333333 |  0.111111111111 |
|  10  |  NON-REL   |      0.3       |  0.111111111111 |
|  11  |    REL     | 0.363636363636 |  0.148148148148 |
|  12  |  NON-REL   | 0.333333333333 |  0.148148148148 |
|  13  |  NON-REL   | 0.307692307692 |  0.148148148148 |
|  14  |  NON-REL   | 0.285714285714 |  0.148148148148 |
|  15  |    REL     | 0.333333333333 |  0.185185185185 |
|  16  |  NON-REL   |     0.3125     |  0.185185185185 |
|  17  |  NON-REL   | 0.294117647059 |  0.185185185185 |
|  18  |  NON-REL   | 0.277777777778 |  0.185185185185 |
|  19  |    REL     | 0.315789473684 |  0.222222222222 |
|  20  |  NON-REL   |      0.3       |  0.222222222222 |
|  21  |  NON-REL   | 0.285714285714 |  0.222222222222 |
|  22  |    REL     | 0.318181818182 |  0.259259259259 |
|  23  |  NON-REL   | 0.304347826087 |  0.259259259259 |
|  24  |  NON-REL   | 0.291666666667 |  0.259259259259 |
|  25  |  NON-REL   |      0.28      |  0.259259259259 |
|  26  |    REL     | 0.307692307692 |  0.296296296296 |
|  27  |    REL     | 0.333333333333 |  0.333333333333 |
|  28  |  NON-REL   | 0.321428571429 |  0.333333333333 |
|  29  |  NON-REL   | 0.310344827586 |  0.333333333333 |
|  30  |  NON-REL   |      0.3       |  0.333333333333 |
|  31  |    REL     | 0.322580645161 |  0.37037037037  |
|  32  |  NON-REL   |     0.3125     |  0.37037037037  |
|  33  |  NON-REL   | 0.30303030303  |  0.37037037037  |
|  34  |  NON-REL   | 0.294117647059 |  0.37037037037  |
|  35  |  NON-REL   | 0.285714285714 |  0.37037037037  |
|  36  |  NON-REL   | 0.277777777778 |  0.37037037037  |
|  37  |  NON-REL   | 0.27027027027  |  0.37037037037  |
|  38  |  NON-REL   | 0.263157894737 |  0.37037037037  |
|  39  |    REL     | 0.282051282051 |  0.407407407407 |
|  40  |  NON-REL   |     0.275      |  0.407407407407 |
|  41  |  NON-REL   | 0.268292682927 |  0.407407407407 |
|  42  |  NON-REL   | 0.261904761905 |  0.407407407407 |
|  43  |    REL     | 0.279069767442 |  0.444444444444 |
|  44  |  NON-REL   | 0.272727272727 |  0.444444444444 |
|  45  |    REL     | 0.288888888889 |  0.481481481481 |
|  46  |  NON-REL   | 0.282608695652 |  0.481481481481 |
|  47  |  NON-REL   | 0.276595744681 |  0.481481481481 |
|  48  |  NON-REL   | 0.270833333333 |  0.481481481481 |
|  49  |  NON-REL   | 0.265306122449 |  0.481481481481 |
|  50  |  NON-REL   |      0.26      |  0.481481481481 |
|  51  |  NON-REL   | 0.254901960784 |  0.481481481481 |
|  52  |  NON-REL   |      0.25      |  0.481481481481 |
|  53  |  NON-REL   | 0.245283018868 |  0.481481481481 |
|  54  |  NON-REL   | 0.240740740741 |  0.481481481481 |
|  55  |  NON-REL   | 0.236363636364 |  0.481481481481 |
|  56  |  NON-REL   | 0.232142857143 |  0.481481481481 |
|  57  |  NON-REL   | 0.228070175439 |  0.481481481481 |
|  58  |  NON-REL   | 0.224137931034 |  0.481481481481 |
|  59  |  NON-REL   | 0.220338983051 |  0.481481481481 |
|  60  |  NON-REL   | 0.216666666667 |  0.481481481481 |
|  61  |  NON-REL   | 0.213114754098 |  0.481481481481 |
|  62  |  NON-REL   | 0.209677419355 |  0.481481481481 |
|  63  |  NON-REL   | 0.206349206349 |  0.481481481481 |
|  64  |  NON-REL   |    0.203125    |  0.481481481481 |
|  65  |  NON-REL   |      0.2       |  0.481481481481 |
|  66  |  NON-REL   | 0.19696969697  |  0.481481481481 |
|  67  |  NON-REL   | 0.194029850746 |  0.481481481481 |
|  68  |  NON-REL   | 0.191176470588 |  0.481481481481 |
|  69  |  NON-REL   | 0.188405797101 |  0.481481481481 |
|  70  |  NON-REL   | 0.185714285714 |  0.481481481481 |
|  71  |  NON-REL   | 0.183098591549 |  0.481481481481 |
|  72  |  NON-REL   | 0.180555555556 |  0.481481481481 |
|  73  |  NON-REL   | 0.178082191781 |  0.481481481481 |
|  74  |  NON-REL   | 0.175675675676 |  0.481481481481 |
|  75  |  NON-REL   | 0.173333333333 |  0.481481481481 |
|  76  |  NON-REL   | 0.171052631579 |  0.481481481481 |
|  77  |  NON-REL   | 0.168831168831 |  0.481481481481 |
|  78  |    REL     | 0.179487179487 |  0.518518518519 |
|  79  |  NON-REL   | 0.177215189873 |  0.518518518519 |
|  80  |  NON-REL   |     0.175      |  0.518518518519 |
|  81  |  NON-REL   | 0.172839506173 |  0.518518518519 |
|  82  |  NON-REL   | 0.170731707317 |  0.518518518519 |
|  83  |  NON-REL   | 0.168674698795 |  0.518518518519 |
|  84  |  NON-REL   | 0.166666666667 |  0.518518518519 |
|  85  |  NON-REL   | 0.164705882353 |  0.518518518519 |
|  86  |  NON-REL   | 0.162790697674 |  0.518518518519 |
|  87  |    REL     | 0.172413793103 |  0.555555555556 |
|  88  |  NON-REL   | 0.170454545455 |  0.555555555556 |
|  89  |  NON-REL   | 0.168539325843 |  0.555555555556 |
|  90  |  NON-REL   | 0.166666666667 |  0.555555555556 |
|  91  |  NON-REL   | 0.164835164835 |  0.555555555556 |
|  92  |  NON-REL   | 0.163043478261 |  0.555555555556 |
|  93  |  NON-REL   | 0.161290322581 |  0.555555555556 |
|  94  |  NON-REL   | 0.159574468085 |  0.555555555556 |
|  95  |  NON-REL   | 0.157894736842 |  0.555555555556 |
|  96  |  NON-REL   |    0.15625     |  0.555555555556 |
|  97  |  NON-REL   | 0.154639175258 |  0.555555555556 |
|  98  |  NON-REL   | 0.15306122449  |  0.555555555556 |
|  99  |  NON-REL   | 0.151515151515 |  0.555555555556 |
| 100  |  NON-REL   |      0.15      |  0.555555555556 |
+------+------------+----------------+-----------------+
