query_10: rallel languages languages parallel computation
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0285714285714 |
|  2   |  NON-REL   |       0.5       | 0.0285714285714 |
|  3   |  NON-REL   |  0.333333333333 | 0.0285714285714 |
|  4   |  NON-REL   |       0.25      | 0.0285714285714 |
|  5   |  NON-REL   |       0.2       | 0.0285714285714 |
|  6   |  NON-REL   |  0.166666666667 | 0.0285714285714 |
|  7   |  NON-REL   |  0.142857142857 | 0.0285714285714 |
|  8   |  NON-REL   |      0.125      | 0.0285714285714 |
|  9   |  NON-REL   |  0.111111111111 | 0.0285714285714 |
|  10  |  NON-REL   |       0.1       | 0.0285714285714 |
|  11  |    REL     |  0.181818181818 | 0.0571428571429 |
|  12  |    REL     |       0.25      | 0.0857142857143 |
|  13  |  NON-REL   |  0.230769230769 | 0.0857142857143 |
|  14  |  NON-REL   |  0.214285714286 | 0.0857142857143 |
|  15  |  NON-REL   |       0.2       | 0.0857142857143 |
|  16  |  NON-REL   |      0.1875     | 0.0857142857143 |
|  17  |  NON-REL   |  0.176470588235 | 0.0857142857143 |
|  18  |  NON-REL   |  0.166666666667 | 0.0857142857143 |
|  19  |  NON-REL   |  0.157894736842 | 0.0857142857143 |
|  20  |    REL     |       0.2       |  0.114285714286 |
|  21  |  NON-REL   |  0.190476190476 |  0.114285714286 |
|  22  |  NON-REL   |  0.181818181818 |  0.114285714286 |
|  23  |  NON-REL   |  0.173913043478 |  0.114285714286 |
|  24  |  NON-REL   |  0.166666666667 |  0.114285714286 |
|  25  |  NON-REL   |       0.16      |  0.114285714286 |
|  26  |  NON-REL   |  0.153846153846 |  0.114285714286 |
|  27  |  NON-REL   |  0.148148148148 |  0.114285714286 |
|  28  |  NON-REL   |  0.142857142857 |  0.114285714286 |
|  29  |  NON-REL   |  0.137931034483 |  0.114285714286 |
|  30  |  NON-REL   |  0.133333333333 |  0.114285714286 |
|  31  |  NON-REL   |  0.129032258065 |  0.114285714286 |
|  32  |  NON-REL   |      0.125      |  0.114285714286 |
|  33  |  NON-REL   |  0.121212121212 |  0.114285714286 |
|  34  |  NON-REL   |  0.117647058824 |  0.114285714286 |
|  35  |  NON-REL   |  0.114285714286 |  0.114285714286 |
|  36  |  NON-REL   |  0.111111111111 |  0.114285714286 |
|  37  |  NON-REL   |  0.108108108108 |  0.114285714286 |
|  38  |  NON-REL   |  0.105263157895 |  0.114285714286 |
|  39  |    REL     |  0.128205128205 |  0.142857142857 |
|  40  |  NON-REL   |      0.125      |  0.142857142857 |
|  41  |  NON-REL   |  0.121951219512 |  0.142857142857 |
|  42  |  NON-REL   |  0.119047619048 |  0.142857142857 |
|  43  |  NON-REL   |  0.116279069767 |  0.142857142857 |
|  44  |  NON-REL   |  0.113636363636 |  0.142857142857 |
|  45  |  NON-REL   |  0.111111111111 |  0.142857142857 |
|  46  |  NON-REL   |  0.108695652174 |  0.142857142857 |
|  47  |  NON-REL   |  0.106382978723 |  0.142857142857 |
|  48  |    REL     |      0.125      |  0.171428571429 |
|  49  |  NON-REL   |  0.122448979592 |  0.171428571429 |
|  50  |  NON-REL   |       0.12      |  0.171428571429 |
|  51  |  NON-REL   |  0.117647058824 |  0.171428571429 |
|  52  |  NON-REL   |  0.115384615385 |  0.171428571429 |
|  53  |  NON-REL   |  0.11320754717  |  0.171428571429 |
|  54  |  NON-REL   |  0.111111111111 |  0.171428571429 |
|  55  |  NON-REL   |  0.109090909091 |  0.171428571429 |
|  56  |  NON-REL   |  0.107142857143 |  0.171428571429 |
|  57  |  NON-REL   |  0.105263157895 |  0.171428571429 |
|  58  |  NON-REL   |  0.103448275862 |  0.171428571429 |
|  59  |  NON-REL   |  0.101694915254 |  0.171428571429 |
|  60  |  NON-REL   |       0.1       |  0.171428571429 |
|  61  |  NON-REL   | 0.0983606557377 |  0.171428571429 |
|  62  |  NON-REL   | 0.0967741935484 |  0.171428571429 |
|  63  |  NON-REL   | 0.0952380952381 |  0.171428571429 |
|  64  |  NON-REL   |     0.09375     |  0.171428571429 |
|  65  |  NON-REL   | 0.0923076923077 |  0.171428571429 |
|  66  |  NON-REL   | 0.0909090909091 |  0.171428571429 |
|  67  |  NON-REL   |  0.089552238806 |  0.171428571429 |
|  68  |  NON-REL   | 0.0882352941176 |  0.171428571429 |
|  69  |  NON-REL   | 0.0869565217391 |  0.171428571429 |
|  70  |  NON-REL   | 0.0857142857143 |  0.171428571429 |
|  71  |  NON-REL   | 0.0845070422535 |  0.171428571429 |
|  72  |  NON-REL   | 0.0833333333333 |  0.171428571429 |
|  73  |    REL     | 0.0958904109589 |       0.2       |
|  74  |  NON-REL   | 0.0945945945946 |       0.2       |
|  75  |  NON-REL   | 0.0933333333333 |       0.2       |
