query_12: rtable operating systems
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |  NON-REL   |       0.0       |  0.0   |
|  14  |  NON-REL   |       0.0       |  0.0   |
|  15  |  NON-REL   |       0.0       |  0.0   |
|  16  |  NON-REL   |       0.0       |  0.0   |
|  17  |  NON-REL   |       0.0       |  0.0   |
|  18  |  NON-REL   |       0.0       |  0.0   |
|  19  |  NON-REL   |       0.0       |  0.0   |
|  20  |  NON-REL   |       0.0       |  0.0   |
|  21  |  NON-REL   |       0.0       |  0.0   |
|  22  |  NON-REL   |       0.0       |  0.0   |
|  23  |  NON-REL   |       0.0       |  0.0   |
|  24  |  NON-REL   |       0.0       |  0.0   |
|  25  |  NON-REL   |       0.0       |  0.0   |
|  26  |    REL     | 0.0384615384615 |  0.2   |
|  27  |  NON-REL   |  0.037037037037 |  0.2   |
|  28  |  NON-REL   | 0.0357142857143 |  0.2   |
|  29  |  NON-REL   | 0.0344827586207 |  0.2   |
|  30  |    REL     | 0.0666666666667 |  0.4   |
|  31  |  NON-REL   | 0.0645161290323 |  0.4   |
|  32  |    REL     |     0.09375     |  0.6   |
|  33  |  NON-REL   | 0.0909090909091 |  0.6   |
|  34  |  NON-REL   | 0.0882352941176 |  0.6   |
|  35  |  NON-REL   | 0.0857142857143 |  0.6   |
|  36  |  NON-REL   | 0.0833333333333 |  0.6   |
|  37  |  NON-REL   | 0.0810810810811 |  0.6   |
|  38  |  NON-REL   | 0.0789473684211 |  0.6   |
|  39  |  NON-REL   | 0.0769230769231 |  0.6   |
|  40  |  NON-REL   |      0.075      |  0.6   |
|  41  |  NON-REL   | 0.0731707317073 |  0.6   |
|  42  |  NON-REL   | 0.0714285714286 |  0.6   |
|  43  |  NON-REL   | 0.0697674418605 |  0.6   |
|  44  |  NON-REL   | 0.0681818181818 |  0.6   |
|  45  |  NON-REL   | 0.0666666666667 |  0.6   |
|  46  |  NON-REL   | 0.0652173913043 |  0.6   |
|  47  |  NON-REL   |  0.063829787234 |  0.6   |
|  48  |  NON-REL   |      0.0625     |  0.6   |
|  49  |  NON-REL   | 0.0612244897959 |  0.6   |
|  50  |  NON-REL   |       0.06      |  0.6   |
|  51  |  NON-REL   | 0.0588235294118 |  0.6   |
|  52  |  NON-REL   | 0.0576923076923 |  0.6   |
|  53  |  NON-REL   | 0.0566037735849 |  0.6   |
|  54  |  NON-REL   | 0.0555555555556 |  0.6   |
|  55  |  NON-REL   | 0.0545454545455 |  0.6   |
|  56  |  NON-REL   | 0.0535714285714 |  0.6   |
|  57  |  NON-REL   | 0.0526315789474 |  0.6   |
|  58  |  NON-REL   |  0.051724137931 |  0.6   |
|  59  |  NON-REL   | 0.0508474576271 |  0.6   |
|  60  |  NON-REL   |       0.05      |  0.6   |
|  61  |  NON-REL   | 0.0491803278689 |  0.6   |
|  62  |  NON-REL   | 0.0483870967742 |  0.6   |
|  63  |  NON-REL   |  0.047619047619 |  0.6   |
|  64  |  NON-REL   |     0.046875    |  0.6   |
|  65  |  NON-REL   | 0.0461538461538 |  0.6   |
|  66  |  NON-REL   | 0.0454545454545 |  0.6   |
|  67  |  NON-REL   |  0.044776119403 |  0.6   |
|  68  |  NON-REL   | 0.0441176470588 |  0.6   |
|  69  |  NON-REL   | 0.0434782608696 |  0.6   |
|  70  |  NON-REL   | 0.0428571428571 |  0.6   |
|  71  |  NON-REL   | 0.0422535211268 |  0.6   |
|  72  |  NON-REL   | 0.0416666666667 |  0.6   |
|  73  |  NON-REL   |  0.041095890411 |  0.6   |
|  74  |  NON-REL   | 0.0405405405405 |  0.6   |
|  75  |  NON-REL   |       0.04      |  0.6   |
|  76  |  NON-REL   | 0.0394736842105 |  0.6   |
|  77  |  NON-REL   |  0.038961038961 |  0.6   |
|  78  |  NON-REL   | 0.0384615384615 |  0.6   |
|  79  |  NON-REL   | 0.0379746835443 |  0.6   |
|  80  |  NON-REL   |      0.0375     |  0.6   |
|  81  |  NON-REL   |  0.037037037037 |  0.6   |
|  82  |  NON-REL   | 0.0365853658537 |  0.6   |
|  83  |  NON-REL   | 0.0361445783133 |  0.6   |
|  84  |  NON-REL   | 0.0357142857143 |  0.6   |
|  85  |  NON-REL   | 0.0352941176471 |  0.6   |
|  86  |  NON-REL   | 0.0348837209302 |  0.6   |
|  87  |  NON-REL   | 0.0344827586207 |  0.6   |
|  88  |  NON-REL   | 0.0340909090909 |  0.6   |
|  89  |  NON-REL   | 0.0337078651685 |  0.6   |
|  90  |  NON-REL   | 0.0333333333333 |  0.6   |
|  91  |  NON-REL   |  0.032967032967 |  0.6   |
|  92  |  NON-REL   | 0.0326086956522 |  0.6   |
|  93  |  NON-REL   | 0.0322580645161 |  0.6   |
|  94  |  NON-REL   |  0.031914893617 |  0.6   |
|  95  |  NON-REL   | 0.0315789473684 |  0.6   |
|  96  |  NON-REL   |     0.03125     |  0.6   |
|  97  |  NON-REL   | 0.0309278350515 |  0.6   |
|  98  |  NON-REL   |  0.030612244898 |  0.6   |
|  99  |  NON-REL   |  0.030303030303 |  0.6   |
| 100  |  NON-REL   |       0.03      |  0.6   |
+------+------------+-----------------+--------+
