query_14: nd discussions optimal implementations sort algorithms database management applications
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |  NON-REL   |      0.0       |       0.0       |
|  3   |  NON-REL   |      0.0       |       0.0       |
|  4   |  NON-REL   |      0.0       |       0.0       |
|  5   |  NON-REL   |      0.0       |       0.0       |
|  6   |  NON-REL   |      0.0       |       0.0       |
|  7   |  NON-REL   |      0.0       |       0.0       |
|  8   |    REL     |     0.125      | 0.0227272727273 |
|  9   |    REL     | 0.222222222222 | 0.0454545454545 |
|  10  |    REL     |      0.3       | 0.0681818181818 |
|  11  |  NON-REL   | 0.272727272727 | 0.0681818181818 |
|  12  |    REL     | 0.333333333333 | 0.0909090909091 |
|  13  |  NON-REL   | 0.307692307692 | 0.0909090909091 |
|  14  |  NON-REL   | 0.285714285714 | 0.0909090909091 |
|  15  |  NON-REL   | 0.266666666667 | 0.0909090909091 |
|  16  |  NON-REL   |      0.25      | 0.0909090909091 |
|  17  |  NON-REL   | 0.235294117647 | 0.0909090909091 |
|  18  |  NON-REL   | 0.222222222222 | 0.0909090909091 |
|  19  |  NON-REL   | 0.210526315789 | 0.0909090909091 |
|  20  |  NON-REL   |      0.2       | 0.0909090909091 |
|  21  |  NON-REL   | 0.190476190476 | 0.0909090909091 |
|  22  |  NON-REL   | 0.181818181818 | 0.0909090909091 |
|  23  |  NON-REL   | 0.173913043478 | 0.0909090909091 |
|  24  |    REL     | 0.208333333333 |  0.113636363636 |
|  25  |  NON-REL   |      0.2       |  0.113636363636 |
|  26  |    REL     | 0.230769230769 |  0.136363636364 |
|  27  |    REL     | 0.259259259259 |  0.159090909091 |
|  28  |  NON-REL   |      0.25      |  0.159090909091 |
|  29  |  NON-REL   | 0.241379310345 |  0.159090909091 |
|  30  |  NON-REL   | 0.233333333333 |  0.159090909091 |
|  31  |  NON-REL   | 0.225806451613 |  0.159090909091 |
|  32  |  NON-REL   |    0.21875     |  0.159090909091 |
|  33  |  NON-REL   | 0.212121212121 |  0.159090909091 |
|  34  |  NON-REL   | 0.205882352941 |  0.159090909091 |
|  35  |    REL     | 0.228571428571 |  0.181818181818 |
|  36  |  NON-REL   | 0.222222222222 |  0.181818181818 |
|  37  |  NON-REL   | 0.216216216216 |  0.181818181818 |
|  38  |  NON-REL   | 0.210526315789 |  0.181818181818 |
|  39  |  NON-REL   | 0.205128205128 |  0.181818181818 |
|  40  |  NON-REL   |      0.2       |  0.181818181818 |
|  41  |  NON-REL   | 0.19512195122  |  0.181818181818 |
|  42  |  NON-REL   | 0.190476190476 |  0.181818181818 |
|  43  |  NON-REL   | 0.186046511628 |  0.181818181818 |
|  44  |  NON-REL   | 0.181818181818 |  0.181818181818 |
|  45  |  NON-REL   | 0.177777777778 |  0.181818181818 |
|  46  |  NON-REL   | 0.173913043478 |  0.181818181818 |
|  47  |  NON-REL   | 0.170212765957 |  0.181818181818 |
|  48  |  NON-REL   | 0.166666666667 |  0.181818181818 |
|  49  |  NON-REL   | 0.163265306122 |  0.181818181818 |
|  50  |  NON-REL   |      0.16      |  0.181818181818 |
|  51  |  NON-REL   | 0.156862745098 |  0.181818181818 |
|  52  |    REL     | 0.173076923077 |  0.204545454545 |
|  53  |    REL     | 0.188679245283 |  0.227272727273 |
|  54  |  NON-REL   | 0.185185185185 |  0.227272727273 |
|  55  |  NON-REL   | 0.181818181818 |  0.227272727273 |
|  56  |  NON-REL   | 0.178571428571 |  0.227272727273 |
|  57  |  NON-REL   | 0.175438596491 |  0.227272727273 |
|  58  |    REL     | 0.189655172414 |       0.25      |
|  59  |  NON-REL   | 0.186440677966 |       0.25      |
|  60  |  NON-REL   | 0.183333333333 |       0.25      |
|  61  |  NON-REL   | 0.180327868852 |       0.25      |
|  62  |  NON-REL   | 0.177419354839 |       0.25      |
|  63  |  NON-REL   | 0.174603174603 |       0.25      |
|  64  |  NON-REL   |    0.171875    |       0.25      |
|  65  |  NON-REL   | 0.169230769231 |       0.25      |
|  66  |  NON-REL   | 0.166666666667 |       0.25      |
|  67  |  NON-REL   | 0.164179104478 |       0.25      |
|  68  |  NON-REL   | 0.161764705882 |       0.25      |
|  69  |  NON-REL   | 0.159420289855 |       0.25      |
|  70  |  NON-REL   | 0.157142857143 |       0.25      |
|  71  |  NON-REL   | 0.154929577465 |       0.25      |
|  72  |  NON-REL   | 0.152777777778 |       0.25      |
|  73  |  NON-REL   | 0.150684931507 |       0.25      |
|  74  |  NON-REL   | 0.148648648649 |       0.25      |
|  75  |  NON-REL   | 0.146666666667 |       0.25      |
|  76  |  NON-REL   | 0.144736842105 |       0.25      |
|  77  |  NON-REL   | 0.142857142857 |       0.25      |
|  78  |  NON-REL   | 0.141025641026 |       0.25      |
|  79  |  NON-REL   | 0.139240506329 |       0.25      |
|  80  |  NON-REL   |     0.1375     |       0.25      |
|  81  |  NON-REL   | 0.135802469136 |       0.25      |
|  82  |  NON-REL   | 0.134146341463 |       0.25      |
|  83  |  NON-REL   | 0.132530120482 |       0.25      |
|  84  |  NON-REL   | 0.130952380952 |       0.25      |
|  85  |  NON-REL   | 0.129411764706 |       0.25      |
|  86  |  NON-REL   | 0.127906976744 |       0.25      |
|  87  |  NON-REL   | 0.126436781609 |       0.25      |
|  88  |  NON-REL   |     0.125      |       0.25      |
|  89  |  NON-REL   | 0.123595505618 |       0.25      |
|  90  |  NON-REL   | 0.122222222222 |       0.25      |
|  91  |  NON-REL   | 0.120879120879 |       0.25      |
|  92  |  NON-REL   | 0.119565217391 |       0.25      |
|  93  |  NON-REL   | 0.118279569892 |       0.25      |
|  94  |  NON-REL   | 0.117021276596 |       0.25      |
|  95  |  NON-REL   | 0.115789473684 |       0.25      |
|  96  |  NON-REL   | 0.114583333333 |       0.25      |
|  97  |  NON-REL   | 0.113402061856 |       0.25      |
|  98  |  NON-REL   | 0.112244897959 |       0.25      |
|  99  |  NON-REL   | 0.111111111111 |       0.25      |
| 100  |  NON-REL   |      0.11      |       0.25      |
+------+------------+----------------+-----------------+
