query_17: timization intermediate machine code
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |    REL     |       0.5       | 0.0625 |
|  3   |  NON-REL   |  0.333333333333 | 0.0625 |
|  4   |    REL     |       0.5       | 0.125  |
|  5   |  NON-REL   |       0.4       | 0.125  |
|  6   |  NON-REL   |  0.333333333333 | 0.125  |
|  7   |  NON-REL   |  0.285714285714 | 0.125  |
|  8   |  NON-REL   |       0.25      | 0.125  |
|  9   |  NON-REL   |  0.222222222222 | 0.125  |
|  10  |  NON-REL   |       0.2       | 0.125  |
|  11  |  NON-REL   |  0.181818181818 | 0.125  |
|  12  |  NON-REL   |  0.166666666667 | 0.125  |
|  13  |  NON-REL   |  0.153846153846 | 0.125  |
|  14  |    REL     |  0.214285714286 | 0.1875 |
|  15  |  NON-REL   |       0.2       | 0.1875 |
|  16  |    REL     |       0.25      |  0.25  |
|  17  |  NON-REL   |  0.235294117647 |  0.25  |
|  18  |  NON-REL   |  0.222222222222 |  0.25  |
|  19  |  NON-REL   |  0.210526315789 |  0.25  |
|  20  |  NON-REL   |       0.2       |  0.25  |
|  21  |  NON-REL   |  0.190476190476 |  0.25  |
|  22  |  NON-REL   |  0.181818181818 |  0.25  |
|  23  |  NON-REL   |  0.173913043478 |  0.25  |
|  24  |  NON-REL   |  0.166666666667 |  0.25  |
|  25  |  NON-REL   |       0.16      |  0.25  |
|  26  |  NON-REL   |  0.153846153846 |  0.25  |
|  27  |  NON-REL   |  0.148148148148 |  0.25  |
|  28  |  NON-REL   |  0.142857142857 |  0.25  |
|  29  |  NON-REL   |  0.137931034483 |  0.25  |
|  30  |  NON-REL   |  0.133333333333 |  0.25  |
|  31  |  NON-REL   |  0.129032258065 |  0.25  |
|  32  |  NON-REL   |      0.125      |  0.25  |
|  33  |  NON-REL   |  0.121212121212 |  0.25  |
|  34  |  NON-REL   |  0.117647058824 |  0.25  |
|  35  |  NON-REL   |  0.114285714286 |  0.25  |
|  36  |  NON-REL   |  0.111111111111 |  0.25  |
|  37  |  NON-REL   |  0.108108108108 |  0.25  |
|  38  |  NON-REL   |  0.105263157895 |  0.25  |
|  39  |  NON-REL   |  0.102564102564 |  0.25  |
|  40  |  NON-REL   |       0.1       |  0.25  |
|  41  |  NON-REL   | 0.0975609756098 |  0.25  |
|  42  |  NON-REL   | 0.0952380952381 |  0.25  |
|  43  |  NON-REL   |  0.093023255814 |  0.25  |
|  44  |  NON-REL   | 0.0909090909091 |  0.25  |
|  45  |  NON-REL   | 0.0888888888889 |  0.25  |
|  46  |  NON-REL   | 0.0869565217391 |  0.25  |
|  47  |  NON-REL   | 0.0851063829787 |  0.25  |
|  48  |  NON-REL   | 0.0833333333333 |  0.25  |
|  49  |  NON-REL   | 0.0816326530612 |  0.25  |
|  50  |  NON-REL   |       0.08      |  0.25  |
|  51  |  NON-REL   |  0.078431372549 |  0.25  |
|  52  |  NON-REL   | 0.0769230769231 |  0.25  |
|  53  |  NON-REL   | 0.0754716981132 |  0.25  |
|  54  |  NON-REL   | 0.0740740740741 |  0.25  |
|  55  |  NON-REL   | 0.0727272727273 |  0.25  |
|  56  |  NON-REL   | 0.0714285714286 |  0.25  |
|  57  |  NON-REL   | 0.0701754385965 |  0.25  |
|  58  |  NON-REL   | 0.0689655172414 |  0.25  |
|  59  |    REL     | 0.0847457627119 | 0.3125 |
|  60  |  NON-REL   | 0.0833333333333 | 0.3125 |
|  61  |  NON-REL   | 0.0819672131148 | 0.3125 |
|  62  |  NON-REL   | 0.0806451612903 | 0.3125 |
|  63  |  NON-REL   | 0.0793650793651 | 0.3125 |
|  64  |  NON-REL   |     0.078125    | 0.3125 |
|  65  |  NON-REL   | 0.0769230769231 | 0.3125 |
|  66  |  NON-REL   | 0.0757575757576 | 0.3125 |
|  67  |  NON-REL   | 0.0746268656716 | 0.3125 |
|  68  |  NON-REL   | 0.0735294117647 | 0.3125 |
|  69  |  NON-REL   | 0.0724637681159 | 0.3125 |
|  70  |  NON-REL   | 0.0714285714286 | 0.3125 |
|  71  |  NON-REL   | 0.0704225352113 | 0.3125 |
|  72  |  NON-REL   | 0.0694444444444 | 0.3125 |
|  73  |  NON-REL   | 0.0684931506849 | 0.3125 |
|  74  |  NON-REL   | 0.0675675675676 | 0.3125 |
|  75  |  NON-REL   | 0.0666666666667 | 0.3125 |
|  76  |  NON-REL   | 0.0657894736842 | 0.3125 |
|  77  |  NON-REL   | 0.0649350649351 | 0.3125 |
|  78  |  NON-REL   | 0.0641025641026 | 0.3125 |
|  79  |  NON-REL   | 0.0632911392405 | 0.3125 |
|  80  |  NON-REL   |      0.0625     | 0.3125 |
|  81  |  NON-REL   | 0.0617283950617 | 0.3125 |
|  82  |  NON-REL   | 0.0609756097561 | 0.3125 |
|  83  |  NON-REL   | 0.0602409638554 | 0.3125 |
|  84  |  NON-REL   | 0.0595238095238 | 0.3125 |
|  85  |  NON-REL   | 0.0588235294118 | 0.3125 |
|  86  |  NON-REL   | 0.0581395348837 | 0.3125 |
|  87  |  NON-REL   | 0.0574712643678 | 0.3125 |
|  88  |  NON-REL   | 0.0568181818182 | 0.3125 |
|  89  |  NON-REL   | 0.0561797752809 | 0.3125 |
|  90  |  NON-REL   | 0.0555555555556 | 0.3125 |
|  91  |  NON-REL   | 0.0549450549451 | 0.3125 |
|  92  |  NON-REL   |  0.054347826087 | 0.3125 |
|  93  |  NON-REL   | 0.0537634408602 | 0.3125 |
|  94  |  NON-REL   | 0.0531914893617 | 0.3125 |
|  95  |  NON-REL   | 0.0526315789474 | 0.3125 |
|  96  |  NON-REL   | 0.0520833333333 | 0.3125 |
|  97  |  NON-REL   | 0.0515463917526 | 0.3125 |
|  98  |  NON-REL   | 0.0510204081633 | 0.3125 |
|  99  |  NON-REL   | 0.0505050505051 | 0.3125 |
| 100  |  NON-REL   |       0.05      | 0.3125 |
+------+------------+-----------------+--------+
