query_25: rformance evaluation modelling computer systems
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0196078431373 |
|  2   |  NON-REL   |       0.5       | 0.0196078431373 |
|  3   |  NON-REL   |  0.333333333333 | 0.0196078431373 |
|  4   |  NON-REL   |       0.25      | 0.0196078431373 |
|  5   |  NON-REL   |       0.2       | 0.0196078431373 |
|  6   |  NON-REL   |  0.166666666667 | 0.0196078431373 |
|  7   |  NON-REL   |  0.142857142857 | 0.0196078431373 |
|  8   |  NON-REL   |      0.125      | 0.0196078431373 |
|  9   |  NON-REL   |  0.111111111111 | 0.0196078431373 |
|  10  |  NON-REL   |       0.1       | 0.0196078431373 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0196078431373 |
|  12  |    REL     |  0.166666666667 | 0.0392156862745 |
|  13  |  NON-REL   |  0.153846153846 | 0.0392156862745 |
|  14  |  NON-REL   |  0.142857142857 | 0.0392156862745 |
|  15  |  NON-REL   |  0.133333333333 | 0.0392156862745 |
|  16  |    REL     |      0.1875     | 0.0588235294118 |
|  17  |  NON-REL   |  0.176470588235 | 0.0588235294118 |
|  18  |  NON-REL   |  0.166666666667 | 0.0588235294118 |
|  19  |  NON-REL   |  0.157894736842 | 0.0588235294118 |
|  20  |  NON-REL   |       0.15      | 0.0588235294118 |
|  21  |  NON-REL   |  0.142857142857 | 0.0588235294118 |
|  22  |  NON-REL   |  0.136363636364 | 0.0588235294118 |
|  23  |  NON-REL   |  0.130434782609 | 0.0588235294118 |
|  24  |  NON-REL   |      0.125      | 0.0588235294118 |
|  25  |  NON-REL   |       0.12      | 0.0588235294118 |
|  26  |  NON-REL   |  0.115384615385 | 0.0588235294118 |
|  27  |  NON-REL   |  0.111111111111 | 0.0588235294118 |
|  28  |  NON-REL   |  0.107142857143 | 0.0588235294118 |
|  29  |    REL     |  0.137931034483 |  0.078431372549 |
|  30  |  NON-REL   |  0.133333333333 |  0.078431372549 |
|  31  |    REL     |  0.161290322581 | 0.0980392156863 |
|  32  |  NON-REL   |     0.15625     | 0.0980392156863 |
|  33  |  NON-REL   |  0.151515151515 | 0.0980392156863 |
|  34  |  NON-REL   |  0.147058823529 | 0.0980392156863 |
|  35  |  NON-REL   |  0.142857142857 | 0.0980392156863 |
|  36  |  NON-REL   |  0.138888888889 | 0.0980392156863 |
|  37  |    REL     |  0.162162162162 |  0.117647058824 |
|  38  |  NON-REL   |  0.157894736842 |  0.117647058824 |
|  39  |  NON-REL   |  0.153846153846 |  0.117647058824 |
|  40  |  NON-REL   |       0.15      |  0.117647058824 |
|  41  |  NON-REL   |  0.146341463415 |  0.117647058824 |
|  42  |  NON-REL   |  0.142857142857 |  0.117647058824 |
|  43  |  NON-REL   |  0.139534883721 |  0.117647058824 |
|  44  |  NON-REL   |  0.136363636364 |  0.117647058824 |
|  45  |  NON-REL   |  0.133333333333 |  0.117647058824 |
|  46  |  NON-REL   |  0.130434782609 |  0.117647058824 |
|  47  |  NON-REL   |  0.127659574468 |  0.117647058824 |
|  48  |  NON-REL   |      0.125      |  0.117647058824 |
|  49  |  NON-REL   |  0.122448979592 |  0.117647058824 |
|  50  |    REL     |       0.14      |  0.137254901961 |
|  51  |  NON-REL   |  0.137254901961 |  0.137254901961 |
|  52  |  NON-REL   |  0.134615384615 |  0.137254901961 |
|  53  |  NON-REL   |  0.132075471698 |  0.137254901961 |
|  54  |  NON-REL   |  0.12962962963  |  0.137254901961 |
|  55  |  NON-REL   |  0.127272727273 |  0.137254901961 |
