query_38: pe module don want entire literature abstract data types sure phrase avoid interested questions check module matches contexts
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |    REL     |       0.5       | 0.0625 |
|  3   |  NON-REL   |  0.333333333333 | 0.0625 |
|  4   |    REL     |       0.5       | 0.125  |
|  5   |    REL     |       0.6       | 0.1875 |
|  6   |  NON-REL   |       0.5       | 0.1875 |
|  7   |  NON-REL   |  0.428571428571 | 0.1875 |
|  8   |    REL     |       0.5       |  0.25  |
|  9   |    REL     |  0.555555555556 | 0.3125 |
|  10  |  NON-REL   |       0.5       | 0.3125 |
|  11  |  NON-REL   |  0.454545454545 | 0.3125 |
|  12  |  NON-REL   |  0.416666666667 | 0.3125 |
|  13  |  NON-REL   |  0.384615384615 | 0.3125 |
|  14  |  NON-REL   |  0.357142857143 | 0.3125 |
|  15  |  NON-REL   |  0.333333333333 | 0.3125 |
|  16  |  NON-REL   |      0.3125     | 0.3125 |
|  17  |    REL     |  0.352941176471 | 0.375  |
|  18  |  NON-REL   |  0.333333333333 | 0.375  |
|  19  |  NON-REL   |  0.315789473684 | 0.375  |
|  20  |  NON-REL   |       0.3       | 0.375  |
|  21  |  NON-REL   |  0.285714285714 | 0.375  |
|  22  |  NON-REL   |  0.272727272727 | 0.375  |
|  23  |    REL     |  0.304347826087 | 0.4375 |
|  24  |  NON-REL   |  0.291666666667 | 0.4375 |
|  25  |  NON-REL   |       0.28      | 0.4375 |
|  26  |  NON-REL   |  0.269230769231 | 0.4375 |
|  27  |  NON-REL   |  0.259259259259 | 0.4375 |
|  28  |  NON-REL   |       0.25      | 0.4375 |
|  29  |  NON-REL   |  0.241379310345 | 0.4375 |
|  30  |  NON-REL   |  0.233333333333 | 0.4375 |
|  31  |  NON-REL   |  0.225806451613 | 0.4375 |
|  32  |  NON-REL   |     0.21875     | 0.4375 |
|  33  |  NON-REL   |  0.212121212121 | 0.4375 |
|  34  |  NON-REL   |  0.205882352941 | 0.4375 |
|  35  |  NON-REL   |       0.2       | 0.4375 |
|  36  |  NON-REL   |  0.194444444444 | 0.4375 |
|  37  |  NON-REL   |  0.189189189189 | 0.4375 |
|  38  |  NON-REL   |  0.184210526316 | 0.4375 |
|  39  |  NON-REL   |  0.179487179487 | 0.4375 |
|  40  |  NON-REL   |      0.175      | 0.4375 |
|  41  |    REL     |  0.19512195122  |  0.5   |
|  42  |  NON-REL   |  0.190476190476 |  0.5   |
|  43  |  NON-REL   |  0.186046511628 |  0.5   |
|  44  |  NON-REL   |  0.181818181818 |  0.5   |
|  45  |  NON-REL   |  0.177777777778 |  0.5   |
|  46  |  NON-REL   |  0.173913043478 |  0.5   |
|  47  |  NON-REL   |  0.170212765957 |  0.5   |
|  48  |  NON-REL   |  0.166666666667 |  0.5   |
|  49  |  NON-REL   |  0.163265306122 |  0.5   |
|  50  |  NON-REL   |       0.16      |  0.5   |
|  51  |  NON-REL   |  0.156862745098 |  0.5   |
|  52  |  NON-REL   |  0.153846153846 |  0.5   |
|  53  |  NON-REL   |  0.150943396226 |  0.5   |
|  54  |  NON-REL   |  0.148148148148 |  0.5   |
|  55  |  NON-REL   |  0.145454545455 |  0.5   |
|  56  |  NON-REL   |  0.142857142857 |  0.5   |
|  57  |  NON-REL   |  0.140350877193 |  0.5   |
|  58  |  NON-REL   |  0.137931034483 |  0.5   |
|  59  |  NON-REL   |  0.135593220339 |  0.5   |
|  60  |  NON-REL   |  0.133333333333 |  0.5   |
|  61  |  NON-REL   |  0.131147540984 |  0.5   |
|  62  |  NON-REL   |  0.129032258065 |  0.5   |
|  63  |  NON-REL   |  0.126984126984 |  0.5   |
|  64  |  NON-REL   |      0.125      |  0.5   |
|  65  |  NON-REL   |  0.123076923077 |  0.5   |
|  66  |  NON-REL   |  0.121212121212 |  0.5   |
|  67  |  NON-REL   |  0.119402985075 |  0.5   |
|  68  |  NON-REL   |  0.117647058824 |  0.5   |
|  69  |  NON-REL   |  0.115942028986 |  0.5   |
|  70  |  NON-REL   |  0.114285714286 |  0.5   |
|  71  |  NON-REL   |  0.112676056338 |  0.5   |
|  72  |  NON-REL   |  0.111111111111 |  0.5   |
|  73  |  NON-REL   |  0.109589041096 |  0.5   |
|  74  |  NON-REL   |  0.108108108108 |  0.5   |
|  75  |  NON-REL   |  0.106666666667 |  0.5   |
|  76  |  NON-REL   |  0.105263157895 |  0.5   |
|  77  |  NON-REL   |  0.103896103896 |  0.5   |
|  78  |  NON-REL   |  0.102564102564 |  0.5   |
|  79  |  NON-REL   |  0.101265822785 |  0.5   |
|  80  |  NON-REL   |       0.1       |  0.5   |
|  81  |  NON-REL   | 0.0987654320988 |  0.5   |
|  82  |  NON-REL   | 0.0975609756098 |  0.5   |
|  83  |  NON-REL   | 0.0963855421687 |  0.5   |
|  84  |  NON-REL   | 0.0952380952381 |  0.5   |
|  85  |  NON-REL   | 0.0941176470588 |  0.5   |
|  86  |  NON-REL   |  0.093023255814 |  0.5   |
|  87  |    REL     |  0.103448275862 | 0.5625 |
|  88  |  NON-REL   |  0.102272727273 | 0.5625 |
|  89  |  NON-REL   |  0.101123595506 | 0.5625 |
|  90  |  NON-REL   |       0.1       | 0.5625 |
|  91  |  NON-REL   | 0.0989010989011 | 0.5625 |
|  92  |  NON-REL   | 0.0978260869565 | 0.5625 |
|  93  |  NON-REL   | 0.0967741935484 | 0.5625 |
|  94  |  NON-REL   | 0.0957446808511 | 0.5625 |
|  95  |  NON-REL   | 0.0947368421053 | 0.5625 |
|  96  |  NON-REL   |     0.09375     | 0.5625 |
|  97  |  NON-REL   | 0.0927835051546 | 0.5625 |
|  98  |  NON-REL   | 0.0918367346939 | 0.5625 |
|  99  |  NON-REL   | 0.0909090909091 | 0.5625 |
| 100  |  NON-REL   |       0.09      | 0.5625 |
+------+------------+-----------------+--------+
