query_42: mputer performance evaluation techniques pattern recognition clustering la
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |    REL     |  0.142857142857 |  0.047619047619 |
|  8   |  NON-REL   |      0.125      |  0.047619047619 |
|  9   |  NON-REL   |  0.111111111111 |  0.047619047619 |
|  10  |  NON-REL   |       0.1       |  0.047619047619 |
|  11  |    REL     |  0.181818181818 | 0.0952380952381 |
|  12  |  NON-REL   |  0.166666666667 | 0.0952380952381 |
|  13  |  NON-REL   |  0.153846153846 | 0.0952380952381 |
|  14  |  NON-REL   |  0.142857142857 | 0.0952380952381 |
|  15  |  NON-REL   |  0.133333333333 | 0.0952380952381 |
|  16  |  NON-REL   |      0.125      | 0.0952380952381 |
|  17  |  NON-REL   |  0.117647058824 | 0.0952380952381 |
|  18  |  NON-REL   |  0.111111111111 | 0.0952380952381 |
|  19  |  NON-REL   |  0.105263157895 | 0.0952380952381 |
|  20  |  NON-REL   |       0.1       | 0.0952380952381 |
|  21  |    REL     |  0.142857142857 |  0.142857142857 |
|  22  |    REL     |  0.181818181818 |  0.190476190476 |
|  23  |  NON-REL   |  0.173913043478 |  0.190476190476 |
|  24  |    REL     |  0.208333333333 |  0.238095238095 |
|  25  |  NON-REL   |       0.2       |  0.238095238095 |
|  26  |  NON-REL   |  0.192307692308 |  0.238095238095 |
|  27  |  NON-REL   |  0.185185185185 |  0.238095238095 |
|  28  |  NON-REL   |  0.178571428571 |  0.238095238095 |
|  29  |  NON-REL   |  0.172413793103 |  0.238095238095 |
|  30  |  NON-REL   |  0.166666666667 |  0.238095238095 |
|  31  |  NON-REL   |  0.161290322581 |  0.238095238095 |
|  32  |  NON-REL   |     0.15625     |  0.238095238095 |
|  33  |    REL     |  0.181818181818 |  0.285714285714 |
|  34  |  NON-REL   |  0.176470588235 |  0.285714285714 |
|  35  |  NON-REL   |  0.171428571429 |  0.285714285714 |
|  36  |  NON-REL   |  0.166666666667 |  0.285714285714 |
|  37  |  NON-REL   |  0.162162162162 |  0.285714285714 |
|  38  |  NON-REL   |  0.157894736842 |  0.285714285714 |
|  39  |  NON-REL   |  0.153846153846 |  0.285714285714 |
|  40  |  NON-REL   |       0.15      |  0.285714285714 |
|  41  |  NON-REL   |  0.146341463415 |  0.285714285714 |
|  42  |  NON-REL   |  0.142857142857 |  0.285714285714 |
|  43  |  NON-REL   |  0.139534883721 |  0.285714285714 |
|  44  |  NON-REL   |  0.136363636364 |  0.285714285714 |
|  45  |  NON-REL   |  0.133333333333 |  0.285714285714 |
|  46  |  NON-REL   |  0.130434782609 |  0.285714285714 |
|  47  |  NON-REL   |  0.127659574468 |  0.285714285714 |
|  48  |  NON-REL   |      0.125      |  0.285714285714 |
|  49  |  NON-REL   |  0.122448979592 |  0.285714285714 |
|  50  |  NON-REL   |       0.12      |  0.285714285714 |
|  51  |  NON-REL   |  0.117647058824 |  0.285714285714 |
|  52  |  NON-REL   |  0.115384615385 |  0.285714285714 |
|  53  |  NON-REL   |  0.11320754717  |  0.285714285714 |
|  54  |  NON-REL   |  0.111111111111 |  0.285714285714 |
|  55  |  NON-REL   |  0.109090909091 |  0.285714285714 |
|  56  |  NON-REL   |  0.107142857143 |  0.285714285714 |
|  57  |  NON-REL   |  0.105263157895 |  0.285714285714 |
|  58  |  NON-REL   |  0.103448275862 |  0.285714285714 |
|  59  |  NON-REL   |  0.101694915254 |  0.285714285714 |
|  60  |  NON-REL   |       0.1       |  0.285714285714 |
|  61  |  NON-REL   | 0.0983606557377 |  0.285714285714 |
|  62  |    REL     |  0.112903225806 |  0.333333333333 |
|  63  |  NON-REL   |  0.111111111111 |  0.333333333333 |
|  64  |  NON-REL   |     0.109375    |  0.333333333333 |
|  65  |  NON-REL   |  0.107692307692 |  0.333333333333 |
|  66  |  NON-REL   |  0.106060606061 |  0.333333333333 |
|  67  |  NON-REL   |  0.10447761194  |  0.333333333333 |
|  68  |  NON-REL   |  0.102941176471 |  0.333333333333 |
|  69  |  NON-REL   |  0.101449275362 |  0.333333333333 |
|  70  |  NON-REL   |       0.1       |  0.333333333333 |
|  71  |  NON-REL   | 0.0985915492958 |  0.333333333333 |
|  72  |  NON-REL   | 0.0972222222222 |  0.333333333333 |
|  73  |  NON-REL   | 0.0958904109589 |  0.333333333333 |
|  74  |  NON-REL   | 0.0945945945946 |  0.333333333333 |
|  75  |  NON-REL   | 0.0933333333333 |  0.333333333333 |
|  76  |  NON-REL   | 0.0921052631579 |  0.333333333333 |
|  77  |  NON-REL   | 0.0909090909091 |  0.333333333333 |
|  78  |  NON-REL   | 0.0897435897436 |  0.333333333333 |
|  79  |  NON-REL   | 0.0886075949367 |  0.333333333333 |
|  80  |  NON-REL   |      0.0875     |  0.333333333333 |
|  81  |  NON-REL   | 0.0864197530864 |  0.333333333333 |
|  82  |  NON-REL   | 0.0853658536585 |  0.333333333333 |
|  83  |  NON-REL   | 0.0843373493976 |  0.333333333333 |
|  84  |  NON-REL   | 0.0833333333333 |  0.333333333333 |
|  85  |  NON-REL   | 0.0823529411765 |  0.333333333333 |
|  86  |  NON-REL   | 0.0813953488372 |  0.333333333333 |
|  87  |  NON-REL   | 0.0804597701149 |  0.333333333333 |
|  88  |  NON-REL   | 0.0795454545455 |  0.333333333333 |
|  89  |  NON-REL   | 0.0786516853933 |  0.333333333333 |
|  90  |  NON-REL   | 0.0777777777778 |  0.333333333333 |
|  91  |    REL     | 0.0879120879121 |  0.380952380952 |
|  92  |  NON-REL   | 0.0869565217391 |  0.380952380952 |
|  93  |  NON-REL   | 0.0860215053763 |  0.380952380952 |
|  94  |  NON-REL   | 0.0851063829787 |  0.380952380952 |
|  95  |  NON-REL   | 0.0842105263158 |  0.380952380952 |
|  96  |  NON-REL   | 0.0833333333333 |  0.380952380952 |
|  97  |  NON-REL   | 0.0824742268041 |  0.380952380952 |
|  98  |  NON-REL   | 0.0816326530612 |  0.380952380952 |
|  99  |  NON-REL   | 0.0808080808081 |  0.380952380952 |
| 100  |  NON-REL   |       0.08      |  0.380952380952 |
+------+------------+-----------------+-----------------+
