query_43: alysis perception shape humans computers shape descriptions shape recognition computer two-dimensional shapes measures circularity shape matching
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |  NON-REL   |      0.0       |       0.0       |
|  3   |  NON-REL   |      0.0       |       0.0       |
|  4   |    REL     |      0.25      | 0.0243902439024 |
|  5   |  NON-REL   |      0.2       | 0.0243902439024 |
|  6   |  NON-REL   | 0.166666666667 | 0.0243902439024 |
|  7   |  NON-REL   | 0.142857142857 | 0.0243902439024 |
|  8   |    REL     |      0.25      | 0.0487804878049 |
|  9   |  NON-REL   | 0.222222222222 | 0.0487804878049 |
|  10  |  NON-REL   |      0.2       | 0.0487804878049 |
|  11  |    REL     | 0.272727272727 | 0.0731707317073 |
|  12  |    REL     | 0.333333333333 | 0.0975609756098 |
|  13  |    REL     | 0.384615384615 |  0.121951219512 |
|  14  |    REL     | 0.428571428571 |  0.146341463415 |
|  15  |  NON-REL   |      0.4       |  0.146341463415 |
|  16  |  NON-REL   |     0.375      |  0.146341463415 |
|  17  |    REL     | 0.411764705882 |  0.170731707317 |
|  18  |  NON-REL   | 0.388888888889 |  0.170731707317 |
|  19  |  NON-REL   | 0.368421052632 |  0.170731707317 |
|  20  |  NON-REL   |      0.35      |  0.170731707317 |
|  21  |    REL     | 0.380952380952 |  0.19512195122  |
|  22  |  NON-REL   | 0.363636363636 |  0.19512195122  |
|  23  |  NON-REL   | 0.347826086957 |  0.19512195122  |
|  24  |  NON-REL   | 0.333333333333 |  0.19512195122  |
|  25  |  NON-REL   |      0.32      |  0.19512195122  |
|  26  |    REL     | 0.346153846154 |  0.219512195122 |
|  27  |  NON-REL   | 0.333333333333 |  0.219512195122 |
|  28  |  NON-REL   | 0.321428571429 |  0.219512195122 |
|  29  |    REL     | 0.344827586207 |  0.243902439024 |
|  30  |    REL     | 0.366666666667 |  0.268292682927 |
|  31  |  NON-REL   | 0.354838709677 |  0.268292682927 |
|  32  |  NON-REL   |    0.34375     |  0.268292682927 |
|  33  |  NON-REL   | 0.333333333333 |  0.268292682927 |
|  34  |  NON-REL   | 0.323529411765 |  0.268292682927 |
|  35  |  NON-REL   | 0.314285714286 |  0.268292682927 |
|  36  |  NON-REL   | 0.305555555556 |  0.268292682927 |
|  37  |    REL     | 0.324324324324 |  0.292682926829 |
|  38  |  NON-REL   | 0.315789473684 |  0.292682926829 |
|  39  |  NON-REL   | 0.307692307692 |  0.292682926829 |
|  40  |  NON-REL   |      0.3       |  0.292682926829 |
|  41  |  NON-REL   | 0.292682926829 |  0.292682926829 |
|  42  |  NON-REL   | 0.285714285714 |  0.292682926829 |
|  43  |  NON-REL   | 0.279069767442 |  0.292682926829 |
|  44  |  NON-REL   | 0.272727272727 |  0.292682926829 |
|  45  |  NON-REL   | 0.266666666667 |  0.292682926829 |
|  46  |  NON-REL   | 0.260869565217 |  0.292682926829 |
|  47  |  NON-REL   | 0.255319148936 |  0.292682926829 |
|  48  |  NON-REL   |      0.25      |  0.292682926829 |
|  49  |  NON-REL   | 0.244897959184 |  0.292682926829 |
|  50  |  NON-REL   |      0.24      |  0.292682926829 |
|  51  |  NON-REL   | 0.235294117647 |  0.292682926829 |
|  52  |  NON-REL   | 0.230769230769 |  0.292682926829 |
|  53  |  NON-REL   | 0.22641509434  |  0.292682926829 |
|  54  |    REL     | 0.240740740741 |  0.317073170732 |
|  55  |    REL     | 0.254545454545 |  0.341463414634 |
|  56  |  NON-REL   |      0.25      |  0.341463414634 |
|  57  |    REL     | 0.263157894737 |  0.365853658537 |
|  58  |  NON-REL   | 0.258620689655 |  0.365853658537 |
|  59  |  NON-REL   | 0.254237288136 |  0.365853658537 |
|  60  |  NON-REL   |      0.25      |  0.365853658537 |
|  61  |  NON-REL   | 0.245901639344 |  0.365853658537 |
|  62  |  NON-REL   | 0.241935483871 |  0.365853658537 |
|  63  |  NON-REL   | 0.238095238095 |  0.365853658537 |
|  64  |  NON-REL   |    0.234375    |  0.365853658537 |
|  65  |  NON-REL   | 0.230769230769 |  0.365853658537 |
|  66  |  NON-REL   | 0.227272727273 |  0.365853658537 |
|  67  |  NON-REL   | 0.223880597015 |  0.365853658537 |
|  68  |  NON-REL   | 0.220588235294 |  0.365853658537 |
|  69  |  NON-REL   | 0.217391304348 |  0.365853658537 |
|  70  |  NON-REL   | 0.214285714286 |  0.365853658537 |
|  71  |  NON-REL   | 0.211267605634 |  0.365853658537 |
|  72  |  NON-REL   | 0.208333333333 |  0.365853658537 |
|  73  |  NON-REL   | 0.205479452055 |  0.365853658537 |
|  74  |  NON-REL   | 0.202702702703 |  0.365853658537 |
|  75  |  NON-REL   |      0.2       |  0.365853658537 |
|  76  |  NON-REL   | 0.197368421053 |  0.365853658537 |
|  77  |  NON-REL   | 0.194805194805 |  0.365853658537 |
|  78  |  NON-REL   | 0.192307692308 |  0.365853658537 |
|  79  |  NON-REL   | 0.189873417722 |  0.365853658537 |
|  80  |  NON-REL   |     0.1875     |  0.365853658537 |
|  81  |  NON-REL   | 0.185185185185 |  0.365853658537 |
|  82  |  NON-REL   | 0.182926829268 |  0.365853658537 |
|  83  |  NON-REL   | 0.180722891566 |  0.365853658537 |
|  84  |  NON-REL   | 0.178571428571 |  0.365853658537 |
|  85  |  NON-REL   | 0.176470588235 |  0.365853658537 |
|  86  |  NON-REL   | 0.174418604651 |  0.365853658537 |
|  87  |  NON-REL   | 0.172413793103 |  0.365853658537 |
|  88  |    REL     | 0.181818181818 |  0.390243902439 |
|  89  |  NON-REL   | 0.179775280899 |  0.390243902439 |
|  90  |  NON-REL   | 0.177777777778 |  0.390243902439 |
|  91  |  NON-REL   | 0.175824175824 |  0.390243902439 |
|  92  |  NON-REL   | 0.173913043478 |  0.390243902439 |
|  93  |  NON-REL   | 0.172043010753 |  0.390243902439 |
|  94  |  NON-REL   | 0.170212765957 |  0.390243902439 |
|  95  |  NON-REL   | 0.168421052632 |  0.390243902439 |
|  96  |  NON-REL   | 0.166666666667 |  0.390243902439 |
|  97  |  NON-REL   | 0.164948453608 |  0.390243902439 |
|  98  |  NON-REL   | 0.163265306122 |  0.390243902439 |
|  99  |  NON-REL   | 0.161616161616 |  0.390243902439 |
| 100  |  NON-REL   |      0.16      |  0.390243902439 |
+------+------------+----------------+-----------------+
