query_45: erations research models optimize information system performance includes fine tuning decisions secondary index selection reorganization distributed databases
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0384615384615 |
|  2   |    REL     |      1.0       | 0.0769230769231 |
|  3   |  NON-REL   | 0.666666666667 | 0.0769230769231 |
|  4   |  NON-REL   |      0.5       | 0.0769230769231 |
|  5   |    REL     |      0.6       |  0.115384615385 |
|  6   |  NON-REL   |      0.5       |  0.115384615385 |
|  7   |    REL     | 0.571428571429 |  0.153846153846 |
|  8   |  NON-REL   |      0.5       |  0.153846153846 |
|  9   |    REL     | 0.555555555556 |  0.192307692308 |
|  10  |  NON-REL   |      0.5       |  0.192307692308 |
|  11  |    REL     | 0.545454545455 |  0.230769230769 |
|  12  |  NON-REL   |      0.5       |  0.230769230769 |
|  13  |  NON-REL   | 0.461538461538 |  0.230769230769 |
|  14  |  NON-REL   | 0.428571428571 |  0.230769230769 |
|  15  |  NON-REL   |      0.4       |  0.230769230769 |
|  16  |  NON-REL   |     0.375      |  0.230769230769 |
|  17  |  NON-REL   | 0.352941176471 |  0.230769230769 |
|  18  |    REL     | 0.388888888889 |  0.269230769231 |
|  19  |  NON-REL   | 0.368421052632 |  0.269230769231 |
|  20  |  NON-REL   |      0.35      |  0.269230769231 |
|  21  |  NON-REL   | 0.333333333333 |  0.269230769231 |
|  22  |  NON-REL   | 0.318181818182 |  0.269230769231 |
|  23  |  NON-REL   | 0.304347826087 |  0.269230769231 |
|  24  |  NON-REL   | 0.291666666667 |  0.269230769231 |
|  25  |  NON-REL   |      0.28      |  0.269230769231 |
|  26  |  NON-REL   | 0.269230769231 |  0.269230769231 |
|  27  |  NON-REL   | 0.259259259259 |  0.269230769231 |
|  28  |  NON-REL   |      0.25      |  0.269230769231 |
|  29  |  NON-REL   | 0.241379310345 |  0.269230769231 |
|  30  |  NON-REL   | 0.233333333333 |  0.269230769231 |
|  31  |  NON-REL   | 0.225806451613 |  0.269230769231 |
|  32  |  NON-REL   |    0.21875     |  0.269230769231 |
|  33  |  NON-REL   | 0.212121212121 |  0.269230769231 |
|  34  |  NON-REL   | 0.205882352941 |  0.269230769231 |
|  35  |  NON-REL   |      0.2       |  0.269230769231 |
|  36  |  NON-REL   | 0.194444444444 |  0.269230769231 |
|  37  |  NON-REL   | 0.189189189189 |  0.269230769231 |
|  38  |  NON-REL   | 0.184210526316 |  0.269230769231 |
|  39  |  NON-REL   | 0.179487179487 |  0.269230769231 |
|  40  |  NON-REL   |     0.175      |  0.269230769231 |
|  41  |  NON-REL   | 0.170731707317 |  0.269230769231 |
|  42  |  NON-REL   | 0.166666666667 |  0.269230769231 |
|  43  |  NON-REL   | 0.162790697674 |  0.269230769231 |
|  44  |  NON-REL   | 0.159090909091 |  0.269230769231 |
|  45  |  NON-REL   | 0.155555555556 |  0.269230769231 |
|  46  |  NON-REL   | 0.152173913043 |  0.269230769231 |
|  47  |  NON-REL   | 0.148936170213 |  0.269230769231 |
|  48  |  NON-REL   | 0.145833333333 |  0.269230769231 |
|  49  |  NON-REL   | 0.142857142857 |  0.269230769231 |
|  50  |  NON-REL   |      0.14      |  0.269230769231 |
|  51  |  NON-REL   | 0.137254901961 |  0.269230769231 |
|  52  |  NON-REL   | 0.134615384615 |  0.269230769231 |
|  53  |  NON-REL   | 0.132075471698 |  0.269230769231 |
|  54  |  NON-REL   | 0.12962962963  |  0.269230769231 |
|  55  |  NON-REL   | 0.127272727273 |  0.269230769231 |
|  56  |  NON-REL   |     0.125      |  0.269230769231 |
|  57  |  NON-REL   | 0.122807017544 |  0.269230769231 |
|  58  |  NON-REL   | 0.120689655172 |  0.269230769231 |
|  59  |  NON-REL   | 0.118644067797 |  0.269230769231 |
|  60  |  NON-REL   | 0.116666666667 |  0.269230769231 |
|  61  |    REL     | 0.131147540984 |  0.307692307692 |
|  62  |  NON-REL   | 0.129032258065 |  0.307692307692 |
|  63  |  NON-REL   | 0.126984126984 |  0.307692307692 |
|  64  |  NON-REL   |     0.125      |  0.307692307692 |
|  65  |  NON-REL   | 0.123076923077 |  0.307692307692 |
|  66  |  NON-REL   | 0.121212121212 |  0.307692307692 |
|  67  |  NON-REL   | 0.119402985075 |  0.307692307692 |
|  68  |  NON-REL   | 0.117647058824 |  0.307692307692 |
|  69  |  NON-REL   | 0.115942028986 |  0.307692307692 |
|  70  |  NON-REL   | 0.114285714286 |  0.307692307692 |
|  71  |  NON-REL   | 0.112676056338 |  0.307692307692 |
|  72  |  NON-REL   | 0.111111111111 |  0.307692307692 |
|  73  |  NON-REL   | 0.109589041096 |  0.307692307692 |
|  74  |  NON-REL   | 0.108108108108 |  0.307692307692 |
|  75  |    REL     |      0.12      |  0.346153846154 |
|  76  |  NON-REL   | 0.118421052632 |  0.346153846154 |
|  77  |  NON-REL   | 0.116883116883 |  0.346153846154 |
|  78  |  NON-REL   | 0.115384615385 |  0.346153846154 |
|  79  |  NON-REL   | 0.113924050633 |  0.346153846154 |
|  80  |  NON-REL   |     0.1125     |  0.346153846154 |
|  81  |  NON-REL   | 0.111111111111 |  0.346153846154 |
|  82  |  NON-REL   | 0.109756097561 |  0.346153846154 |
|  83  |  NON-REL   | 0.10843373494  |  0.346153846154 |
|  84  |  NON-REL   | 0.107142857143 |  0.346153846154 |
|  85  |  NON-REL   | 0.105882352941 |  0.346153846154 |
|  86  |  NON-REL   | 0.104651162791 |  0.346153846154 |
|  87  |  NON-REL   | 0.103448275862 |  0.346153846154 |
