query_5: pers design implementation editing interfaces window-managers command interpreters essential issues human interface design views improvements user efficiency effectiveness satisfaction
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |    REL     |  0.333333333333 | 0.125  |
|  4   |  NON-REL   |       0.25      | 0.125  |
|  5   |    REL     |       0.4       |  0.25  |
|  6   |  NON-REL   |  0.333333333333 |  0.25  |
|  7   |  NON-REL   |  0.285714285714 |  0.25  |
|  8   |  NON-REL   |       0.25      |  0.25  |
|  9   |  NON-REL   |  0.222222222222 |  0.25  |
|  10  |  NON-REL   |       0.2       |  0.25  |
|  11  |  NON-REL   |  0.181818181818 |  0.25  |
|  12  |  NON-REL   |  0.166666666667 |  0.25  |
|  13  |  NON-REL   |  0.153846153846 |  0.25  |
|  14  |  NON-REL   |  0.142857142857 |  0.25  |
|  15  |  NON-REL   |  0.133333333333 |  0.25  |
|  16  |  NON-REL   |      0.125      |  0.25  |
|  17  |  NON-REL   |  0.117647058824 |  0.25  |
|  18  |  NON-REL   |  0.111111111111 |  0.25  |
|  19  |  NON-REL   |  0.105263157895 |  0.25  |
|  20  |  NON-REL   |       0.1       |  0.25  |
|  21  |  NON-REL   | 0.0952380952381 |  0.25  |
|  22  |  NON-REL   | 0.0909090909091 |  0.25  |
|  23  |  NON-REL   | 0.0869565217391 |  0.25  |
|  24  |  NON-REL   | 0.0833333333333 |  0.25  |
|  25  |  NON-REL   |       0.08      |  0.25  |
|  26  |  NON-REL   | 0.0769230769231 |  0.25  |
|  27  |  NON-REL   | 0.0740740740741 |  0.25  |
|  28  |  NON-REL   | 0.0714285714286 |  0.25  |
|  29  |  NON-REL   | 0.0689655172414 |  0.25  |
|  30  |  NON-REL   | 0.0666666666667 |  0.25  |
|  31  |  NON-REL   | 0.0645161290323 |  0.25  |
|  32  |  NON-REL   |      0.0625     |  0.25  |
|  33  |  NON-REL   | 0.0606060606061 |  0.25  |
|  34  |  NON-REL   | 0.0588235294118 |  0.25  |
|  35  |    REL     | 0.0857142857143 | 0.375  |
|  36  |  NON-REL   | 0.0833333333333 | 0.375  |
|  37  |  NON-REL   | 0.0810810810811 | 0.375  |
|  38  |  NON-REL   | 0.0789473684211 | 0.375  |
|  39  |  NON-REL   | 0.0769230769231 | 0.375  |
|  40  |  NON-REL   |      0.075      | 0.375  |
|  41  |  NON-REL   | 0.0731707317073 | 0.375  |
|  42  |  NON-REL   | 0.0714285714286 | 0.375  |
|  43  |  NON-REL   | 0.0697674418605 | 0.375  |
|  44  |    REL     | 0.0909090909091 |  0.5   |
|  45  |  NON-REL   | 0.0888888888889 |  0.5   |
|  46  |  NON-REL   | 0.0869565217391 |  0.5   |
|  47  |  NON-REL   | 0.0851063829787 |  0.5   |
|  48  |  NON-REL   | 0.0833333333333 |  0.5   |
|  49  |  NON-REL   | 0.0816326530612 |  0.5   |
|  50  |  NON-REL   |       0.08      |  0.5   |
|  51  |  NON-REL   |  0.078431372549 |  0.5   |
|  52  |  NON-REL   | 0.0769230769231 |  0.5   |
|  53  |    REL     | 0.0943396226415 | 0.625  |
|  54  |  NON-REL   | 0.0925925925926 | 0.625  |
|  55  |  NON-REL   | 0.0909090909091 | 0.625  |
|  56  |  NON-REL   | 0.0892857142857 | 0.625  |
|  57  |  NON-REL   | 0.0877192982456 | 0.625  |
|  58  |  NON-REL   | 0.0862068965517 | 0.625  |
|  59  |  NON-REL   | 0.0847457627119 | 0.625  |
|  60  |  NON-REL   | 0.0833333333333 | 0.625  |
|  61  |  NON-REL   | 0.0819672131148 | 0.625  |
|  62  |  NON-REL   | 0.0806451612903 | 0.625  |
|  63  |  NON-REL   | 0.0793650793651 | 0.625  |
|  64  |  NON-REL   |     0.078125    | 0.625  |
|  65  |  NON-REL   | 0.0769230769231 | 0.625  |
|  66  |  NON-REL   | 0.0757575757576 | 0.625  |
|  67  |  NON-REL   | 0.0746268656716 | 0.625  |
|  68  |  NON-REL   | 0.0735294117647 | 0.625  |
|  69  |  NON-REL   | 0.0724637681159 | 0.625  |
|  70  |  NON-REL   | 0.0714285714286 | 0.625  |
|  71  |  NON-REL   | 0.0704225352113 | 0.625  |
|  72  |  NON-REL   | 0.0694444444444 | 0.625  |
|  73  |  NON-REL   | 0.0684931506849 | 0.625  |
|  74  |  NON-REL   | 0.0675675675676 | 0.625  |
|  75  |  NON-REL   | 0.0666666666667 | 0.625  |
|  76  |  NON-REL   | 0.0657894736842 | 0.625  |
|  77  |  NON-REL   | 0.0649350649351 | 0.625  |
|  78  |  NON-REL   | 0.0641025641026 | 0.625  |
|  79  |  NON-REL   | 0.0632911392405 | 0.625  |
|  80  |  NON-REL   |      0.0625     | 0.625  |
|  81  |  NON-REL   | 0.0617283950617 | 0.625  |
|  82  |  NON-REL   | 0.0609756097561 | 0.625  |
|  83  |  NON-REL   | 0.0602409638554 | 0.625  |
|  84  |  NON-REL   | 0.0595238095238 | 0.625  |
|  85  |  NON-REL   | 0.0588235294118 | 0.625  |
|  86  |  NON-REL   | 0.0581395348837 | 0.625  |
|  87  |  NON-REL   | 0.0574712643678 | 0.625  |
|  88  |  NON-REL   | 0.0568181818182 | 0.625  |
|  89  |  NON-REL   | 0.0561797752809 | 0.625  |
|  90  |  NON-REL   | 0.0555555555556 | 0.625  |
|  91  |  NON-REL   | 0.0549450549451 | 0.625  |
|  92  |  NON-REL   |  0.054347826087 | 0.625  |
|  93  |  NON-REL   | 0.0537634408602 | 0.625  |
|  94  |  NON-REL   | 0.0531914893617 | 0.625  |
|  95  |  NON-REL   | 0.0526315789474 | 0.625  |
|  96  |  NON-REL   | 0.0520833333333 | 0.625  |
|  97  |  NON-REL   | 0.0515463917526 | 0.625  |
|  98  |  NON-REL   | 0.0510204081633 | 0.625  |
|  99  |  NON-REL   | 0.0505050505051 | 0.625  |
| 100  |  NON-REL   |       0.05      | 0.625  |
+------+------------+-----------------+--------+
