query_58: gorithms statistical packages anova regression squares generalized linear models system design capabilities statistical formula interest student test wilcoxon sign tests multivariate univariate components included
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0333333333333 |
|  2   |    REL     |      1.0       | 0.0666666666667 |
|  3   |    REL     |      1.0       |       0.1       |
|  4   |  NON-REL   |      0.75      |       0.1       |
|  5   |  NON-REL   |      0.6       |       0.1       |
|  6   |  NON-REL   |      0.5       |       0.1       |
|  7   |    REL     | 0.571428571429 |  0.133333333333 |
|  8   |  NON-REL   |      0.5       |  0.133333333333 |
|  9   |  NON-REL   | 0.444444444444 |  0.133333333333 |
|  10  |  NON-REL   |      0.4       |  0.133333333333 |
|  11  |  NON-REL   | 0.363636363636 |  0.133333333333 |
|  12  |    REL     | 0.416666666667 |  0.166666666667 |
|  13  |  NON-REL   | 0.384615384615 |  0.166666666667 |
|  14  |    REL     | 0.428571428571 |       0.2       |
|  15  |  NON-REL   |      0.4       |       0.2       |
|  16  |    REL     |     0.4375     |  0.233333333333 |
|  17  |  NON-REL   | 0.411764705882 |  0.233333333333 |
|  18  |  NON-REL   | 0.388888888889 |  0.233333333333 |
|  19  |    REL     | 0.421052631579 |  0.266666666667 |
|  20  |  NON-REL   |      0.4       |  0.266666666667 |
|  21  |  NON-REL   | 0.380952380952 |  0.266666666667 |
|  22  |    REL     | 0.409090909091 |       0.3       |
|  23  |  NON-REL   | 0.391304347826 |       0.3       |
|  24  |  NON-REL   |     0.375      |       0.3       |
|  25  |  NON-REL   |      0.36      |       0.3       |
|  26  |  NON-REL   | 0.346153846154 |       0.3       |
|  27  |  NON-REL   | 0.333333333333 |       0.3       |
|  28  |  NON-REL   | 0.321428571429 |       0.3       |
|  29  |  NON-REL   | 0.310344827586 |       0.3       |
|  30  |  NON-REL   |      0.3       |       0.3       |
|  31  |  NON-REL   | 0.290322580645 |       0.3       |
|  32  |  NON-REL   |    0.28125     |       0.3       |
|  33  |  NON-REL   | 0.272727272727 |       0.3       |
|  34  |  NON-REL   | 0.264705882353 |       0.3       |
|  35  |  NON-REL   | 0.257142857143 |       0.3       |
|  36  |  NON-REL   |      0.25      |       0.3       |
|  37  |  NON-REL   | 0.243243243243 |       0.3       |
|  38  |  NON-REL   | 0.236842105263 |       0.3       |
|  39  |  NON-REL   | 0.230769230769 |       0.3       |
|  40  |  NON-REL   |     0.225      |       0.3       |
|  41  |    REL     | 0.243902439024 |  0.333333333333 |
|  42  |  NON-REL   | 0.238095238095 |  0.333333333333 |
|  43  |  NON-REL   | 0.232558139535 |  0.333333333333 |
|  44  |  NON-REL   | 0.227272727273 |  0.333333333333 |
|  45  |  NON-REL   | 0.222222222222 |  0.333333333333 |
|  46  |  NON-REL   | 0.217391304348 |  0.333333333333 |
|  47  |  NON-REL   | 0.212765957447 |  0.333333333333 |
|  48  |  NON-REL   | 0.208333333333 |  0.333333333333 |
|  49  |  NON-REL   | 0.204081632653 |  0.333333333333 |
|  50  |  NON-REL   |      0.2       |  0.333333333333 |
|  51  |  NON-REL   | 0.196078431373 |  0.333333333333 |
|  52  |  NON-REL   | 0.192307692308 |  0.333333333333 |
|  53  |  NON-REL   | 0.188679245283 |  0.333333333333 |
|  54  |  NON-REL   | 0.185185185185 |  0.333333333333 |
|  55  |  NON-REL   | 0.181818181818 |  0.333333333333 |
|  56  |  NON-REL   | 0.178571428571 |  0.333333333333 |
|  57  |  NON-REL   | 0.175438596491 |  0.333333333333 |
|  58  |  NON-REL   | 0.172413793103 |  0.333333333333 |
|  59  |  NON-REL   | 0.169491525424 |  0.333333333333 |
|  60  |  NON-REL   | 0.166666666667 |  0.333333333333 |
|  61  |  NON-REL   | 0.16393442623  |  0.333333333333 |
|  62  |    REL     | 0.177419354839 |  0.366666666667 |
|  63  |  NON-REL   | 0.174603174603 |  0.366666666667 |
|  64  |  NON-REL   |    0.171875    |  0.366666666667 |
|  65  |  NON-REL   | 0.169230769231 |  0.366666666667 |
|  66  |  NON-REL   | 0.166666666667 |  0.366666666667 |
|  67  |  NON-REL   | 0.164179104478 |  0.366666666667 |
|  68  |    REL     | 0.176470588235 |       0.4       |
|  69  |  NON-REL   | 0.173913043478 |       0.4       |
|  70  |  NON-REL   | 0.171428571429 |       0.4       |
|  71  |  NON-REL   | 0.169014084507 |       0.4       |
|  72  |  NON-REL   | 0.166666666667 |       0.4       |
|  73  |  NON-REL   | 0.164383561644 |       0.4       |
|  74  |  NON-REL   | 0.162162162162 |       0.4       |
|  75  |  NON-REL   |      0.16      |       0.4       |
|  76  |  NON-REL   | 0.157894736842 |       0.4       |
|  77  |  NON-REL   | 0.155844155844 |       0.4       |
|  78  |  NON-REL   | 0.153846153846 |       0.4       |
|  79  |    REL     | 0.164556962025 |  0.433333333333 |
|  80  |  NON-REL   |     0.1625     |  0.433333333333 |
|  81  |  NON-REL   | 0.16049382716  |  0.433333333333 |
|  82  |  NON-REL   | 0.158536585366 |  0.433333333333 |
|  83  |  NON-REL   | 0.156626506024 |  0.433333333333 |
|  84  |  NON-REL   | 0.154761904762 |  0.433333333333 |
|  85  |  NON-REL   | 0.152941176471 |  0.433333333333 |
|  86  |  NON-REL   | 0.151162790698 |  0.433333333333 |
|  87  |  NON-REL   | 0.149425287356 |  0.433333333333 |
|  88  |  NON-REL   | 0.147727272727 |  0.433333333333 |
|  89  |  NON-REL   | 0.14606741573  |  0.433333333333 |
|  90  |  NON-REL   | 0.144444444444 |  0.433333333333 |
|  91  |  NON-REL   | 0.142857142857 |  0.433333333333 |
|  92  |  NON-REL   | 0.141304347826 |  0.433333333333 |
|  93  |  NON-REL   | 0.139784946237 |  0.433333333333 |
|  94  |  NON-REL   | 0.13829787234  |  0.433333333333 |
|  95  |  NON-REL   | 0.136842105263 |  0.433333333333 |
|  96  |  NON-REL   | 0.135416666667 |  0.433333333333 |
|  97  |  NON-REL   | 0.134020618557 |  0.433333333333 |
|  98  |  NON-REL   | 0.132653061224 |  0.433333333333 |
|  99  |  NON-REL   | 0.131313131313 |  0.433333333333 |
| 100  |  NON-REL   |      0.13      |  0.433333333333 |
+------+------------+----------------+-----------------+
