query_59: ctionary construction accessing methods fast retrieval words lexical items morphologically related information hashing indexing methods applied english spelling natural language problems
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |  NON-REL   |      0.0       |       0.0       |
|  3   |  NON-REL   |      0.0       |       0.0       |
|  4   |    REL     |      0.25      | 0.0232558139535 |
|  5   |    REL     |      0.4       |  0.046511627907 |
|  6   |    REL     |      0.5       | 0.0697674418605 |
|  7   |  NON-REL   | 0.428571428571 | 0.0697674418605 |
|  8   |  NON-REL   |     0.375      | 0.0697674418605 |
|  9   |    REL     | 0.444444444444 |  0.093023255814 |
|  10  |  NON-REL   |      0.4       |  0.093023255814 |
|  11  |  NON-REL   | 0.363636363636 |  0.093023255814 |
|  12  |  NON-REL   | 0.333333333333 |  0.093023255814 |
|  13  |    REL     | 0.384615384615 |  0.116279069767 |
|  14  |  NON-REL   | 0.357142857143 |  0.116279069767 |
|  15  |    REL     |      0.4       |  0.139534883721 |
|  16  |  NON-REL   |     0.375      |  0.139534883721 |
|  17  |  NON-REL   | 0.352941176471 |  0.139534883721 |
|  18  |  NON-REL   | 0.333333333333 |  0.139534883721 |
|  19  |  NON-REL   | 0.315789473684 |  0.139534883721 |
|  20  |  NON-REL   |      0.3       |  0.139534883721 |
|  21  |  NON-REL   | 0.285714285714 |  0.139534883721 |
|  22  |    REL     | 0.318181818182 |  0.162790697674 |
|  23  |    REL     | 0.347826086957 |  0.186046511628 |
|  24  |  NON-REL   | 0.333333333333 |  0.186046511628 |
|  25  |  NON-REL   |      0.32      |  0.186046511628 |
|  26  |    REL     | 0.346153846154 |  0.209302325581 |
|  27  |  NON-REL   | 0.333333333333 |  0.209302325581 |
|  28  |  NON-REL   | 0.321428571429 |  0.209302325581 |
|  29  |  NON-REL   | 0.310344827586 |  0.209302325581 |
|  30  |    REL     | 0.333333333333 |  0.232558139535 |
|  31  |  NON-REL   | 0.322580645161 |  0.232558139535 |
|  32  |    REL     |    0.34375     |  0.255813953488 |
|  33  |  NON-REL   | 0.333333333333 |  0.255813953488 |
|  34  |  NON-REL   | 0.323529411765 |  0.255813953488 |
|  35  |  NON-REL   | 0.314285714286 |  0.255813953488 |
|  36  |  NON-REL   | 0.305555555556 |  0.255813953488 |
|  37  |  NON-REL   | 0.297297297297 |  0.255813953488 |
|  38  |    REL     | 0.315789473684 |  0.279069767442 |
|  39  |  NON-REL   | 0.307692307692 |  0.279069767442 |
|  40  |  NON-REL   |      0.3       |  0.279069767442 |
|  41  |  NON-REL   | 0.292682926829 |  0.279069767442 |
|  42  |    REL     | 0.309523809524 |  0.302325581395 |
|  43  |  NON-REL   | 0.302325581395 |  0.302325581395 |
|  44  |    REL     | 0.318181818182 |  0.325581395349 |
|  45  |  NON-REL   | 0.311111111111 |  0.325581395349 |
|  46  |    REL     | 0.326086956522 |  0.348837209302 |
|  47  |  NON-REL   | 0.31914893617  |  0.348837209302 |
|  48  |    REL     | 0.333333333333 |  0.372093023256 |
|  49  |  NON-REL   | 0.326530612245 |  0.372093023256 |
|  50  |  NON-REL   |      0.32      |  0.372093023256 |
|  51  |  NON-REL   | 0.313725490196 |  0.372093023256 |
|  52  |  NON-REL   | 0.307692307692 |  0.372093023256 |
|  53  |    REL     | 0.320754716981 |  0.395348837209 |
|  54  |  NON-REL   | 0.314814814815 |  0.395348837209 |
|  55  |  NON-REL   | 0.309090909091 |  0.395348837209 |
|  56  |  NON-REL   | 0.303571428571 |  0.395348837209 |
|  57  |  NON-REL   | 0.298245614035 |  0.395348837209 |
|  58  |  NON-REL   | 0.293103448276 |  0.395348837209 |
|  59  |    REL     | 0.305084745763 |  0.418604651163 |
|  60  |  NON-REL   |      0.3       |  0.418604651163 |
|  61  |  NON-REL   | 0.295081967213 |  0.418604651163 |
|  62  |  NON-REL   | 0.290322580645 |  0.418604651163 |
|  63  |  NON-REL   | 0.285714285714 |  0.418604651163 |
|  64  |  NON-REL   |    0.28125     |  0.418604651163 |
|  65  |    REL     | 0.292307692308 |  0.441860465116 |
|  66  |  NON-REL   | 0.287878787879 |  0.441860465116 |
|  67  |    REL     | 0.298507462687 |  0.46511627907  |
|  68  |  NON-REL   | 0.294117647059 |  0.46511627907  |
|  69  |    REL     | 0.304347826087 |  0.488372093023 |
|  70  |  NON-REL   |      0.3       |  0.488372093023 |
|  71  |    REL     | 0.30985915493  |  0.511627906977 |
|  72  |  NON-REL   | 0.305555555556 |  0.511627906977 |
|  73  |  NON-REL   | 0.301369863014 |  0.511627906977 |
|  74  |  NON-REL   | 0.297297297297 |  0.511627906977 |
|  75  |  NON-REL   | 0.293333333333 |  0.511627906977 |
|  76  |  NON-REL   | 0.289473684211 |  0.511627906977 |
|  77  |  NON-REL   | 0.285714285714 |  0.511627906977 |
|  78  |  NON-REL   | 0.282051282051 |  0.511627906977 |
|  79  |  NON-REL   | 0.278481012658 |  0.511627906977 |
|  80  |  NON-REL   |     0.275      |  0.511627906977 |
|  81  |  NON-REL   | 0.271604938272 |  0.511627906977 |
|  82  |  NON-REL   | 0.268292682927 |  0.511627906977 |
|  83  |  NON-REL   | 0.265060240964 |  0.511627906977 |
|  84  |  NON-REL   | 0.261904761905 |  0.511627906977 |
|  85  |  NON-REL   | 0.258823529412 |  0.511627906977 |
|  86  |  NON-REL   | 0.255813953488 |  0.511627906977 |
|  87  |  NON-REL   | 0.252873563218 |  0.511627906977 |
|  88  |  NON-REL   |      0.25      |  0.511627906977 |
|  89  |  NON-REL   | 0.247191011236 |  0.511627906977 |
|  90  |  NON-REL   | 0.244444444444 |  0.511627906977 |
|  91  |  NON-REL   | 0.241758241758 |  0.511627906977 |
|  92  |  NON-REL   | 0.239130434783 |  0.511627906977 |
|  93  |  NON-REL   | 0.236559139785 |  0.511627906977 |
|  94  |  NON-REL   | 0.234042553191 |  0.511627906977 |
|  95  |  NON-REL   | 0.231578947368 |  0.511627906977 |
|  96  |  NON-REL   | 0.229166666667 |  0.511627906977 |
|  97  |  NON-REL   | 0.226804123711 |  0.511627906977 |
|  98  |  NON-REL   | 0.224489795918 |  0.511627906977 |
|  99  |  NON-REL   | 0.222222222222 |  0.511627906977 |
| 100  |  NON-REL   |      0.22      |  0.511627906977 |
+------+------------+----------------+-----------------+
