query_11: tl high level languages
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |  NON-REL   |       0.0       |       0.0       |
|  16  |  NON-REL   |       0.0       |       0.0       |
|  17  |  NON-REL   |       0.0       |       0.0       |
|  18  |  NON-REL   |       0.0       |       0.0       |
|  19  |  NON-REL   |       0.0       |       0.0       |
|  20  |  NON-REL   |       0.0       |       0.0       |
|  21  |  NON-REL   |       0.0       |       0.0       |
|  22  |  NON-REL   |       0.0       |       0.0       |
|  23  |  NON-REL   |       0.0       |       0.0       |
|  24  |  NON-REL   |       0.0       |       0.0       |
|  25  |  NON-REL   |       0.0       |       0.0       |
|  26  |  NON-REL   |       0.0       |       0.0       |
|  27  |  NON-REL   |       0.0       |       0.0       |
|  28  |  NON-REL   |       0.0       |       0.0       |
|  29  |  NON-REL   |       0.0       |       0.0       |
|  30  |  NON-REL   |       0.0       |       0.0       |
|  31  |  NON-REL   |       0.0       |       0.0       |
|  32  |  NON-REL   |       0.0       |       0.0       |
|  33  |  NON-REL   |       0.0       |       0.0       |
|  34  |  NON-REL   |       0.0       |       0.0       |
|  35  |  NON-REL   |       0.0       |       0.0       |
|  36  |  NON-REL   |       0.0       |       0.0       |
|  37  |  NON-REL   |       0.0       |       0.0       |
|  38  |    REL     | 0.0263157894737 | 0.0526315789474 |
|  39  |  NON-REL   |  0.025641025641 | 0.0526315789474 |
|  40  |  NON-REL   |      0.025      | 0.0526315789474 |
|  41  |  NON-REL   | 0.0243902439024 | 0.0526315789474 |
|  42  |  NON-REL   | 0.0238095238095 | 0.0526315789474 |
|  43  |  NON-REL   | 0.0232558139535 | 0.0526315789474 |
|  44  |  NON-REL   | 0.0227272727273 | 0.0526315789474 |
|  45  |  NON-REL   | 0.0222222222222 | 0.0526315789474 |
|  46  |  NON-REL   | 0.0217391304348 | 0.0526315789474 |
|  47  |  NON-REL   | 0.0212765957447 | 0.0526315789474 |
|  48  |  NON-REL   | 0.0208333333333 | 0.0526315789474 |
|  49  |  NON-REL   | 0.0204081632653 | 0.0526315789474 |
|  50  |  NON-REL   |       0.02      | 0.0526315789474 |
|  51  |  NON-REL   | 0.0196078431373 | 0.0526315789474 |
|  52  |  NON-REL   | 0.0192307692308 | 0.0526315789474 |
|  53  |  NON-REL   | 0.0188679245283 | 0.0526315789474 |
|  54  |  NON-REL   | 0.0185185185185 | 0.0526315789474 |
|  55  |  NON-REL   | 0.0181818181818 | 0.0526315789474 |
|  56  |  NON-REL   | 0.0178571428571 | 0.0526315789474 |
|  57  |  NON-REL   | 0.0175438596491 | 0.0526315789474 |
|  58  |  NON-REL   | 0.0172413793103 | 0.0526315789474 |
|  59  |  NON-REL   | 0.0169491525424 | 0.0526315789474 |
|  60  |  NON-REL   | 0.0166666666667 | 0.0526315789474 |
|  61  |  NON-REL   |  0.016393442623 | 0.0526315789474 |
|  62  |  NON-REL   | 0.0161290322581 | 0.0526315789474 |
|  63  |  NON-REL   |  0.015873015873 | 0.0526315789474 |
|  64  |  NON-REL   |     0.015625    | 0.0526315789474 |
|  65  |  NON-REL   | 0.0153846153846 | 0.0526315789474 |
|  66  |  NON-REL   | 0.0151515151515 | 0.0526315789474 |
|  67  |  NON-REL   | 0.0149253731343 | 0.0526315789474 |
|  68  |  NON-REL   | 0.0147058823529 | 0.0526315789474 |
|  69  |  NON-REL   | 0.0144927536232 | 0.0526315789474 |
|  70  |  NON-REL   | 0.0142857142857 | 0.0526315789474 |
|  71  |  NON-REL   | 0.0140845070423 | 0.0526315789474 |
|  72  |  NON-REL   | 0.0138888888889 | 0.0526315789474 |
|  73  |  NON-REL   |  0.013698630137 | 0.0526315789474 |
|  74  |  NON-REL   | 0.0135135135135 | 0.0526315789474 |
|  75  |  NON-REL   | 0.0133333333333 | 0.0526315789474 |
|  76  |  NON-REL   | 0.0131578947368 | 0.0526315789474 |
|  77  |  NON-REL   |  0.012987012987 | 0.0526315789474 |
|  78  |  NON-REL   | 0.0128205128205 | 0.0526315789474 |
|  79  |  NON-REL   | 0.0126582278481 | 0.0526315789474 |
|  80  |  NON-REL   |      0.0125     | 0.0526315789474 |
|  81  |  NON-REL   | 0.0123456790123 | 0.0526315789474 |
|  82  |  NON-REL   | 0.0121951219512 | 0.0526315789474 |
|  83  |  NON-REL   | 0.0120481927711 | 0.0526315789474 |
|  84  |  NON-REL   | 0.0119047619048 | 0.0526315789474 |
|  85  |  NON-REL   | 0.0117647058824 | 0.0526315789474 |
|  86  |  NON-REL   | 0.0116279069767 | 0.0526315789474 |
|  87  |  NON-REL   | 0.0114942528736 | 0.0526315789474 |
|  88  |  NON-REL   | 0.0113636363636 | 0.0526315789474 |
|  89  |  NON-REL   | 0.0112359550562 | 0.0526315789474 |
|  90  |  NON-REL   | 0.0111111111111 | 0.0526315789474 |
|  91  |  NON-REL   |  0.010989010989 | 0.0526315789474 |
|  92  |  NON-REL   | 0.0108695652174 | 0.0526315789474 |
|  93  |  NON-REL   |  0.010752688172 | 0.0526315789474 |
|  94  |  NON-REL   | 0.0106382978723 | 0.0526315789474 |
|  95  |  NON-REL   | 0.0105263157895 | 0.0526315789474 |
|  96  |  NON-REL   | 0.0104166666667 | 0.0526315789474 |
|  97  |  NON-REL   | 0.0103092783505 | 0.0526315789474 |
|  98  |  NON-REL   | 0.0102040816327 | 0.0526315789474 |
|  99  |  NON-REL   |  0.010101010101 | 0.0526315789474 |
| 100  |  NON-REL   |       0.01      | 0.0526315789474 |
+------+------------+-----------------+-----------------+
