query_25: rformance evaluation modelling computer systems
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |    REL     |  0.333333333333 | 0.0196078431373 |
|  4   |  NON-REL   |       0.25      | 0.0196078431373 |
|  5   |  NON-REL   |       0.2       | 0.0196078431373 |
|  6   |  NON-REL   |  0.166666666667 | 0.0196078431373 |
|  7   |    REL     |  0.285714285714 | 0.0392156862745 |
|  8   |  NON-REL   |       0.25      | 0.0392156862745 |
|  9   |  NON-REL   |  0.222222222222 | 0.0392156862745 |
|  10  |  NON-REL   |       0.2       | 0.0392156862745 |
|  11  |  NON-REL   |  0.181818181818 | 0.0392156862745 |
|  12  |  NON-REL   |  0.166666666667 | 0.0392156862745 |
|  13  |  NON-REL   |  0.153846153846 | 0.0392156862745 |
|  14  |  NON-REL   |  0.142857142857 | 0.0392156862745 |
|  15  |  NON-REL   |  0.133333333333 | 0.0392156862745 |
|  16  |  NON-REL   |      0.125      | 0.0392156862745 |
|  17  |  NON-REL   |  0.117647058824 | 0.0392156862745 |
|  18  |  NON-REL   |  0.111111111111 | 0.0392156862745 |
|  19  |  NON-REL   |  0.105263157895 | 0.0392156862745 |
|  20  |  NON-REL   |       0.1       | 0.0392156862745 |
|  21  |  NON-REL   | 0.0952380952381 | 0.0392156862745 |
|  22  |  NON-REL   | 0.0909090909091 | 0.0392156862745 |
|  23  |  NON-REL   | 0.0869565217391 | 0.0392156862745 |
|  24  |  NON-REL   | 0.0833333333333 | 0.0392156862745 |
|  25  |  NON-REL   |       0.08      | 0.0392156862745 |
|  26  |  NON-REL   | 0.0769230769231 | 0.0392156862745 |
|  27  |  NON-REL   | 0.0740740740741 | 0.0392156862745 |
|  28  |  NON-REL   | 0.0714285714286 | 0.0392156862745 |
|  29  |  NON-REL   | 0.0689655172414 | 0.0392156862745 |
|  30  |  NON-REL   | 0.0666666666667 | 0.0392156862745 |
|  31  |  NON-REL   | 0.0645161290323 | 0.0392156862745 |
|  32  |  NON-REL   |      0.0625     | 0.0392156862745 |
|  33  |    REL     | 0.0909090909091 | 0.0588235294118 |
|  34  |  NON-REL   | 0.0882352941176 | 0.0588235294118 |
|  35  |  NON-REL   | 0.0857142857143 | 0.0588235294118 |
|  36  |  NON-REL   | 0.0833333333333 | 0.0588235294118 |
|  37  |  NON-REL   | 0.0810810810811 | 0.0588235294118 |
|  38  |  NON-REL   | 0.0789473684211 | 0.0588235294118 |
|  39  |    REL     |  0.102564102564 |  0.078431372549 |
|  40  |  NON-REL   |       0.1       |  0.078431372549 |
|  41  |  NON-REL   | 0.0975609756098 |  0.078431372549 |
|  42  |  NON-REL   | 0.0952380952381 |  0.078431372549 |
|  43  |  NON-REL   |  0.093023255814 |  0.078431372549 |
|  44  |    REL     |  0.113636363636 | 0.0980392156863 |
|  45  |  NON-REL   |  0.111111111111 | 0.0980392156863 |
|  46  |  NON-REL   |  0.108695652174 | 0.0980392156863 |
|  47  |  NON-REL   |  0.106382978723 | 0.0980392156863 |
|  48  |  NON-REL   |  0.104166666667 | 0.0980392156863 |
|  49  |  NON-REL   |  0.102040816327 | 0.0980392156863 |
|  50  |  NON-REL   |       0.1       | 0.0980392156863 |
|  51  |    REL     |  0.117647058824 |  0.117647058824 |
|  52  |  NON-REL   |  0.115384615385 |  0.117647058824 |
|  53  |  NON-REL   |  0.11320754717  |  0.117647058824 |
|  54  |  NON-REL   |  0.111111111111 |  0.117647058824 |
|  55  |  NON-REL   |  0.109090909091 |  0.117647058824 |
|  56  |  NON-REL   |  0.107142857143 |  0.117647058824 |
|  57  |  NON-REL   |  0.105263157895 |  0.117647058824 |
|  58  |  NON-REL   |  0.103448275862 |  0.117647058824 |
|  59  |    REL     |  0.118644067797 |  0.137254901961 |
|  60  |  NON-REL   |  0.116666666667 |  0.137254901961 |
|  61  |  NON-REL   |  0.114754098361 |  0.137254901961 |
|  62  |    REL     |  0.129032258065 |  0.156862745098 |
|  63  |  NON-REL   |  0.126984126984 |  0.156862745098 |
|  64  |  NON-REL   |      0.125      |  0.156862745098 |
|  65  |  NON-REL   |  0.123076923077 |  0.156862745098 |
|  66  |  NON-REL   |  0.121212121212 |  0.156862745098 |
|  67  |  NON-REL   |  0.119402985075 |  0.156862745098 |
|  68  |  NON-REL   |  0.117647058824 |  0.156862745098 |
|  69  |  NON-REL   |  0.115942028986 |  0.156862745098 |
|  70  |  NON-REL   |  0.114285714286 |  0.156862745098 |
|  71  |  NON-REL   |  0.112676056338 |  0.156862745098 |
|  72  |  NON-REL   |  0.111111111111 |  0.156862745098 |
|  73  |  NON-REL   |  0.109589041096 |  0.156862745098 |
|  74  |  NON-REL   |  0.108108108108 |  0.156862745098 |
|  75  |  NON-REL   |  0.106666666667 |  0.156862745098 |
|  76  |    REL     |  0.118421052632 |  0.176470588235 |
|  77  |  NON-REL   |  0.116883116883 |  0.176470588235 |
|  78  |  NON-REL   |  0.115384615385 |  0.176470588235 |
|  79  |  NON-REL   |  0.113924050633 |  0.176470588235 |
|  80  |  NON-REL   |      0.1125     |  0.176470588235 |
|  81  |  NON-REL   |  0.111111111111 |  0.176470588235 |
|  82  |  NON-REL   |  0.109756097561 |  0.176470588235 |
|  83  |  NON-REL   |  0.10843373494  |  0.176470588235 |
|  84  |  NON-REL   |  0.107142857143 |  0.176470588235 |
|  85  |  NON-REL   |  0.105882352941 |  0.176470588235 |
|  86  |  NON-REL   |  0.104651162791 |  0.176470588235 |
|  87  |  NON-REL   |  0.103448275862 |  0.176470588235 |
|  88  |  NON-REL   |  0.102272727273 |  0.176470588235 |
|  89  |  NON-REL   |  0.101123595506 |  0.176470588235 |
|  90  |  NON-REL   |       0.1       |  0.176470588235 |
|  91  |  NON-REL   | 0.0989010989011 |  0.176470588235 |
|  92  |  NON-REL   | 0.0978260869565 |  0.176470588235 |
|  93  |  NON-REL   | 0.0967741935484 |  0.176470588235 |
|  94  |  NON-REL   | 0.0957446808511 |  0.176470588235 |
|  95  |  NON-REL   | 0.0947368421053 |  0.176470588235 |
|  96  |  NON-REL   |     0.09375     |  0.176470588235 |
|  97  |  NON-REL   | 0.0927835051546 |  0.176470588235 |
|  98  |  NON-REL   | 0.0918367346939 |  0.176470588235 |
|  99  |  NON-REL   | 0.0909090909091 |  0.176470588235 |
| 100  |  NON-REL   |       0.09      |  0.176470588235 |
+------+------------+-----------------+-----------------+
