query_38: pe module don want entire literature abstract data types sure phrase avoid interested questions check module matches contexts
+------+------------+----------------+--------+
| RANK | REL/NONREL |   PRECISION    | RECALL |
+------+------------+----------------+--------+
|  1   |  NON-REL   |      0.0       |  0.0   |
|  2   |    REL     |      0.5       | 0.0625 |
|  3   |  NON-REL   | 0.333333333333 | 0.0625 |
|  4   |    REL     |      0.5       | 0.125  |
|  5   |  NON-REL   |      0.4       | 0.125  |
|  6   |    REL     |      0.5       | 0.1875 |
|  7   |  NON-REL   | 0.428571428571 | 0.1875 |
|  8   |  NON-REL   |     0.375      | 0.1875 |
|  9   |    REL     | 0.444444444444 |  0.25  |
|  10  |  NON-REL   |      0.4       |  0.25  |
|  11  |  NON-REL   | 0.363636363636 |  0.25  |
|  12  |  NON-REL   | 0.333333333333 |  0.25  |
|  13  |  NON-REL   | 0.307692307692 |  0.25  |
|  14  |  NON-REL   | 0.285714285714 |  0.25  |
|  15  |  NON-REL   | 0.266666666667 |  0.25  |
|  16  |  NON-REL   |      0.25      |  0.25  |
|  17  |  NON-REL   | 0.235294117647 |  0.25  |
|  18  |    REL     | 0.277777777778 | 0.3125 |
|  19  |    REL     | 0.315789473684 | 0.375  |
|  20  |  NON-REL   |      0.3       | 0.375  |
|  21  |  NON-REL   | 0.285714285714 | 0.375  |
|  22  |    REL     | 0.318181818182 | 0.4375 |
|  23  |    REL     | 0.347826086957 |  0.5   |
|  24  |  NON-REL   | 0.333333333333 |  0.5   |
|  25  |  NON-REL   |      0.32      |  0.5   |
|  26  |  NON-REL   | 0.307692307692 |  0.5   |
|  27  |  NON-REL   | 0.296296296296 |  0.5   |
|  28  |  NON-REL   | 0.285714285714 |  0.5   |
|  29  |  NON-REL   | 0.275862068966 |  0.5   |
|  30  |  NON-REL   | 0.266666666667 |  0.5   |
|  31  |    REL     | 0.290322580645 | 0.5625 |
|  32  |  NON-REL   |    0.28125     | 0.5625 |
|  33  |  NON-REL   | 0.272727272727 | 0.5625 |
|  34  |  NON-REL   | 0.264705882353 | 0.5625 |
|  35  |  NON-REL   | 0.257142857143 | 0.5625 |
|  36  |  NON-REL   |      0.25      | 0.5625 |
|  37  |  NON-REL   | 0.243243243243 | 0.5625 |
|  38  |  NON-REL   | 0.236842105263 | 0.5625 |
|  39  |  NON-REL   | 0.230769230769 | 0.5625 |
|  40  |  NON-REL   |     0.225      | 0.5625 |
|  41  |  NON-REL   | 0.219512195122 | 0.5625 |
|  42  |  NON-REL   | 0.214285714286 | 0.5625 |
|  43  |  NON-REL   | 0.209302325581 | 0.5625 |
|  44  |  NON-REL   | 0.204545454545 | 0.5625 |
|  45  |    REL     | 0.222222222222 | 0.625  |
|  46  |  NON-REL   | 0.217391304348 | 0.625  |
|  47  |  NON-REL   | 0.212765957447 | 0.625  |
|  48  |  NON-REL   | 0.208333333333 | 0.625  |
|  49  |  NON-REL   | 0.204081632653 | 0.625  |
|  50  |  NON-REL   |      0.2       | 0.625  |
|  51  |  NON-REL   | 0.196078431373 | 0.625  |
|  52  |  NON-REL   | 0.192307692308 | 0.625  |
|  53  |  NON-REL   | 0.188679245283 | 0.625  |
|  54  |  NON-REL   | 0.185185185185 | 0.625  |
|  55  |  NON-REL   | 0.181818181818 | 0.625  |
|  56  |  NON-REL   | 0.178571428571 | 0.625  |
|  57  |  NON-REL   | 0.175438596491 | 0.625  |
|  58  |  NON-REL   | 0.172413793103 | 0.625  |
|  59  |  NON-REL   | 0.169491525424 | 0.625  |
|  60  |  NON-REL   | 0.166666666667 | 0.625  |
|  61  |  NON-REL   | 0.16393442623  | 0.625  |
|  62  |  NON-REL   | 0.161290322581 | 0.625  |
|  63  |  NON-REL   | 0.15873015873  | 0.625  |
|  64  |  NON-REL   |    0.15625     | 0.625  |
|  65  |  NON-REL   | 0.153846153846 | 0.625  |
|  66  |  NON-REL   | 0.151515151515 | 0.625  |
|  67  |  NON-REL   | 0.149253731343 | 0.625  |
|  68  |  NON-REL   | 0.147058823529 | 0.625  |
|  69  |  NON-REL   | 0.144927536232 | 0.625  |
|  70  |  NON-REL   | 0.142857142857 | 0.625  |
|  71  |  NON-REL   | 0.140845070423 | 0.625  |
|  72  |  NON-REL   | 0.138888888889 | 0.625  |
|  73  |  NON-REL   | 0.13698630137  | 0.625  |
|  74  |  NON-REL   | 0.135135135135 | 0.625  |
|  75  |  NON-REL   | 0.133333333333 | 0.625  |
|  76  |  NON-REL   | 0.131578947368 | 0.625  |
|  77  |  NON-REL   | 0.12987012987  | 0.625  |
|  78  |  NON-REL   | 0.128205128205 | 0.625  |
|  79  |  NON-REL   | 0.126582278481 | 0.625  |
|  80  |  NON-REL   |     0.125      | 0.625  |
|  81  |  NON-REL   | 0.123456790123 | 0.625  |
|  82  |  NON-REL   | 0.121951219512 | 0.625  |
|  83  |  NON-REL   | 0.120481927711 | 0.625  |
|  84  |  NON-REL   | 0.119047619048 | 0.625  |
|  85  |  NON-REL   | 0.117647058824 | 0.625  |
|  86  |  NON-REL   | 0.116279069767 | 0.625  |
|  87  |  NON-REL   | 0.114942528736 | 0.625  |
|  88  |  NON-REL   | 0.113636363636 | 0.625  |
|  89  |  NON-REL   | 0.112359550562 | 0.625  |
|  90  |  NON-REL   | 0.111111111111 | 0.625  |
|  91  |  NON-REL   | 0.10989010989  | 0.625  |
|  92  |  NON-REL   | 0.108695652174 | 0.625  |
|  93  |  NON-REL   | 0.10752688172  | 0.625  |
|  94  |  NON-REL   | 0.106382978723 | 0.625  |
|  95  |  NON-REL   | 0.105263157895 | 0.625  |
|  96  |  NON-REL   | 0.104166666667 | 0.625  |
|  97  |  NON-REL   | 0.103092783505 | 0.625  |
|  98  |  NON-REL   | 0.102040816327 | 0.625  |
|  99  |  NON-REL   | 0.10101010101  | 0.625  |
| 100  |  NON-REL   |      0.1       | 0.625  |
+------+------------+----------------+--------+
