query_57: stracts articles backus programming liberated von neumann style functional style algebra programs  cacm re millo lipton perlis letter acm forum cacm  629-630 backus de millo lipton perlis
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |  NON-REL   |       0.0       |  0.0   |
|  14  |  NON-REL   |       0.0       |  0.0   |
|  15  |  NON-REL   |       0.0       |  0.0   |
|  16  |  NON-REL   |       0.0       |  0.0   |
|  17  |  NON-REL   |       0.0       |  0.0   |
|  18  |  NON-REL   |       0.0       |  0.0   |
|  19  |  NON-REL   |       0.0       |  0.0   |
|  20  |  NON-REL   |       0.0       |  0.0   |
|  21  |  NON-REL   |       0.0       |  0.0   |
|  22  |  NON-REL   |       0.0       |  0.0   |
|  23  |  NON-REL   |       0.0       |  0.0   |
|  24  |  NON-REL   |       0.0       |  0.0   |
|  25  |  NON-REL   |       0.0       |  0.0   |
|  26  |  NON-REL   |       0.0       |  0.0   |
|  27  |  NON-REL   |       0.0       |  0.0   |
|  28  |  NON-REL   |       0.0       |  0.0   |
|  29  |  NON-REL   |       0.0       |  0.0   |
|  30  |  NON-REL   |       0.0       |  0.0   |
|  31  |  NON-REL   |       0.0       |  0.0   |
|  32  |  NON-REL   |       0.0       |  0.0   |
|  33  |  NON-REL   |       0.0       |  0.0   |
|  34  |  NON-REL   |       0.0       |  0.0   |
|  35  |  NON-REL   |       0.0       |  0.0   |
|  36  |  NON-REL   |       0.0       |  0.0   |
|  37  |  NON-REL   |       0.0       |  0.0   |
|  38  |  NON-REL   |       0.0       |  0.0   |
|  39  |  NON-REL   |       0.0       |  0.0   |
|  40  |  NON-REL   |       0.0       |  0.0   |
|  41  |  NON-REL   |       0.0       |  0.0   |
|  42  |  NON-REL   |       0.0       |  0.0   |
|  43  |  NON-REL   |       0.0       |  0.0   |
|  44  |  NON-REL   |       0.0       |  0.0   |
|  45  |  NON-REL   |       0.0       |  0.0   |
|  46  |  NON-REL   |       0.0       |  0.0   |
|  47  |  NON-REL   |       0.0       |  0.0   |
|  48  |  NON-REL   |       0.0       |  0.0   |
|  49  |  NON-REL   |       0.0       |  0.0   |
|  50  |    REL     |       0.02      |  1.0   |
|  51  |  NON-REL   | 0.0196078431373 |  1.0   |
|  52  |  NON-REL   | 0.0192307692308 |  1.0   |
|  53  |  NON-REL   | 0.0188679245283 |  1.0   |
|  54  |  NON-REL   | 0.0185185185185 |  1.0   |
|  55  |  NON-REL   | 0.0181818181818 |  1.0   |
|  56  |  NON-REL   | 0.0178571428571 |  1.0   |
|  57  |  NON-REL   | 0.0175438596491 |  1.0   |
|  58  |  NON-REL   | 0.0172413793103 |  1.0   |
|  59  |  NON-REL   | 0.0169491525424 |  1.0   |
|  60  |  NON-REL   | 0.0166666666667 |  1.0   |
|  61  |  NON-REL   |  0.016393442623 |  1.0   |
|  62  |  NON-REL   | 0.0161290322581 |  1.0   |
|  63  |  NON-REL   |  0.015873015873 |  1.0   |
|  64  |  NON-REL   |     0.015625    |  1.0   |
|  65  |  NON-REL   | 0.0153846153846 |  1.0   |
|  66  |  NON-REL   | 0.0151515151515 |  1.0   |
|  67  |  NON-REL   | 0.0149253731343 |  1.0   |
|  68  |  NON-REL   | 0.0147058823529 |  1.0   |
|  69  |  NON-REL   | 0.0144927536232 |  1.0   |
|  70  |  NON-REL   | 0.0142857142857 |  1.0   |
|  71  |  NON-REL   | 0.0140845070423 |  1.0   |
|  72  |  NON-REL   | 0.0138888888889 |  1.0   |
|  73  |  NON-REL   |  0.013698630137 |  1.0   |
|  74  |  NON-REL   | 0.0135135135135 |  1.0   |
|  75  |  NON-REL   | 0.0133333333333 |  1.0   |
|  76  |  NON-REL   | 0.0131578947368 |  1.0   |
|  77  |  NON-REL   |  0.012987012987 |  1.0   |
|  78  |  NON-REL   | 0.0128205128205 |  1.0   |
|  79  |  NON-REL   | 0.0126582278481 |  1.0   |
|  80  |  NON-REL   |      0.0125     |  1.0   |
|  81  |  NON-REL   | 0.0123456790123 |  1.0   |
|  82  |  NON-REL   | 0.0121951219512 |  1.0   |
|  83  |  NON-REL   | 0.0120481927711 |  1.0   |
|  84  |  NON-REL   | 0.0119047619048 |  1.0   |
|  85  |  NON-REL   | 0.0117647058824 |  1.0   |
|  86  |  NON-REL   | 0.0116279069767 |  1.0   |
|  87  |  NON-REL   | 0.0114942528736 |  1.0   |
|  88  |  NON-REL   | 0.0113636363636 |  1.0   |
|  89  |  NON-REL   | 0.0112359550562 |  1.0   |
|  90  |  NON-REL   | 0.0111111111111 |  1.0   |
|  91  |  NON-REL   |  0.010989010989 |  1.0   |
|  92  |  NON-REL   | 0.0108695652174 |  1.0   |
|  93  |  NON-REL   |  0.010752688172 |  1.0   |
|  94  |  NON-REL   | 0.0106382978723 |  1.0   |
|  95  |  NON-REL   | 0.0105263157895 |  1.0   |
|  96  |  NON-REL   | 0.0104166666667 |  1.0   |
|  97  |  NON-REL   | 0.0103092783505 |  1.0   |
|  98  |  NON-REL   | 0.0102040816327 |  1.0   |
|  99  |  NON-REL   |  0.010101010101 |  1.0   |
| 100  |  NON-REL   |       0.01      |  1.0   |
+------+------------+-----------------+--------+
